Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	-1	-1
Meth__cg14886269__TNFRSF18	0.042351	0.025473	0.96238	0.03258	0.10259	0.96802	0.042171	0.12157	0.0574	0.03677	0.15326	0.80301	0.95068	0.039393	0.66825	0.21731	0.13363	0.099593	0.092529	0.49496	0.072624	0.96751	0.033194	0.88311	0.081009	0.074214	0.15228	0.066534	0.46372	0.037254	0.96402	0.09741	0.96421	0.073925	0.035211	0.036588	0.031228
Meth__cg03684977__GRB7	0.025921	0.019566	0.2033	0.042199	0.045407	0.9494	0.031885	0.091285	0.15966	0.053698	0.022015	0.31861	0.18094	0.16822	0.1049	0.9466	0.045443	0.91461	0.031285	0.067035	0.03012	0.95438	0.053879	0.8784	0.034811	0.072712	0.038093	0.038829	0.95271	0.032736	0.92172	0.089341	0.025857	0.037357	0.25562	0.028932	0.0395
Meth__cg25587233__PPP2R4	0.087756	0.053871	0.31109	0.078611	0.49451	0.89057	0.093173	0.70143	0.11635	0.46324	0.72419	0.88853	0.45113	0.21706	0.62916	0.7418	0.073884	0.87954	0.65737	0.59838	0.92441	0.8944	0.69998	0.75458	0.24133	0.21616	0.049626	0.11718	0.40441	0.15105	0.83843	0.14607	0.47071	0.24486	0.22651	0.12103	0.074319
Meth__cg20367961__EDN2	0.056359	0.051505	0.10835	0.072609	0.23695	0.65201	0.050534	0.19795	0.036938	0.10127	0.77935	0.20644	0.32688	0.051388	0.34326	0.5923	0.10634	0.84114	0.058672	0.10921	0.083138	0.89922	0.084393	0.78352	0.074444	0.10997	0.15478	0.063587	0.42947	0.05472	0.5225	0.090328	0.14629	0.17677	0.15613	0.070379	0.074824
Meth__cg05697249__C11orf52	0.063577	0.036649	0.072743	0.057755	0.045496	0.81729	0.059855	0.066511	0.041786	0.049995	0.11194	0.086407	0.11993	0.047439	0.051717	0.79239	0.074356	0.62525	0.04626	0.10354	0.057075	0.76562	0.0529	0.80554	0.050172	0.088371	0.092303	0.07757	0.85419	0.04898	0.46568	0.039659	0.077129	0.12188	0.043958	0.048631	0.056347
Meth__cg08615333__TGFB3	0.058346	0.03908	0.81863	0.068886	0.072273	0.87989	0.053721	0.89822	0.052509	0.053832	0.58844	0.86724	0.8214	0.064406	0.83482	0.60806	0.15361	0.47318	0.13361	0.2025	0.057362	0.85897	0.061009	0.81177	0.057025	0.086523	0.073597	0.038126	0.88446	0.85737	0.65699	0.046645	0.046168	0.27327	0.037415	0.051905	0.062215
Meth__cg13553204__CNKSR1	0.041228	0.045273	0.090824	0.073766	0.063382	0.86385	0.057016	0.24909	0.78677	0.045206	0.089074	0.3069	0.1417	0.57068	0.13901	0.84734	0.10381	0.60519	0.077939	0.069682	0.054692	0.87802	0.066912	0.54061	0.068242	0.068323	0.12214	0.064973	0.89909	0.059324	0.50846	0.047152	0.038417	0.24013	0.060363	0.048049	0.040235
Meth__cg06800962__TM4SF1	0.10009	0.078313	0.27907	0.091478	0.075285	0.16879	0.10368	0.066951	0.15292	0.053961	0.097168	0.18063	0.15181	0.11637	0.13165	0.30188	0.09103	0.27086	0.13012	0.15477	0.11873	0.51565	0.1444	0.13005	0.25901	0.12445	0.14823	0.17442	0.08307	0.066552	0.19496	0.073733	0.13479	0.17179	0.12656	0.094084	0.11006
Meth__cg02433671__RGL3	0.59803	0.035935	0.048625	0.030846	0.97968	0.97669	0.63179	0.96479	0.12812	0.040266	0.94744	0.98638	0.96664	0.35446	0.96784	0.66883	0.11398	0.81024	0.98044	0.9721	0.97273	0.97132	0.97763	0.076197	0.96592	0.7126	0.065528	0.085685	0.63638	0.95695	0.47819	0.030961	0.97652	0.059363	0.041598	0.042096	0.035875
Meth__cg13719194__PAFAH1B1	0.054122	0.10734	0.084133	0.099364	0.10117	0.054787	0.14884	0.095129	0.094371	0.12314	0.090473	0.11021	0.11033	0.081982	0.52663	0.090688	0.59837	0.046545	0.12245	0.092386	0.11217	0.10967	0.11049	0.13364	0.10059	0.31067	0.17811	0.21503	0.091914	0.056593	0.089919	0.11445	0.056333	0.066899	0.15433	0.14982	0.12018
Meth__cg04653308__PPP2R4	0.11889	0.10337	0.23153	0.111	0.301	0.68219	0.11429	0.60047	0.12361	0.22276	0.48858	0.68238	0.34509	0.15534	0.40823	0.52885	0.13246	0.57075	0.32675	0.28407	0.7622	0.73994	0.40389	0.41105	0.17219	0.10304	0.12463	0.12452	0.20374	0.13461	0.41822	0.12733	0.19544	0.19895	0.14034	0.11432	0.11508
Meth__cg23067535__FAM83A	0.048124	0.041366	0.06135	0.23531	0.72136	0.9363	0.12719	0.94995	0.028146	0.083708	0.39822	0.61336	0.21697	0.20228	0.73704	0.95298	0.18288	0.89482	0.74221	0.59368	0.93871	0.9298	0.38987	0.88741	0.49916	0.29484	0.094499	0.29655	0.94186	0.035759	0.89209	0.060873	0.66055	0.12819	0.88739	0.20083	0.26025
Meth__cg14766682__JM11	0.10407	0.12596	0.21488	0.11505	0.19928	0.88897	0.12807	0.17964	0.15754	0.093698	0.13145	0.1837	0.088589	0.15474	0.15147	0.84623	0.20079	0.52958	0.095449	0.11034	0.10036	0.89648	0.33377	0.69127	0.13511	0.1575	0.4855	0.17665	0.56721	0.19957	0.46114	0.10831	0.14731	0.19796	0.10891	0.11111	0.10882
Meth__cg16990174__RYBP	0.056658	0.063798	0.50474	0.066485	0.07787	0.60388	0.057451	0.059225	0.063298	0.090207	0.059546	0.13165	0.28791	0.065867	0.12151	0.71702	0.13511	0.50777	0.086082	0.062061	0.070735	0.80263	0.093539	0.51263	0.075192	0.13076	0.063947	0.096454	0.49865	0.098145	0.58698	0.056394	0.061389	0.12318	0.060972	0.056229	0.074224
Meth__cg14865516__PAIP1	0.062733	0.22232	0.10323	0.70327	0.26196	0.4655	0.51155	0.032199	0.25522	0.25549	0.24814	0.10085	0.17891	0.20358	0.12913	0.078785	0.084499	0.033604	0.13337	0.070693	0.62074	0.039931	0.040515	0.18571	0.049425	0.032779	0.087596	0.09542	0.04058	0.068885	0.047157	0.077231	0.20826	0.052371	0.061887	0.29826	0.45918
Meth__cg24968336__KCNK6	0.055029	0.29251	0.82335	0.34206	0.26666	0.89598	0.066996	0.90938	0.39732	0.4462	0.10864	0.80086	0.53039	0.38988	0.56271	0.46583	0.093795	0.20591	0.27657	0.079055	0.06784	0.79717	0.4058	0.79421	0.44313	0.1064	0.46202	0.21682	0.48296	0.082581	0.14321	0.11075	0.55102	0.16124	0.065219	0.066534	0.10117
Meth__cg18017908__C17orf76	0.089155	0.19105	0.30644	0.11994	0.24517	0.616	0.15913	0.19476	0.065094	0.13261	0.56744	0.41306	0.43513	0.1148	0.14825	0.73764	0.16665	0.075222	0.17006	0.17442	0.089081	0.37132	0.45185	0.32175	0.15135	0.20723	0.21824	0.19426	0.84405	0.046303	0.74036	0.15937	0.29847	0.13803	0.31355	0.20538	0.11744
Meth__cg25483003__ENTPD2	0.027448	0.026395	0.25123	0.046992	0.030778	0.96981	0.048842	0.038498	0.043032	0.048717	0.041365	0.31006	0.59165	0.061762	0.037064	0.60325	0.06407	0.96028	0.15813	0.095541	0.060063	0.97156	0.035769	0.92223	0.23298	0.073487	0.066875	0.079761	0.090844	0.019244	0.30212	0.021951	0.019893	0.05442	0.043149	0.025799	0.026923
Meth__cg21550442__FLJ36445	0.11427	0.08404	0.069588	0.084946	0.10408	0.92644	0.10117	0.89144	0.47491	0.063995	0.11029	0.80191	0.16644	0.45181	0.16906	0.89634	0.10795	0.80866	0.057298	0.10033	0.069324	0.94977	0.0626	0.73665	0.072196	0.15833	0.10155	0.11052	0.87527	0.064078	0.87784	0.053738	0.07996	0.18507	0.089698	0.076898	0.064845
Meth__cg03548857__FFAR2	0.079875	0.087769	0.13936	0.080786	0.10593	0.77832	0.081151	0.817	0.11076	0.079142	0.84925	0.76767	0.50164	0.1227	0.89507	0.94083	0.14705	0.086095	0.13614	0.15012	0.10788	0.28511	0.18836	0.69346	0.095972	0.10841	0.16752	0.099801	0.88278	0.49872	0.64525	0.056999	0.22451	0.24822	0.083093	0.095078	0.076451
Meth__cg17166812__NDUFS2	0.054794	0.076204	0.7796	0.40362	0.082996	0.59875	0.028252	0.4427	0.059238	0.15819	0.033123	0.5924	0.55252	0.097334	0.03554	0.51934	0.12157	0.17111	0.60312	0.60821	0.24145	0.51534	0.51955	0.42064	0.33425	0.10799	0.061672	0.16592	0.068168	0.12734	0.17616	0.032159	0.03004	0.14572	0.11037	0.10232	0.089542
Meth__cg07947930__PRELP	0.071486	0.059942	0.80974	0.049466	0.069864	0.3019	0.081853	0.10897	0.21375	0.12068	0.17468	0.31818	0.50206	0.11258	0.10712	0.30012	0.10647	0.26646	0.057208	0.050774	0.11247	0.6021	0.057294	0.303	0.1002	0.13788	0.046347	0.17596	0.54051	0.10003	0.15366	0.071328	0.12723	0.13558	0.05361	0.098588	0.060339
Meth__cg09637363__CCND1	0.080986	0.063358	0.1952	0.15303	0.076728	0.87259	0.085539	0.68227	0.11849	0.13425	0.57933	0.88598	0.45041	0.15756	0.66137	0.33031	0.14023	0.31323	0.43333	0.15962	0.079203	0.86545	0.32142	0.21876	0.1339	0.1809	0.12074	0.11749	0.85268	0.84357	0.76051	0.065378	0.087831	0.28873	0.33639	0.10812	0.066272
Meth__cg05989054__GAMT	0.053622	0.096064	0.58049	0.094304	0.066947	0.938	0.092937	0.97686	0.093064	0.056482	0.78996	0.8594	0.61074	0.076389	0.71222	0.93312	0.26854	0.95589	0.74026	0.19151	0.058247	0.92898	0.14859	0.89647	0.14617	0.079221	0.061819	0.13506	0.49665	0.60321	0.95532	0.11721	0.057638	0.1935	0.061422	0.064756	0.054482
Meth__cg10301990__UBXD6	0.057272	0.053883	0.6109	0.19846	0.11042	0.30804	0.073521	0.16961	0.16671	0.096185	0.20936	0.23339	0.20572	0.1599	0.10314	0.77876	0.18556	0.070806	0.097011	0.07035	0.086385	0.21137	0.26304	0.66116	0.36199	0.10003	0.08766	0.061687	0.30287	0.077175	0.067786	0.084485	0.10174	0.08961	0.070281	0.063254	0.053909
Meth__cg06850526__MGC15523	0.067797	0.075712	0.19615	0.096842	0.092101	0.87227	0.060445	0.056349	0.33919	0.078976	0.117	0.71953	0.38465	0.21604	0.31351	0.19648	0.1299	0.90819	0.047805	0.12046	0.50792	0.94745	0.1076	0.17402	0.061937	0.12681	0.11865	0.088441	0.26392	0.052686	0.28293	0.052057	0.66482	0.16467	0.28064	0.073901	0.035999
Meth__cg00466249__MGC15523	0.092023	0.065303	0.2403	0.071753	0.15167	0.76543	0.1075	0.35207	0.37706	0.20109	0.10238	0.63695	0.43023	0.32491	0.36145	0.24243	0.083399	0.89086	0.044207	0.068353	0.41842	0.77008	0.20009	0.25636	0.06278	0.14313	0.10094	0.12175	0.32064	0.047963	0.23162	0.095648	0.53721	0.19014	0.32812	0.086398	0.070755
