Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	ZR751	ZR75B
Response	1	-1	1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	1
Meth__cg04818845__PLEKHG5	0.19452	0.20083	0.040738	0.84527	0.91443	0.42281	0.054349	0.071935	0.13836	0.82195	0.43296	0.06683	0.060415	0.11822	0.13669	0.10713	0.051753	0.21874	0.081307	0.055594	0.06603	0.059397	0.81813	0.21215	0.13815	0.32574	0.73398	0.087148	0.55205	0.29896	0.54353	0.05154	0.073474	0.10628	0.49415
Meth__cg12927772__C9orf64	0.10251	0.25012	0.078286	0.83212	0.057589	0.14611	0.49418	0.089819	0.15014	0.062488	0.30254	0.30691	0.46248	0.60559	0.092433	0.12569	0.1069	0.068134	0.089649	0.5534	0.12022	0.088644	0.074689	0.092458	0.1321	0.55645	0.10979	0.54538	0.086582	0.11955	0.21102	0.40677	0.069736	0.088619	0.10584
Meth__cg01610488__TRPA1	0.03081	0.59223	0.61699	0.96919	0.69378	0.8952	0.040932	0.033815	0.08101	0.86478	0.47396	0.41511	0.041214	0.080871	0.65036	0.077756	0.72955	0.76094	0.46519	0.20376	0.20157	0.54063	0.94493	0.26999	0.089601	0.16253	0.91695	0.33008	0.34267	0.04788	0.67104	0.052203	0.70271	0.89264	0.9252
Meth__cg09915099__AGPAT6	0.083672	0.15602	0.1029	0.10234	0.35538	0.62184	0.073269	0.062895	0.16172	0.40848	0.35574	0.092529	0.087116	0.1015	0.26573	0.14014	0.068307	0.26477	0.06523	0.092842	0.096648	0.14604	0.34472	0.2656	0.14041	0.10029	0.283	0.0775	0.081379	0.03692	0.076923	0.089249	0.15694	0.29185	0.42096
Meth__cg03775422__MGC33530	0.030786	0.059655	0.50633	0.83457	0.098013	0.81498	0.033323	0.04454	0.27618	0.48081	0.47647	0.028004	0.083051	0.048824	0.33852	0.14019	0.058006	0.37787	0.41032	0.2794	0.058087	0.18704	0.61288	0.20808	0.076092	0.44363	0.77813	0.49216	0.27651	0.28348	0.2948	0.076825	0.57979	0.37984	0.42979
Meth__cg19734228__DAPK1	0.071775	0.33332	0.19845	0.43517	0.082591	0.03846	0.032479	0.83677	0.7755	0.035752	0.17315	0.42422	0.036508	0.58932	0.031482	0.099833	0.58261	0.60488	0.6733	0.1075	0.20736	0.068408	0.74439	0.28333	0.094099	0.50759	0.17	0.55014	0.031871	0.041292	0.18585	0.25237	0.44707	0.2504	0.048396
Meth__cg17575811__KCNQ1	0.075751	0.057205	0.058514	0.96987	0.072348	0.091917	0.049783	0.047461	0.079951	0.075059	0.092026	0.041128	0.045677	0.069432	0.077673	0.10493	0.050716	0.056836	0.054647	0.050768	0.096316	0.056026	0.70792	0.072102	0.27446	0.060628	0.60485	0.072448	0.055252	0.066255	0.13915	0.047462	0.074325	0.558	0.59423
Meth__cg17747005__DEPDC2	0.12528	0.10824	0.081305	0.71762	0.25285	0.72632	0.07899	0.21269	0.39627	0.74431	0.4	0.091517	0.086831	0.22363	0.28071	0.12905	0.086471	0.76049	0.27915	0.25853	0.088723	0.71229	0.54644	0.51237	0.32743	0.11429	0.67422	0.44774	0.096388	0.092493	0.42636	0.095262	0.78277	0.17815	0.22449
Meth__cg24385322__HDAC3	0.34733	0.575	0.27353	0.24998	0.66732	0.88376	0.90819	0.8947	0.16223	0.18905	0.25841	0.40673	0.70096	0.27282	0.054844	0.49692	0.50692	0.040845	0.21122	0.13096	0.089693	0.068147	0.38164	0.056985	0.080767	0.83539	0.34211	0.5405	0.029212	0.037601	0.059958	0.25393	0.047285	0.0357	0.040706
Meth__cg06484397__C9orf19	0.05803	0.090855	0.21676	0.096604	0.21269	0.18303	0.038015	0.16759	0.20038	0.21159	0.46904	0.050538	0.051788	0.077494	0.076548	0.066916	0.054415	0.26042	0.11891	0.080954	0.053994	0.14902	0.53921	0.11145	0.057604	0.15362	0.846	0.06586	0.30357	0.045545	0.064912	0.069983	0.80181	0.67806	0.90088
Meth__cg02654291__C9orf64	0.20108	0.83311	0.21853	0.93407	0.29717	0.10623	0.9677	0.11295	0.71293	0.89524	0.70121	0.90116	0.91848	0.95689	0.24201	0.15421	0.65923	0.093917	0.10316	0.80577	0.47601	0.226	0.14715	0.1465	0.16315	0.72079	0.17897	0.79676	0.060419	0.56857	0.63157	0.94394	0.060522	0.098453	0.1171
