Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	1	-1	-1
Meth__cg22473973__BNIP3	0.12549	0.20176	0.1853	0.10752	0.1145	0.15135	0.17848	0.2115	0.12306	0.15059	0.1984	0.70193	0.29365	0.1668	0.13608	0.12415	0.10587	0.16978	0.046742	0.10075	0.1081	0.14297	0.13545	0.18735	0.16151	0.16259	0.096684	0.12883	0.13824	0.20041	0.19749	0.12015	0.25523	0.90446	0.26086	0.1282	0.32983	0.14227	0.17623
Meth__cg08607082__ICAM1	0.034304	0.039016	0.18254	0.1313	0.89509	0.058159	0.30727	0.95539	0.0527	0.063202	0.026019	0.081297	0.092703	0.048404	0.05624	0.87797	0.75336	0.076122	0.14636	0.04815	0.073767	0.18277	0.44707	0.057442	0.79079	0.051206	0.061408	0.033361	0.048426	0.091217	0.049708	0.052911	0.031201	0.027956	0.15025	0.71975	0.039434	0.091182	0.47116
Meth__cg15164958__MGC33530	0.46655	0.035166	0.079062	0.29257	0.24831	0.66924	0.23383	0.69063	0.083105	0.09901	0.12856	0.21682	0.27672	0.039967	0.065531	0.0928	0.080145	0.10252	0.12673	0.27018	0.40643	0.42551	0.067305	0.079918	0.25248	0.16367	0.18205	0.2705	0.39827	0.13205	0.069507	0.15282	0.13504	0.082655	0.40429	0.21847	0.22386	0.53771	0.44515
Meth__cg23538854__IL7	0.067132	0.07357	0.077734	0.10714	0.81917	0.092083	0.16439	0.098284	0.064812	0.075262	0.14076	0.10511	0.12005	0.047794	0.074879	0.70464	0.1008	0.17567	0.085256	0.49523	0.36491	0.21583	0.16888	0.062229	0.10723	0.06833	0.13794	0.11688	0.17468	0.16838	0.092007	0.067196	0.052582	0.056382	0.066659	0.65435	0.14748	0.099768	0.29677
Meth__cg16211684__PCDH21	0.46141	0.048922	0.085944	0.47227	0.7716	0.85635	0.5736	0.33816	0.045534	0.31408	0.47245	0.091314	0.55708	0.036361	0.21192	0.34478	0.28851	0.087428	0.046799	0.86134	0.63261	0.49591	0.17308	0.11571	0.74948	0.052731	0.074294	0.29887	0.84334	0.41407	0.11542	0.065482	0.049278	0.070164	0.049278	0.86032	0.33694	0.72839	0.76307
Meth__cg07558455__ANKRD38	0.15664	0.055732	0.18515	0.06569	0.91346	0.83406	0.65526	0.97891	0.047595	0.47034	0.045722	0.032759	0.29193	0.028676	0.042149	0.58766	0.061025	0.089104	0.25065	0.85432	0.85269	0.042228	0.54229	0.26311	0.85373	0.070127	0.11501	0.0489	0.89199	0.056277	0.069522	0.044892	0.025405	0.21701	0.039612	0.48337	0.17379	0.36084	0.59838
Meth__cg27068170__HSD17B12	0.064938	0.045326	0.045943	0.27191	0.2709	0.24133	0.11231	0.070194	0.048387	0.034382	0.044668	0.086992	0.063148	0.042157	0.039129	0.036259	0.075036	0.17086	0.079191	0.062306	0.058499	0.8009	0.050859	0.045856	0.065131	0.05801	0.056821	0.049729	0.088093	0.21581	0.051195	0.037525	0.020566	0.056149	0.049584	0.52179	0.22214	0.22612	0.58922
Meth__cg13163729__SIX3	0.068506	0.063566	0.21311	0.55546	0.84868	0.75208	0.76127	0.094886	0.049965	0.51796	0.84127	0.057334	0.35537	0.04571	0.063754	0.62234	0.43672	0.10018	0.13257	0.80674	0.83865	0.61565	0.75055	0.36855	0.81808	0.34444	0.089934	0.20476	0.39014	0.22654	0.11775	0.056727	0.055231	0.089445	0.066464	0.44981	0.07634	0.72749	0.54301
Meth__cg03334529__ZNF663	0.087649	0.039588	0.57758	0.50113	0.066829	0.73786	0.23648	0.57124	0.55366	0.83326	0.71107	0.18991	0.32847	0.13317	0.27852	0.22534	0.75796	0.11349	0.056673	0.80807	0.65107	0.75636	0.24708	0.045362	0.15977	0.080281	0.075898	0.63627	0.23548	0.18697	0.050634	0.065758	0.068386	0.052277	0.83853	0.33265	0.066888	0.42397	0.25728
Meth__cg04912050__IDUA	0.024727	0.97792	0.42782	0.017067	0.019424	0.029664	0.060313	0.023039	0.027366	0.041622	0.027536	0.15221	0.38119	0.063031	0.19591	0.076614	0.024728	0.055455	0.065308	0.024834	0.025109	0.02136	0.031868	0.035032	0.14126	0.037868	0.053621	0.024117	0.073848	0.070784	0.94701	0.026009	0.027806	0.65733	0.4169	0.036098	0.10453	0.03643	0.022729
Meth__cg15376097__EVA1	0.087054	0.06255	0.16824	0.44998	0.14225	0.36946	0.29116	0.10705	0.066386	0.10733	0.11194	0.043664	0.091667	0.093625	0.0735	0.088707	0.10004	0.095364	0.062493	0.10124	0.20462	0.76823	0.087137	0.068849	0.31566	0.072436	0.11013	0.33883	0.19568	0.063842	0.11754	0.083243	0.054446	0.14044	0.54479	0.18993	0.099895	0.13307	0.39103
Meth__cg00514407__SERPINE2	0.58217	0.033351	0.63094	0.55902	0.95539	0.8139	0.78716	0.66957	0.048716	0.068034	0.45585	0.46366	0.91599	0.058593	0.034898	0.88727	0.51229	0.10008	0.94061	0.19381	0.35856	0.7474	0.8438	0.63541	0.76788	0.058328	0.06514	0.92832	0.28167	0.29517	0.065276	0.14975	0.036565	0.21675	0.84293	0.93854	0.12583	0.29509	0.88356
Meth__cg05719902__LOC136306	0.62022	0.081224	0.096723	0.23394	0.94658	0.56036	0.94564	0.12775	0.065421	0.073537	0.072677	0.19613	0.23689	0.046597	0.069753	0.16505	0.20656	0.14385	0.71836	0.086918	0.63461	0.86187	0.30775	0.069788	0.9039	0.087311	0.3682	0.94427	0.73474	0.075263	0.1327	0.51398	0.15094	0.53713	0.048244	0.59251	0.14194	0.51157	0.5288
Meth__cg07007400__KRT7	0.055763	0.046739	0.055848	0.053989	0.86183	0.087797	0.78136	0.049454	0.05255	0.85972	0.10655	0.053436	0.075979	0.041101	0.055336	0.054914	0.078192	0.099266	0.84862	0.877	0.86467	0.54035	0.85256	0.040393	0.14013	0.059741	0.099584	0.86223	0.102	0.074431	0.059799	0.10632	0.046383	0.053153	0.054552	0.045592	0.51199	0.83956	0.82992
Meth__cg01362183__MAP3K7IP2	0.071503	0.055937	0.065296	0.060538	0.063076	0.10514	0.12983	0.074879	0.061762	0.085371	0.061352	0.061639	0.063061	0.0782	0.070818	0.071814	0.065831	0.073821	0.055416	0.051763	0.076394	0.58684	0.092616	0.051788	0.12608	0.05782	0.062817	0.054933	0.13415	0.070188	0.062813	0.049537	0.053187	0.059974	0.060376	0.067502	0.069598	0.070673	0.066301
Meth__cg17880199__MYH11	0.97085	0.044188	0.10291	0.2384	0.95682	0.53513	0.60731	0.97431	0.061021	0.03518	0.63545	0.14763	0.94845	0.056062	0.073555	0.071717	0.15611	0.14667	0.75634	0.96393	0.96374	0.45369	0.10903	0.61508	0.93372	0.04454	0.083912	0.35267	0.83758	0.54745	0.067664	0.023554	0.053029	0.058644	0.056101	0.34085	0.074549	0.15811	0.8957
Meth__cg21481775__NKX3-1	0.043856	0.039125	0.25453	0.48554	0.67843	0.93062	0.13189	0.89151	0.061327	0.1837	0.2918	0.064181	0.11223	0.042294	0.095406	0.33776	0.10485	0.090817	0.17291	0.54236	0.15081	0.2734	0.31131	0.11558	0.21665	0.053634	0.074402	0.042997	0.63409	0.27952	0.061882	0.15659	0.045755	0.17936	0.13184	0.76265	0.081572	0.14481	0.25885
Meth__cg25924032__BMS1L	0.21991	0.016551	0.019247	0.021278	0.49407	0.20925	0.057984	0.14906	0.01502	0.037029	0.045398	0.030783	0.070846	0.030058	0.020055	0.02357	0.024939	0.052928	0.077002	0.29267	0.40486	0.36092	0.033537	0.021332	0.51904	0.033065	0.033355	0.015318	0.3391	0.10997	0.026936	0.018051	0.026019	0.027445	0.15989	0.34644	0.062771	0.046428	0.018554
Meth__cg17293641__TNFRSF11B	0.02133	0.011142	0.020224	0.66211	0.75052	0.98522	0.016131	0.67684	0.019615	0.01748	0.025514	0.013164	0.10144	0.40709	0.014993	0.014075	0.012874	0.036549	0.011135	0.018557	0.33672	0.68029	0.34101	0.012952	0.62865	0.048134	0.035515	0.013597	0.96894	0.025863	0.014956	0.012901	0.012301	0.015792	0.98316	0.35267	0.027595	0.60974	0.94126
Meth__cg20416767__TCEAL8	0.49927	0.18475	0.51099	0.31535	0.50779	0.94139	0.070626	0.42191	0.082282	0.31484	0.043932	0.057625	0.41425	0.10275	0.221	0.44346	0.50343	0.1325	0.032709	0.9489	0.75269	0.87409	0.35944	0.46182	0.072648	0.049107	0.20399	0.49564	0.91328	0.46358	0.15152	0.034258	0.036996	0.037791	0.35887	0.18612	0.087214	0.39217	0.089598
Meth__cg09351859__PARP8	0.10579	0.090519	0.095971	0.5013	0.41882	0.10527	0.075979	0.41797	0.08363	0.10061	0.10677	0.1286	0.15993	0.063706	0.11018	0.21349	0.09931	0.12556	0.064154	0.75058	0.71697	0.13637	0.10399	0.081267	0.47448	0.086571	0.12385	0.075108	0.44294	0.21563	0.10225	0.075216	0.063255	0.06034	0.087521	0.64062	0.15201	0.37095	0.686
Meth__cg22874046__ICAM1	0.037525	0.032438	0.23791	0.10044	0.96981	0.035613	0.49329	0.99064	0.13321	0.041632	0.025617	0.074268	0.11008	0.028854	0.12936	0.92224	0.71472	0.10083	0.086201	0.031829	0.43609	0.32489	0.43028	0.062703	0.18231	0.041868	0.040753	0.022686	0.1159	0.056696	0.048864	0.10746	0.026309	0.022156	0.21516	0.96743	0.074328	0.18037	0.6762
Meth__cg03714916__CDKN1A	0.04702	0.072471	0.31232	0.50378	0.5242	0.32003	0.33092	0.15541	0.3221	0.202	0.046007	0.30312	0.28493	0.023957	0.3155	0.10217	0.050449	0.047263	0.1709	0.43133	0.23992	0.78645	0.63653	0.04316	0.10041	0.3983	0.11588	0.3319	0.15741	0.29019	0.094926	0.037904	0.040763	0.035057	0.55386	0.42126	0.024006	0.059764	0.049769
Meth__cg03549571__DHH	0.062006	0.017536	0.08238	0.074589	0.55618	0.68979	0.96869	0.95757	0.15593	0.030671	0.96349	0.11965	0.90831	0.030563	0.28855	0.69093	0.06452	0.17796	0.66954	0.97692	0.91269	0.27667	0.96519	0.23645	0.46982	0.29384	0.068417	0.97192	0.90604	0.75775	0.061023	0.44508	0.030219	0.041027	0.94637	0.96933	0.048343	0.1324	0.93041
Meth__cg06252382__SLC31A2	0.1311	0.042777	0.67747	0.52699	0.22773	0.57259	0.10628	0.12955	0.030606	0.10514	0.48634	0.093404	0.087098	0.055336	0.033518	0.098846	0.40811	0.10841	0.41779	0.73913	0.73849	0.95626	0.098875	0.11087	0.69174	0.31305	0.091714	0.037045	0.85009	0.054254	0.039798	0.04632	0.031828	0.051191	0.54852	0.25864	0.12335	0.26988	0.91159
Meth__cg12001148__FLJ33790	0.10359	0.22214	0.029234	0.94679	0.87071	0.89417	0.80428	0.063958	0.054637	0.039216	0.039013	0.11585	0.92684	0.0395	0.046409	0.88151	0.059672	0.13134	0.35731	0.84521	0.22727	0.98696	0.95271	0.24371	0.95659	0.11148	0.10949	0.78767	0.060023	0.33054	0.053303	0.05	0.026155	0.94063	0.94662	0.97736	0.10784	0.14095	0.076235
Meth__cg14992253__C1orf91	0.065568	0.16081	0.12184	0.053106	0.050964	0.057333	0.09074	0.04886	0.084165	0.063892	0.065551	0.10085	0.092051	0.064432	0.095256	0.049083	0.032673	0.11838	0.056932	0.048841	0.059475	0.069541	0.061318	0.13391	0.26929	0.13511	0.097137	0.058187	0.12081	0.29146	0.079481	0.073929	0.091228	0.056676	0.053392	0.078492	0.16031	0.064782	0.079977
Meth__cg22367989__NRP2	0.077945	0.080922	0.17036	0.53366	0.9385	0.91367	0.84809	0.113	0.89445	0.92924	0.1549	0.51651	0.89759	0.046599	0.69079	0.19839	0.40885	0.17144	0.070694	0.9466	0.67629	0.45462	0.66411	0.26641	0.90437	0.66802	0.13934	0.83319	0.88844	0.53166	0.33389	0.051238	0.067302	0.19562	0.78322	0.79315	0.10438	0.569	0.50968
Meth__cg01144286__C20orf103	0.94592	0.017469	0.69866	0.36999	0.87026	0.88124	0.43767	0.96033	0.49147	0.09635	0.78365	0.1988	0.75084	0.033552	0.40598	0.76834	0.042086	0.068191	0.71761	0.2887	0.50322	0.95067	0.08039	0.1356	0.83592	0.68519	0.032322	0.9213	0.68069	0.083779	0.034202	0.049802	0.062162	0.053932	0.75943	0.56871	0.041915	0.74789	0.84866
Meth__cg09750385__GUCY1A3	0.13835	0.22376	0.058744	0.46705	0.8829	0.61242	0.14362	0.2794	0.071745	0.069813	0.064397	0.042508	0.14599	0.030582	0.11778	0.81482	0.064734	0.12972	0.71697	0.26773	0.20204	0.43582	0.057453	0.039751	0.81012	0.27402	0.12049	0.80319	0.17388	0.081722	0.17489	0.058747	0.070383	0.10062	0.093524	0.74264	0.50112	0.312	0.12201
