Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	1	1	-1	1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	1	1	1
EA_G__IDH2	9.4084	9.0203	8.5981	10.3873	10.7588	8.0667	9.7965	8.2773	9.6941	7.8733	9.0831	8.6125	8.1028	10.0996	9.1842	8.4942	8.9461	10.4002	6.776	9.9548	8.3399	6.7409	10.4101	8.7147	7.8956	9.5364	8.6078	8.1004	7.7049	9.0819	9.8275	10.3343	9.4696	10.5446
EA_G__CRIP2	10.4931	10.8373	8.5349	10.9609	12.0226	9.889	9.8807	8.4184	9.5757	10.5287	8.4838	7.5177	8.5105	10.8318	9.9585	8.7795	9.9819	10.025	8.8842	10.0144	9.5079	6.5594	11.1565	9.5562	9.9669	10.9026	9.354	8.7135	7.478	10.7092	8.721	10.6665	10.0145	10.3347
Meth__cg03985136__ULBP2	0.043438	0.052763	0.90613	0.084601	0.051181	0.52035	0.23123	0.10622	0.067909	0.059994	0.12529	0.195	0.28338	0.067654	0.2003	0.093214	0.046224	0.058763	0.075452	0.056018	0.23238	0.48238	0.071503	0.087897	0.48372	0.083777	0.041291	0.06208	0.32211	0.052209	0.35847	0.067327	0.065501	0.053968
Meth__cg20858478__B4GALNT2	0.058617	0.06916	0.8728	0.037452	0.072396	0.8978	0.078303	0.67936	0.058387	0.054812	0.89475	0.1418	0.24374	0.059758	0.077497	0.75261	0.069566	0.18502	0.83067	0.045938	0.81012	0.76868	0.044246	0.20954	0.17602	0.15143	0.068137	0.079518	0.19465	0.07097	0.8472	0.12175	0.041849	0.061623
Meth__cg13084429__VWA2	0.065969	0.066077	0.86142	0.098901	0.060597	0.90433	0.093978	0.3681	0.084917	0.078803	0.30751	0.09552	0.36827	0.074335	0.081617	0.62306	0.080465	0.09725	0.18899	0.070183	0.20035	0.88151	0.067477	0.097299	0.15017	0.11047	0.088647	0.10833	0.14915	0.048411	0.7156	0.15128	0.064698	0.048228
Meth__cg15201877__PTGER3	0.065032	0.048954	0.86619	0.57183	0.056042	0.85711	0.048288	0.33811	0.066354	0.36802	0.9376	0.51732	0.49883	0.66739	0.086602	0.55059	0.20214	0.18388	0.43361	0.10259	0.14106	0.88959	0.16044	0.080547	0.55073	0.072141	0.47517	0.44755	0.43399	0.045671	0.89585	0.048413	0.043809	0.078791
Meth__cg20807545__ADAMTS18	0.07786	0.057228	0.48839	0.068917	0.50875	0.67129	0.063842	0.92873	0.16708	0.3482	0.89193	0.9043	0.39993	0.094462	0.13968	0.85419	0.22262	0.11235	0.5143	0.070913	0.35163	0.57753	0.1078	0.14605	0.87322	0.090043	0.16798	0.89192	0.75129	0.050696	0.33851	0.11401	0.13589	0.64761
Meth__cg07640473__SEMA3F	0.026867	0.025677	0.88506	0.040579	0.039975	0.8	0.048008	0.85396	0.03167	0.049449	0.97912	0.12626	0.08538	0.040121	0.037801	0.53039	0.030363	0.048484	0.25015	0.058389	0.75673	0.9603	0.037097	0.10301	0.060152	0.08906	0.60151	0.58203	0.765	0.043344	0.048554	0.18153	0.028054	0.032835
Meth__cg13562911__ELOVL2	0.049263	0.048088	0.98037	0.87337	0.04196	0.56401	0.044175	0.064134	0.035483	0.042783	0.98119	0.3748	0.92931	0.33561	0.15625	0.75494	0.037767	0.17098	0.65235	0.04182	0.50997	0.95752	0.044541	0.08326	0.95565	0.077842	0.039186	0.58079	0.49356	0.041229	0.96407	0.077983	0.34261	0.44802
Meth__cg20979799__RFXDC1	0.054135	0.071539	0.53849	0.070442	0.058505	0.87108	0.091855	0.13902	0.05892	0.080354	0.29348	0.32712	0.61743	0.065185	0.064444	0.46859	0.25247	0.12645	0.31737	0.090243	0.10296	0.91991	0.053366	0.19303	0.21305	0.076611	0.080719	0.17186	0.30642	0.07369	0.46478	0.13727	0.066853	0.090965
Meth__cg27383956__FLJ13265	0.03109	0.044627	0.94986	0.05002	0.049315	0.88459	0.048568	0.98124	0.31235	0.048619	0.95776	0.89548	0.85139	0.063695	0.29594	0.96099	0.75764	0.70933	0.74376	0.04704	0.95444	0.57359	0.042971	0.084074	0.13299	0.055699	0.054876	0.94499	0.067977	0.080572	0.78281	0.094811	0.039587	0.20177
Meth__cg10951619__FAM5C	0.26611	0.056186	0.20346	0.10926	0.068854	0.83588	0.1214	0.36509	0.085425	0.19165	0.32089	0.20645	0.47664	0.064942	0.099781	0.56795	0.09	0.24176	0.17204	0.19525	0.16094	0.59223	0.14799	0.33596	0.36968	0.1029	0.14526	0.31904	0.24864	0.076741	0.6712	0.13338	0.063958	0.089048
Meth__cg23641145__PGR	0.083237	0.043481	0.35823	0.097412	0.049949	0.44383	0.069574	0.2033	0.12558	0.070646	0.7168	0.19315	0.20206	0.076844	0.10976	0.82687	0.052906	0.16607	0.060934	0.062508	0.058472	0.59159	0.053998	0.15938	0.28277	0.075145	0.056275	0.54288	0.32652	0.058414	0.2426	0.08908	0.043607	0.13787
Meth__cg15879316__CELSR1	0.10539	0.089754	0.10047	0.10928	0.083101	0.69252	0.092694	0.18526	0.087917	0.11713	0.27262	0.23424	0.14988	0.18246	0.11255	0.32446	0.069384	0.10766	0.084913	0.12348	0.44505	0.62214	0.1087	0.1246	0.22825	0.1801	0.072114	0.26598	0.098268	0.064738	0.86101	0.080887	0.10604	0.1242
Meth__cg13573276__RDHE2	0.016523	0.014317	0.93772	0.020033	0.016051	0.41125	0.032561	0.88843	0.016928	0.022355	0.71951	0.93142	0.49314	0.030284	0.11538	0.024764	0.080129	0.037636	0.17946	0.02112	0.43812	0.036997	0.034766	0.028797	0.33441	0.025448	0.050405	0.018971	0.11309	0.017795	0.039131	0.023443	0.021787	0.019681
