Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1
Meth__cg15485859__C1orf116	0.051914	0.04523	0.070221	0.11278	0.46861	0.067868	0.10776	0.070759	0.20135	0.26478	0.19879	0.037497	0.34061	0.86098	0.11283	0.31726	0.065925	0.10369	0.31997	0.15334	0.83616	0.071188	0.52881	0.093844	0.82889	0.35692	0.052818	0.092157	0.20738	0.14635	0.31016
RS_G9807__GJA1__GJA1	0.13345	0	0	1.5965	9.6756	1.0466	0	6.27	0.28768	0.24719	0.15634	0.31066	1.3307	8.0511	1.5159	7.4051	0	0.44917	1.3709	0.57752	6.7865	0.041003	0.28226	0.21191	8.8231	0.16798	0.18699	0.85553	3.5435	0	2.5186
Meth__cg02859934__NAGPA	0.046641	0.034217	0.21977	0.066158	0.42201	0.069501	0.032969	0.078438	0.87362	0.92501	0.36766	0.041547	0.57115	0.16559	0.086049	0.85548	0.068313	0.049122	0.096933	0.14103	0.81843	0.051573	0.16437	0.091154	0.045426	0.37624	0.050586	0.79911	0.09817	0.051219	0.067586
RS_G16005__AC132938.1__AC132938.1	3.3968	7.0684	3.238	3.177	1.1178	3.9758	3.6169	3.0794	0.23316	0.9469	1.9486	2.0463	2.4857	1.3451	0	0.74679	4.6038	4.1822	2.4883	3.0345	0.95226	4.3185	3.5446	4.409	2.2798	1.0105	1.4261	1.2745	4.283	9.0349	10.1017
Meth__cg20281815__PSCA	0.056421	0.033802	0.038144	0.14262	0.97648	0.032376	0.11812	0.08489	0.67591	0.51153	0.095267	0.039238	0.66141	0.96341	0.36228	0.97049	0.057895	0.28945	0.92756	0.17419	0.95598	0.046805	0.69624	0.053354	0.96432	0.67051	0.028705	0.050204	0.92544	0.3398	0.42364
Meth__cg05522383__PITX2	0.94246	0.67017	0.78999	0.5194	0.07893	0.92481	0.94038	0.055247	0.12792	0.79304	0.87898	0.77921	0.76241	0.12733	0.41586	0.037999	0.87125	0.92824	0.94044	0.63638	0.54472	0.60837	0.090703	0.69558	0.039063	0.02783	0.057101	0.90542	0.57523	0.92008	0.92514
Meth__cg24664861__SPAG16	0.91909	0.066144	0.27235	0.036154	0.052921	0.06337	0.93838	0.053205	0.055477	0.16061	0.33806	0.51482	0.065931	0.035272	0.10352	0.22072	0.934	0.91332	0.053541	0.049215	0.068532	0.066695	0.078176	0.097921	0.044594	0.044963	0.04578	0.055977	0.10935	0.45099	0.54221
Meth__cg06458239__ZNF549	0.43971	0.34477	0.088235	0.071857	0.077251	0.18788	0.25353	0.105	0.1127	0.27128	0.76912	0.86412	0.11943	0.088847	0.16911	0.089392	0.3321	0.45223	0.11938	0.1103	0.17288	0.07723	0.16894	0.60782	0.1318	0.099195	0.28589	0.17311	0.1911	0.72946	0.77059
Meth__cg01731685__IL17R	0.37647	0.45195	0.61803	0.32924	0.090887	0.64904	0.32563	0.38848	0.09744	0.52015	0.49005	0.62559	0.074706	0.040661	0.10766	0.018433	0.63692	0.40935	0.68685	0.32082	0.14194	0.572	0.2893	0.40455	0.032373	0.04102	0.24109	0.19279	0.1343	0.19033	0.25008
Meth__cg12277666__TDRD5	0.0742	0.03414	0.18943	0.035659	0.89198	0.038193	0.038334	0.034988	0.75208	0.096427	0.67597	0.024254	0.92768	0.18493	0.083028	0.076846	0.025415	0.032042	0.38973	0.074805	0.91422	0.040459	0.048801	0.035376	0.33224	0.5485	0.024065	0.94624	0.049141	0.033805	0.04377
RS_G11315__FSTL1__FSTL1	6.1696	3.6176	6.5735	5.6716	12.563	0.96659	3.0155	5.437	5.1741	9.4235	7.6366	0.59939	10.3975	9.8128	7.9845	10.7719	0.77713	0.82926	0.93212	7.4038	8.5847	1.4346	1.2163	3.6582	5.9561	8.1278	5.414	1.736	7.4048	0.67477	0.38166
Meth__cg19491035__MANSC1	0.049896	0.071313	0.098737	0.062017	0.77873	0.054388	0.041222	0.1051	0.12321	0.048734	0.26908	0.034994	0.057332	0.17452	0.10211	0.87587	0.057466	0.056411	0.21059	0.19355	0.29425	0.039472	0.095246	0.05673	0.40391	0.59553	0.031492	0.058756	0.10958	0.055849	0.069679
RS_G11890__AQP3__AQP3	8.0116	10.6287	2.1647	1.9014	0	4.2468	5.9918	0.1979	0.81239	9.6576	5.2418	7.5979	8.1506	0.68742	6.8679	2.5285	9.4709	8.5654	0.81789	6.6899	6.2827	8.6321	6.4726	10.8643	1.743	5.1633	8.3696	1.1812	5.8895	7.5892	3.3056
