Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
Meth__cg18917378__BCAS1	0.064876	0.044466	0.26067	0.047498	0.04833	0.27358	0.047544	0.89978	0.19452	0.046767	0.30694	0.1488	0.073962	0.046452	0.1287	0.5417	0.82707	0.26178	0.039681	0.037449	0.05945	0.15956	0.59626	0.044455	0.061076	0.14137	0.046566	0.42585	0.70947	0.1484	0.04078	0.050008	0.048967	0.084935	0.051877	0.039871	0.038021
Meth__cg08690031__CDCA7	0.098668	0.076317	0.048233	0.089914	0.43964	0.081869	0.11293	0.057071	0.092894	0.077033	0.064507	0.094862	0.061966	0.88304	0.07619	0.056356	0.070093	0.12813	0.79551	0.80158	0.79193	0.064225	0.20309	0.5848	0.11043	0.16167	0.15338	0.031696	0.043485	0.058982	0.13754	0.046925	0.02967	0.93671	0.10496	0.70793	0.32012
Meth__cg13364756__CYP3A43	0.12757	0.097206	0.29339	0.091689	0.074797	0.5311	0.077266	0.8769	0.41225	0.11451	0.82936	0.57974	0.2244	0.051109	0.30985	0.75644	0.86855	0.20715	0.10381	0.045643	0.069488	0.33434	0.56504	0.10577	0.13151	0.18144	0.19843	0.86696	0.49968	0.16554	0.56541	0.072591	0.25519	0.19342	0.11212	0.088645	0.094356
Meth__cg12589433__AR	0.44381	0.027046	0.81131	0.04076	0.058053	0.052533	0.045763	0.46362	0.28693	0.056102	0.8656	0.94835	0.064918	0.031479	0.24679	0.81144	0.41988	0.2769	0.038885	0.046393	0.046603	0.083511	0.8606	0.039352	0.053199	0.51362	0.04685	0.4956	0.059393	0.058625	0.033684	0.036994	0.53319	0.079243	0.35938	0.058683	0.051816
Meth__cg17183991__HS6ST3	0.019926	0.01986	0.41558	0.026712	0.016579	0.37627	0.027301	0.028023	0.020908	0.017064	0.64565	0.18039	0.075976	0.014192	0.024855	0.020853	0.028618	0.046097	0.012338	0.011151	0.030567	0.028126	0.091599	0.018771	0.01896	0.044477	0.023741	0.027982	0.035957	0.036319	0.012167	0.033586	0.13086	0.085355	0.023645	0.015488	0.020054
Meth__cg03201604__ASAHL	0.035344	0.044224	0.037738	0.02603	0.10409	0.61058	0.018249	0.034691	0.019494	0.019572	0.036456	0.02563	0.033504	0.01561	0.028865	0.92752	0.019923	0.085375	0.018507	0.01516	0.0322	0.025518	0.051714	0.024787	0.035873	0.033734	0.037467	0.64513	0.021329	0.67732	0.5434	0.064673	0.023287	0.02682	0.02707	0.021854	0.022701
Meth__cg17694877__DIAPH2	0.48242	0.057047	0.084252	0.070154	0.10033	0.065725	0.064035	0.42554	0.46313	0.077834	0.060523	0.066795	0.10362	0.053443	0.46016	0.40767	0.073102	0.15999	0.043593	0.049507	0.066977	0.32754	0.092535	0.067513	0.13166	0.51585	0.086557	0.073527	0.051613	0.42961	0.05864	0.065065	0.45064	0.10263	0.53664	0.063005	0.071365
Meth__cg20712430__KREMEN2	0.03129	0.023948	0.040159	0.025964	0.025482	0.02493	0.025976	0.016391	0.022367	0.02198	0.038505	0.021783	0.075125	0.015919	0.042539	0.78881	0.025785	0.041523	0.016643	0.016102	0.027556	0.030653	0.065737	0.020819	0.03765	0.023655	0.022647	0.023305	0.02677	0.029442	0.01929	0.020387	0.023291	0.036243	0.040348	0.019806	0.018771
Meth__cg08343834__PMP22	0.08464	0.089417	0.83099	0.38859	0.47021	0.54362	0.12107	0.82086	0.11496	0.15478	0.52836	0.40228	0.72863	0.056031	0.10486	0.72591	0.78516	0.13061	0.097708	0.18857	0.21744	0.74188	0.54875	0.1452	0.147	0.22438	0.095472	0.14707	0.64724	0.33634	0.40287	0.11717	0.25352	0.24518	0.13434	0.12557	0.12641
Meth__cg04133652__MLLT6	0.032843	0.057746	0.08567	0.056751	0.040082	0.44755	0.044089	0.070432	0.31849	0.042027	0.044627	0.11246	0.10003	0.027058	0.30016	0.10993	0.069603	0.19784	0.0237	0.03925	0.04137	0.12889	0.056193	0.048889	0.03876	0.057351	0.043373	0.044936	0.035672	0.21495	0.06981	0.026753	0.030065	0.060203	0.084207	0.026658	0.035796
Meth__cg02148642__RGPD5	0.047038	0.052133	0.36705	0.074948	0.04214	0.4156	0.049399	0.93915	0.074606	0.057009	0.46876	0.83769	0.14478	0.031388	0.057361	0.62842	0.91727	0.1211	0.039891	0.048855	0.045611	0.79238	0.094608	0.062094	0.063778	0.15407	0.051945	0.41524	0.4516	0.058225	0.058815	0.027872	0.049631	0.21311	0.03454	0.050371	0.0529
Meth__cg15942481__CAPS2	0.070735	0.081653	0.82409	0.54776	0.046001	0.053904	0.053376	0.070049	0.16875	0.062773	0.36596	0.16966	0.14814	0.043762	0.1317	0.85239	0.21123	0.085414	0.050159	0.049737	0.046974	0.065423	0.090944	0.052271	0.32894	0.13791	0.13456	0.40449	0.054697	0.088041	0.22392	0.041889	0.37944	0.070072	0.054511	0.059172	0.1214
Meth__cg04444771__C10orf10	0.049124	0.080543	0.035194	0.033884	0.031894	0.58503	0.043196	0.422	0.3801	0.040331	0.087482	0.1177	0.06305	0.033185	0.31408	0.35654	0.056718	0.050441	0.042652	0.038024	0.039169	0.84506	0.48206	0.036273	0.083599	0.048407	0.031978	0.85503	0.84182	0.15447	0.021963	0.10432	0.16001	0.054477	0.035515	0.035007	0.034544
Meth__cg20485165__WFDC12	0.60352	0.02287	0.52462	0.6111	0.44386	0.37527	0.105	0.94379	0.81417	0.26209	0.30425	0.96059	0.79015	0.045389	0.66756	0.48654	0.69452	0.74849	0.02838	0.22083	0.40149	0.38833	0.13672	0.14014	0.045263	0.21203	0.040174	0.89291	0.44841	0.02996	0.70145	0.070541	0.10655	0.045424	0.3905	0.22681	0.22674
Meth__cg17726022__SLC38A1	0.044	0.038556	0.058983	0.049429	0.027107	0.96793	0.040936	0.04226	0.047842	0.041356	0.061142	0.070561	0.097902	0.02704	0.046074	0.85944	0.23098	0.07442	0.028896	0.034172	0.044231	0.048073	0.047091	0.038212	0.065109	0.086857	0.045506	0.042448	0.033492	0.04318	0.029875	0.042713	0.030646	0.053461	0.041889	0.042518	0.04754
