Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	-1	1	1	1	-1	1	-1	-1	1	-1
Meth__cg05461841__LOC124220	0.033648	0.033748	0.12145	0.041517	0.023088	0.58875	0.028438	0.33093	0.03767	0.030119	0.18722	0.3864	0.83042	0.033631	0.51852	0.55548	0.018457	0.48161	0.090583	0.072588	0.86547	0.49481	0.027432	0.047399	0.054307	0.057189	0.31228	0.088952	0.043283	0.025832	0.025407	0.032073	0.049677	0.046297	0.039787	0.034642
Meth__cg14134005__GATA4	0.46144	0.047574	0.9014	0.05294	0.05117	0.37031	0.20313	0.81793	0.063857	0.05295	0.53359	0.76158	0.51107	0.061477	0.5165	0.088596	0.13344	0.040127	0.79461	0.7255	0.57968	0.497	0.53518	0.11691	0.086361	0.077252	0.1456	0.10916	0.11022	0.26936	0.077058	0.48001	0.69886	0.88203	0.45142	0.40278
Meth__cg25047001__GRIN2A	0.75761	0.040121	0.94078	0.69044	0.084179	0.89404	0.58742	0.94772	0.039532	0.069756	0.89949	0.9344	0.83612	0.059773	0.66886	0.15128	0.10215	0.2505	0.89076	0.90675	0.26443	0.76089	0.59826	0.097175	0.63679	0.093706	0.10438	0.050262	0.050362	0.050829	0.063982	0.72184	0.096944	0.60399	0.50507	0.22779
Meth__cg00090147__GATA4	0.96481	0.047012	0.93251	0.03494	0.037751	0.8471	0.70038	0.97585	0.11356	0.035797	0.6618	0.48422	0.93917	0.1073	0.80339	0.86295	0.13446	0.035651	0.96267	0.96992	0.9326	0.51607	0.86093	0.061477	0.056198	0.087368	0.13781	0.17306	0.064585	0.06424	0.081174	0.42637	0.95514	0.9646	0.79777	0.75445
Meth__cg10557828__PLOD2	0.17733	0.34428	0.35269	0.84018	0.75757	0.045085	0.3045	0.098373	0.77987	0.76474	0.096752	0.059869	0.097126	0.81206	0.15086	0.04822	0.12335	0.078204	0.68266	0.10566	0.10829	0.15805	0.77553	0.70204	0.64271	0.30781	0.0744	0.039385	0.68212	0.29494	0.055179	0.35056	0.15897	0.11762	0.79237	0.83655
Meth__cg19486673__LILRA2	0.46117	0.036662	0.63984	0.069838	0.060009	0.14719	0.052123	0.076796	0.040063	0.048257	0.38913	0.53292	0.0774	0.049457	0.22779	0.05116	0.059106	0.032945	0.26222	0.46773	0.077624	0.11304	0.048049	0.060257	0.08782	0.057548	0.065144	0.05869	0.071165	0.057031	0.035	0.28728	0.097609	0.90255	0.070744	0.13405
Meth__cg13905388__CDCA4	0.10255	0.077292	0.14661	0.11657	0.061063	0.10533	0.12832	0.74455	0.10269	0.099053	0.12982	0.19693	0.12244	0.11129	0.13941	0.08441	0.13153	0.12389	0.075459	0.1006	0.090976	0.15595	0.1056	0.13553	0.1117	0.095718	0.11265	0.084808	0.0714	0.048931	0.098698	0.06315	0.17311	0.11334	0.093197	0.11071
Meth__cg24930915__RAB26	0.055301	0.028137	0.070923	0.0681	0.033641	0.82069	0.058106	0.048173	0.033318	0.048106	0.063461	0.067462	0.089336	0.037766	0.1468	0.048704	0.092121	0.74006	0.029188	0.056591	0.51004	0.085656	0.055311	0.085333	0.080416	0.054122	0.044857	0.027772	0.027488	0.03112	0.031904	0.029522	0.091675	0.067139	0.055597	0.058288
Meth__cg05333568__C1orf65	0.46178	0.059808	0.548	0.093281	0.050435	0.68964	0.34994	0.36153	0.035908	0.044402	0.34228	0.63338	0.60161	0.051369	0.40152	0.045705	0.097986	0.080051	0.26048	0.41609	0.57927	0.48591	0.063703	0.052701	0.20953	0.063744	0.067459	0.075225	0.093097	0.28109	0.047484	0.34182	0.096569	0.040163	0.09701	0.13602
Meth__cg24562819__THBD	0.75312	0.41668	0.98417	0.066778	0.028582	0.96842	0.35217	0.93703	0.20893	0.041805	0.85146	0.99026	0.95926	0.21606	0.874	0.094072	0.17018	0.65726	0.61519	0.39778	0.7076	0.69162	0.053983	0.044709	0.11432	0.20762	0.90826	0.38964	0.27882	0.052121	0.039963	0.81252	0.40764	0.032482	0.03365	0.031466
