Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
Response	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	1	1	-1	-1	1	-1	1	-1	-1
Meth__cg18587271__GPT2	0.10048	0.57958	0.12433	0.15415	0.69281	0.34639	0.61129	0.14793	0.074461	0.34913	0.34371	0.60736	0.10048	0.28598	0.10001	0.0915	0.26018	0.083777	0.1414	0.088492	0.17851	0.15245	0.14036	0.07598	0.073635	0.77526	0.085429	0.093835	0.14742	0.089138	0.18551	0.34906
Meth__cg08733774__RANBP2	0.050032	0.10644	0.032447	0.078269	0.076055	0.035758	0.043382	0.053358	0.028825	0.14634	0.067984	0.038626	0.033904	0.054763	0.047132	0.17146	0.030526	0.033861	0.18475	0.052479	0.12933	0.043839	0.055271	0.02739	0.033728	0.33489	0.19852	0.030426	0.057549	0.033646	0.063454	0.11336
Meth__cg12001148__FLJ33790	0.10359	0.4159	0.029234	0.94679	0.87071	0.89417	0.063958	0.039216	0.039013	0.11585	0.92684	0.046409	0.059672	0.13134	0.84521	0.98696	0.95271	0.24371	0.95659	0.11148	0.10949	0.060023	0.053303	0.05	0.026155	0.94063	0.94662	0.027764	0.97736	0.033093	0.14095	0.076235
Meth__cg27068170__HSD17B12	0.064938	0.058059	0.045943	0.27191	0.2709	0.24133	0.070194	0.034382	0.044668	0.086992	0.063148	0.039129	0.075036	0.17086	0.062306	0.8009	0.050859	0.045856	0.065131	0.05801	0.056821	0.088093	0.051195	0.037525	0.020566	0.056149	0.049584	0.047029	0.52179	0.042539	0.22612	0.58922
Meth__cg06335814__FAM59A	0.055395	0.09661	0.099529	0.38616	0.14121	0.060944	0.066709	0.12536	0.050656	0.062509	0.11123	0.10679	0.061227	0.1159	0.062643	0.64652	0.067939	0.046462	0.076146	0.053274	0.10316	0.071605	0.072138	0.03899	0.032565	0.048214	0.21683	0.048606	0.14259	0.048089	0.069964	0.10887
Meth__cg22244122__SURF4	0.45719	0.84437	0.17527	0.048006	0.52404	0.52562	0.79109	0.19505	0.043519	0.24201	0.27204	0.21292	0.12524	0.12448	0.813	0.26496	0.67772	0.11293	0.8765	0.71405	0.098566	0.048762	0.10771	0.03548	0.042559	0.50019	0.20895	0.055139	0.48419	0.060041	0.13245	0.11614
Meth__cg01362183__MAP3K7IP2	0.071503	0.070863	0.065296	0.060538	0.063076	0.10514	0.074879	0.085371	0.061352	0.061639	0.063061	0.070818	0.065831	0.073821	0.051763	0.58684	0.092616	0.051788	0.12608	0.05782	0.062817	0.13415	0.062813	0.049537	0.053187	0.059974	0.060376	0.053606	0.067502	0.0588	0.070673	0.066301
Meth__cg09351859__PARP8	0.10579	0.12945	0.095971	0.5013	0.41882	0.10527	0.41797	0.10061	0.10677	0.1286	0.15993	0.11018	0.09931	0.12556	0.75058	0.13637	0.10399	0.081267	0.47448	0.086571	0.12385	0.44294	0.10225	0.075216	0.063255	0.06034	0.087521	0.06043	0.64062	0.084198	0.37095	0.686
Meth__cg09924998__VPS33A	0.13306	0.82772	0.11013	0.29413	0.13208	0.29595	0.40334	0.21301	0.068249	0.46621	0.19373	0.07406	0.25781	0.13986	0.084281	0.059564	0.15243	0.081746	0.71893	0.099295	0.047434	0.068332	0.14127	0.059191	0.057018	0.082767	0.11895	0.042899	0.099031	0.098057	0.11288	0.29409
Meth__cg08607082__ICAM1	0.034304	0.029295	0.18254	0.1313	0.89509	0.058159	0.95539	0.063202	0.026019	0.081297	0.092703	0.05624	0.75336	0.076122	0.04815	0.18277	0.44707	0.057442	0.79079	0.051206	0.061408	0.048426	0.049708	0.052911	0.031201	0.027956	0.15025	0.027258	0.71975	0.035058	0.091182	0.47116
Meth__cg13382694__ZNF652	0.055161	0.20676	0.03621	0.84257	0.92744	0.18753	0.072771	0.89279	0.11482	0.32845	0.23606	0.75731	0.576	0.2105	0.051564	0.71811	0.7017	0.073353	0.85426	0.030858	0.1964	0.084147	0.22874	0.12575	0.11788	0.55721	0.19398	0.03422	0.048827	0.16435	0.21727	0.081273
Meth__cg19598544__TTYH2	0.065941	0.050294	0.030342	0.12773	0.4217	0.05488	0.59321	0.20384	0.030324	0.058074	0.10742	0.034258	0.02929	0.056196	0.044323	0.38157	0.16611	0.026055	0.045635	0.026491	0.028582	0.055982	0.043742	0.16793	0.026838	0.024544	0.75637	0.029564	0.20305	0.019379	0.038503	0.21476
Meth__cg07448460__GGH	0.03751	0.030907	0.050647	0.021593	0.019646	0.028427	0.024761	0.024202	0.037113	0.018109	0.067151	0.19249	0.026466	0.079213	0.032969	0.03479	0.031159	0.029223	0.035744	0.038439	0.042667	0.063548	0.36163	0.026502	0.038211	0.024484	0.022609	0.040186	0.020965	0.026696	0.03245	0.02369
Meth__cg21717724__PSMD5	0.23575	0.12557	0.08866	0.18649	0.93545	0.61188	0.61714	0.63833	0.12859	0.22455	0.1264	0.26464	0.084044	0.14588	0.10255	0.5275	0.19771	0.21644	0.86552	0.14558	0.20127	0.14775	0.127	0.1007	0.13224	0.13804	0.087146	0.083317	0.12712	0.12831	0.2321	0.22897
Meth__cg26952662__CTHRC1	0.6443	0.034941	0.43541	0.27932	0.96249	0.66592	0.54812	0.028927	0.063012	0.032133	0.23814	0.71088	0.27105	0.12335	0.021442	0.13934	0.23937	0.17145	0.9253	0.026449	0.049293	0.064728	0.063666	0.026654	0.033391	0.95559	0.25214	0.022457	0.38626	0.025756	0.14203	0.94334
Meth__cg03954858__FAM83F	0.078246	0.048483	0.18994	0.1519	0.070793	0.085966	0.7396	0.035747	0.66999	0.10968	0.33159	0.066746	0.66329	0.085303	0.27799	0.095462	0.40784	0.60102	0.085187	0.40874	0.046768	0.32993	0.10698	0.75889	0.84137	0.067102	0.12416	0.17944	0.085925	0.065156	0.28914	0.32779
Meth__cg14809191__FOXQ1	0.43554	0.95204	0.048513	0.042815	0.78409	0.057789	0.90328	0.046956	0.60458	0.12965	0.16284	0.15093	0.18302	0.37168	0.047426	0.10381	0.33481	0.046906	0.49407	0.047219	0.037415	0.13975	0.049048	0.039517	0.03655	0.87237	0.32613	0.037594	0.65894	0.038386	0.052617	0.076307
Meth__cg21747271__AIP	0.16525	0.14424	0.43099	0.62178	0.43037	0.72878	0.19649	0.73957	0.12801	0.30727	0.13585	0.1765	0.09655	0.11617	0.37825	0.71807	0.075412	0.11539	0.17946	0.18132	0.39846	0.29234	0.082703	0.0504	0.067857	0.18065	0.77389	0.19212	0.55293	0.073323	0.21313	0.63078
Meth__cg02914419__ASNA1	0.029344	0.02954	0.025336	0.025584	0.025246	0.025255	0.5859	0.031048	0.56392	0.019905	0.030485	0.025599	0.021939	0.059032	0.01616	0.027111	0.028876	0.039361	0.045126	0.030646	0.052497	0.053573	0.030527	0.05235	0.044177	0.041803	0.02177	0.03812	0.022993	0.67445	0.030488	0.029985
Meth__cg22625415__ITGA1	0.60308	0.47479	0.46853	0.45982	0.8073	0.83415	0.44849	0.076412	0.13008	0.25649	0.17915	0.10748	0.24205	0.17592	0.8654	0.89992	0.19048	0.54812	0.19372	0.16798	0.11227	0.7655	0.17351	0.10044	0.056501	0.88209	0.62221	0.06314	0.88316	0.10731	0.49341	0.65707
Meth__cg25826526__C20orf20	0.024652	0.0199	0.018576	0.015429	0.013475	0.015552	0.026603	0.018061	0.019966	0.024943	0.034237	0.017092	0.016413	0.048458	0.019304	0.02562	0.02235	0.029114	0.019602	0.023981	0.031555	0.044202	0.032787	0.029316	0.025894	0.025582	0.017942	0.031375	0.013271	0.025225	0.02114	0.020404
Meth__cg08063724__MYCL1	0.0227	0.057959	0.029805	0.018648	0.025426	0.022065	0.012554	0.035056	0.21597	0.014804	0.19247	0.020637	0.020695	0.025227	0.022631	0.035057	0.037324	0.033419	0.024534	0.032794	0.024761	0.04563	0.037488	0.10899	0.061651	0.023837	0.023187	0.019589	0.98349	0.030495	0.031192	0.037397
Meth__cg09875273__ERBB2	0.053791	0.079565	0.026686	0.039669	0.037077	0.040262	0.041044	0.080723	0.82974	0.067161	0.026325	0.066076	0.028524	0.058193	0.046638	0.038746	0.064923	0.051511	0.062746	0.019489	0.066418	0.023267	0.029278	0.053346	0.030688	0.040705	0.087138	0.038321	0.03228	0.019065	0.051128	0.050681
Meth__cg17293641__TNFRSF11B	0.02133	0.98766	0.020224	0.66211	0.75052	0.98522	0.67684	0.01748	0.025514	0.013164	0.10144	0.014993	0.012874	0.036549	0.018557	0.68029	0.34101	0.012952	0.62865	0.048134	0.035515	0.96894	0.014956	0.012901	0.012301	0.015792	0.98316	0.0099756	0.35267	0.013562	0.60974	0.94126
Meth__cg10449070__ALDH2	0.022104	0.96619	0.032193	0.017817	0.075201	0.024665	0.96985	0.96998	0.023549	0.97584	0.93907	0.69706	0.026111	0.039666	0.97653	0.31908	0.64349	0.023716	0.041662	0.025335	0.043235	0.95136	0.030732	0.024821	0.028517	0.95094	0.96687	0.020043	0.96286	0.027621	0.20216	0.54104
Meth__cg17868994__NIPSNAP3B	0.080845	0.45731	0.056881	0.020222	0.67668	0.086171	0.044422	0.024031	0.059295	0.032182	0.039045	0.047372	0.024144	0.16643	0.037968	0.18879	0.0447	0.027108	0.72346	0.041928	0.063551	0.16233	0.020318	0.033811	0.030439	0.04527	0.064022	0.03071	0.6701	0.023247	0.24664	0.2877
Meth__cg03565081__C14orf93	0.5648	0.43173	0.31894	0.28647	0.16453	0.58903	0.58964	0.13611	0.074692	0.41248	0.23514	0.11426	0.34852	0.15225	0.072549	0.70816	0.13793	0.23651	0.67726	0.23807	0.12477	0.15296	0.25265	0.091634	0.055094	0.090355	0.5778	0.058006	0.31214	0.063679	0.23948	0.35896
Meth__cg01781266__PARVA	0.077895	0.20401	0.20812	0.4065	0.25141	0.33465	0.11097	0.23587	0.16792	0.1	0.26754	0.26328	0.062257	0.14061	0.38402	0.62956	0.084187	0.085699	0.12751	0.11779	0.15885	0.169	0.16406	0.033299	0.049022	0.43241	0.40568	0.057316	0.20553	0.06243	0.31267	0.55057
Meth__cg00024396__ELOVL5	0.050909	0.088115	0.051616	0.23642	0.9052	0.2055	0.033844	0.069179	0.043793	0.081155	0.17291	0.069401	0.04543	0.20089	0.2774	0.2222	0.051599	0.049927	0.57499	0.046545	0.14778	0.088882	0.15289	0.034206	0.037434	0.0778	0.05638	0.043341	0.046003	0.05595	0.11569	0.079716
Meth__cg23959705__TNFRSF9	0.35644	0.68785	0.1543	0.36901	0.41475	0.43216	0.88149	0.058521	0.35927	0.3587	0.67194	0.10815	0.36834	0.4272	0.078637	0.41096	0.72536	0.11681	0.75743	0.20503	0.066693	0.13681	0.067751	0.052542	0.12705	0.81645	0.46437	0.15639	0.46729	0.046414	0.12232	0.25811
Meth__cg03108701__C6orf167	0.42243	0.46108	0.077106	0.13364	0.066102	0.69043	0.29342	0.077922	0.075562	0.089835	0.17415	0.10688	0.081186	0.16893	0.063102	0.085412	0.08072	0.070382	0.13133	0.064537	0.14244	0.13633	0.087905	0.064269	0.075584	0.10062	0.099642	0.066304	0.082025	0.08937	0.11136	0.096632
Meth__cg07193504__SRP9	0.13419	0.8974	0.16695	0.15757	0.86848	0.504	0.73954	0.16706	0.28771	0.76887	0.84138	0.72761	0.14094	0.59586	0.52785	0.24037	0.37355	0.16776	0.86793	0.23984	0.17716	0.26665	0.13396	0.072886	0.14354	0.50441	0.4	0.23072	0.20465	0.092023	0.25099	0.38101
Meth__cg16241648__ARPC1A	0.033786	0.047358	0.046357	0.036818	0.039513	0.049694	0.036042	0.041062	0.039437	0.037747	0.10855	0.039332	0.04752	0.079381	0.027787	0.039676	0.035799	0.061167	0.069606	0.058458	0.048237	0.11331	0.10642	0.038117	0.046335	0.038359	0.042893	0.042813	0.031507	0.059085	0.039503	0.045856
Meth__cg14147105__LOC93343	0.037149	0.072727	0.98077	0.024276	0.049231	0.042653	0.061187	0.044181	0.041148	0.031651	0.064622	0.53419	0.030562	0.064872	0.052388	0.045897	0.041592	0.227	0.064456	0.045426	0.052264	0.07254	0.073059	0.052401	0.077699	0.031555	0.035949	0.03757	0.024947	0.051409	0.037993	0.043489
Meth__cg15177917__DAND5	0.072618	0.16823	0.32468	0.053425	0.31521	0.044261	0.44975	0.0674	0.56129	0.2634	0.14517	0.032433	0.12792	0.082768	0.099958	0.33144	0.050752	0.49528	0.26877	0.26071	0.06127	0.50388	0.091019	0.33094	0.32304	0.03917	0.15379	0.043829	0.11892	0.19341	0.078483	0.25338
Meth__cg12345724__CDCA4	0.022692	0.019635	0.01746	0.021856	0.027231	0.017122	0.48559	0.015358	0.016565	0.039146	0.036142	0.019069	0.018911	0.052321	0.013442	0.020989	0.04794	0.012172	0.054976	0.011064	0.028876	0.048246	0.018655	0.013503	0.018072	0.25429	0.016794	0.013203	0.018255	0.019488	0.019103	0.018982
Meth__cg14992253__C1orf91	0.065568	0.068528	0.12184	0.053106	0.050964	0.057333	0.04886	0.063892	0.065551	0.10085	0.092051	0.095256	0.032673	0.11838	0.048841	0.069541	0.061318	0.13391	0.26929	0.13511	0.097137	0.12081	0.079481	0.073929	0.091228	0.056676	0.053392	0.041806	0.078492	0.28818	0.064782	0.079977
Meth__cg24262469__TIPARP	0.11959	0.68105	0.17654	0.22471	0.35652	0.10936	0.1131	0.099487	0.12877	0.66814	0.10193	0.13066	0.10668	0.10777	0.12296	0.20526	0.13476	0.059788	0.26542	0.083076	0.11029	0.13598	0.16137	0.062443	0.050334	0.29223	0.25586	0.077496	0.17879	0.2126	0.22713	0.2947
Meth__cg04431133__RPL36AL	0.48323	0.6613	0.63956	0.37506	0.076972	0.23737	0.046344	0.093842	0.091454	0.4661	0.11714	0.5567	0.03445	0.14345	0.1644	0.15917	0.065587	0.91229	0.36532	0.59288	0.093647	0.089069	0.15133	0.89149	0.49265	0.043416	0.079593	0.43658	0.056756	0.73282	0.37961	0.11711
Meth__cg02226939__BLMH	0.048061	0.88333	0.57586	0.51811	0.31927	0.89132	0.77819	0.37771	0.1138	0.83193	0.60007	0.60251	0.056099	0.12698	0.096217	0.39874	0.25655	0.68404	0.11145	0.055091	0.13248	0.056795	0.045712	0.12672	0.047054	0.76551	0.49505	0.043565	0.81654	0.24736	0.59176	0.70794
