Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	-1	1
Meth__cg07940485__SLC16A10	0.11166	0.036017	0.34702	0.10605	0.52061	0.63686	0.024482	0.027345	0.024312	0.045847	0.054061	0.079482	0.57382	0.042588	0.032369	0.064572	0.025723	0.10027	0.030892	0.35834	0.25715	0.17244	0.030037	0.70311	0.056213	0.11645	0.12447	0.029649	0.94234	0.043365	0.054903	0.0304	0.03223	0.028962	0.037303	0.31033	0.15335	0.047313	0.15525	0.045009
EA_G__INPP4B	7.4601	5.5609	8.2586	7.8952	6.7976	9.0549	5.5846	5.2547	3.8202	9.0399	6.2207	7.9002	8.0145	5.8217	4.926	6.9207	4.0702	6.683	6.1541	8.4551	8.0536	8.007	6.2776	8.6376	6.7377	9.2115	8.2744	4.0436	4.6256	5.8411	5.9112	6.4328	7.1682	6.4642	4.5528	6.9154	7.0869	6.5131	4.7484	4.2681
Meth__cg01656853__FUT2	0.066308	0.1365	0.31179	0.10026	0.86601	0.41167	0.95079	0.71885	0.75433	0.12388	0.81615	0.19134	0.47425	0.61751	0.59451	0.068335	0.60996	0.1889	0.5215	0.72034	0.46292	0.076918	0.7816	0.081243	0.51226	0.29652	0.079202	0.89083	0.18265	0.26916	0.19463	0.50328	0.073761	0.87192	0.90646	0.54472	0.041762	0.060721	0.058727	0.25842
Meth__cg20637800__BRI3	0.036045	0.047011	0.040368	0.088527	0.030945	0.097576	0.036444	0.047487	0.027436	0.046828	0.031295	0.04073	0.084336	0.02481	0.029932	0.02691	0.039692	0.082515	0.025019	0.15736	0.077288	0.12389	0.051744	0.26493	0.056595	0.14685	0.10983	0.02464	0.072849	0.0446	0.056027	0.024295	0.021347	0.030816	0.02741	0.026973	0.14915	0.082944	0.040484	0.032189
Meth__cg02583151__SIX1	0.60591	0.082594	0.071161	0.074756	0.069215	0.57347	0.054112	0.090384	0.071556	0.073474	0.062753	0.047101	0.12648	0.062215	0.066719	0.068041	0.070348	0.10598	0.059013	0.66179	0.58103	0.59538	0.069289	0.068888	0.074162	0.072443	0.40809	0.05935	0.11319	0.042085	0.10839	0.070275	0.076424	0.060622	0.063249	0.064252	0.56042	0.065309	0.069648	0.072732
Meth__cg12109455__DPYSL4	0.32062	0.060406	0.64289	0.23803	0.58542	0.85627	0.040362	0.61916	0.040566	0.88422	0.05933	0.47603	0.86995	0.54538	0.089122	0.045545	0.059929	0.15259	0.045726	0.51598	0.066278	0.55942	0.057997	0.066347	0.89286	0.9001	0.54407	0.047811	0.89839	0.57351	0.097539	0.049389	0.57953	0.16785	0.052826	0.038502	0.82608	0.50959	0.55279	0.59233
Meth__cg12970008__OSBPL5	0.036376	0.044514	0.044855	0.0517	0.031476	0.053166	0.019807	0.49715	0.034379	0.063881	0.034852	0.060766	0.073247	0.044954	0.025862	0.03672	0.040669	0.066441	0.032408	0.043979	0.06234	0.06897	0.031545	0.031214	0.079022	0.057989	0.061572	0.031667	0.065576	0.042326	0.17615	0.031334	0.034388	0.029676	0.023747	0.026576	0.060234	0.040285	0.037937	0.031738
Meth__cg20769774__CYLD	0.068579	0.057231	0.058532	0.070353	0.48758	0.059632	0.069791	0.053802	0.046377	0.045749	0.046662	0.093455	0.12679	0.047087	0.059177	0.047732	0.043587	0.045247	0.068386	0.049424	0.051564	0.14866	0.053009	0.10675	0.09281	0.068624	0.1003	0.050243	0.12652	0.056915	0.06479	0.043957	0.24207	0.042989	0.050618	0.044188	0.10424	0.083713	0.1083	0.064867
Meth__cg08631151__RPRML	0.28665	0.032445	0.13574	0.2473	0.17751	0.48023	0.022867	0.15562	0.039468	0.082607	0.057027	0.30971	0.42409	0.041167	0.041651	0.06148	0.025111	0.076509	0.03905	0.57921	0.616	0.043602	0.042983	0.39224	0.55354	0.18247	0.19137	0.069985	0.84591	0.13739	0.090501	0.029058	0.12929	0.14115	0.22907	0.33662	0.4318	0.11544	0.20358	0.10949
