Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1
Meth__cg25947945__LAD1	0.22739	0.030286	0.073749	0.038028	0.23366	0.96948	0.31025	0.40688	0.030853	0.11937	0.032152	0.031983	0.14437	0.025891	0.54283	0.64768	0.085125	0.40016	0.16021	0.37178	0.45621	0.95712	0.13508	0.93954	0.10957	0.073698	0.44856	0.07709	0.86517	0.028813	0.95615	0.036808	0.059542	0.035017	0.09522	0.062686	0.21136	0.03996
Meth__cg04972979__C20orf54	0.040733	0.02114	0.035598	0.029815	0.092436	0.8691	0.036616	0.027553	0.020339	0.055678	0.58367	0.031271	0.053565	0.028344	0.035829	0.73775	0.068248	0.15418	0.6191	0.52222	0.28448	0.48691	0.02758	0.70175	0.031899	0.04026	0.061221	0.032369	0.36709	0.069524	0.25004	0.025862	0.02299	0.029579	0.14144	0.045275	0.052696	0.035238
Meth__cg20728496__NADSYN1	0.18961	0.067592	0.078265	0.082126	0.059322	0.48085	0.16912	0.078497	0.075708	0.093968	0.25462	0.10682	0.3401	0.063291	0.074893	0.089141	0.13282	0.74925	0.076287	0.070952	0.18867	0.87195	0.03075	0.82452	0.094749	0.21132	0.14339	0.19573	0.36442	0.058261	0.77989	0.069515	0.04233	0.086063	0.23026	0.054692	0.099849	0.060624
Meth__cg24331162__SYT8	0.045889	0.038049	0.059668	0.077081	0.064811	0.61615	0.31642	0.064069	0.045162	0.043464	0.60283	0.031124	0.087455	0.056105	0.044537	0.62752	0.073361	0.10327	0.090892	0.34659	0.82155	0.79067	0.04158	0.12354	0.49	0.07621	0.21668	0.062221	0.78691	0.030592	0.36943	0.044153	0.034008	0.032806	0.095152	0.05194	0.45795	0.41911
Meth__cg00411097__MGC9712	0.062201	0.046784	0.060083	0.070449	0.050457	0.84711	0.062746	0.23167	0.052009	0.055929	0.11714	0.059242	0.11088	0.057435	0.053678	0.87928	0.081624	0.91082	0.054827	0.063628	0.055187	0.75835	0.044654	0.17113	0.064269	0.07397	0.11693	0.099658	0.15839	0.052402	0.49591	0.040498	0.052713	0.04734	0.087792	0.05352	0.052635	0.061862
Meth__cg10056627__GNMT	0.037872	0.033369	0.035688	0.035415	0.034823	0.96978	0.032241	0.17536	0.031639	0.039107	0.50741	0.042186	0.091908	0.038654	0.036747	0.1342	0.079862	0.59919	0.19234	0.14124	0.03786	0.97305	0.035362	0.92815	0.037462	0.055978	0.062828	0.067712	0.39016	0.028179	0.08957	0.035873	0.032133	0.028195	0.13919	0.040544	0.038196	0.044339
Meth__cg06493994__SCGN	0.91357	0.0307	0.12132	0.9316	0.065241	0.8153	0.84913	0.33293	0.038371	0.27865	0.71426	0.13684	0.2835	0.051624	0.036276	0.39878	0.13622	0.85946	0.3349	0.61399	0.41792	0.14975	0.026431	0.884	0.46945	0.065686	0.87355	0.17172	0.091515	0.071482	0.38013	0.025744	0.027267	0.082377	0.07033	0.076686	0.13346	0.045216
Meth__cg22585988__PVRL4	0.026399	0.015309	0.036963	0.019419	0.016055	0.95734	0.0235	0.017342	0.014845	0.01694	0.88553	0.019854	0.03884	0.018761	0.061356	0.95308	0.026903	0.74041	0.024257	0.019638	0.021504	0.94787	0.015416	0.96822	0.03107	0.039588	0.031959	0.024859	0.93885	0.019266	0.93054	0.015303	0.019277	0.016235	0.046166	0.02521	0.022484	0.018927
Meth__cg10089145__ST14	0.052903	0.040949	0.04377	0.048485	0.02362	0.98145	0.04834	0.054344	0.030126	0.039968	0.55556	0.040448	0.072952	0.031604	0.029579	0.06011	0.069911	0.35233	0.031325	0.045831	0.060033	0.72278	0.042011	0.92687	0.043287	0.050962	0.057475	0.053735	0.085894	0.044167	0.13771	0.028741	0.027478	0.02614	0.060724	0.036482	0.036525	0.035284
