Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	UACC812	ZR751	ZR75B
Response	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	1	1	1
Meth__cg20444256__CKM	0.22579	0.066365	0.69877	0.239	0.32458	0.47305	0.42902	0.88786	0.59083	0.11714	0.62306	0.74148	0.4648	0.046079	0.3283	0.50775	0.39171	0.091906	0.022029	0.38058	0.38725	0.8739	0.61916	0.75205	0.21918	0.18671	0.13038	0.44594	0.17526	0.32699	0.15681	0.2475	0.13165	0.033946	0.24499	0.20606	0.091372	0.10416	0.12821
Meth__cg05337441__APOB	0.063603	0.030815	0.30368	0.06024	0.08168	0.11445	0.062659	0.10999	0.033676	0.045242	0.36328	0.27217	0.32117	0.023443	0.043726	0.11891	0.3442	0.047721	0.033098	0.040326	0.041781	0.63009	0.15179	0.098845	0.11382	0.046236	0.055731	0.062464	0.11928	0.042761	0.045032	0.052087	0.035091	0.035148	0.1219	0.088126	0.042382	0.039527	0.043158
Meth__cg11879577__ARL6IP	0.091481	0.22247	0.17639	0.17902	0.13008	0.16823	0.46514	0.033371	0.053303	0.43612	0.049331	0.19038	0.30291	0.074795	0.067888	0.055335	0.062934	0.14489	0.15251	0.59804	0.39463	0.16813	0.10301	0.072186	0.060851	0.3248	0.1469	0.040693	0.2377	0.075379	0.12886	0.030389	0.061196	0.59513	0.14811	0.10155	0.37202	0.43772	0.48985
Meth__cg10999429__ACVRL1	0.037431	0.018575	0.21001	0.073447	0.043017	0.04854	0.063918	0.51682	0.3533	0.029854	0.45684	0.3295	0.091968	0.013603	0.22276	0.12391	0.10588	0.025773	0.014509	0.051903	0.06923	0.25087	0.048813	0.54293	0.095569	0.041179	0.032978	0.0901	0.063712	0.053308	0.026466	0.028967	0.13284	0.022723	0.050522	0.043972	0.023879	0.020012	0.023508
Meth__cg21660392__ABCA8	0.8877	0.073809	0.43995	0.14474	0.14626	0.5206	0.24638	0.86946	0.84653	0.047789	0.81434	0.60688	0.46896	0.081841	0.76419	0.80437	0.91522	0.22565	0.12478	0.091921	0.064857	0.81434	0.14374	0.52935	0.81926	0.20355	0.18108	0.47756	0.3256	0.10246	0.11125	0.47744	0.47555	0.32293	0.87593	0.12707	0.10566	0.49147	0.31285
Meth__cg06952310__CSPG3	0.32804	0.037371	0.19501	0.33379	0.22105	0.2787	0.12833	0.44652	0.087352	0.044265	0.5112	0.36931	0.45267	0.050826	0.086599	0.30482	0.3726	0.098044	0.072194	0.17768	0.076468	0.59345	0.21453	0.83429	0.22492	0.050766	0.10623	0.18373	0.1797	0.10672	0.1154	0.30733	0.2737	0.12508	0.14325	0.12238	0.086306	0.094635	0.076141
Meth__cg01124420__EDAR	0.026976	0.020655	0.17069	0.041342	0.060678	0.052899	0.27028	0.95085	0.090051	0.032888	0.17397	0.044727	0.41504	0.027805	0.0659	0.52541	0.025934	0.092154	0.021796	0.037408	0.034573	0.69804	0.45909	0.15452	0.06687	0.11133	0.047798	0.42482	0.061634	0.097687	0.049651	0.33316	0.036383	0.028086	0.4661	0.23182	0.029316	0.033753	0.054907
Meth__cg21602160__AOC3	0.11882	0.10507	0.52162	0.085511	0.34316	0.16892	0.47448	0.82081	0.37593	0.18767	0.29037	0.78503	0.27364	0.12308	0.25571	0.20615	0.44181	0.16472	0.073569	0.12156	0.14726	0.69782	0.55568	0.21367	0.32335	0.31855	0.11785	0.29036	0.24326	0.20761	0.10149	0.12325	0.28906	0.13469	0.58488	0.14666	0.14286	0.11211	0.092162
Meth__cg03109316__ZNF80	0.79014	0.032029	0.81772	0.3884	0.37761	0.63533	0.1157	0.94863	0.86852	0.33488	0.89647	0.8656	0.098093	0.047173	0.64841	0.74926	0.93805	0.078491	0.22611	0.16289	0.14337	0.91522	0.10745	0.93575	0.33508	0.057851	0.040985	0.40626	0.16853	0.046603	0.041155	0.31333	0.56294	0.04333	0.23592	0.036595	0.045468	0.2955	0.23653
Meth__cg02121427__LRRC15	0.17036	0.058151	0.62453	0.32408	0.072343	0.51388	0.59387	0.66406	0.093584	0.23917	0.29768	0.72387	0.25263	0.11307	0.074922	0.31442	0.65481	0.13715	0.040348	0.24688	0.50145	0.8732	0.67776	0.69201	0.24183	0.67445	0.068844	0.37656	0.10749	0.17496	0.064115	0.17112	0.068451	0.06156	0.3169	0.13669	0.53201	0.20882	0.16868
Meth__cg02992596__MGC27016	0.92418	0.10004	0.70822	0.28646	0.54188	0.62371	0.062958	0.9746	0.79594	0.5682	0.72987	0.53501	0.46932	0.097767	0.54155	0.32167	0.94944	0.12063	0.072472	0.1069	0.082572	0.31172	0.68305	0.89042	0.45202	0.24036	0.052738	0.34816	0.23194	0.65768	0.045455	0.94295	0.91627	0.090861	0.51927	0.040779	0.40398	0.31819	0.42164
Meth__cg10883352__	0.27522	0.01873	0.81738	0.39945	0.30637	0.62023	0.15716	0.92224	0.41979	0.024548	0.87016	0.50436	0.37806	0.01914	0.21406	0.56498	0.93204	0.028314	0.13371	0.098171	0.25553	0.16507	0.92868	0.87385	0.60691	0.13107	0.017389	0.19772	0.31916	0.027522	0.033218	0.10265	0.54748	0.072104	0.53607	0.055989	0.047878	0.075384	0.11702
