Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	-1
Meth__cg16512727__C12orf4	0.023632	0.018192	0.32097	0.25887	0.81219	0.23114	0.94846	0.094226	0.71862	0.088648	0.021432	0.44477	0.52418	0.57974	0.62282	0.39435	0.043291	0.19329	0.024943	0.079116	0.10459	0.47207	0.91227	0.65767	0.37187	0.15625	0.027068	0.31036	0.029424	0.65558	0.16254	0.87027	0.40798	0.5108	0.49136	0.3793	0.088803	0.47187	0.13083	0.092414	0.076109
Meth__cg07148914__GGTL3	0.046058	0.043745	0.37765	0.03374	0.053362	0.051011	0.06775	0.053189	0.049424	0.04464	0.046144	0.051187	0.13136	0.047701	0.073965	0.039604	0.053115	0.067396	0.047163	0.044006	0.048525	0.053459	0.053659	0.040643	0.41573	0.055075	0.10002	0.045249	0.085659	0.080316	0.061943	0.047433	0.30185	0.050387	0.10494	0.71886	0.19869	0.08702	0.047284	0.13418	0.041746
Meth__cg19844287__MOCS2	0.040971	0.053139	0.11938	0.037493	0.026809	0.036366	0.15246	0.02999	0.082857	0.041407	0.029595	0.032381	0.061471	0.040122	0.088969	0.036558	0.02728	0.064241	0.026467	0.027194	0.035115	0.3184	0.061924	0.11187	0.049616	0.065383	0.034788	0.020474	0.056881	0.14158	0.074476	0.032687	0.046396	0.028047	0.079148	0.048176	0.081263	0.041064	0.033587	0.057455	0.051624
Meth__cg01377911__NTF5	0.030929	0.043413	0.47731	0.03577	0.46834	0.047157	0.79996	0.046571	0.15948	0.21565	0.035697	0.069803	0.61319	0.59659	0.11934	0.044426	0.065635	0.058032	0.042027	0.026713	0.045121	0.046553	0.93739	0.032374	0.90096	0.42063	0.057157	0.14793	0.17766	0.10135	0.096653	0.041024	0.049776	0.039002	0.53821	0.35255	0.13231	0.039084	0.034333	0.18491	0.029455
Meth__cg03718026__RPS20	0.15455	0.059228	0.40387	0.060246	0.066725	0.057873	0.1447	0.12107	0.070577	0.050029	0.050728	0.052426	0.081873	0.40295	0.075426	0.058228	0.068153	0.086491	0.046159	0.059801	0.060067	0.15066	0.066803	0.1343	0.16547	0.11353	0.1003	0.077174	0.13282	0.10985	0.12972	0.11956	0.059084	0.097575	0.069189	0.061941	0.069268	0.16349	0.074236	0.15709	0.071722
Meth__cg10662787__LGTN	0.020649	0.01751	0.33387	0.020456	0.76597	0.029886	0.064744	0.018191	0.056888	0.025099	0.021579	0.028774	0.069191	0.014984	0.04731	0.032796	0.017621	0.02794	0.020131	0.015775	0.023455	0.029264	0.026002	0.027152	0.05993	0.025171	0.031842	0.028451	0.034682	0.033826	0.025721	0.021215	0.028285	0.024066	0.15867	0.029298	0.095183	0.02241	0.024299	0.04729	0.020591
U133A__SHMT2	6.8623	6.8222	7.071	7.0055	7.6469	6.4895	7.3888	7.1328	7.2544	6.7988	6.8016	6.9625	7.2352	7.8769	7.1546	6.8061	6.8646	7.8655	7.2257	6.7149	7.2691	6.8747	7.2939	6.993	8.2976	7.3437	7.2153	7.3381	7.1317	7.7508	7.177	6.9664	7.6724	8.1897	10.3165	8.1213	7.8199	7.3251	6.8354	6.8955	7.5223
U133A__DUSP6	9.086	4.5862	7.2517	5.9772	4.8545	3.8179	5.6815	3.2318	4.2026	3.781	5.2299	4.5799	7.6182	6.5014	4.4033	4.5763	3.9989	3.4463	6.0844	3.8725	4.1192	7.7835	5.8583	8.4975	9.3144	6.7839	6.3629	4.0255	7.4639	5.6503	3.4721	4.239	6.1233	5.2699	7.8927	10.1408	5.8571	6.0751	3.7037	9.4158	3.6122
Meth__cg23970089__ATP5I	0.034402	0.031159	0.067217	0.036006	0.062311	0.040224	0.033084	0.046048	0.081541	0.039045	0.04128	0.047944	0.062962	0.06167	0.077819	0.036382	0.047075	0.060668	0.51674	0.029172	0.041004	0.055261	0.21013	0.17857	0.40636	0.055858	0.055783	0.028534	0.070662	0.49537	0.061447	0.028785	0.036755	0.061434	0.077779	0.032329	0.051549	0.045303	0.032055	0.31647	0.032446
Meth__cg06361108__CCNF	0.016989	0.027492	0.37312	0.015189	0.78547	0.031166	0.03664	0.017307	0.79348	0.020481	0.022803	0.019778	0.25444	0.041554	0.66431	0.020702	0.016504	0.016747	0.016721	0.010187	0.013677	0.020784	0.54934	0.10273	0.018655	0.02877	0.029229	0.041257	0.028562	0.95511	0.090146	0.013566	0.011676	0.024903	0.012193	0.05844	0.020478	0.019107	0.014321	0.031363	0.015403
Meth__cg21935083__RAD50	0.095773	0.13287	0.47921	0.25744	0.322	0.091299	0.21888	0.31104	0.57495	0.22373	0.097786	0.37391	0.72344	0.27439	0.63493	0.10387	0.093076	0.17711	0.095626	0.22002	0.23928	0.2171	0.53653	0.10235	0.59348	0.22388	0.083751	0.098793	0.19164	0.43046	0.16622	0.040612	0.067621	0.30345	0.85178	0.25875	0.44068	0.62966	0.12169	0.39443	0.11833
Meth__cg26209676__ZNF581	0.082606	0.11409	0.093956	0.082052	0.91326	0.10803	0.87157	0.056556	0.87369	0.096131	0.091323	0.62749	0.42869	0.64868	0.69213	0.63367	0.081338	0.10017	0.60047	0.14368	0.094891	0.083464	0.92315	0.3474	0.14765	0.40674	0.098217	0.16712	0.12758	0.91247	0.14933	0.36665	0.094457	0.14399	0.20585	0.21662	0.54588	0.10869	0.078604	0.22586	0.066219
Meth__cg21516287__LRRC61	0.045576	0.042584	0.07217	0.022794	0.88647	0.026196	0.82164	0.024344	0.041547	0.052231	0.023991	0.054569	0.20628	0.028482	0.056865	0.21338	0.027348	0.051925	0.026885	0.028019	0.029926	0.038135	0.92029	0.034743	0.15123	0.10835	0.066863	0.53994	0.075771	0.03631	0.14334	0.069608	0.061809	0.21087	0.66971	0.056268	0.086938	0.063521	0.04879	0.1097	0.044863
Meth__cg09072120__PRTFDC1	0.030489	0.099081	0.24235	0.027423	0.43821	0.035777	0.98085	0.023486	0.025395	0.023401	0.015631	0.018981	0.47434	0.52713	0.026712	0.9682	0.017625	0.041123	0.024168	0.018265	0.025169	0.42215	0.4064	0.20293	0.045657	0.024964	0.035156	0.18747	0.61808	0.064801	0.19393	0.017412	0.47793	0.57239	0.11628	0.93793	0.030284	0.68579	0.28524	0.90227	0.093138
Meth__cg06708560__DNAJC7	0.071429	0.031559	0.21774	0.064516	0.63649	0.069133	0.6373	0.11491	0.14366	0.1883	0.10061	0.19576	0.49725	0.071889	0.12016	0.057344	0.070882	0.13435	0.070583	0.048626	0.092735	0.07196	0.098871	0.10195	0.732	0.54917	0.15994	0.092829	0.24923	0.77286	0.058684	0.088798	0.48798	0.14534	0.17766	0.082068	0.26523	0.095	0.12352	0.13746	0.06704
Meth__cg24881834__ME1	0.083263	0.071448	0.14225	0.058354	0.34211	0.9518	0.038994	0.058323	0.12932	0.056617	0.27773	0.070091	0.096239	0.17614	0.10463	0.06974	0.052026	0.082832	0.052402	0.043473	0.077971	0.3829	0.085865	0.20927	0.090895	0.8503	0.056051	0.081208	0.9032	0.19044	0.090175	0.051092	0.20383	0.06474	0.96194	0.060022	0.87993	0.074803	0.052394	0.087174	0.047924
Meth__cg18349835__VIPR2	0.016201	0.15174	0.50974	0.44884	0.96854	0.97669	0.33905	0.94933	0.87355	0.05519	0.65087	0.97809	0.91135	0.96169	0.86328	0.011903	0.013747	0.063947	0.14385	0.12641	0.017545	0.96472	0.018046	0.98575	0.93427	0.93607	0.044002	0.0087633	0.9163	0.96936	0.41725	0.97496	0.14561	0.67852	0.62032	0.95758	0.94259	0.025158	0.018156	0.92593	0.018384
