Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1
SNP__C20orf133	0.013	0.478	-2.773	-3.412	0.535	-2.106	0.09	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	0.109	-0.267	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__LOC643827	-0.26	-0.178	-0.209	-0.352	-0.211	-0.099	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__ZNF462	0.003	-0.163	0.174	0.13	0.149	0.209	0.064	0.184	0.133	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.15	0.207	-4.605	-0.633	0.047	-0.211	0.161	0.02	0.188	-0.349	0.028	-0.176	0.297	-0.296	-0.055	0.024
SNP__UGT2B28	-2.183	-0.141	-0.225	-0.182	-0.133	-0.446	0.075	-0.317	-0.225	-0.258	-0.358	-2.842	-0.056	-2.173	-1.756	-0.167	-0.088	-0.067	-0.127	-0.254	-0.291	-0.072	-0.197	-0.166	-0.759	-0.057	-0.051	-0.232	0.456	0.232	-0.171	1.059	-0.063	-0.859	-0.19	-0.316	-0.326	-0.039	0.036
SNP__LOC646663	0.003	-0.119	-2.47	0.093	-3.962	0.219	0.1	0.152	0.408	-0.301	0.1	-2.377	-0.364	0.28	0.594	-2.083	0.593	-0.392	0.016	0.095	-2.244	-0.019	-0.177	0.619	0.189	0.666	-0.021	0.042	-0.159	-0.223	0.002	-1.959	-2.285	0.55	0.802	-0.286	0.078	0.066	0.001
SNP__TRBV6-2	0.0098	0.453	0.186	0.355	0.322	-0.135	-0.257	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	0.122	0.343	0.191	-0.0298	0.459	0.526	-0.864	0.0144	-0.0908	-0.273	-0.282	0.0294	-0.2956	-0.317	-0.042	0.028
SNP__RNF152	0.013	-0.2	-0.881	0.086	-0.162	-2.938	-0.178	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-0.73	-0.548	-0.031	-0.216	0.137	-0.198	-0.015	-0.16	-3.815	-0.028	-0.793	-0.615	-0.284	0.239	0.234
SNP__HLA-DRB5	-0.372	-0.275	-0.505	1.173	-0.434	-1.003	-0.07	0.144	0.266	-0.275	0.042	0.994	0.89	-1.493	1.236	0.357	-0.486	-0.785	1.626	0.025	1.158	1.099	0.857	0.848	-1.807	0.066	-0.056	-0.222	1.776	1.042	0.017	-0.896	0.284	-0.019	1.208	0.011	0.062	-0.222	-0.379
SNP__IGHV3-9	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__IGHV2-10	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__NAALADL2	0.008	-3.295	0.245	0.18	-0.944	-1.94	0.062	0.02	-0.23	0.113	0.076	0.496	0.212	0.196	0.59	0.063	-0.123	0.453	0.269	0.409	0.28	0.688	0.56	-1.384	-0.006	0.455	0.315	-0.573	0.167	-0.153	0.005	-0.156	0.21	-0.704	0.469	0.722	0.061	-0.034	0.008
SNP__ADCY8	0.03	-0.538	0.187	0.462	0.746	0.56	0.675	0.657	0.154	-4.101	-0.212	0.924	0.583	0.726	0.809	1.565	-3.152	0.981	0.755	0.486	0.681	0.212	0.457	0.595	0.433	0.26	0.397	-0.599	0.633	0.206	0.038	0.142	0.75	-0.4	0.69	0.319	-2.892	0.234	0.326
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	-2.13	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__ODF4	-0.021	-0.166	0.165	-0.156	-0.362	0.458	-0.517	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	-0.212	-0.317	-0.61	-0.217	-0.182	0.164	-0.556	-0.156	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__FSTL5	-0.003	-0.202	0.738	-0.174	-3.627	-0.378	0.066	-0.441	-0.227	-0.329	-3.392	-0.466	-0.032	-0.143	0.124	-0.241	-0.09	-1.066	-0.023	-0.254	-0.291	0.035	-0.206	-0.168	0.116	0.17	-0.052	-0.234	-0.225	0.382	-0.171	-0.17	-0.079	-0.008	-3.276	-0.307	-0.314	-0.04	0.033
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC147158	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__SLC25A37	0.027	-0.532	-0.856	-0.332	-0.456	0.511	-0.54	-0.425	0.152	-0.295	0.09	-0.453	-0.37	-3.962	-3.239	-0.59	-0.036	-4.159	-0.445	-1.129	0.047	-0.433	-0.537	-3.29	-0.823	-0.414	-0.414	-0.552	-5.047	-0.129	0.026	-0.156	-0.957	-0.331	-0.746	-3.624	-0.274	-0.066	0.011
SNP__ERBB2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC201288	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__TCAP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__C17orf37	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.097	-0.173	-0.161	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	-0.096	0.009	0.031	0.03	-3.42	-0.806	-0.066	-0.373
SNP__LOC220594	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__LOC442117	0.015	-0.202	-0.243	-0.174	-1.788	-0.878	0.066	-0.432	-0.227	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-0.09	-1.049	-0.029	-0.254	-0.291	0.035	-0.206	1.777	0.116	0.17	-0.052	-0.234	-1.502	-2.091	-0.171	-0.178	-1.975	-0.008	-1.681	-0.307	-0.324	-0.04	0.033
SNP__NEUROD2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PNMT	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ADAM32	0.027	-0.542	-0.174	-0.204	1.083	0.534	0.98	-0.335	0.152	-0.295	0.052	0.27	0.859	-0.137	-0.54	-0.59	-0.036	-0.376	0.243	-1.129	0.042	-0.433	-0.696	0.258	0.134	-0.446	0.072	-0.599	-0.199	-0.194	0.026	0.061	0.725	-0.349	1.672	0.319	0.595	-0.507	-0.445
SNP__FAM106A	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__GRB7	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	-0.147	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__NCOA7	0.006	0.125	-0.209	0.029	-0.569	-0.095	-0.558	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	0.144	0.249	0.294	0.044	0.161	-0.195	0.027	-0.227	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__POU6F2	0.01	0.649	0.2	0.468	0.372	-2.998	0.082	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.17	0.191	-0.085	0.578	0.431	-0.201	-0.027	0.546	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
