Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	-1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	1
Meth__cg04740359__NTF3	0.67843	0.38991	0.86342	0.8808	0.76061	0.11359	0.61325	0.82815	0.040925	0.12563	0.82837	0.88698	0.19111	0.043341	0.47189	0.36413	0.068614	0.034691	0.5113	0.55215	0.14016	0.068418	0.7022	0.18697	0.75567	0.1547	0.1662	0.34877	0.059185	0.070391	0.30848	0.27146	0.12815	0.2039	0.19684	0.31254
Meth__cg04589904__ADRB1	0.047455	0.93216	0.14931	0.068982	0.49876	0.35488	0.43703	0.043949	0.77546	0.43806	0.059447	0.060245	0.67706	0.6764	0.9377	0.69009	0.22478	0.069116	0.57448	0.54736	0.62066	0.41958	0.065403	0.11979	0.055497	0.065796	0.9044	0.075616	0.88029	0.11783	0.11626	0.85841	0.080198	0.0695	0.17425	0.64277
Meth__cg10074409__IRF6	0.033129	0.03282	0.047097	0.059639	0.029252	0.89611	0.0504	0.030858	0.053053	0.078396	0.031666	0.04589	0.087006	0.058245	0.051672	0.26974	0.073176	0.48595	0.05087	0.096257	0.056954	0.43785	0.030935	0.87168	0.046636	0.092273	0.07026	0.047795	0.036539	0.048029	0.046621	0.043674	0.039957	0.052577	0.0451	0.044557
Meth__cg11245384__PDYN	0.86312	0.066053	0.90805	0.89532	0.88465	0.094195	0.26345	0.76342	0.073097	0.066185	0.77291	0.90333	0.85056	0.060988	0.46021	0.80444	0.054863	0.030367	0.63045	0.72225	0.7801	0.31964	0.90877	0.062818	0.65494	0.044724	0.65352	0.49019	0.052625	0.23523	0.15212	0.4575	0.11088	0.77727	0.40554	0.67478
Meth__cg02537838__C20orf151	0.054806	0.058138	0.07519	0.053443	0.051723	0.84168	0.063223	0.043171	0.046606	0.071374	0.05415	0.058861	0.079328	0.060522	0.074077	0.87468	0.088135	0.3752	0.0485	0.058087	0.058253	0.85475	0.056401	0.74088	0.065833	0.090438	0.11716	0.84203	0.067186	0.48956	0.056453	0.071691	0.044814	0.068524	0.053769	0.055417
Meth__cg18236079__HS3ST3A1	0.94843	0.073629	0.93516	0.90971	0.82601	0.84876	0.19731	0.96818	0.90567	0.08753	0.95732	0.4757	0.84987	0.88027	0.61015	0.059594	0.073691	0.031005	0.054587	0.37981	0.16461	0.033795	0.91083	0.74306	0.061645	0.077132	0.52272	0.61643	0.055402	0.047339	0.065678	0.30225	0.6918	0.070319	0.68931	0.93073
Meth__cg01438829__TMEM97	0.04727	0.052098	0.044444	0.039409	0.032446	0.04136	0.049993	0.025034	0.044474	0.05343	0.040757	0.031876	0.063936	0.048323	0.046412	0.038441	0.067579	0.03929	0.041543	0.040099	0.047138	0.051475	0.041876	0.06512	0.35487	0.08663	0.11708	0.079501	0.043068	0.15674	0.047833	0.034686	0.036808	0.047175	0.045212	0.044973
Meth__cg12376406__FAM12B	0.24613	0.24563	0.63569	0.22391	0.051872	0.032421	0.086803	0.92419	0.31644	0.065627	0.41231	0.7754	0.45369	0.21569	0.14298	0.075259	0.68987	0.0317	0.15275	0.0472	0.057054	0.066761	0.34233	0.046628	0.063189	0.066928	0.070482	0.046184	0.071768	0.065265	0.22601	0.077638	0.1577	0.0877	0.097845	0.10616
Meth__cg26228569__CRSP8	0.062223	0.066248	0.072312	0.059065	0.052375	0.059493	0.46511	0.062836	0.068048	0.075424	0.068792	0.0425	0.11092	0.069813	0.081354	0.060074	0.091204	0.069652	0.057574	0.061714	0.063348	0.079057	0.053575	0.16616	0.062709	0.14981	0.14518	0.070236	0.068191	0.079937	0.05736	0.062592	0.057268	0.069687	0.069693	0.060329
Meth__cg20244073__MID1	0.048176	0.036857	0.042105	0.039321	0.040884	0.87075	0.066826	0.11397	0.87762	0.068375	0.15293	0.023893	0.61336	0.59298	0.041457	0.04714	0.11693	0.47342	0.072487	0.080313	0.61396	0.48856	0.033963	0.68402	0.080978	0.16366	0.42207	0.54725	0.069043	0.25868	0.043231	0.50482	0.056861	0.040923	0.045118	0.15208
Meth__cg26036443__EHD2	0.056504	0.04708	0.92188	0.90683	0.82286	0.045626	0.052403	0.1139	0.068352	0.18485	0.90394	0.30208	0.10675	0.059523	0.068838	0.048639	0.28776	0.046894	0.045916	0.14278	0.17826	0.07628	0.48062	0.14294	0.69298	0.13265	0.087145	0.051464	0.036489	0.056873	0.094591	0.17823	0.11551	0.11252	0.060969	0.071972
