Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1
Meth__cg13108181__ZNF141	0.051678	0.053439	0.89352	0.048262	0.041263	0.39602	0.077348	0.032129	0.35541	0.046455	0.055505	0.062197	0.13101	0.31998	0.70261	0.039737	0.078796	0.20075	0.041585	0.053333	0.04636	0.049438	0.040002	0.83892	0.051423	0.084011	0.24775	0.096655	0.047897	0.044531	0.24356	0.038695	0.048909	0.043702	0.069783	0.051819	0.049959	0.15201
Meth__cg18011401__CACNA1A	0.41824	0.12281	0.66107	0.22775	0.14641	0.59581	0.2772	0.75298	0.11086	0.14315	0.41369	0.26497	0.2155	0.14789	0.19966	0.17938	0.15257	0.24529	0.19523	0.5527	0.14151	0.084356	0.54354	0.33096	0.10239	0.17612	0.40921	0.26265	0.074167	0.073152	0.078882	0.077844	0.10889	0.28901	0.11699	0.55277	0.12221	0.092852
Meth__cg05554936__RAB3D	0.038528	0.032276	0.046402	0.025054	0.035127	0.02854	0.032956	0.031311	0.39183	0.026167	0.029017	0.042891	0.037262	0.36878	0.026482	0.020265	0.081776	0.034183	0.025377	0.030853	0.024787	0.020681	0.020997	0.068499	0.03964	0.089038	0.071992	0.049226	0.022665	0.019842	0.026846	0.029972	0.035073	0.024357	0.13	0.039577	0.031867	0.033777
Meth__cg14914982__CCND2	0.061675	0.048132	0.18945	0.061075	0.062889	0.8785	0.74505	0.67041	0.13394	0.051903	0.88671	0.3739	0.13623	0.11469	0.047951	0.050301	0.128	0.13959	0.086464	0.57455	0.073621	0.061849	0.46169	0.49694	0.053263	0.080646	0.83961	0.077427	0.040456	0.061111	0.04211	0.040427	0.039356	0.11545	0.16857	0.064025	0.21992	0.065005
Meth__cg23384185__TYMS	0.1446	0.20581	0.16835	0.10198	0.16023	0.64166	0.14311	0.055498	0.10121	0.14253	0.11329	0.25	0.23941	0.11359	0.13616	0.070444	0.11685	0.18236	0.07675	0.1412	0.14215	0.098074	0.32939	0.22304	0.11829	0.19596	0.2741	0.23606	0.06863	0.073382	0.54407	0.096857	0.097561	0.10138	0.26346	0.094823	0.092895	0.10445
Meth__cg13904493__KIAA1804	0.058368	0.69971	0.48836	0.042654	0.022743	0.87169	0.51027	0.052498	0.14128	0.025826	0.037101	0.032109	0.10078	0.12203	0.036513	0.039698	0.086127	0.21545	0.023189	0.077759	0.022398	0.044023	0.028936	0.062798	0.051872	0.043238	0.95947	0.1937	0.032372	0.028761	0.022385	0.033118	0.023384	0.01406	0.036391	0.030255	0.029929	0.027564
Meth__cg03856450__SFXN5	0.031828	0.038538	0.6236	0.040788	0.029185	0.028568	0.039699	0.03162	0.03149	0.027524	0.046099	0.041928	0.042895	0.028015	0.033517	0.023304	0.035936	0.027051	0.031162	0.031513	0.030032	0.035897	0.034716	0.04044	0.031673	0.056048	0.042243	0.054766	0.0236	0.021449	0.028492	0.022033	0.033502	0.023096	0.12618	0.037555	0.031115	0.030906
Meth__cg15920202__FLJ13910	0.0275	0.027766	0.031459	0.030806	0.028465	0.027559	0.078645	0.034098	0.27653	0.030138	0.62891	0.024955	0.026604	0.19962	0.028955	0.02648	0.047244	0.028905	0.020804	0.025018	0.019504	0.021098	0.026594	0.048846	0.023841	0.041906	0.052743	0.041043	0.026265	0.019897	0.0283	0.01961	0.032148	0.016393	0.083368	0.66744	0.030916	0.03114
Meth__cg19839588__TRERF1	0.050921	0.79385	0.096716	0.061124	0.052029	0.050093	0.059396	0.041904	0.5855	0.055714	0.27534	0.81733	0.49626	0.50408	0.53876	0.04252	0.062485	0.049863	0.041433	0.054123	0.052865	0.055484	0.043087	0.080025	0.064037	0.11232	0.18519	0.66044	0.043879	0.057037	0.050249	0.043519	0.45275	0.044185	0.064127	0.057414	0.044897	0.057634
Meth__cg21339926__CLMN	0.046792	0.046932	0.051454	0.035556	0.05157	0.27009	0.056887	0.029867	0.056776	0.041237	0.040146	0.086786	0.054596	0.066044	0.050022	0.029554	0.066385	0.092835	0.016185	0.053671	0.038589	0.050649	0.040054	0.20465	0.035268	0.07629	0.22515	0.070833	0.032377	0.039358	0.039511	0.13955	0.028925	0.043609	0.097215	0.040603	0.03423	0.032428
Meth__cg10994858__MINPP1	0.077718	0.08607	0.14119	0.065555	0.074067	0.050273	0.078571	0.043322	0.060639	0.080124	0.10515	0.48039	0.092807	0.11063	0.53488	0.054613	0.11666	0.07801	0.0738	0.067756	0.085871	0.061671	0.059251	0.084259	0.063475	0.082677	0.11279	0.096238	0.077532	0.039048	0.066378	0.054018	0.076071	0.069295	0.67205	0.088566	0.057195	0.042825
Meth__cg14833385__HLA-DMA	0.055157	0.032845	0.081138	0.75122	0.44865	0.74249	0.091769	0.54357	0.089969	0.13254	0.23746	0.17671	0.095985	0.086136	0.50161	0.76054	0.20608	0.14073	0.060226	0.07306	0.41362	0.18531	0.048464	0.38829	0.16749	0.099474	0.072768	0.10644	0.43999	0.3504	0.12477	0.22328	0.032711	0.15158	0.087402	0.052176	0.061522	0.10205
Meth__cg25141674__C6orf155	0.048754	0.035853	0.060094	0.047706	0.039384	0.78106	0.071497	0.030592	0.87291	0.046451	0.84488	0.048046	0.89234	0.79798	0.0379	0.030918	0.070004	0.025031	0.039287	0.045785	0.043289	0.047883	0.034276	0.089324	0.036941	0.055446	0.082689	0.088574	0.042209	0.040857	0.031867	0.032178	0.028141	0.042056	0.10942	0.93142	0.060974	0.043501
Meth__cg04613080__CNGA2	0.20487	0.17886	0.67015	0.66553	0.31069	0.036866	0.7406	0.095196	0.046271	0.064355	0.25565	0.31176	0.66937	0.11452	0.10808	0.049558	0.11153	0.12957	0.080781	0.081519	0.073769	0.043565	0.62961	0.13107	0.11193	0.087894	0.62233	0.14166	0.073978	0.045331	0.064363	0.25006	0.06333	0.064976	0.35079	0.5678	0.32198	0.41522
Meth__cg07747970__LHX1	0.7622	0.029976	0.05113	0.29113	0.1294	0.79441	0.041637	0.72619	0.12003	0.037158	0.18214	0.062564	0.042196	0.11249	0.45971	0.044269	0.066502	0.52237	0.024847	0.043308	0.03585	0.035507	0.26484	0.69174	0.035447	0.30372	0.059364	0.096926	0.039181	0.024415	0.033663	0.024681	0.031624	0.035024	0.38939	0.63505	0.25127	0.28957
Meth__cg17217654__C3orf60	0.048377	0.16697	0.046355	0.069767	0.069107	0.32875	0.075083	0.081292	0.06492	0.070523	0.075888	0.409	0.25588	0.087939	0.31132	0.050896	0.068073	0.059059	0.047513	0.051087	0.051592	0.70583	0.093964	0.1256	0.043948	0.10365	0.10886	0.24826	0.036048	0.037656	0.060681	0.032477	0.053764	0.041907	0.079978	0.08178	0.039067	0.041614
Meth__cg13237829__GPSN2	0.088638	0.048743	0.072146	0.045631	0.063424	0.088624	0.0899	0.038161	0.050823	0.075024	0.082367	0.18435	0.1162	0.042467	0.056227	0.048777	0.080949	0.067352	0.070874	0.047541	0.055213	0.079168	0.053779	0.12741	0.066355	0.058298	0.14953	0.077666	0.04251	0.038393	0.045961	0.051112	0.06469	0.057247	0.076581	0.093579	0.076425	0.07611
Meth__cg01431114__PDE10A	0.6264	0.16348	0.94269	0.11535	0.056697	0.82143	0.91408	0.097706	0.11363	0.071654	0.52159	0.35937	0.57443	0.12025	0.069374	0.11161	0.1275	0.041779	0.66811	0.30439	0.34899	0.064733	0.66046	0.22385	0.076621	0.16143	0.26349	0.12418	0.058424	0.054895	0.14488	0.063699	0.067903	0.1933	0.89584	0.080505	0.36874	0.061817
Meth__cg14402472__HLA-F	0.033416	0.038808	0.040966	0.14956	0.028918	0.98311	0.15544	0.025024	0.021101	0.039491	0.046372	0.062888	0.82689	0.15007	0.032914	0.019557	0.019246	0.14945	0.03962	0.028241	0.022796	0.033678	0.025893	0.71047	0.032213	0.050523	0.037004	0.10361	0.018545	0.015148	0.020221	0.022277	0.019638	0.04897	0.067256	0.036921	0.041582	0.039387
Meth__cg12089439__TUSC3	0.47398	0.0615	0.11111	0.52169	0.10737	0.67952	0.82869	0.097954	0.098965	0.10622	0.094273	0.12527	0.54944	0.18502	0.094626	0.045613	0.16307	0.25213	0.062067	0.099923	0.10429	0.084411	0.055701	0.17888	0.13515	0.14667	0.15793	0.11624	0.072272	0.074596	0.080804	0.072815	0.12591	0.081909	0.12935	0.085405	0.20887	0.07371
Meth__cg26790132__IL17D	0.45392	0.47953	0.96201	0.042607	0.19386	0.24943	0.61351	0.038542	0.024814	0.08369	0.043991	0.086677	0.88839	0.066362	0.26087	0.040109	0.10427	0.39816	0.034533	0.045416	0.8864	0.044748	0.087399	0.21723	0.039799	0.01854	0.53595	0.18939	0.057759	0.033716	0.067452	0.2547	0.095063	0.53719	0.14573	0.068152	0.10129	0.031467
Meth__cg22660578__LHX1	0.95996	0.051029	0.052627	0.65868	0.28537	0.97636	0.34176	0.98807	0.050959	0.03617	0.56798	0.02761	0.063952	0.061176	0.6488	0.33429	0.23712	0.6901	0.025532	0.037773	0.048143	0.036638	0.61303	0.95046	0.041821	0.15282	0.068997	0.57272	0.038632	0.026915	0.036482	0.028729	0.043151	0.024029	0.70476	0.97779	0.61195	0.62548
Meth__cg19211800__MARCKS	0.92169	0.023108	0.033746	0.021273	0.044901	0.023662	0.045857	0.021137	0.020396	0.025504	0.028182	0.027813	0.44786	0.63037	0.018898	0.017266	0.039578	0.019155	0.20304	0.027301	0.021085	0.026539	0.038407	0.035891	0.02432	0.049434	0.44434	0.031803	0.022824	0.025836	0.027132	0.016393	0.023342	0.018488	0.91662	0.41844	0.030478	0.027164
Meth__cg15127324__CENTD1	0.049909	0.055794	0.0875	0.076859	0.18966	0.48188	0.068878	0.058833	0.043395	0.41301	0.16152	0.13384	0.084903	0.051956	0.076421	0.078881	0.12532	0.058211	0.27107	0.091286	0.22617	0.40758	0.083503	0.11128	0.060659	0.11382	0.088028	0.098717	0.05965	0.46126	0.17082	0.27287	0.047535	0.65527	0.078149	0.052108	0.15204	0.17453
Meth__cg14249872__KCNK1	0.077006	0.082334	0.085521	0.063079	0.034433	0.65547	0.085429	0.068281	0.15939	0.044305	0.20482	0.057672	0.06734	0.23141	0.047003	0.076995	0.10383	0.15923	0.043577	0.064556	0.041596	0.069497	0.044054	0.533	0.060298	0.065032	0.10811	0.079512	0.035237	0.045018	0.054655	0.032169	0.034805	0.025575	0.77895	0.036654	0.043529	0.045151
Meth__cg08528984__PRDM16	0.97909	0.028032	0.52851	0.06355	0.063284	0.98506	0.97389	0.98457	0.40929	0.078194	0.98512	0.99051	0.41609	0.45936	0.015973	0.021422	0.074211	0.50682	0.94892	0.98248	0.42383	0.080675	0.14888	0.97715	0.082156	0.033297	0.94272	0.32738	0.018602	0.067716	0.11462	0.020956	0.025113	0.91093	0.1794	0.98431	0.2303	0.050433
Meth__cg09229912__CUTL2	0.10178	0.098685	0.14217	0.044544	0.043343	0.6415	0.17344	0.68799	0.14876	0.034185	0.93696	0.13401	0.50306	0.098424	0.030704	0.053584	0.10582	0.051149	0.089497	0.067595	0.062448	0.075497	0.61863	0.89736	0.059366	0.049041	0.53127	0.12252	0.030048	0.037767	0.031364	0.02574	0.024077	0.08659	0.11021	0.044512	0.032067	0.045529
