Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1
Meth__cg16741710__TP73	0.082847	0.50395	0.9461	0.81316	0.033461	0.92355	0.72836	0.062602	0.065449	0.053739	0.083933	0.056929	0.91119	0.5217	0.081392	0.68498	0.31028	0.1451	0.16924	0.93032	0.4616	0.88216	0.60706	0.054836	0.070349	0.090336	0.4254	0.38276	0.85353	0.096669	0.50947	0.5363	0.063014	0.055561	0.47588	0.081294
Meth__cg02128567__KCNK5	0.027432	0.034767	0.56616	0.091834	0.031232	0.98454	0.048709	0.044876	0.033172	0.023146	0.045549	0.029614	0.46257	0.069087	0.035436	0.032087	0.03236	0.076503	0.31617	0.12233	0.088607	0.14299	0.55417	0.63545	0.065166	0.95948	0.049509	0.051398	0.043662	0.89039	0.52514	0.64122	0.11654	0.03463	0.072119	0.041909
Meth__cg19478743__CXCL16	0.057203	0.91745	0.12601	0.075086	0.041705	0.56923	0.070862	0.05286	0.037386	0.042442	0.08427	0.065224	0.11272	0.043426	0.033969	0.94058	0.076221	0.10403	0.12385	0.085743	0.075012	0.11488	0.7835	0.056325	0.35687	0.15292	0.49551	0.060698	0.043761	0.06916	0.045117	0.50073	0.055945	0.047076	0.047644	0.082939
EA_G__GAB2	6.5488	5.6516	5.0685	5.7538	7.2887	5.0992	5.4774	7.1803	9.1254	6.3058	5.4088	7.2939	6.6694	6.0487	6.5785	6.3099	5.6834	5.2341	5.3595	6.1036	7.2553	4.9912	6.1639	6.0832	6.4576	5.9063	6.2963	6.8582	6.0527	5.5268	6.534	6.4724	6.8633	7.2001	5.135	5.4669
Meth__cg24081819__EPHX2	0.035518	0.055295	0.14586	0.66126	0.033947	0.5966	0.051515	0.064869	0.033901	0.035306	0.048933	0.047792	0.52956	0.91674	0.044892	0.043315	0.046901	0.11677	0.43565	0.032483	0.053987	0.30049	0.80517	0.41613	0.073867	0.11168	0.054207	0.03685	0.55062	0.052028	0.044513	0.045465	0.062568	0.04303	0.89636	0.88649
Meth__cg08700651__IL28RA	0.14158	0.85916	0.60087	0.41057	0.080806	0.87757	0.65784	0.14156	0.063688	0.095179	0.073829	0.28835	0.86666	0.31855	0.078799	0.086583	0.49599	0.37763	0.40924	0.63533	0.59873	0.81063	0.55716	0.27176	0.4001	0.18042	0.17372	0.62852	0.37593	0.11959	0.61514	0.92037	0.06393	0.14553	0.13935	0.19756
Meth__cg06822229__ACSL4	0.54625	0.049987	0.068283	0.13296	0.25989	0.054279	0.080743	0.56196	0.61257	0.64085	0.23476	0.14092	0.19426	0.083409	0.54412	0.60474	0.51824	0.15666	0.076467	0.060636	0.054067	0.23329	0.10495	0.079209	0.47311	0.32981	0.13253	0.55184	0.064906	0.56783	0.084959	0.28821	0.1044	0.63381	0.45848	0.092167
Meth__cg11065385__B4GALNT3	0.021913	0.042264	0.90718	0.086399	0.033125	0.95205	0.028177	0.045366	0.024061	0.023575	0.030575	0.061224	0.18053	0.049509	0.029743	0.074944	0.078844	0.043921	0.35204	0.041028	0.054018	0.039235	0.84555	0.047002	0.037733	0.083704	0.066879	0.03715	0.17562	0.28008	0.017907	0.27106	0.050144	0.039707	0.039722	0.28333
Meth__cg09896445__GPC5	0.052953	0.07502	0.87469	0.062014	0.042911	0.66027	0.59354	0.050423	0.04713	0.089186	0.11321	0.072314	0.71434	0.87473	0.050337	0.074205	0.083188	0.10063	0.2443	0.09706	0.079939	0.053313	0.11976	0.09701	0.15093	0.80108	0.1385	0.055796	0.077021	0.1006	0.076718	0.12872	0.12806	0.034884	0.07458	0.059226
Meth__cg24512400__KLK10	0.12412	0.15566	0.98099	0.56749	0.26357	0.54754	0.57702	0.037593	0.034174	0.06507	0.16319	0.022388	0.97008	0.36218	0.030087	0.62769	0.058556	0.15507	0.027523	0.96806	0.97699	0.64329	0.77849	0.64248	0.44048	0.95386	0.26524	0.067053	0.034884	0.3297	0.15932	0.97729	0.10903	0.33164	0.32557	0.06638
