Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	-1
Meth__cg15457899__SCN3B	0.98204	0.42207	0.50346	0.73666	0.04861	0.98232	0.98289	0.20757	0.083613	0.98334	0.98504	0.4217	0.49952	0.30947	0.092995	0.49166	0.095358	0.94886	0.98745	0.97247	0.72372	0.97875	0.98083	0.86117	0.977	0.16063	0.97971	0.06625	0.063077	0.0224	0.0247	0.14199	0.94306	0.044822	0.54705	0.95169
Meth__cg03752628__PTGFRN	0.30375	0.050089	0.028833	0.34264	0.28567	0.46271	0.51286	0.0293	0.023625	0.45468	0.18986	0.020968	0.028236	0.025973	0.034109	0.033035	0.039067	0.019505	0.33659	0.62872	0.35051	0.61372	0.56719	0.041017	0.036399	0.056648	0.61895	0.021666	0.021672	0.12866	0.030528	0.015998	0.096507	0.10413	0.13895	0.065712
Meth__cg19177941__ALDH1A3	0.65452	0.11564	0.04902	0.86285	0.7929	0.97054	0.86933	0.15491	0.041659	0.77254	0.9603	0.040326	0.043047	0.052804	0.074262	0.087499	0.075738	0.088324	0.54452	0.69424	0.071282	0.81726	0.62711	0.4558	0.71795	0.099593	0.46801	0.055653	0.63404	0.085723	0.037034	0.6284	0.33599	0.064319	0.53313	0.82475
Meth__cg20002248__ACN9	0.54516	0.039908	0.080159	0.90647	0.038551	0.061611	0.8787	0.039616	0.055825	0.063955	0.27257	0.085317	0.10679	0.14085	0.058597	0.050056	0.083616	0.047536	0.54152	0.32663	0.06236	0.44386	0.089069	0.11846	0.10326	0.064017	0.059479	0.050922	0.061565	0.054563	0.055101	0.053793	0.12343	0.073354	0.68264	0.7919
Meth__cg00756058__DZIP1	0.96833	0.030265	0.97005	0.56045	0.024725	0.030488	0.62167	0.34321	0.019434	0.97643	0.026764	0.017164	0.89565	0.024186	0.4943	0.026056	0.097789	0.018138	0.97245	0.96711	0.02222	0.9283	0.97159	0.095064	0.94587	0.046695	0.026231	0.017612	0.018472	0.030433	0.022009	0.77069	0.86617	0.024053	0.66824	0.94356
Meth__cg22153116__C9orf52	0.024071	0.026641	0.024666	0.039902	0.028814	0.026865	0.036749	0.028531	0.020373	0.044384	0.025423	0.020355	0.025713	0.021534	0.014691	0.016519	0.036081	0.018926	0.039263	0.026094	0.023709	0.063924	0.034217	0.035204	0.05985	0.024534	0.031406	0.01693	0.4557	0.018412	0.016234	0.023984	0.071179	0.022704	0.020784	0.029655
Meth__cg25599242__RARRES3	0.33251	0.10668	0.12207	0.71295	0.40287	0.84402	0.16672	0.38036	0.082461	0.15473	0.55584	0.055647	0.085197	0.088441	0.42097	0.13801	0.14261	0.22321	0.61071	0.63522	0.098644	0.55741	0.52893	0.10762	0.91717	0.12923	0.53775	0.53654	0.20434	0.10231	0.070813	0.12662	0.21508	0.11534	0.39962	0.65437
Meth__cg01161597__TAF2	0.092611	0.078922	0.081551	0.073331	0.04803	0.064894	0.07186	0.055078	0.070592	0.074074	0.07288	0.072788	0.066619	0.08494	0.056912	0.075497	0.094082	0.070667	0.096295	0.075889	0.071474	0.10078	0.087221	0.10002	0.093446	0.068573	0.075942	0.081275	0.083542	0.063252	0.071813	0.046349	0.073703	0.073998	0.070712	0.073297
Meth__cg00466249__MGC15523	0.092023	0.065303	0.2403	0.071753	0.15167	0.76543	0.1075	0.35207	0.37706	0.20109	0.10238	0.63695	0.43023	0.32491	0.36145	0.24243	0.083399	0.89086	0.044207	0.068353	0.77008	0.25636	0.06278	0.14313	0.10094	0.12175	0.32064	0.047963	0.23162	0.53284	0.095648	0.53721	0.19014	0.32812	0.086398	0.070755
Meth__cg06717231__ZNF559	0.11932	0.028852	0.024842	0.02882	0.030196	0.026468	0.034909	0.18271	0.025482	0.037195	0.96613	0.033217	0.037052	0.076422	0.021242	0.019754	0.049795	0.021104	0.9688	0.10405	0.022895	0.046386	0.42289	0.045355	0.038395	0.07178	0.021478	0.022934	0.032374	0.025225	0.028473	0.020321	0.047896	0.034627	0.046453	0.10916
Meth__cg25827112__TESK2	0.018031	0.017499	0.029385	0.035596	0.020422	0.01868	0.019163	0.02375	0.013239	0.030205	0.024989	0.020843	0.039259	0.01507	0.019756	0.016696	0.05015	0.015206	0.018636	0.022041	0.022717	0.038151	0.023311	0.01858	0.036526	0.020107	0.16888	0.016181	0.015732	0.013475	0.017842	0.014544	0.055825	0.019517	0.022479	0.022101
Meth__cg27088655__FBXL16	0.028589	0.033754	0.027652	0.029222	0.025296	0.019152	0.026291	0.023433	0.018001	0.027296	0.47024	0.027449	0.046781	0.025303	0.023543	0.027752	0.041058	0.021433	0.027215	0.022707	0.026974	0.62675	0.037493	0.048626	0.045557	0.034028	0.021595	0.025418	0.025082	0.034145	0.018485	0.022739	0.023629	0.026011	0.020619	0.046748
Meth__cg19843429__OSBPL3	0.045508	0.034982	0.037428	0.49253	0.040724	0.032161	0.5657	0.033012	0.028611	0.051974	0.04058	0.019838	0.21767	0.039519	0.033226	0.034016	0.18982	0.029494	0.95866	0.95319	0.03933	0.07351	0.044205	0.056436	0.075967	0.068426	0.035642	0.026856	0.024848	0.036571	0.031691	0.026505	0.084487	0.039532	0.036396	0.040813
Meth__cg14161730__TIMP1	0.35594	0.065045	0.14231	0.83017	0.18896	0.052533	0.34067	0.34679	0.059628	0.60511	0.4094	0.29915	0.20277	0.07177	0.088999	0.11423	0.10984	0.11697	0.46679	0.34934	0.074464	0.26938	0.69521	0.33319	0.40898	0.077682	0.062861	0.11654	0.091624	0.18186	0.13271	0.25905	0.17409	0.4521	0.094962	0.28409
Meth__cg24387380__GABRA5	0.8703	0.098072	0.12174	0.83515	0.055052	0.068296	0.7505	0.31692	0.12544	0.17962	0.8	0.20725	0.11828	0.12666	0.25162	0.16112	0.1326	0.089679	0.4154	0.36815	0.11355	0.10245	0.21664	0.11155	0.20479	0.14851	0.29151	0.042511	0.088707	0.094359	0.090281	0.18989	0.34483	0.43818	0.24836	0.35064
Meth__cg10098888__IRS1	0.020772	0.022124	0.9541	0.72179	0.020586	0.95339	0.17659	0.69546	0.9334	0.019234	0.63075	0.90594	0.91673	0.87473	0.90383	0.37943	0.63659	0.94905	0.018993	0.029943	0.96015	0.031584	0.031961	0.036965	0.050281	0.039945	0.11373	0.95957	0.95856	0.021879	0.21285	0.91119	0.13336	0.036661	0.080663	0.025599
Meth__cg22637507__ALKBH3	0.049824	0.044614	0.051901	0.97334	0.033821	0.03337	0.96315	0.03484	0.036422	0.061856	0.96759	0.041901	0.077862	0.047963	0.04185	0.040926	0.055837	0.044967	0.045995	0.05522	0.045853	0.060074	0.052309	0.055813	0.073731	0.071458	0.41642	0.042329	0.044213	0.032597	0.0497	0.43141	0.054762	0.057438	0.049564	0.049703
Meth__cg12629325__PCDHAC1	0.72053	0.031167	0.067636	0.98037	0.74264	0.14147	0.53618	0.4169	0.035504	0.055849	0.088822	0.069204	0.37618	0.48265	0.060213	0.057251	0.19379	0.038446	0.9744	0.85281	0.032386	0.93686	0.74678	0.1506	0.07194	0.041369	0.061068	0.032482	0.5916	0.034754	0.027944	0.84757	0.45674	0.035593	0.82349	0.84554
Meth__cg05120641__CHAC1	0.032895	0.020787	0.02156	0.03863	0.024981	0.022708	0.025641	0.02049	0.023923	0.028775	0.028313	0.01516	0.044031	0.02789	0.027988	0.020262	0.039524	0.026093	0.026051	0.024992	0.029785	0.039178	0.031712	0.037037	0.031484	0.037276	0.025965	0.029197	0.022604	0.02121	0.027866	0.022695	0.045118	0.036946	0.037574	0.52617
Meth__cg23967169__FAM19A4	0.90929	0.047501	0.91698	0.91659	0.71161	0.53588	0.87721	0.11151	0.28217	0.075882	0.89757	0.20965	0.54019	0.26572	0.21669	0.19344	0.37477	0.052017	0.83664	0.4537	0.19658	0.57418	0.29661	0.06236	0.80849	0.080425	0.6987	0.092004	0.69322	0.16676	0.07076	0.22694	0.048952	0.43774	0.56934	0.69244
Meth__cg10770529__ZNF274	0.38204	0.016856	0.031483	0.13648	0.022882	0.019331	0.024351	0.019845	0.017972	0.026513	0.054063	0.013897	0.036405	0.020852	0.032254	0.015861	0.030279	0.01615	0.050586	0.16667	0.045724	0.026176	0.15435	0.03086	0.033598	0.040006	0.024504	0.025529	0.018697	0.020368	0.027212	0.033969	0.031726	0.028358	0.02596	0.02984
Meth__cg20701850__RECQL	0.051607	0.043819	0.050101	0.10054	0.047598	0.053369	0.06239	0.049064	0.04819	0.056038	0.49173	0.054529	0.09201	0.048358	0.041606	0.038617	0.14641	0.049794	0.063853	0.061947	0.044513	0.31187	0.053572	0.079154	0.45666	0.077891	0.046063	0.047476	0.043413	0.053158	0.042251	0.059451	0.092726	0.071921	0.050974	0.065352
Meth__cg19875047__ANKRD42	0.075377	0.038998	0.057752	0.082545	0.047394	0.031465	0.47707	0.051809	0.089984	0.36758	0.053713	0.073626	0.087676	0.094209	0.046501	0.034276	0.070232	0.037116	0.061034	0.051623	0.045285	0.15596	0.087569	0.098597	0.068046	0.067887	0.054283	0.041205	0.036895	0.061014	0.031032	0.072368	0.20932	0.052058	0.046137	0.15866
Meth__cg02265318__MOSC1	0.022284	0.51241	0.8393	0.029598	0.032035	0.77797	0.33076	0.56076	0.1491	0.10008	0.4428	0.03614	0.55515	0.13553	0.97127	0.42108	0.078731	0.49762	0.014655	0.032883	0.7867	0.06985	0.031095	0.043735	0.14015	0.38289	0.22934	0.038811	0.098951	0.28771	0.082775	0.5444	0.076885	0.030145	0.24481	0.2346
Meth__cg07849904__MN1	0.11474	0.16014	0.17153	0.20315	0.22837	0.072058	0.20299	0.11854	0.068817	0.14889	0.22686	0.045074	0.16876	0.104	0.093405	0.079578	0.16016	0.068605	0.18325	0.20656	0.11802	0.54005	0.094433	0.14148	0.15875	0.096903	0.075348	0.079152	0.066674	0.061412	0.069138	0.11822	0.10294	0.082399	0.086831	0.12024
Meth__cg17870792__LPHN2	0.047863	0.043131	0.053128	0.046851	0.038495	0.034018	0.057071	0.044304	0.042305	0.04683	0.14499	0.061101	0.071056	0.045833	0.043661	0.034268	0.055121	0.028634	0.12725	0.081043	0.040527	0.087709	0.049473	0.075397	0.089843	0.042698	0.0469	0.03076	0.036861	0.039933	0.034832	0.035015	0.0997	0.053169	0.041688	0.044668
Meth__cg00674922__SATB1	0.0388	0.020251	0.053906	0.035375	0.078375	0.036862	0.34706	0.10912	0.025569	0.035973	0.037	0.13337	0.12485	0.14835	0.67125	0.04182	0.062236	0.026134	0.16672	0.28617	0.096198	0.053704	0.038043	0.06868	0.9287	0.063155	0.031763	0.052308	0.32364	0.18553	0.098257	0.84971	0.11616	0.043782	0.13546	0.075966
Meth__cg06850526__MGC15523	0.067797	0.075712	0.19615	0.096842	0.092101	0.87227	0.060445	0.056349	0.33919	0.078976	0.117	0.71953	0.38465	0.21604	0.31351	0.19648	0.1299	0.90819	0.047805	0.12046	0.94745	0.17402	0.061937	0.12681	0.11865	0.088441	0.26392	0.052686	0.28293	0.59904	0.052057	0.66482	0.16467	0.28064	0.073901	0.035999
Meth__cg00292662__LGALS1	0.053644	0.16456	0.056186	0.14659	0.065405	0.037183	0.045059	0.039776	0.033552	0.066745	0.043177	0.060235	0.071709	0.056345	0.036909	0.038611	0.079734	0.031378	0.43845	0.38293	0.047001	0.078754	0.10599	0.05928	0.13099	0.07959	0.042994	0.036419	0.042809	0.057891	0.045981	0.04278	0.054889	0.044615	0.31603	0.63544
Meth__cg03513163__PCDHB1	0.78168	0.10268	0.79143	0.62216	0.11254	0.66389	0.80449	0.86479	0.13677	0.15187	0.73308	0.14055	0.5359	0.16146	0.7606	0.13226	0.17289	0.15138	0.86833	0.63286	0.083574	0.59501	0.76329	0.11736	0.3017	0.10384	0.32816	0.77225	0.14221	0.09019	0.063568	0.12822	0.25633	0.11855	0.50757	0.43519
Meth__cg04435420__SGCD	0.94967	0.011841	0.24137	0.95624	0.42174	0.5429	0.93195	0.3897	0.017511	0.3225	0.4962	0.24807	0.25358	0.031931	0.044707	0.073266	0.046859	0.015378	0.2298	0.20578	0.040003	0.5343	0.091122	0.04212	0.89406	0.023639	0.79482	0.086961	0.117	0.94636	0.01805	0.65412	0.040439	0.11009	0.79907	0.90992
Meth__cg10052840__SEMA6B	0.017892	0.020033	0.23987	0.027887	0.64146	0.22626	0.038318	0.27053	0.045339	0.021061	0.017134	0.082514	0.052089	0.032141	0.019464	0.054314	0.049743	0.012337	0.024883	0.15123	0.24682	0.070899	0.018312	0.027271	0.18752	0.037185	0.014935	0.015347	0.21365	0.026366	0.024535	0.019647	0.038428	0.85316	0.029022	0.028253
Meth__cg14228840__MICA	0.032209	0.023157	0.033804	0.036382	0.020796	0.38086	0.017343	0.018118	0.021284	0.027693	0.028581	0.026185	0.080635	0.018808	0.019766	0.014817	0.051007	0.01764	0.033124	0.0294	0.037771	0.048264	0.036049	0.026062	0.040532	0.039561	0.024087	0.018384	0.02654	0.021377	0.020272	0.016692	0.040811	0.026669	0.02853	0.030651
Meth__cg06812977__C10orf59	0.48059	0.076338	0.093312	0.90832	0.079474	0.91537	0.098891	0.093702	0.05709	0.74036	0.58514	0.087912	0.85275	0.067054	0.07802	0.080269	0.12777	0.056751	0.087305	0.08944	0.44081	0.1365	0.5416	0.099472	0.15689	0.14317	0.35217	0.63883	0.21128	0.13183	0.080807	0.89671	0.25909	0.10103	0.24205	0.57514
Meth__cg17660655__HIST3H2A	0.83484	0.11048	0.11285	0.1359	0.077094	0.10745	0.47597	0.077381	0.09658	0.11345	0.47745	0.10352	0.1796	0.10797	0.085568	0.1015	0.1957	0.086413	0.17639	0.089071	0.10708	0.83393	0.11402	0.19246	0.21897	0.20901	0.13644	0.11351	0.10491	0.63795	0.12721	0.44458	0.27701	0.15606	0.1129	0.12504
Meth__cg27331144__RING1	0.020077	0.013038	0.021416	0.022366	0.01813	0.018709	0.096151	0.01363	0.014127	0.32624	0.022426	0.018486	0.04122	0.01618	0.014461	0.015781	0.022987	0.013586	0.02147	0.018365	0.041468	0.03786	0.02915	0.032331	0.043931	0.032074	0.019254	0.014165	0.018394	0.018947	0.018528	0.010561	0.021653	0.018375	0.019262	0.018482
Meth__cg21530453__GNAO1	0.84749	0.056112	0.055115	0.44295	0.045648	0.38887	0.3899	0.091572	0.057915	0.30295	0.51756	0.79638	0.18398	0.070336	0.049634	0.052922	0.10552	0.051439	0.46773	0.43244	0.054138	0.54331	0.057434	0.1233	0.8212	0.077942	0.086035	0.039243	0.072341	0.071172	0.027645	0.053436	0.18207	0.42916	0.053514	0.057724
Meth__cg05086873__RIC8A	0.041894	0.033097	0.03287	0.042598	0.0363	0.027069	0.03578	0.029168	0.034157	0.52497	0.035624	0.042369	0.07292	0.040967	0.03071	0.029036	0.08125	0.02837	0.036753	0.047519	0.030355	0.11985	0.056461	0.067086	0.068461	0.041337	0.029714	0.025857	0.033877	0.40997	0.023519	0.039883	0.041167	0.031653	0.057787	0.058162
Meth__cg01505590__PHLDA2	0.027634	0.015987	0.016926	0.033541	0.025877	0.032605	0.031511	0.018719	0.019438	0.031768	0.026236	0.01672	0.042913	0.022346	0.020669	0.020424	0.053064	0.015898	0.022027	0.028771	0.029031	0.072933	0.039051	0.041368	0.052775	0.045216	0.28609	0.018175	0.015497	0.021054	0.024616	0.018316	0.036797	0.031634	0.028713	0.022963
Meth__cg03361068__TRIM9	0.053205	0.025567	0.94624	0.34726	0.030048	0.022941	0.17252	0.025973	0.033151	0.039274	0.061642	0.036842	0.32895	0.029089	0.04464	0.026377	0.051163	0.025271	0.81623	0.38472	0.051557	0.82344	0.19485	0.062065	0.48978	0.039786	0.03363	0.019807	0.038796	0.087456	0.034286	0.031192	0.13742	0.02757	0.039998	0.041536
Meth__cg00476580__ANP32E	0.031343	0.031024	0.039028	0.034931	0.0281	0.02987	0.038711	0.016878	0.023169	0.036405	0.033562	0.037207	0.054086	0.028997	0.032144	0.025931	0.070979	0.02801	0.32444	0.21462	0.028918	0.083128	0.040427	0.036463	0.074089	0.036954	0.028602	0.025179	0.032989	0.023139	0.027054	0.032358	0.059494	0.028486	0.027149	0.033194
Meth__cg00818693__TTC14	0.046846	0.050201	0.086617	0.69562	0.036749	0.042307	0.40868	0.12799	0.040366	0.044588	0.18129	0.036825	0.069172	0.048675	0.038849	0.038516	0.13669	0.042606	0.29496	0.21431	0.040718	0.18086	0.049398	0.054295	0.093109	0.061155	0.044491	0.037534	0.05244	0.036759	0.040019	0.037691	0.063503	0.044973	0.036773	0.042388
Meth__cg08314660__PKP3	0.046644	0.028778	0.037573	0.044512	0.033102	0.97405	0.040461	0.0397	0.033567	0.052808	0.030695	0.03027	0.032239	0.027954	0.040536	0.058007	0.086497	0.035639	0.043956	0.057505	0.67464	0.067237	0.05354	0.036046	0.15997	0.036625	0.6669	0.029844	0.03991	0.039097	0.031995	0.025863	0.060417	0.041506	0.057496	0.061924
Meth__cg25881193__BTN2A2	0.087355	0.077916	0.70746	0.41598	0.071084	0.070293	0.082112	0.13104	0.073035	0.083469	0.099963	0.061834	0.24577	0.085998	0.069414	0.06904	0.13927	0.069138	0.076544	0.086213	0.071895	0.096677	0.084455	0.072136	0.14674	0.1508	0.085414	0.075486	0.066062	0.083227	0.069144	0.049899	0.10885	0.07743	0.091025	0.10062
Meth__cg23495733__CPNE8	0.96102	0.66487	0.032168	0.96649	0.96414	0.87961	0.96611	0.025682	0.031934	0.96171	0.96676	0.072691	0.93718	0.31012	0.92961	0.04976	0.076149	0.05632	0.96471	0.96172	0.04194	0.088321	0.96159	0.060316	0.89087	0.36192	0.033105	0.16761	0.035245	0.49589	0.029701	0.93378	0.81228	0.65649	0.93366	0.964
Meth__cg07782113__HIVEP1	0.018414	0.010182	0.014348	0.012397	0.013963	0.011865	0.022444	0.019421	0.010395	0.013349	0.018699	0.0085566	0.020708	0.010024	0.010989	0.011495	0.031774	0.013087	0.019152	0.01219	0.018646	0.045643	0.01924	0.015685	0.024031	0.10608	0.022298	0.016623	0.0080596	0.0078895	0.012576	0.014997	0.019043	0.017311	0.018313	0.017481
Meth__cg24450312__RASSF5	0.49124	0.036195	0.15706	0.30652	0.11893	0.78908	0.3895	0.15656	0.090412	0.20297	0.92502	0.18315	0.10764	0.077038	0.089647	0.62789	0.093418	0.055666	0.94947	0.94853	0.17165	0.35838	0.23858	0.10943	0.94361	0.11248	0.1645	0.10554	0.12131	0.096111	0.21999	0.82535	0.074901	0.15877	0.11202	0.45996
Meth__cg01602416__GCSH	0.024711	0.015045	0.015778	0.041507	0.016048	0.013604	0.014449	0.64372	0.015932	0.020932	0.019197	0.011611	0.02963	0.01576	0.017673	0.015161	0.02105	0.018504	0.022848	0.018671	0.032675	0.022022	0.0186	0.015562	0.040066	0.022888	0.024033	0.030248	0.039745	0.012558	0.022233	0.013124	0.015108	0.019089	0.018492	0.024431
