Cell lines	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM52PE	UACC812	ZR751	ZR75B
Response	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	1	1	1	1
Meth__cg05786809__CKB	0.03768	0.50526	0.77559	0.39666	0.14572	0.28973	0.29722	0.9252	0.59556	0.96953	0.69089	0.032388	0.1302	0.13512	0.97487	0.92624	0.042852	0.47699	0.87091	0.28237	0.092308	0.077774	0.022652	0.060561	0.040936	0.080353	0.049088
Meth__cg25823578__PTGER2	0.05354	0.85727	0.11311	0.61724	0.33956	0.8466	0.4929	0.84458	0.79349	0.40286	0.94228	0.045986	0.056402	0.52365	0.92655	0.72142	0.31794	0.46828	0.81805	0.84305	0.251	0.08196	0.050728	0.51197	0.050568	0.14639	0.28882
Meth__cg10065416__MPP3	0.046311	0.2643	0.061988	0.10324	0.051555	0.13207	0.057924	0.19794	0.49197	0.17379	0.12736	0.051081	0.1025	0.35759	0.38211	0.16088	0.072821	0.16551	0.6319	0.27924	0.2525	0.12243	0.045379	0.033734	0.051959	0.051496	0.053918
Meth__cg00929855__HSPA1A	0.043052	0.077232	0.0222	0.0258	0.03973	0.080687	0.0354	0.077596	0.043223	0.035603	0.74541	0.032446	0.10251	0.026788	0.035553	0.13637	0.031794	0.039478	0.97628	0.073347	0.087891	0.032948	0.034988	0.021286	0.028421	0.022959	0.031318
RS_G12875__MFSD7__MFSD7	5.9466	0	5.134	0.87243	1.5542	0.39831	3.974	0.50965	0.69369	0.24852	0	1.8338	0.32742	1.3851	1.148	1.087	1.8221	2.8234	3.1895	1.7338	2.1995	5.7598	1.462	4.665	7.0837	5.0269	3.5491
Meth__cg08917718__PCBP4	0.058189	0.28017	0.042514	0.048059	0.24997	0.59831	0.087259	0.14148	0.30456	0.073191	0.30685	0.045201	0.11142	0.035266	0.1088	0.091277	0.067709	0.055049	0.36362	0.38306	0.13356	0.070143	0.048707	0.048837	0.081215	0.051487	0.065433
Meth__cg17285325__ECGF1	0.0359	0.80506	0.070178	0.94767	0.20092	0.064642	0.88954	0.35669	0.19621	0.93456	0.94795	0.15067	0.088726	0.72823	0.96581	0.94062	0.077577	0.24259	0.91781	0.86329	0.069192	0.097944	0.062785	0.033006	0.058711	0.0654	0.062718
Meth__cg20001829__TMEM25	0.032306	0.39257	0.09387	0.32354	0.44295	0.12943	0.12155	0.9362	0.51803	0.10206	0.25627	0.10046	0.37048	0.48599	0.8814	0.91296	0.11203	0.15034	0.77817	0.10785	0.13214	0.138	0.07416	0.10321	0.057824	0.1141	0.17051
Meth__cg00474209__DLL1	0.04739	0.10244	0.10234	0.052378	0.15539	0.098332	0.088023	0.28492	0.22306	0.1143	0.68988	0.078526	0.15819	0.30549	0.065263	0.06555	0.064966	0.073883	0.91921	0.09009	0.074466	0.098198	0.053646	0.066941	0.078782	0.085815	0.07314
Meth__cg12340144__XYLB	0.056081	0.14945	0.13566	0.050363	0.19597	0.05518	0.24617	0.055583	0.27694	0.58664	0.15282	0.042519	0.08544	0.21543	0.34581	0.12046	0.24369	0.55372	0.14331	0.75384	0.071719	0.086655	0.044638	0.046772	0.08024	0.067069	0.057361
Meth__cg05472874__SULT4A1	0.041662	0.19498	0.045082	0.025783	0.95879	0.34824	0.036507	0.031342	0.55127	0.15933	0.039873	0.031849	0.056776	0.41749	0.97946	0.97727	0.022207	0.040721	0.94193	0.89912	0.92013	0.05074	0.035115	0.023489	0.03883	0.036223	0.029095
Meth__cg18335068__ZNF677	0.051365	0.95047	0.29806	0.61395	0.93149	0.96116	0.80268	0.95149	0.40136	0.5159	0.66161	0.027996	0.3627	0.041031	0.88043	0.64354	0.036104	0.079372	0.66219	0.67995	0.90756	0.15916	0.10864	0.25807	0.033494	0.088111	0.05029
Meth__cg17530977__GLI3	0.041106	0.048425	0.035995	0.047563	0.067987	0.19884	0.056055	0.070301	0.078968	0.032338	0.15839	0.043372	0.096359	0.047764	0.068124	0.057342	0.050654	0.055104	0.11944	0.052044	0.14416	0.041753	0.039144	0.027032	0.0519	0.049908	0.045574
Meth__cg12774845__ENTPD5	0.093878	0.37383	0.083531	0.071705	0.085399	0.19097	0.077959	0.11813	0.50261	0.049026	0.14207	0.066692	0.12388	0.093253	0.21126	0.1774	0.080302	0.14514	0.40326	0.10555	0.14365	0.1073	0.054981	0.08533	0.057727	0.07003	0.08401
RS_G10182__RAET1L__RAET1L	0	0	0	0	1.1137	6.6474	0	4.4844	3.1156	0.64727	2.746	0.18758	2.7756	0	3.3395	0.36247	0	4.021	0.84948	0.5551	0	0	0	3.3268	0	0	0.50194
Meth__cg11037818__C1orf132	0.047574	0.16324	0.048415	0.099168	0.17609	0.11035	0.082835	0.14003	0.10777	0.18796	0.065712	0.083669	0.095319	0.069522	0.13041	0.23742	0.091874	0.073139	0.18751	0.16948	0.15356	0.086957	0.068785	0.090301	0.063736	0.061235	0.061678
Meth__cg04609859__HOXB4	0.03755	0.64059	0.036734	0.031238	0.82236	0.87354	0.42034	0.32749	0.73548	0.16273	0.11962	0.030202	0.074571	0.44629	0.89809	0.69944	0.30421	0.94034	0.75829	0.63583	0.48567	0.070417	0.29009	0.048776	0.10772	0.47201	0.83944
Meth__cg15895359__EFNB1	0.030388	0.025534	0.048561	0.029609	0.02646	0.024809	0.031246	0.025402	0.031671	0.057612	0.023679	0.082108	0.05431	0.016473	0.023584	0.029742	0.23197	0.14731	0.038188	0.028499	0.089763	0.085623	0.078288	0.13112	0.064236	0.044931	0.034497
Meth__cg12781218__C7orf31	0.038067	0.055007	0.033145	0.038039	0.045644	0.045402	0.04683	0.049498	0.072155	0.29747	0.043728	0.030602	0.051714	0.050824	0.77427	0.76632	0.079963	0.04541	0.068326	0.04473	0.79455	0.041513	0.037243	0.034239	0.044678	0.038676	0.037926
Meth__cg13526007__LRFN5	0.053142	0.22045	0.054878	0.077474	0.42909	0.74563	0.066157	0.81977	0.75084	0.84123	0.61867	0.1192	0.27837	0.069556	0.35605	0.49383	0.29434	0.15479	0.69951	0.071872	0.37485	0.12695	0.055329	0.11578	0.06346	0.10288	0.10904
Meth__cg21016177__EXOC7	0.020781	0.068543	0.061949	0.033705	0.030807	0.36	0.045847	0.084942	0.13357	0.2243	0.079414	0.053404	0.054516	0.036827	0.075561	0.071941	0.11503	0.11636	0.24862	0.08998	0.091774	0.03161	0.02057	0.026083	0.044891	0.022699	0.025736
Meth__cg03361068__TRIM9	0.025567	0.34726	0.030048	0.022941	0.17252	0.025973	0.039274	0.061642	0.32895	0.48727	0.04464	0.026377	0.051163	0.025271	0.81623	0.38472	0.029857	0.053914	0.82344	0.19485	0.48978	0.039786	0.03363	0.031192	0.02757	0.039998	0.041536
Meth__cg22392276__CKB	0.12478	0.30238	0.15917	0.55243	0.13457	0.21355	0.16049	0.5853	0.25454	0.1331	0.91543	0.21123	0.16592	0.13176	0.56019	0.50097	0.10661	0.70243	0.27523	0.15951	0.14917	0.19189	0.1349	0.12	0.10335	0.12824	0.12499
RS_G3163__ATP1A3__ATP1A3	10.0114	1.9462	7.3666	4.4612	5.383	4.7758	5.4381	6.8753	4.1124	0.802	4.0167	5.5134	0.82382	2.2676	5.8081	4.8029	8.8681	5.5177	5.3107	3.0664	0.25964	7.4159	5.8738	5.114	7.4703	6.2309	6.8914
RS_G11400__ADAMTS9__ADAMTS9	0	1.37	0.39237	0	0	4.9386	0.10069	4.6682	1.6897	0	2.1726	0.46728	0.55645	0.5346	2.1523	3.539	0.11316	0.060178	0.57193	0.16876	0	0	1.1799	0.299	0.098299	0	0
RS_G11065__MXRA8__MXRA8	5.4923	2.1141	6.662	3.7777	3.2819	2.5319	3.6959	3.3281	2.1699	4.9832	2.044	3.4739	1.8668	9.8616	2.4791	1.8544	5.5124	4.1371	4.7722	8.7696	5.9053	5.6677	11.6221	2.8482	8.3448	6.6064	7.4898
Meth__cg21224049__ATP5I	0.081666	0.11629	0.056037	0.06379	0.11607	0.76259	0.094463	0.11567	0.13144	0.095295	0.069536	0.092964	0.12025	0.28655	0.076926	0.11511	0.079723	0.074742	0.093606	0.11971	0.19736	0.076931	0.07133	0.06104	0.071442	0.072792	0.1106
RS_G9893__GPR115__GPR115	0.93221	1.9514	1.7075	0	0.94757	2.6098	3.4159	0	6.1597	2.3917	2.4067	0.15086	6.748	1.3793	2.005	3.5805	0.4324	2.3162	0	0.8928	0.49825	0.19789	0	2.3835	0.37429	1.4797	0
Meth__cg00746981__HDGF	0.063848	0.081265	0.039327	0.041391	0.05108	0.10627	0.052413	0.064124	0.3539	0.10934	0.062294	0.049956	0.12694	0.059103	0.056249	0.050281	0.044865	0.060301	0.081697	0.080466	0.081078	0.082679	0.050786	0.039202	0.062135	0.049097	0.051035
Meth__cg18108623__FLJ34922	0.047571	0.91194	0.44684	0.040587	0.87042	0.44943	0.83359	0.19178	0.60872	0.089523	0.77523	0.041857	0.13461	0.73477	0.92731	0.89752	0.73239	0.36355	0.87113	0.57632	0.84745	0.10458	0.53508	0.55394	0.062218	0.2376	0.10762
Meth__cg13066963__ESPN	0.11409	0.059191	0.070203	0.92307	0.88171	0.87689	0.81051	0.9164	0.88616	0.66923	0.93966	0.51989	0.25144	0.46764	0.892	0.15161	0.14748	0.34731	0.85341	0.51579	0.089624	0.32096	0.59255	0.044711	0.042406	0.041968	0.033587
Meth__cg02422694__HOXB4	0.040165	0.62235	0.062092	0.038815	0.79084	0.57267	0.42335	0.48432	0.79198	0.21999	0.28696	0.062763	0.1021	0.50899	0.69523	0.63029	0.47695	0.8913	0.87256	0.77022	0.7091	0.10436	0.51582	0.51045	0.25375	0.34509	0.57776
Meth__cg04626574__LOC402055	0.021214	0.028748	0.021626	0.022143	0.032045	0.68798	0.023337	0.030569	0.030986	0.034092	0.022107	0.022222	0.073147	0.026093	0.023212	0.026309	0.022759	0.026998	0.042551	0.02818	0.047544	0.025551	0.031358	0.021557	0.023145	0.021327	0.027586
RS_G4584__KYNU__KYNU	4.1925	1.4848	1.7876	0	6.9957	1.0675	4.2133	3.9039	8.0346	4.4861	6.7536	0.39923	5.3852	0.64089	6	9.3717	0.4213	5.9079	4.6446	2.6547	0.53147	6.069	0	5.0554	0.67891	4.0011	0.96745
Meth__cg04126816__HSU79303	0.029121	0.55315	0.024868	0.027608	0.032245	0.38252	0.060656	0.48348	0.40557	0.41178	0.03902	0.031073	0.26619	0.021947	0.94172	0.39318	0.03727	0.029965	0.17229	0.034635	0.055696	0.071499	0.029124	0.027899	0.0641	0.035097	0.036831
Meth__cg21210758__EVC	0.056478	0.059256	0.04507	0.05409	0.60847	0.93102	0.066623	0.075839	0.13442	0.057233	0.057957	0.051002	0.13671	0.04983	0.94577	0.93983	0.050672	0.058278	0.080592	0.069868	0.090585	0.11532	0.066474	0.046189	0.057681	0.064893	0.050958
