Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	-1	-1
SNP__LARGE	-0.004	-0.142	-3.874	-0.161	-0.475	-0.154	0.018	0.287	0.567	-0.012	-0.425	0.074	-0.114	-0.193	-0.483	0.89	-0.549	-0.439	0.167	-0.404	-0.239	-0.172	0.115	-0.013	0.027	0.314	-0.226	-0.182	-0.306	0.004	0.114	-0.065	-2.538	-0.327	-2.579	0.369	0.08
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.097	-0.173	-0.161	-0.06	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	-0.061	-0.404	-0.742	0.019	0.082	0.096	-0.16	-4.366	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	-0.096	0.031	0.03	-3.42	-0.806	-0.066	-0.373
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__FLJ36492	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	-1.31	0.357	-0.431	-0.364
SNP__LOC147158	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC201288	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC220594	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
SNP__FAM106A	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__IGL@	-1.694	-1.159	-3.74	0.248	-2.86	-0.961	-3.126	0.818	1.28	-0.012	-0.384	0.122	-0.092	-2.723	0.714	-0.047	0.611	0.439	0.55	-0.404	-0.171	0.179	-0.122	0.659	0.396	0.716	-1.059	0.226	-0.148	0.565	-0.19	-0.163	-3.338	-3.43	0.69	0.757	0.514
SNP__LOC252840	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__LOC644125	-1.687	-2.113	0.128	0.929	0.894	-1.571	-0.54	-1.657	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	0.364	0.146	-1.847	0.007	-2.228	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.901	-1.977	0.021	-2.172	-1.48	-1.433	-0.348	-1.841	0.456	0.568	0.28
SNP__SMAD4	0.013	-0.541	-0.881	0.086	-0.128	-0.147	-0.178	-0.444	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.803	-0.454	-0.443	-0.217	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.031	-0.56	0.211	-0.147	-0.015	-0.168	-0.367	-0.793	-0.615	-0.284	0.239	0.234
SNP__SLC25A37	0.027	-0.532	-0.856	-0.332	-0.456	0.511	-0.54	-0.425	-0.295	0.09	-0.453	-0.37	-3.962	-3.239	-0.59	-0.036	-4.159	-0.445	-1.129	-0.433	-0.537	-3.29	-0.251	-0.823	-0.414	-0.414	-0.552	-5.047	-0.129	0.026	-0.156	-0.331	-0.746	-3.624	-0.274	-0.066	0.011
SNP__HSF2BP	0.006	-4.25	0.188	-0.24	-0.037	0.118	0.076	-3.725	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	-0.099	0.096	0.218	-3.535	-0.041	0.46	0.412	0.344	-4.152	-0.443	0.138	-0.034	-3.431	0.422	0.48	0.013	0.203	-3.924	0.039	0.058	-2.736	-0.417	-0.377
SNP__RPL31P1	0.006	-4.25	0.188	-0.24	-0.037	0.118	0.076	-3.725	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	-0.099	0.096	0.218	-3.535	-0.041	0.46	0.412	0.344	-4.152	-0.443	0.138	-0.034	-3.431	0.422	0.48	0.013	0.203	-3.924	0.039	0.058	-2.736	-0.417	-0.377
SNP__LOC653403	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-0.05	0.204	0.225	-2.156	-0.404	-0.171	-0.172	-0.151	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	-0.163	-0.323	-0.327	-0.316	0.377	0.08
SNP__SLC25A24	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	-0.06	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	-3.632	0.224	0.636	0.251	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
SNP__LOC645532	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.797	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	-0.318	0.581	-0.019	-0.26	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__ZNF28	0.003	-0.12	0.172	0.093	0.166	0.219	0.1	0.152	-0.301	0.1	0.43	-0.364	-3.273	0.478	0.334	0.584	-0.376	0.016	-3.578	-0.019	-0.177	-0.641	0.119	0.029	0.182	-0.021	-0.158	-0.159	-0.223	0.002	0.457	0.55	0.917	-0.286	0.088	0.066	0.001
SNP__SLC25A18	-0.01	-0.086	-0.197	-0.134	-0.467	2.812	0.05	0.5	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	0.301	0.217	0.723	0.172	-0.404	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.058	-0.3	-0.32	-0.289	0.37	0.095
SNP__ANKRD15	-0.657	-0.203	-2.643	-1.013	-3.018	0.182	-0.496	-0.451	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	-1.137	-0.27	0.831	0.742	0.383	0.366	-1.564	0.112	-0.84	-0.124	-0.627	-0.228	-0.826	-2.804	-0.073	-0.722	-0.332	-0.181	-0.306	-0.296	-0.084	-0.001
