Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	1	1	-1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	-1	1	-1	-1
Meth__cg11719157__PITPNA	0.089367	0.080186	0.38627	0.08956	0.074867	0.70041	0.52573	0.76936	0.17793	0.078278	0.096133	0.060399	0.29248	0.39681	0.15832	0.086928	0.69398	0.2571	0.098322	0.47428	0.34439	0.42686	0.63727	0.31384	0.19315	0.60882	0.68938	0.13756	0.13393	0.23229	0.24373	0.070171	0.13831	0.25919	0.073203	0.57863	0.53847	0.12652	0.14663	0.43009
Meth__cg20977864__HYDIN	0.11538	0.07327	0.23814	0.86456	0.081251	0.80547	0.12395	0.52081	0.7787	0.086965	0.069919	0.094163	0.39925	0.54431	0.10249	0.098663	0.089906	0.49966	0.25701	0.34404	0.90823	0.73029	0.57525	0.29834	0.15398	0.88733	0.17146	0.39311	0.15894	0.096766	0.23849	0.07616	0.067701	0.68178	0.053388	0.077878	0.58134	0.13499	0.17619	0.28323
Meth__cg03972838__FLJ20232	0.028581	0.017815	0.020966	0.021194	0.028841	0.6982	0.020481	0.69678	0.68681	0.021515	0.022309	0.44842	0.05059	0.041092	0.0073203	0.019283	0.22533	0.95374	0.020229	0.083936	0.062454	0.17862	0.48301	0.68524	0.22966	0.53528	0.083977	0.062417	0.024011	0.022876	0.019499	0.17901	0.025816	0.4774	0.016249	0.014743	0.037481	0.04039	0.023372	0.023045
Meth__cg22244122__SURF4	0.45719	0.06406	0.84437	0.17527	0.048006	0.52404	0.52562	0.93597	0.79109	0.23385	0.19505	0.043519	0.24201	0.27204	0.080266	0.21292	0.45473	0.12524	0.12448	0.52166	0.813	0.57548	0.26496	0.67772	0.11293	0.8765	0.71405	0.098566	0.048762	0.10771	0.03548	0.042559	0.50019	0.20895	0.055139	0.48419	0.54968	0.060041	0.13245	0.11614
Meth__cg20910746__BBOX1	0.079761	0.047342	0.06931	0.10448	0.099718	0.16757	0.30616	0.2734	0.11463	0.063221	0.066072	0.078231	0.14677	0.11635	0.041287	0.066746	0.086257	0.3683	0.16245	0.33026	0.2078	0.19067	0.10913	0.73935	0.30422	0.19447	0.21008	0.26766	0.12299	0.12502	0.11109	0.059998	0.55165	0.20473	0.039365	0.095006	0.29988	0.10318	0.07525	0.1929
Meth__cg16967583__AGXT	0.061093	0.034182	0.042645	0.056478	0.046725	0.66809	0.12653	0.3773	0.20629	0.054644	0.26955	0.077525	0.20632	0.13025	0.052623	0.04618	0.1418	0.077208	0.12229	0.045708	0.17994	0.23803	0.50812	0.80132	0.069398	0.32975	0.19917	0.088778	0.16264	0.083106	0.49279	0.046267	0.041965	0.1405	0.04256	0.047842	0.22055	0.059493	0.051019	0.083552
Meth__cg07007400__KRT7	0.055763	0.046739	0.070614	0.055848	0.053989	0.86183	0.087797	0.78136	0.049454	0.05255	0.85972	0.10655	0.053436	0.075979	0.041101	0.055336	0.054914	0.078192	0.099266	0.84862	0.877	0.86467	0.54035	0.85256	0.040393	0.14013	0.059741	0.099584	0.102	0.059799	0.10632	0.046383	0.053153	0.054552	0.048268	0.045592	0.51199	0.051887	0.83956	0.82992
Meth__cg08607082__ICAM1	0.034304	0.039016	0.029295	0.18254	0.1313	0.89509	0.058159	0.30727	0.95539	0.0527	0.063202	0.026019	0.081297	0.092703	0.048404	0.05624	0.87797	0.75336	0.076122	0.14636	0.04815	0.073767	0.18277	0.44707	0.057442	0.79079	0.051206	0.061408	0.048426	0.049708	0.052911	0.031201	0.027956	0.15025	0.027258	0.71975	0.039434	0.035058	0.091182	0.47116
Meth__cg06577005__DHDDS	0.71863	0.055503	0.07696	0.30454	0.10177	0.52275	0.31878	0.35429	0.055737	0.077985	0.092941	0.041511	0.14124	0.13012	0.054937	0.062252	0.13297	0.091398	0.039346	0.14943	0.099431	0.23592	0.13483	0.089076	0.04906	0.85323	0.60093	0.058381	0.13963	0.071293	0.03745	0.32239	0.22277	0.070878	0.029004	0.072879	0.17279	0.061565	0.085577	0.49144
Meth__cg12013321__GCLC	0.075061	0.088283	0.1248	0.32898	0.090254	0.3013	0.44838	0.41994	0.13912	0.36124	0.12598	0.19382	0.40557	0.16502	0.048825	0.21473	0.17063	0.34157	0.07446	0.11124	0.068476	0.091423	0.40063	0.24773	0.10971	0.13418	0.43855	0.13022	0.10694	0.12638	0.050076	0.22158	0.097747	0.25432	0.065795	0.088672	0.15045	0.066647	0.65677	0.64358
Meth__cg16689634__CYP4X1	0.070387	0.34942	0.90516	0.088826	0.050963	0.85139	0.67648	0.50722	0.13259	0.054591	0.046244	0.33599	0.41945	0.86428	0.041144	0.057633	0.49694	0.38524	0.12218	0.052548	0.8637	0.89911	0.9004	0.17075	0.14872	0.7006	0.87605	0.089983	0.79832	0.096832	0.06817	0.049273	0.14902	0.51232	0.039131	0.0523	0.13342	0.12545	0.58011	0.87703
Meth__cg05333568__C1orf65	0.46178	0.059808	0.548	0.093281	0.050435	0.68964	0.34994	0.55107	0.36153	0.035908	0.044402	0.34228	0.63338	0.60161	0.042115	0.051369	0.40152	0.045705	0.097986	0.080051	0.26048	0.41609	0.55022	0.57927	0.072655	0.48591	0.063703	0.052701	0.20953	0.063744	0.067459	0.075225	0.093097	0.28109	0.047484	0.34182	0.096569	0.040163	0.09701	0.13602
Meth__cg17838626__PHCA	0.045983	0.032922	0.43026	0.082752	0.036532	0.13466	0.074197	0.49491	0.099172	0.079409	0.044459	0.081844	0.096571	0.10608	0.031107	0.058514	0.065784	0.42451	0.062181	0.28608	0.051866	0.051477	0.13256	0.070779	0.047949	0.099404	0.061713	0.083956	0.057513	0.061092	0.031777	0.19049	0.048516	0.10356	0.041844	0.037843	0.10474	0.040635	0.098479	0.085164
Meth__cg05696092__NOSIP	0.15523	0.048349	0.057098	0.15525	0.05109	0.56711	0.058236	0.35603	0.049778	0.05516	0.055446	0.084162	0.062403	0.13424	0.03959	0.060658	0.086155	0.6361	0.070682	0.051876	0.76328	0.36422	0.55623	0.19812	0.055192	0.51857	0.071614	0.074219	0.1281	0.079407	0.065279	0.054185	0.065802	0.12879	0.040763	0.059451	0.1146	0.077762	0.052304	0.16286
Meth__cg05767404__C1orf150	0.84966	0.098382	0.20917	0.35406	0.07207	0.74786	0.79089	0.52909	0.80124	0.067061	0.128	0.68034	0.28351	0.17456	0.058365	0.07492	0.57807	0.82755	0.098798	0.11981	0.19499	0.1906	0.81099	0.17515	0.18796	0.69308	0.18261	0.18226	0.2347	0.21511	0.37755	0.46587	0.22906	0.29326	0.13131	0.20768	0.11888	0.14307	0.62321	0.71207
Meth__cg05228408__CLCN6	0.2548	0.18508	0.10262	0.17733	0.12086	0.3351	0.22947	0.60172	0.095578	0.067816	0.30068	0.055323	0.13005	0.17672	0.040542	0.0862	0.16596	0.1123	0.10295	0.44382	0.18686	0.24813	0.3988	0.73759	0.28341	0.35072	0.24403	0.31365	0.063676	0.18291	0.047606	0.039759	0.47595	0.44419	0.072604	0.11229	0.10744	0.14941	0.068446	0.10838
Meth__cg08586737__GCC1	0.22497	0.097887	0.47806	0.17627	0.09746	0.51512	0.54257	0.74592	0.72456	0.064887	0.088071	0.38198	0.30756	0.19653	0.056241	0.083382	0.17716	0.15802	0.11888	0.26003	0.43161	0.095822	0.50358	0.39883	0.085537	0.70391	0.63229	0.14851	0.49682	0.13532	0.098214	0.26986	0.57096	0.16485	0.10376	0.19159	0.13078	0.15561	0.19024	0.27377
Meth__cg23602533__TTPA	0.029651	0.021218	0.040209	0.056607	0.028825	0.042832	0.26687	0.42824	0.94989	0.024792	0.031329	0.096018	0.19075	0.13238	0.017436	0.027895	0.16623	0.037507	0.074836	0.092534	0.16404	0.10015	0.31922	0.030537	0.026701	0.27555	0.062702	0.05487	0.20095	0.022027	0.029303	0.04624	0.17088	0.14	0.044171	0.096728	0.042472	0.015106	0.047317	0.10425
Meth__cg07559730__ZNF702	0.04709	0.032904	0.045875	0.11117	0.030824	0.95345	0.053638	0.90134	0.37557	0.023909	0.031679	0.032483	0.07003	0.15689	0.026413	0.029214	0.04217	0.033252	0.11605	0.038797	0.90193	0.52733	0.051608	0.060022	0.032846	0.84614	0.040887	0.20019	0.39281	0.070144	0.064961	0.06517	0.12627	0.033353	0.027525	0.027915	0.1772	0.043932	0.27905	0.45986
Meth__cg23868119__PTPLA	0.046305	0.059472	0.061869	0.18332	0.10485	0.04765	0.047238	0.032878	0.033037	0.050827	0.17769	0.051021	0.045966	0.59566	0.33919	0.077203	0.057257	0.042416	0.1022	0.040281	0.040225	0.046529	0.18375	0.05468	0.10655	0.075002	0.046751	0.11325	0.25837	0.12651	0.048849	0.046639	0.047924	0.047915	0.046563	0.62054	0.080958	0.048269	0.058361	0.066645
Meth__cg27301343__EML2	0.086034	0.061066	0.069237	0.096085	0.081605	0.15743	0.074124	0.71778	0.076923	0.068615	0.062305	0.10938	0.093486	0.084503	0.056658	0.073826	0.067044	0.067663	0.13148	0.081067	0.097772	0.10794	0.093573	0.14023	0.054498	0.095291	0.10596	0.11983	0.12595	0.065421	0.069776	0.059123	0.086665	0.12668	0.055614	0.040683	0.13718	0.069003	0.069549	0.068228
Meth__cg04474832__ABHD14A	0.068445	0.080941	0.16949	0.11527	0.038479	0.58031	0.073987	0.51338	0.25902	0.06648	0.055791	0.1	0.39732	0.22071	0.031895	0.071402	0.10309	0.074044	0.12749	0.053764	0.22242	0.25058	0.097232	0.65164	0.069739	0.53585	0.18975	0.21403	0.079615	0.089812	0.058591	0.087296	0.079449	0.3181	0.048583	0.045114	0.05642	0.07399	0.066024	0.11342
Meth__cg05719902__LOC136306	0.62022	0.081224	0.070585	0.096723	0.23394	0.94658	0.56036	0.94564	0.12775	0.065421	0.073537	0.072677	0.19613	0.23689	0.046597	0.069753	0.16505	0.20656	0.14385	0.71836	0.086918	0.63461	0.86187	0.30775	0.069788	0.9039	0.087311	0.3682	0.73474	0.1327	0.51398	0.15094	0.53713	0.048244	0.062488	0.59251	0.14194	0.080448	0.51157	0.5288
Meth__cg16388829__ARID5A	0.053118	0.30897	0.05975	0.091662	0.26624	0.04702	0.051537	0.032258	0.050471	0.043811	0.056405	0.57009	0.033631	0.74738	0.49406	0.41843	0.54024	0.044831	0.077749	0.037486	0.046415	0.048227	0.088689	0.047749	0.11255	0.16522	0.057369	0.067573	0.096611	0.16621	0.04896	0.044661	0.050133	0.047183	0.046182	0.95505	0.069933	0.59149	0.0529	0.048028
Meth__cg15164958__MGC33530	0.46655	0.035166	0.75354	0.079062	0.29257	0.24831	0.66924	0.23383	0.69063	0.083105	0.09901	0.12856	0.21682	0.27672	0.039967	0.065531	0.0928	0.080145	0.10252	0.12673	0.27018	0.40643	0.42551	0.067305	0.079918	0.25248	0.16367	0.18205	0.39827	0.069507	0.15282	0.13504	0.082655	0.40429	0.072128	0.21847	0.22386	0.0773	0.53771	0.44515
Meth__cg08785534__GAL	0.1055	0.081009	0.13738	0.30548	0.077289	0.40194	0.40151	0.51383	0.54361	0.10039	0.086872	0.11865	0.46917	0.27501	0.078074	0.085538	0.23006	0.1809	0.10602	0.073618	0.46172	0.3938	0.25457	0.66759	0.14043	0.5964	0.15616	0.13734	0.55575	0.12793	0.081558	0.079649	0.092146	0.1935	0.19688	0.19008	0.14138	0.087473	0.090697	0.085967
