Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1
SNP__POU6F2	0.01	0.649	0.2	0.468	0.372	-2.998	0.082	-0.094	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.657	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	-0.085	0.578	0.431	-0.201	-0.027	0.546	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.573	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__LOC553158	-0.003	-0.092	-0.2	-0.161	-0.475	-0.154	0.018	0.141	0.287	-0.231	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	-0.369	0.328	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
SNP__LOC643827	-0.26	-0.178	-0.209	-0.352	-0.211	-0.099	0.064	0.017	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-2.709	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-1.058	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.097	-0.173	-0.161	-0.004	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	-4.366	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	-0.096	0.009	0.031	0.03	-3.42	-0.806	-0.066	-0.373
SNP__ZNF462	0.003	-0.163	0.174	0.13	0.149	0.209	0.064	0.293	0.184	0.133	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	0.036	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.15	-0.147	0.207	-4.605	-0.633	0.047	-0.211	0.161	0.02	0.188	-0.349	0.028	-0.176	0.297	-0.296	-0.055	0.024
SNP__BTNL3	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-1.058	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__IGHV3-9	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__IGHV2-10	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-2.449	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	-1.219	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__RHD	-2.45	-0.136	-0.18	-0.234	-0.44	0.218	-0.163	0	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.184	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	-0.156	0.057	0.245	0.482	-0.299	0.165	-2.045	-1.621
