Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	-1	1	1	1
Meth__cg02537838__C20orf151	0.054806	0.058138	0.053443	0.051723	0.84168	0.063223	0.043171	0.071374	0.05415	0.058861	0.079328	0.074077	0.87468	0.088135	0.3752	0.0485	0.058087	0.058253	0.056401	0.74088	0.065833	0.11716	0.84203	0.067186	0.056453	0.071691	0.044814	0.068524	0.053769	0.055417
RS_G22683__RP13-238F13.2__RP13-238F13.2	0.41194	0	0	0.26619	0	0	5.0298	0	3.4183	4.4978	0.96075	4.8181	0	1.9117	0	0	0	0	3.6513	0	0.25739	0	0	0	2.9233	0.54298	2.9385	0	0	0
RS_G12983__SPRR1A__SPRR1A	2.6766	0	1.2073	4.6224	0	0	4.4152	1.1468	1.0479	5.1369	4.8631	0	0	4.4045	0	0.3708	0	0	6.2122	0	0.35494	0	0	1.1341	2.8241	1.2049	4.8655	3.6111	2.3955	2.8989
Meth__cg04589904__ADRB1	0.047455	0.93216	0.068982	0.49876	0.35488	0.43703	0.043949	0.43806	0.059447	0.060245	0.67706	0.9377	0.69009	0.22478	0.069116	0.57448	0.54736	0.62066	0.065403	0.11979	0.055497	0.9044	0.075616	0.88029	0.11626	0.85841	0.080198	0.0695	0.17425	0.64277
RS_G3568__KRT23__KRT23	9.9798	4.0091	1.9457	8.0301	0.60861	1.1911	6.0621	2.2382	9.2509	8.506	8.955	8.0106	1.2587	8.7022	0.26738	1.4502	0.77332	3.261	9.1077	0.74167	4.1622	3.8232	0	4.1409	6.7984	7.9631	10.5322	5.2594	5.121	0.93588
RS_G15926__RGMA__RGMA	6.6212	0.66506	2.3204	1.4114	3.8693	0	2.3197	1.3678	8.8727	5.0712	0.52872	3.1229	0.60114	5.4599	0.17933	3.2546	0.92041	0.51386	6.0556	0	1.6905	0	3.5632	3.6555	4.1386	0.33244	4.1545	1.8524	1.9628	1.7706
Meth__cg19570545__PKP1	0.62836	0.83203	0.03889	0.032925	0.93881	0.9171	0.024195	0.62136	0.13447	0.059089	0.90623	0.9335	0.36394	0.20327	0.41051	0.45421	0.48315	0.91286	0.024221	0.8308	0.049496	0.17898	0.1912	0.028645	0.067467	0.94893	0.082968	0.49617	0.55034	0.94347
RS_G9902__PLEKHG4B__PLEKHG4B	6.3025	1.1634	6.0986	2.2017	4.8105	1.1858	2.7352	0.79057	0.80203	3.1902	0.29089	0.15565	6.0216	0.17461	2.09	1.2126	0.3254	3.4452	2.5655	0.64973	0.83209	0.45843	0.52445	0.43644	4.1108	1.1431	7.1028	2.3368	0.7708	0.83625
Meth__cg26228569__CRSP8	0.062223	0.066248	0.059065	0.052375	0.059493	0.46511	0.062836	0.075424	0.068792	0.0425	0.11092	0.081354	0.060074	0.091204	0.069652	0.057574	0.061714	0.063348	0.053575	0.16616	0.062709	0.14518	0.070236	0.068191	0.05736	0.062592	0.057268	0.069687	0.069693	0.060329
Meth__cg17027046__ITPA	0.13265	0.13604	0.13155	0.09837	0.099947	0.15497	0.11298	0.38693	0.11572	0.075461	0.15534	0.15823	0.10651	0.19297	0.18887	0.16271	0.17405	0.15904	0.099443	0.14937	0.17021	0.25484	0.10974	0.13318	0.10581	0.131	0.16249	0.18342	0.20188	0.1652
Meth__cg10074409__IRF6	0.033129	0.03282	0.059639	0.029252	0.89611	0.0504	0.030858	0.078396	0.031666	0.04589	0.087006	0.051672	0.26974	0.073176	0.48595	0.05087	0.096257	0.056954	0.030935	0.87168	0.046636	0.07026	0.047795	0.036539	0.046621	0.043674	0.039957	0.052577	0.0451	0.044557
RS_G7691__FXYD6__FXYD6	5.7685	2.1274	2.1789	3.8716	0	0.3027	5.739	6.4826	6.0859	4.7351	0.27962	4.212	1.002	0.38471	0.17696	4.1257	3.1482	4.0237	4.4754	0	2.9596	0	1.1793	0.55351	2.1815	0	5.0247	3.1366	2.8838	1.5806
Meth__cg20555507__TRPM3	0.3123	0.057425	0.5755	0.11361	0.09597	0.24156	0.90883	0.071641	0.33544	0.24684	0.12987	0.089307	0.080128	0.075572	0.073314	0.091964	0.078435	0.13803	0.57994	0.16434	0.088767	0.51356	0.080493	0.23866	0.081546	0.081314	0.20378	0.068939	0.083586	0.068346
Meth__cg07747299__C21orf56	0.084507	0.31549	0.71294	0.96262	0.05009	0.065814	0.88681	0.064172	0.95434	0.12996	0.063709	0.06471	0.57839	0.055038	0.049668	0.034311	0.040825	0.072721	0.75952	0.094576	0.75573	0.66373	0.024424	0.032239	0.31257	0.47087	0.093917	0.05866	0.12528	0.094995
