Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Meth__cg03020597__SLITRK2	0.50341	0.056474	0.37811	0.56643	0.060145	0.77923	0.66144	0.26217	0.89596	0.075009	0.031888	0.81417	0.60906	0.11995	0.056407	0.062595	0.23094	0.16237	0.079552	0.095371	0.10374	0.10885	0.17735	0.042315	0.37363	0.21287	0.069131	0.13872	0.11129	0.080742	0.18795	0.051107	0.31985	0.18614	0.055982	0.094702	0.18059	0.098337	0.205
Meth__cg05767404__C1orf150	0.84966	0.098382	0.20917	0.35406	0.07207	0.74786	0.79089	0.52909	0.80124	0.067061	0.128	0.68034	0.28351	0.17456	0.058365	0.07492	0.57807	0.82755	0.098798	0.11981	0.19499	0.1906	0.81099	0.17515	0.18796	0.69308	0.18261	0.18226	0.2347	0.21511	0.37755	0.46587	0.22906	0.29326	0.13131	0.20768	0.11888	0.62321	0.71207
Meth__cg22190114__NALP8	0.56285	0.060613	0.60309	0.22649	0.070659	0.27576	0.49831	0.41433	0.46261	0.066505	0.061829	0.52319	0.78757	0.14409	0.035667	0.057599	0.18659	0.53689	0.12793	0.088151	0.073372	0.48928	0.81601	0.11127	0.91777	0.15006	0.08332	0.09075	0.74505	0.11709	0.32434	0.12575	0.16534	0.03249	0.041662	0.43497	0.25668	0.15209	0.093007
Meth__cg13496736__OVOL1	0.10847	0.095285	0.11774	0.11128	0.039861	0.96726	0.081658	0.97713	0.10965	0.031532	0.053561	0.2139	0.31223	0.10866	0.016024	0.041202	0.83519	0.30538	0.11567	0.67063	0.037037	0.11069	0.043535	0.97239	0.050448	0.8639	0.082814	0.049196	0.08762	0.092716	0.18602	0.11522	0.62323	0.025162	0.028514	0.027825	0.11706	0.40294	0.34891
Meth__cg22736354__NHLRC1	0.26072	0.043568	0.88071	0.17908	0.11528	0.94956	0.21007	0.50641	0.20141	0.077733	0.062783	0.91543	0.23705	0.50463	0.05946	0.071605	0.07744	0.073402	0.13568	0.38253	0.16193	0.23457	0.59964	0.56735	0.46668	0.91785	0.10005	0.085749	0.13149	0.0788	0.079896	0.85622	0.66019	0.11298	0.048883	0.19728	0.13589	0.84848	0.70604
Meth__cg06276653__C8ORFK32	0.8494	0.0515	0.094418	0.89647	0.04093	0.079771	0.49104	0.2077	0.70741	0.035667	0.096887	0.88454	0.66948	0.13993	0.033301	0.078235	0.71585	0.46372	0.0821	0.037597	0.040236	0.042983	0.83714	0.046921	0.89878	0.12648	0.054398	0.076528	0.32567	0.091195	0.42556	0.31164	0.047428	0.052351	0.036792	0.6451	0.06813	0.27985	0.12771
Meth__cg25018755__BIK	0.038604	0.034844	0.041902	0.044398	0.023592	0.63567	0.032922	0.11487	0.046446	0.025471	0.033515	0.40828	0.02332	0.055866	0.020972	0.023407	0.044294	0.0492	0.032626	0.76191	0.031472	0.036237	0.03653	0.031408	0.036198	0.11065	0.089939	0.03603	0.086517	0.054471	0.10179	0.031526	0.072915	0.020958	0.024542	0.025647	0.092637	0.029738	0.051292
Meth__cg00775197__MGC33600	0.37213	0.094818	0.74553	0.09025	0.069916	0.6017	0.25383	0.77533	0.34106	0.079099	0.056413	0.62196	0.19303	0.50474	0.099555	0.079988	0.26688	0.12961	0.13149	0.47228	0.11181	0.10776	0.076611	0.17667	0.28462	0.79665	0.065904	0.085405	0.7657	0.13644	0.24588	0.30259	0.36511	0.11406	0.048817	0.4405	0.12195	0.16662	0.47504
Meth__cg15642035__C8ORFK32	0.77549	0.20043	0.18851	0.8502	0.0679	0.11184	0.16871	0.28796	0.5029	0.17703	0.1487	0.80533	0.17131	0.34635	0.10124	0.12924	0.1899	0.23436	0.20348	0.11203	0.11913	0.15249	0.57991	0.1193	0.91675	0.24373	0.13696	0.25247	0.18506	0.31085	0.43278	0.1562	0.17521	0.12856	0.074485	0.14307	0.16595	0.28151	0.4299
Meth__cg20353465__ABHD1	0.061278	0.055752	0.07989	0.57764	0.064113	0.91169	0.071832	0.6775	0.067365	0.056389	0.06091	0.16949	0.1466	0.62978	0.038321	0.059208	0.47702	0.18695	0.11046	0.07002	0.044507	0.056983	0.064846	0.059856	0.050428	0.71759	0.089287	0.1362	0.14539	0.17314	0.072143	0.29704	0.069778	0.045906	0.057168	0.048107	0.11635	0.061381	0.080226
Meth__cg07015629__ERBB4	0.028972	0.021499	0.97683	0.028247	0.027846	0.59754	0.024187	0.095181	0.028632	0.0257	0.018349	0.49682	0.037232	0.12567	0.021286	0.02063	0.17622	0.10898	0.10278	0.37226	0.029687	0.033638	0.050644	0.038869	0.46017	0.66832	0.024732	0.033371	0.10227	0.038201	0.031529	0.024754	0.25318	0.016617	0.022457	0.015801	0.094244	0.023187	0.02297
Meth__cg05650171__PFDN2	0.14681	0.019972	0.051078	0.3404	0.044423	0.9392	0.035593	0.7236	0.069729	0.03538	0.03233	0.15523	0.74829	0.052499	0.039392	0.03396	0.18963	0.55892	0.024454	0.68593	0.039387	0.061155	0.10986	0.73958	0.67544	0.87246	0.040694	0.081198	0.12513	0.036346	0.043486	0.81955	0.32812	0.11947	0.021285	0.038284	0.056529	0.073029	0.0442
Meth__cg15856055__ZNF511	0.10907	0.076625	0.45662	0.2137	0.07098	0.75434	0.13097	0.59195	0.1839	0.10692	0.11932	0.12576	0.48033	0.19231	0.11323	0.087463	0.14645	0.41767	0.1078	0.50479	0.071195	0.093719	0.15988	0.42259	0.25448	0.41294	0.091023	0.14201	0.12438	0.18684	0.10969	0.13865	0.2977	0.088975	0.073179	0.073964	0.097943	0.059835	0.09375
Meth__cg12999109__ASAH3	0.1046	0.038674	0.17023	0.053287	0.03652	0.92898	0.075771	0.90875	0.92298	0.064464	0.042691	0.80096	0.39293	0.37811	0.052974	0.063894	0.88193	0.94787	0.1373	0.70766	0.074811	0.079126	0.073119	0.92101	0.048147	0.86271	0.063345	0.14187	0.24839	0.075923	0.9203	0.44319	0.94559	0.043162	0.046024	0.049245	0.11597	0.057515	0.082597
Meth__cg13492340__ITGA8	0.42744	0.040959	0.91202	0.55906	0.043771	0.64919	0.26928	0.10193	0.74213	0.36156	0.072187	0.89179	0.65828	0.66535	0.53238	0.40006	0.1491	0.35799	0.13346	0.43083	0.14567	0.13592	0.082534	0.077908	0.71865	0.66374	0.068259	0.041274	0.52996	0.18375	0.43937	0.52583	0.30434	0.099144	0.05272	0.31875	0.085639	0.66726	0.44125
Meth__cg13397379__OR2C3	0.66172	0.017001	0.21709	0.38944	0.048304	0.62305	0.58342	0.33504	0.67434	0.01717	0.030705	0.56886	0.79678	0.1192	0.025338	0.08287	0.48027	0.49497	0.048011	0.018126	0.027299	0.031291	0.87857	0.12127	0.52188	0.40912	0.056057	0.046202	0.428	0.035371	0.066727	0.75452	0.049427	0.35521	0.045074	0.074362	0.029918	0.24402	0.26688
Meth__cg08141806__FBXO21	0.28261	0.046986	0.38049	0.054214	0.023885	0.080999	0.099975	0.10323	0.068456	0.046598	0.034483	0.052425	0.048607	0.096262	0.046924	0.041506	0.046038	0.059151	0.06961	0.20953	0.028621	0.05141	0.12738	0.064533	0.10447	0.043194	0.051718	0.028758	0.59833	0.11159	0.048868	0.30724	0.041087	0.030251	0.026284	0.038254	0.049837	0.062075	0.045844
Meth__cg06043042__NEUROG3	0.15624	0.049172	0.29622	0.10043	0.096935	0.88662	0.089643	0.4298	0.44942	0.058683	0.056037	0.26245	0.239	0.22819	0.12933	0.054236	0.23365	0.25997	0.1094	0.03377	0.044484	0.11284	0.79019	0.11994	0.19789	0.80528	0.10266	0.085232	0.19796	0.07577	0.08662	0.12003	0.060688	0.056438	0.03999	0.1634	0.10687	0.16215	0.18044
