Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1
EA_G__KLK8	5.603	5.4796	7.03	5.5998	5.8405	5.5788	5.5953	6.4393	7.535	5.4818	5.7206	7.8264	8.2141	6.7011	5.7217	5.5303	5.979	5.4428	5.856	5.6216	5.4979	5.4527	5.6829	5.5983	5.2973	5.6231	6.3025	6.042	5.828	5.8264	5.921	5.6875	6.9151	6.9526	6.0285	7.1964	5.9249	5.5943
Meth__cg19110523__ADRB2	0.088686	0.060577	0.78505	0.10847	0.83385	0.54839	0.092314	0.054837	0.91311	0.3748	0.89507	0.94718	0.65744	0.67749	0.031363	0.13932	0.93108	0.25875	0.088651	0.099612	0.28453	0.079393	0.0702	0.045333	0.073206	0.049006	0.86594	0.079473	0.63702	0.035455	0.092911	0.086909	0.035075	0.94119	0.045059	0.56553	0.82264	0.73407
EA_G__KLK5	8.8612	5.7268	10.7442	6.0015	6.5371	5.7592	5.6518	9.3419	10.3177	5.4802	5.8684	11.5373	11.1011	7.6912	9.4852	5.6833	10.4309	5.7396	6.3454	5.8009	5.6215	5.6034	6.2514	5.7069	5.5741	7.0938	6.284	5.6274	6.8851	5.9581	5.7464	5.8626	11.8009	9.7617	5.9085	7.268	6.058	5.8419
Meth__cg18180155__RIBC2	0.39572	0.04953	0.072695	0.037936	0.034353	0.37333	0.10535	0.31235	0.032711	0.079585	0.039447	0.04625	0.089948	0.033891	0.24395	0.065789	0.051828	0.048177	0.454	0.043552	0.65138	0.34918	0.3227	0.074815	0.062309	0.058407	0.090524	0.1662	0.042181	0.27491	0.049566	0.037159	0.024538	0.024018	0.077699	0.042916	0.12727	0.47528
Meth__cg05228408__CLCN6	0.2548	0.18508	0.10262	0.17733	0.12086	0.3351	0.22947	0.095578	0.067816	0.30068	0.055323	0.13005	0.17672	0.0862	0.16596	0.1123	0.10295	0.44382	0.18686	0.24813	0.3988	0.73759	0.28341	0.35072	0.24403	0.31365	0.063676	0.18291	0.047606	0.039759	0.47595	0.44419	0.072604	0.11229	0.10744	0.14941	0.068446	0.10838
EA_G__SEMA3C	8.069	9.1401	7.5785	9.1859	10.4515	8.8093	10.252	8.3533	6.0853	8.2561	2.9137	8.189	6.9055	7.6525	7.8528	9.5119	5.7494	8.8637	9.3505	9.0614	9.376	8.7573	9.5439	7.5268	8.9922	9.0283	7.2292	8.1014	8.6894	8.9908	8.3935	9.8733	8.7874	7.4464	10.0913	7.4908	7.3997	7.5159
Meth__cg03972838__FLJ20232	0.028581	0.017815	0.020966	0.021194	0.028841	0.6982	0.020481	0.68681	0.021515	0.022309	0.44842	0.05059	0.041092	0.019283	0.22533	0.95374	0.020229	0.083936	0.062454	0.17862	0.48301	0.68524	0.22966	0.53528	0.083977	0.062417	0.024011	0.022876	0.019499	0.17901	0.025816	0.4774	0.016249	0.014743	0.037481	0.04039	0.023372	0.023045
EA_G__GSTM3	8.0698	7.449	3.4929	5.7313	4.5577	6.0098	9.8597	4.8644	4.4013	7.5689	6.5758	6.6997	6.1129	5.4939	7.4629	7.5308	6.716	4.9597	7.8988	9.2639	9.4711	7.7049	8.4579	7.2508	8.4069	10.4361	3.6536	8.2088	6.8352	5.3282	3.5419	4.5874	7.3592	9.5481	8.8951	4.6443	3.9974	3.6998
Meth__cg13560436__DKFZP781I1119	0.076119	0.27891	0.69628	0.5307	0.20292	0.14935	0.18612	0.3894	0.78235	0.12166	0.18736	0.86376	0.63007	0.67324	0.58511	0.08541	0.28827	0.08544	0.14395	0.078363	0.3198	0.096159	0.13309	0.5418	0.23856	0.086503	0.62661	0.1737	0.067579	0.074367	0.29558	0.064764	0.22273	0.12164	0.11102	0.17168	0.23615	0.1984
Meth__cg23503501__RIBC2	0.060055	0.094974	0.044818	0.040833	0.027809	0.33056	0.046689	0.48071	0.038957	0.042076	0.047087	0.090665	0.14866	0.030672	0.33503	0.031644	0.053699	0.060678	0.50067	0.041824	0.30391	0.55301	0.36515	0.058598	0.036693	0.061182	0.065549	0.19894	0.03548	0.14301	0.064183	0.03631	0.018186	0.02599	0.083089	0.037592	0.063898	0.5522
Meth__cg10294836__DYRK1B	0.068206	0.072411	0.616	0.089036	0.11519	0.068847	0.0728	0.063415	0.074121	0.088669	0.5352	0.44593	0.63623	0.15893	0.075541	0.5361	0.59604	0.93363	0.088167	0.078043	0.073339	0.1043	0.072356	0.10307	0.088274	0.097552	0.11697	0.13582	0.080727	0.90781	0.89142	0.056172	0.91942	0.084668	0.13494	0.91606	0.59892	0.38215
Meth__cg21256649__PRKAR1A	0.082843	0.054249	0.10385	0.17263	0.08999	0.061599	0.20011	0.083117	0.36152	0.085165	0.046333	0.12298	0.2874	0.32078	0.043671	0.053021	0.15926	0.31339	0.19868	0.10274	0.14879	0.07871	0.055125	0.21859	0.16919	0.096048	0.38318	0.12571	0.22112	0.043257	0.73943	0.059229	0.10886	0.13826	0.12769	0.21047	0.13462	0.057047
EA_G__IFI27	7.372	5.8765	5.8672	5.9634	6.5869	5.8995	5.4532	5.5807	8.8289	5.9176	5.9609	8.4091	9.0494	5.719	5.6297	5.5432	10.2193	5.4534	6.2246	5.9099	5.7179	5.6424	6.2605	5.5659	5.7446	7.0341	6.5357	5.8964	6.6504	8.3749	6.7455	5.9171	10.8426	5.8441	6.2312	5.7468	5.9358	5.876
Meth__cg01667702__TRAPPC1	0.056086	0.093665	0.067437	0.23535	0.12356	0.041146	0.096364	0.099384	0.42794	0.076868	0.14167	0.76621	0.082978	0.26212	0.12527	0.053302	0.088277	0.05771	0.068763	0.049359	0.10977	0.054223	0.12843	0.051052	0.075316	0.065084	0.15968	0.082492	0.070067	0.11255	0.096967	0.059343	0.098483	0.060585	0.20306	0.094997	0.082504	0.063562
