Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	1	1	1	1	-1	-1
Meth__cg17838626__PHCA	0.045983	0.032922	0.43026	0.082752	0.036532	0.13466	0.074197	0.099172	0.079409	0.044459	0.081844	0.096571	0.10608	0.031107	0.058514	0.065784	0.42451	0.062181	0.28608	0.051866	0.051477	0.13256	0.070779	0.047949	0.099404	0.061713	0.083956	0.057513	0.061092	0.031777	0.19049	0.048516	0.041844	0.037843	0.10474	0.040635	0.098479	0.085164
Meth__cg03883348__KLC3	0.043523	0.042558	0.30754	0.75109	0.12148	0.72197	0.20696	0.13963	0.030603	0.24703	0.53574	0.14955	0.25453	0.069762	0.061615	0.154	0.37459	0.11948	0.40407	0.23669	0.090816	0.11866	0.24171	0.046688	0.50006	0.49828	0.29818	0.10397	0.063822	0.073966	0.46028	0.12888	0.13246	0.057385	0.041302	0.042099	0.2309	0.10165
Meth__cg18452324__MFNG	0.06418	0.062034	0.96248	0.81214	0.11045	0.94321	0.090204	0.96782	0.080558	0.25396	0.79897	0.93495	0.93502	0.040529	0.075253	0.66978	0.95954	0.87473	0.38049	0.10311	0.088107	0.050569	0.95555	0.031954	0.086626	0.079184	0.054585	0.21509	0.10774	0.076607	0.28232	0.030183	0.037569	0.13773	0.075509	0.048495	0.67581	0.58438
Meth__cg15443822__ATP2A3	0.11411	0.020918	0.83824	0.03511	0.047061	0.42492	0.58817	0.65203	0.026584	0.24768	0.38707	0.85906	0.61688	0.023735	0.1263	0.44717	0.64477	0.053686	0.021063	0.025446	0.026281	0.10301	0.74845	0.030621	0.44131	0.025094	0.21788	0.10346	0.059711	0.022819	0.12921	0.063191	0.022467	0.60681	0.037795	0.024403	0.039703	0.034722
Meth__cg06117855__CLEC3B	0.045261	0.054418	0.91015	0.10858	0.039315	0.83982	0.070184	0.94735	0.05711	0.055796	0.19976	0.82383	0.25827	0.043121	0.049985	0.13727	0.21962	0.098188	0.035615	0.04931	0.11105	0.032825	0.88844	0.050398	0.45706	0.089976	0.11861	0.076369	0.12579	0.070477	0.55625	0.058381	0.039526	0.11426	0.059652	0.042773	0.070586	0.078879
Meth__cg27383956__FLJ13265	0.03109	0.044627	0.94986	0.05002	0.049315	0.88459	0.048568	0.98124	0.31235	0.048619	0.95776	0.89548	0.85139	0.063695	0.29594	0.96099	0.75764	0.70933	0.74376	0.10065	0.04704	0.086473	0.95444	0.10301	0.57359	0.042971	0.084074	0.13299	0.055699	0.054876	0.94499	0.067977	0.080572	0.78281	0.094811	0.039587	0.20177	0.14567
Meth__cg13496736__OVOL1	0.10847	0.095285	0.11774	0.11128	0.039861	0.96726	0.081658	0.10965	0.031532	0.053561	0.2139	0.31223	0.10866	0.016024	0.041202	0.83519	0.30538	0.11567	0.67063	0.037037	0.11069	0.043535	0.97239	0.050448	0.8639	0.082814	0.049196	0.08762	0.092716	0.18602	0.11522	0.62323	0.028514	0.027825	0.11706	0.03852	0.40294	0.34891
Meth__cg12356261__NES	0.054918	0.052309	0.75496	0.20091	0.15627	0.52144	0.1757	0.66815	0.26774	0.38804	0.1365	0.64485	0.75319	0.051193	0.23699	0.72665	0.76091	0.10364	0.13266	0.039576	0.063755	0.041668	0.76753	0.045433	0.059235	0.038673	0.078858	0.083031	0.07495	0.049182	0.29523	0.59285	0.046712	0.49895	0.074279	0.044908	0.060586	0.33501
Meth__cg15461516__CHST1	0.056819	0.04921	0.94665	0.15465	0.11691	0.88059	0.8871	0.51683	0.028381	0.10035	0.91691	0.13708	0.5936	0.061042	0.043431	0.36393	0.23807	0.13908	0.14488	0.12283	0.36238	0.040037	0.06476	0.12959	0.86049	0.056831	0.18326	0.062754	0.054271	0.042842	0.090246	0.26273	0.033003	0.67447	0.093454	0.35632	0.41852	0.35067
Meth__cg21832243__TTC3	0.13711	0.23406	0.60887	0.15828	0.12552	0.37517	0.15572	0.62452	0.12283	0.13416	0.2152	0.59431	0.81122	0.14937	0.13027	0.82389	0.63473	0.36332	0.16294	0.13184	0.17234	0.15189	0.70032	0.088712	0.29372	0.17443	0.27817	0.14617	0.1795	0.11292	0.15256	0.19602	0.19129	0.16153	0.13714	0.092547	0.21091	0.12703
Meth__cg27285599__FLJ13841	0.056612	0.050539	0.62383	0.057414	0.042154	0.90618	0.059638	0.88838	0.049905	0.062617	0.64787	0.1119	0.19066	0.22454	0.051407	0.71732	0.8969	0.20849	0.90339	0.050433	0.059802	0.060611	0.88602	0.047621	0.89484	0.064811	0.10026	0.085314	0.09468	0.71524	0.47178	0.85135	0.055101	0.11882	0.063553	0.061965	0.059326	0.11601
Meth__cg04355435__TMEM125	0.03376	0.031498	0.036961	0.058673	0.034024	0.87813	0.058741	0.040345	0.035671	0.041456	0.93379	0.062036	0.074948	0.030277	0.025121	0.13934	0.64199	0.096695	0.052938	0.021999	0.0392	0.034136	0.83238	0.035908	0.59318	0.03952	0.08046	0.036822	0.052555	0.040631	0.02143	0.069782	0.024152	0.025979	0.09948	0.041487	0.061021	0.042498
Meth__cg01942127__CACNA1D	0.026735	0.019119	0.69214	0.025508	0.023464	0.96134	0.098449	0.96152	0.52563	0.031425	0.60306	0.39044	0.70583	0.16988	0.37221	0.63042	0.67275	0.3584	0.083118	0.023921	0.038542	0.02817	0.56087	0.039639	0.92015	0.42076	0.027828	0.078677	0.034138	0.077914	0.28179	0.091375	0.04831	0.097849	0.049678	0.034957	0.1477	0.043028
Meth__cg11003133__AIM2	0.11444	0.056816	0.087387	0.1735	0.059821	0.27018	0.10168	0.5169	0.61313	0.069625	0.77495	0.56362	0.28909	0.033128	0.46667	0.55186	0.83763	0.072844	0.17965	0.091302	0.075763	0.11222	0.8	0.049254	0.69517	0.10573	0.25074	0.36955	0.077824	0.079103	0.88709	0.12508	0.040137	0.053726	0.096249	0.098749	0.12584	0.098651
Meth__cg27648946__RHOBTB1	0.094307	0.074576	0.089362	0.13993	0.078052	0.79831	0.20646	0.84827	0.19471	0.058956	0.70694	0.52147	0.24935	0.042739	0.17597	0.3361	0.31514	0.18854	0.67314	0.07189	0.080154	0.06643	0.1215	0.05526	0.3759	0.14613	0.18424	0.75419	0.072351	0.085406	0.35233	0.073378	0.084916	0.30742	0.06972	0.071443	0.10163	0.15385
