Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	-1	-1	1
Meth__cg18164599__HPGD	0.061841	0.046395	0.57136	0.06405	0.02889	0.15614	0.050742	0.14014	0.044074	0.072713	0.052359	0.066011	0.12039	0.050749	0.068806	0.09634	0.05672	0.050023	0.046108	0.07174	0.33155	0.051051	0.052306	0.063904	0.051993	0.059807	0.092747	0.079715	0.044757	0.036025	0.054244	0.049503	0.046598	0.79992	0.10182	0.06285	0.06624	0.0455
Meth__cg24113449__ADRBK2	0.21043	0.069616	0.79306	0.10117	0.1323	0.47439	0.24466	0.18162	0.11687	0.27612	0.23964	0.25736	0.58738	0.078615	0.079743	0.25053	0.194	0.29438	0.23991	0.20666	0.14256	0.11866	0.28209	0.70258	0.056541	0.09265	0.53603	0.13028	0.041012	0.05483	0.099169	0.2427	0.060012	0.39361	0.15232	0.25418	0.068955	0.044483
Meth__cg02657360__H19	0.31964	0.041697	0.23596	0.081668	0.53404	0.69735	0.11566	0.28977	0.076597	0.84892	0.62975	0.87579	0.70408	0.070743	0.12836	0.14376	0.12608	0.050652	0.28906	0.3508	0.467	0.21727	0.25616	0.16596	0.096187	0.068258	0.11703	0.089755	0.0349	0.11232	0.045181	0.77887	0.044126	0.79718	0.12025	0.87963	0.09633	0.053448
Meth__cg05045781__FHL3	0.073157	0.059329	0.47332	0.40637	0.13797	0.21844	0.11833	0.17362	0.22033	0.25619	0.089823	0.41154	0.14809	0.2243	0.10335	0.14557	0.13788	0.12676	0.11995	0.29767	0.13443	0.1143	0.30142	0.40821	0.08839	0.10129	0.074345	0.1155	0.054221	0.053313	0.11675	0.66179	0.057817	0.087396	0.093648	0.13832	0.11363	0.11984
Meth__cg11718090__NOTCH2NL	0.080708	0.061866	0.33915	0.14987	0.04319	0.33002	0.062427	0.095758	0.18309	0.062932	0.041452	0.28099	0.21761	0.19046	0.068366	0.095007	0.070025	0.063062	0.11434	0.13226	0.31457	0.062703	0.073895	0.30647	0.098435	0.052083	0.29189	0.10619	0.042358	0.14758	0.054994	0.29329	0.05633	0.077764	0.061144	0.087356	0.050041	0.062433
Meth__cg00466249__MGC15523	0.092023	0.065303	0.2403	0.071753	0.15167	0.76543	0.1075	0.35207	0.37706	0.20109	0.10238	0.63695	0.43023	0.32491	0.36145	0.24243	0.083399	0.89086	0.044207	0.068353	0.41842	0.77008	0.20009	0.25636	0.06278	0.14313	0.10094	0.12175	0.32064	0.047963	0.23162	0.53284	0.095648	0.53721	0.19014	0.32812	0.086398	0.070755
Meth__cg04280397__PLA2G6	0.095616	0.065496	0.081028	0.066962	0.046924	0.12719	0.056582	0.66385	0.066114	0.062865	0.049498	0.10397	0.10002	0.078808	0.057759	0.056098	0.097728	0.213	0.070337	0.070103	0.069827	0.057008	0.027695	0.080119	0.044112	0.060406	0.089402	0.0892	0.041341	0.039022	0.053482	0.046987	0.036175	0.064474	0.047323	0.061887	0.066728	0.07634
Meth__cg15641998__DHRS8	0.058812	0.047783	0.076703	0.054165	0.038851	0.058108	0.06181	0.086404	0.057344	0.080104	0.045588	0.10737	0.078177	0.066674	0.057894	0.057244	0.09507	0.067329	0.046828	0.067332	0.47406	0.06446	0.033664	0.10386	0.065423	0.11853	0.077929	0.13289	0.044774	0.059178	0.047675	0.16131	0.046753	0.067291	0.090427	0.05968	0.063352	0.054768
Meth__cg19564367__AFAP	0.41481	0.053954	0.60929	0.18704	0.095033	0.17969	0.074802	0.13911	0.10602	0.16103	0.058029	0.25049	0.25032	0.10293	0.14875	0.84578	0.27509	0.49625	0.21437	0.3123	0.2991	0.067583	0.086626	0.17079	0.30203	0.10755	0.16675	0.11638	0.04538	0.077792	0.48263	0.15488	0.4848	0.33088	0.1117	0.18893	0.14709	0.07742
Meth__cg22981461__OTUB2	0.072015	0.056726	0.1289	0.17213	0.10021	0.28052	0.10995	0.8081	0.14025	0.080838	0.10428	0.52221	0.079534	0.13539	0.070222	0.52634	0.075279	0.094286	0.23657	0.28807	0.056835	0.041194	0.049113	0.13409	0.083026	0.098183	0.11855	0.074995	0.047253	0.066913	0.081234	0.16105	0.059565	0.10784	0.058743	0.16086	0.071169	0.066095
Meth__cg00768439__NAP1L3	0.53531	0.045781	0.89002	0.052288	0.32945	0.62118	0.9117	0.60576	0.26239	0.2656	0.076942	0.79752	0.37203	0.26003	0.067948	0.38595	0.3531	0.037672	0.063291	0.071953	0.52151	0.067254	0.45965	0.45674	0.053264	0.089327	0.41213	0.11032	0.063392	0.040169	0.37107	0.05007	0.043867	0.8934	0.19429	0.55812	0.37409	0.047519
Meth__cg08528984__PRDM16	0.97909	0.028032	0.52851	0.06355	0.063284	0.98506	0.97389	0.98457	0.40929	0.078194	0.98512	0.99051	0.41609	0.45936	0.015973	0.021422	0.074211	0.50682	0.94892	0.98248	0.42383	0.080675	0.14888	0.97715	0.082156	0.033297	0.94272	0.32738	0.018602	0.067716	0.11462	0.020956	0.025113	0.91093	0.1794	0.98431	0.2303	0.050433
