Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	1	-1	1	1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	-1	1	1	1
RS_G402__CD74__CD74	4.4509	2.0172	0.18629	6.0079	0	2.2892	5.7658	3.7089	3.9676	9.1643	2.2907	2.4563	0	2.0276	10.3163	0.89633	2.7804	0.59187	4.2963	0.96601	0.79006	0.54729	0	3.046	4.6483	0.35449	6.7285	8.8965	0.93132	0.1982	0
Meth__cg16741710__TP73	0.082847	0.50395	0.81316	0.033461	0.92355	0.72836	0.062602	0.053739	0.083933	0.056929	0.91119	0.5217	0.68498	0.31028	0.1451	0.16924	0.93032	0.4616	0.536	0.60706	0.054836	0.090336	0.4254	0.38276	0.85353	0.5363	0.063014	0.055561	0.47588	0.2374	0.081294
RS_G7691__FXYD6__FXYD6	5.7685	2.1274	2.1789	3.8716	0	0.3027	5.739	6.4826	6.0859	4.7351	0.27962	0.541	4.212	1.002	0.38471	0.17696	4.1257	3.1482	4.4754	0	2.9596	0	0	1.1793	0.55351	0	5.0247	3.1366	2.8838	1.1372	1.5806
RS_G3022__DHDH__DHDH	2.4187	2.2579	0	2.616	0.76248	0.93381	3.6498	2.8425	5.3073	4.9283	1.7072	3.3883	2.7314	0.60282	5.2884	0.84227	3.6193	2.6151	1.6583	1.1133	1.3322	1.9645	0	4.6054	2.7517	3.0985	3.2846	4.2986	3.1819	0.27085	1.8332
RS_G22701__ATP10A__ATP10A	7.5074	0.25087	0	2.7124	0	0	4.4453	0.069701	4.892	4.9408	0	0	4.6253	0.75404	4.7523	3.1988	1.6168	0	0	3.3339	0.08933	0.17543	0	6.5671	0.10086	6.3999	5.6339	5.6284	3.9525	0	1.7496
Meth__cg11065385__B4GALNT3	0.021913	0.042264	0.086399	0.033125	0.95205	0.028177	0.045366	0.023575	0.030575	0.061224	0.18053	0.049509	0.074944	0.078844	0.043921	0.35204	0.041028	0.054018	0.046872	0.84555	0.047002	0.083704	0.066879	0.03715	0.17562	0.27106	0.050144	0.039707	0.039722	0.10593	0.28333
Meth__cg04880063__SFXN3	0.050362	0.47603	0.57528	0.052925	0.34047	0.082453	0.048412	0.057213	0.062293	0.20464	0.48195	0.07018	0.38446	0.063528	0.074783	0.029924	0.1132	0.11232	0.10077	0.34229	0.13603	0.42607	0.39456	0.030531	0.43567	0.12804	0.10191	0.046219	0.10504	0.49361	0.057191
RS_G10434__AC092610.10__AC092610.10	0.53982	3.8979	2.4712	3.9725	2.342	3.0984	3.957	4.0749	3.4835	3.7821	3.7533	1.0944	2.4145	2.8538	0	2.7075	3.4427	3.675	2.5506	2.8224	1.1253	0.25165	1.8735	4.936	0	2.8295	5.803	5.5597	3.2986	1.8686	3.0615
Meth__cg02128567__KCNK5	0.027432	0.034767	0.091834	0.031232	0.98454	0.048709	0.044876	0.023146	0.045549	0.029614	0.46257	0.069087	0.032087	0.03236	0.076503	0.31617	0.12233	0.088607	0.14688	0.55417	0.63545	0.95948	0.049509	0.051398	0.043662	0.64122	0.11654	0.03463	0.072119	0.15965	0.041909
Meth__cg09461185__PTGS2	0.27461	0.038629	0.91049	0.04068	0.86779	0.82195	0.037314	0.062703	0.036939	0.080099	0.51721	0.56406	0.4099	0.047833	0.070196	0.1417	0.39501	0.30875	0.8876	0.07389	0.51176	0.36239	0.093631	0.032751	0.035625	0.31282	0.069041	0.16368	0.74684	0.33993	0.69057
Meth__cg19478743__CXCL16	0.057203	0.91745	0.075086	0.041705	0.56923	0.070862	0.05286	0.042442	0.08427	0.065224	0.11272	0.043426	0.94058	0.076221	0.10403	0.12385	0.085743	0.075012	0.085477	0.7835	0.056325	0.15292	0.49551	0.060698	0.043761	0.50073	0.055945	0.047076	0.047644	0.069421	0.082939
Meth__cg20881054__VASH1	0.12071	0.31143	0.17069	0.095339	0.16707	0.73786	0.18168	0.047555	0.075942	0.037927	0.61448	0.67126	0.064587	0.062105	0.27071	0.035117	0.91908	0.65915	0.13443	0.84592	0.41229	0.92224	0.10858	0.034965	0.041919	0.43181	0.053937	0.038439	0.12155	0.20172	0.15701
Meth__cg15364537__MFSD4	0.056693	0.40783	0.61152	0.077646	0.89274	0.72975	0.043005	0.048755	0.064689	0.080726	0.94665	0.37587	0.81699	0.052281	0.060861	0.04076	0.10699	0.60519	0.18582	0.95146	0.72027	0.96833	0.18095	0.059419	0.37721	0.9847	0.1322	0.47134	0.28902	0.86102	0.11638
Meth__cg20699736__VAX2	0.10919	0.22933	0.10454	0.14927	0.31776	0.43366	0.043405	0.14534	0.070087	0.059149	0.76703	0.068577	0.28666	0.062309	0.069824	0.3766	0.20507	0.24149	0.16609	0.5656	0.29541	0.72788	0.11251	0.058948	0.029255	0.79616	0.065822	0.063298	0.091466	0.30535	0.40188
RS_G7629__CLPS__CLPS	0.64757	0.39797	0.47804	4.1686	0	0	2.6577	7.2248	5.6025	0.63906	0	0	0	0	1.542	0.84833	0	0	0	0	1.6654	0	0	0	0	4.9291	0.86004	3.2082	3.7855	0	0
Meth__cg06994747__ADAMTS10	0.10111	0.23837	0.14425	0.097217	0.080007	0.44607	0.074357	0.083046	0.089396	0.073868	0.28615	0.76537	0.10217	0.12019	0.13141	0.13437	0.18516	0.12418	0.071314	0.88686	0.5385	0.46039	0.15561	0.077263	0.087157	0.76258	0.15024	0.088105	0.083813	0.18695	0.10429
Meth__cg08700651__IL28RA	0.14158	0.85916	0.41057	0.080806	0.87757	0.65784	0.14156	0.095179	0.073829	0.28835	0.86666	0.31855	0.086583	0.49599	0.37763	0.40924	0.63533	0.59873	0.43427	0.55716	0.27176	0.18042	0.17372	0.62852	0.37593	0.92037	0.06393	0.14553	0.13935	0.40461	0.19756
Meth__cg27279652__ITPR2	0.049027	0.065964	0.090572	0.043124	0.51022	0.058958	0.060128	0.036427	0.065351	0.02558	0.29924	0.027685	0.17278	0.045424	0.13092	0.036585	0.037843	0.05416	0.055662	0.0757	0.11388	0.15701	0.11	0.03493	0.070939	0.36079	0.060323	0.034792	0.24915	0.086907	0.14887
Meth__cg14218343__ZNF32	0.05424	0.13378	0.57991	0.060441	0.72218	0.41963	0.059476	0.045419	0.065891	0.32453	0.22602	0.033378	0.22973	0.072624	0.083199	0.11626	0.054934	0.065824	0.13268	0.4556	0.20389	0.10081	0.092292	0.033402	0.48132	0.20902	0.062574	0.046082	0.14699	0.11718	0.26473
Meth__cg17878972__HRASLS	0.062828	0.3283	0.63805	0.038612	0.057541	0.080825	0.028549	0.063224	0.068438	0.050309	0.12714	0.26967	0.22127	0.080075	0.099439	0.10906	0.68877	0.81626	0.10395	0.43245	0.16463	0.27989	0.18618	0.096731	0.051574	0.065148	0.15132	0.060294	0.060324	0.11049	0.059576
Meth__cg05677402__UBE2L6	0.03114	0.65472	0.96997	0.020964	0.44437	0.022308	0.017753	0.025652	0.020637	0.01437	0.046187	0.019694	0.49791	0.026569	0.063647	0.016515	0.048202	0.19931	0.038819	0.070125	0.27073	0.046394	0.42333	0.024494	0.026142	0.017814	0.048953	0.02274	0.43695	0.055653	0.75832
Meth__cg25778479__ANKMY2	0.13868	0.059934	0.17621	0.40256	0.073638	0.094149	0.1289	0.19328	0.08907	0.36464	0.063223	0.1571	0.12768	0.058815	0.10553	0.080937	0.13785	0.087484	0.08313	0.12266	0.10698	0.081333	0.11472	0.081179	0.079984	0.050818	0.28035	0.52473	0.074087	0.22203	0.061239
Meth__cg09276883__HHAT	0.040686	0.026753	0.68792	0.15945	0.28357	0.16232	0.075263	0.064681	0.099881	0.15594	0.49253	0.34869	0.10092	0.31751	0.22382	0.022208	0.17722	0.25399	0.41908	0.17009	0.29964	0.29504	0.069002	0.029402	0.049595	0.10222	0.045416	0.046447	0.12382	0.36767	0.10441
Meth__cg05732530__DUSP2	0.033096	0.27743	0.050073	0.026955	0.58939	0.037165	0.029875	0.035716	0.029074	0.094371	0.71303	0.026204	0.65093	0.021097	0.045956	0.21268	0.57472	0.58622	0.4521	0.96375	0.22509	0.093569	0.18325	0.032656	0.86347	0.57819	0.05839	0.035471	0.025809	0.076085	0.038494
Meth__cg12085660__C19orf37	0.096612	0.11709	0.11415	0.093653	0.57334	0.10625	0.076244	0.10627	0.098595	0.071639	0.29165	0.1457	0.098853	0.14697	0.15202	0.10774	0.092345	0.10739	0.10059	0.10033	0.12511	0.106	0.10248	0.085	0.086536	0.079217	0.082914	0.092851	0.093213	0.15255	0.088456
Meth__cg18489434__VASH1	0.02591	0.062511	0.03072	0.019924	0.04804	0.91829	0.017826	0.019703	0.025068	0.023749	0.8641	0.89591	0.018211	0.010102	0.06052	0.019013	0.9583	0.64823	0.024404	0.90165	0.26311	0.93095	0.03111	0.014456	0.017027	0.30975	0.042539	0.017709	0.03902	0.081398	0.02921
Meth__cg10534672__C1QTNF2	0.061676	0.096851	0.5086	0.18475	0.22592	0.13058	0.064636	0.088123	0.050768	0.086331	0.13523	0.044819	0.17202	0.08149	0.095775	0.046934	0.2957	0.32636	0.088408	0.37114	0.54427	0.13652	0.2526	0.032055	0.05539	0.18227	0.072027	0.046531	0.13108	0.090881	0.74318
Meth__cg09229960__EMD	0.66903	0.031925	0.051031	0.62328	0.017799	0.036934	0.54629	0.73133	0.040569	0.06439	0.066885	0.022903	0.59026	0.58122	0.14771	0.031828	0.025087	0.030224	0.62563	0.056249	0.028426	0.33743	0.043989	0.68559	0.014	0.32617	0.14551	0.78475	0.5802	0.62394	0.029824
Meth__cg24081819__EPHX2	0.035518	0.055295	0.66126	0.033947	0.5966	0.051515	0.064869	0.035306	0.048933	0.047792	0.52956	0.91674	0.043315	0.046901	0.11677	0.43565	0.032483	0.053987	0.039202	0.80517	0.41613	0.11168	0.054207	0.03685	0.55062	0.045465	0.062568	0.04303	0.89636	0.077229	0.88649
Meth__cg15800421__CCR10	0.063282	0.68288	0.54481	0.087386	0.047359	0.41267	0.047096	0.061213	0.072406	0.52434	0.67607	0.80753	0.6879	0.088762	0.10737	0.057732	0.85728	0.83672	0.308	0.077042	0.82966	0.58134	0.55084	0.054517	0.058548	0.66671	0.12519	0.15676	0.58494	0.2834	0.45362
Meth__cg24512400__KLK10	0.12412	0.15566	0.56749	0.26357	0.54754	0.57702	0.037593	0.06507	0.16319	0.022388	0.97008	0.36218	0.62769	0.058556	0.15507	0.027523	0.96806	0.97699	0.60293	0.77849	0.64248	0.95386	0.26524	0.067053	0.034884	0.97729	0.10903	0.33164	0.32557	0.46591	0.06638
Meth__cg08169325__EPIM	0.032037	0.2094	0.67567	0.10782	0.090965	0.29921	0.46134	0.033635	0.060935	0.13096	0.85727	0.050494	0.75057	0.047015	0.23645	0.11831	0.196	0.32591	0.45319	0.072428	0.31128	0.20437	0.088386	0.025078	0.18069	0.8653	0.054553	0.084433	0.13306	0.50501	0.51154
Meth__cg11278262__KRTCAP2	0.043048	0.8449	0.63018	0.71834	0.045802	0.9618	0.02204	0.34647	0.58895	0.34862	0.89904	0.97236	0.89366	0.037604	0.36573	0.059146	0.80822	0.39545	0.040109	0.82567	0.92108	0.94211	0.59195	0.044532	0.54472	0.95963	0.097185	0.044984	0.49784	0.77707	0.3566
Meth__cg18798750__MGC14289	0.049053	0.84478	0.056974	0.055974	0.031635	0.36782	0.046112	0.039793	0.055716	0.040781	0.29286	0.024889	0.52385	0.059337	0.11489	0.29688	0.70531	0.3726	0.093698	0.079285	0.085444	0.087833	0.5349	0.03061	0.035993	0.94839	0.046666	0.040596	0.039115	0.12716	0.055356
Meth__cg10844844__KCNK5	0.045353	0.046784	0.1082	0.051501	0.93447	0.045847	0.078723	0.049055	0.048573	0.088788	0.14181	0.16412	0.071303	0.064668	0.16101	0.20365	0.085412	0.061903	0.04549	0.30666	0.17251	0.89048	0.096294	0.0512	0.29755	0.070856	0.068318	0.056492	0.088064	0.089488	0.099977
Meth__cg08818784__KLK10	0.5101	0.026629	0.48659	0.031376	0.94963	0.58841	0.024941	0.027022	0.43505	0.030064	0.98568	0.87857	0.88063	0.027546	0.0359	0.045195	0.98454	0.98734	0.98767	0.97335	0.67038	0.98305	0.058114	0.038154	0.03906	0.98827	0.058053	0.038743	0.029056	0.77162	0.040967
RS_G11188__KCNF1__KCNF1	1.3379	0.1976	0.63717	10.5681	0	0	3.5403	5.6276	3.1305	1.6245	0.10874	2.6854	0	0.7906	0	0.89517	5.1572	3.4168	5.4132	1.4082	4.5183	0	0	4.6541	0	2.4304	6.7352	8.6752	7.4204	1.3546	5.2494
Meth__cg19937039__SERPINA10	0.64774	0.042989	0.78556	0.46636	0.098803	0.4085	0.93283	0.14964	0.53551	0.44723	0.56938	0.060902	0.36016	0.87777	0.12491	0.15	0.22955	0.20259	0.73609	0.11139	0.21542	0.10148	0.08529	0.72054	0.066276	0.33286	0.53932	0.67268	0.21574	0.27729	0.14878
Meth__cg09109450__FLJ21820	0.53372	0.4463	0.58826	0.063468	0.84907	0.87219	0.06592	0.074278	0.086483	0.052325	0.85664	0.76891	0.53736	0.054398	0.25417	0.06716	0.079201	0.083822	0.19227	0.085733	0.45551	0.14899	0.425	0.11496	0.064153	0.56798	0.071866	0.075027	0.72542	0.14207	0.8516
RS_G6622__BARX1__BARX1	0.22949	0	0	0.14871	0	0	0.23826	0.36785	7.1091	2.0759	0.38231	0.27778	1.3499	7.1959	0	0.31829	0.51427	0.28343	0.33767	0	0	0	0	5.4178	0	0.55638	0.58125	2.9156	0	0	0
Meth__cg00718513__	0.28091	0.04774	0.12325	0.38122	0.046487	0.06697	0.11187	0.12091	0.13058	0.11412	0.085273	0.039001	0.075766	0.044891	0.059576	0.092951	0.066601	0.064197	0.21622	0.10417	0.12465	0.10309	0.057172	0.041052	0.062521	0.060901	0.18206	0.17159	0.11628	0.10426	0.099275
RS_G26921__DIO2__DIO2	0	5.413	1.0247	0.66823	1.9321	0.30803	0.91034	0.21916	0	3.3564	5.9604	1.52	3.0532	5.3403	2.3952	1.5161	0	1.3381	5.4614	0.90948	0.96921	0	5.1246	0.28482	5.3911	2.4289	0	0.34973	0.32589	6.6774	1.8325
Meth__cg00119079__LAMP3	0.28744	0.5045	0.13135	0.56389	0.90101	0.88932	0.10649	0.15789	0.4055	0.089097	0.19984	0.57947	0.073881	0.20483	0.12892	0.31969	0.89854	0.55412	0.27633	0.58431	0.099018	0.73079	0.30559	0.085762	0.32391	0.79494	0.060795	0.10261	0.43625	0.66155	0.6593
