Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	-1	-1
Meth__cg21329628__CD320	0.029808	0.040307	0.96557	0.035916	0.028726	0.026002	0.04426	0.026487	0.047767	0.028408	0.12803	0.94855	0.034502	0.93023	0.96808	0.10108	0.026649	0.026035	0.072718	0.021625	0.023275	0.041753	0.026435	0.45277	0.024102	0.037549	0.4918	0.048208	0.049108	0.039442	0.022354	0.025666	0.028085	0.026355	0.50447	0.025316	0.91104	0.054815	0.030072	0.029274
Meth__cg01168201__HIC1	0.050384	0.086854	0.9728	0.055926	0.044927	0.045526	0.064153	0.063124	0.033393	0.049193	0.057062	0.44648	0.044988	0.063463	0.045195	0.050024	0.05599	0.042308	0.062552	0.027938	0.050203	0.046317	0.050376	0.52001	0.044179	0.088184	0.061816	0.071905	0.16674	0.11999	0.038792	0.031463	0.0713	0.23516	0.61382	0.046367	0.066902	0.071091	0.048028	0.057016
Meth__cg23681213__PNMA1	0.036904	0.0709	0.18131	0.029372	0.026128	0.0255	0.032221	0.034037	0.027807	0.030569	0.034371	0.034382	0.03098	0.12415	0.031687	0.17174	0.034915	0.033283	0.079673	0.028419	0.027686	0.035327	0.035012	0.037169	0.47662	0.07749	0.1151	0.038695	0.10941	0.23919	0.029251	0.076153	0.27569	0.033613	0.33071	0.033916	0.046471	0.04034	0.048791	0.03194
Meth__cg11780934__ANKRD13B	0.055947	0.044294	0.05908	0.046823	0.037463	0.036782	0.054338	0.044742	0.033086	0.032968	0.05773	0.050227	0.1031	0.28975	0.029365	0.049116	0.04657	0.040766	0.066343	0.048665	0.036341	0.054118	0.043999	0.068976	0.047441	0.15179	0.050788	0.036534	0.072993	0.044405	0.039222	0.033394	0.048587	0.11936	0.043691	0.041103	0.064505	0.043501	0.041746	0.041475
Meth__cg14751914__SMAD7	0.077096	0.098322	0.1541	0.09491	0.067495	0.093116	0.11597	0.10718	0.086595	0.060545	0.13853	0.10086	0.12714	0.32427	0.45144	0.075006	0.098813	0.050336	0.23043	0.075779	0.069323	0.12053	0.098639	0.12651	0.12163	0.15724	0.12512	0.14862	0.12142	0.23139	0.058167	0.086795	0.09683	0.11391	0.07846	0.095265	0.17216	0.098485	0.073814	0.076112
Meth__cg21368354__FLJ10769	0.057887	0.064914	0.077559	0.052091	0.034497	0.037366	0.058717	0.066195	0.038527	0.070334	0.050787	0.057238	0.047029	0.30173	0.052089	0.0745	0.044437	0.036182	0.071797	0.042501	0.038753	0.065004	0.058357	0.051418	0.040113	0.11681	0.052008	0.052534	0.12241	0.099475	0.031733	0.037456	0.038684	0.63925	0.065646	0.049583	0.2337	0.06426	0.048482	0.049536
Meth__cg12771281__SLC38A6	0.024421	0.029326	0.043443	0.033125	0.022667	0.028224	0.027688	0.015123	0.023465	0.021583	0.025773	0.030546	0.021811	0.053817	0.51001	0.02407	0.022124	0.025112	0.055389	0.019087	0.027765	0.032294	0.027276	0.030238	0.023282	0.05588	0.028723	0.048392	0.045888	0.037684	0.022387	0.019953	0.030057	0.023052	0.024121	0.021766	0.04459	0.029846	0.023908	0.030312
Meth__cg08478189__KLF7	0.051798	0.03748	0.056128	0.041845	0.045886	0.035987	0.049264	0.027468	0.040809	0.054063	0.048742	0.055228	0.04057	0.066907	0.05274	0.46458	0.041498	0.055457	0.063685	0.040253	0.048223	0.067568	0.050203	0.056578	0.056746	0.074976	0.045571	0.07318	0.92104	0.059837	0.028394	0.054975	0.042852	0.050914	0.033511	0.032092	0.074605	0.065715	0.049815	0.038645
Meth__cg03813215__BCL2	0.063528	0.072214	0.094722	0.062862	0.05775	0.068879	0.066348	0.1946	0.044144	0.067176	0.064886	0.078947	0.10498	0.10644	0.57853	0.073234	0.060973	0.07669	0.17519	0.06598	0.061609	0.08945	0.060274	0.071114	0.081612	0.16059	0.076128	0.10559	0.56784	0.10098	0.076238	0.067404	0.069905	0.10955	0.071668	0.073365	0.14772	0.076435	0.065989	0.076726
