Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812
Response	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	1
Meth__cg08077673__MEST	0.95817	0.048213	0.29431	0.20735	0.042728	0.94893	0.52411	0.95749	0.54511	0.32929	0.043627	0.95779	0.53477	0.4909	0.029607	0.26222	0.96253	0.066265	0.8485	0.80857	0.051716	0.93992	0.45657	0.062344	0.069981	0.95371	0.094008	0.056402	0.056973	0.92465	0.95445	0.12636	0.51584	0.033123	0.026908	0.93502	0.92845	0.055832
Meth__cg01120308__PICALM	0.10948	0.057783	0.1458	0.69281	0.37181	0.060406	0.80778	0.1075	0.046029	0.85136	0.50536	0.054097	0.057689	0.17855	0.80186	0.54096	0.047176	0.15733	0.39901	0.039891	0.87457	0.061223	0.075167	0.37706	0.70669	0.070378	0.5674	0.27717	0.10477	0.055519	0.051273	0.059003	0.11608	0.12682	0.35273	0.17651	0.22813	0.11697
Meth__cg03251079__HMGA2	0.059704	0.055416	0.067319	0.074422	0.092084	0.031937	0.13408	0.054666	0.076706	0.028394	0.12953	0.073584	0.031207	0.057162	0.14781	0.048948	0.029305	0.53774	0.13104	0.027699	0.076972	0.062087	0.066028	0.050484	0.30502	0.029181	0.18525	0.048885	0.12955	0.032143	0.035335	0.03877	0.04151	0.034578	0.094819	0.41945	0.065609	0.05024
Meth__cg08097973__NUMA1	0.10976	0.053274	0.079607	0.058325	0.052638	0.94915	0.10459	0.875	0.2317	0.085981	0.054927	0.076555	0.3951	0.068898	0.060773	0.089345	0.25135	0.89769	0.10156	0.83911	0.060262	0.90976	0.88489	0.086794	0.12639	0.93388	0.094368	0.075184	0.084836	0.67872	0.9615	0.93089	0.059462	0.049918	0.10241	0.063393	0.12064	0.078519
Meth__cg09872616__MEST	0.9656	0.025962	0.2385	0.30246	0.029133	0.96217	0.51588	0.95005	0.48581	0.4475	0.025139	0.95909	0.49318	0.61317	0.038579	0.38427	0.96188	0.034655	0.94478	0.64948	0.041468	0.93047	0.50787	0.076179	0.049737	0.96582	0.1746	0.055228	0.050183	0.94682	0.95354	0.031312	0.53551	0.029058	0.027315	0.96117	0.93053	0.026441
Meth__cg13997435__S100A2	0.051686	0.15071	0.049348	0.38887	0.55394	0.040764	0.6049	0.05134	0.020118	0.35763	0.63282	0.65598	0.024283	0.053787	0.61173	0.34525	0.03444	0.040098	0.08549	0.0314	0.77358	0.049118	0.094232	0.51519	0.15065	0.036273	0.49597	0.093033	0.27491	0.036023	0.033339	0.049017	0.27137	0.05212	0.45502	0.047993	0.34487	0.67144
Meth__cg03972838__FLJ20232	0.028581	0.017815	0.020966	0.021194	0.028841	0.6982	0.020481	0.69678	0.68681	0.021515	0.022309	0.44842	0.05059	0.041092	0.0073203	0.019283	0.22533	0.95374	0.020229	0.083936	0.17862	0.68524	0.53528	0.083977	0.062417	0.80922	0.024011	0.02503	0.022876	0.019499	0.17901	0.025816	0.4774	0.016249	0.017443	0.014743	0.037481	0.04039
Meth__cg08615333__TGFB3	0.058346	0.03908	0.81863	0.068886	0.072273	0.87989	0.053721	0.71676	0.89822	0.052509	0.053832	0.58844	0.86724	0.8214	0.049346	0.064406	0.83482	0.60806	0.15361	0.47318	0.2025	0.85897	0.81177	0.057025	0.086523	0.87923	0.073597	0.13196	0.038126	0.88446	0.85737	0.65699	0.055006	0.046645	0.12617	0.046168	0.27327	0.037415
Meth__cg20687462__MGC10992	0.04341	0.43271	0.44285	0.38962	0.26924	0.044443	0.60754	0.023317	0.11165	0.13342	0.12126	0.045978	0.081111	0.24402	0.44867	0.11977	0.052105	0.094618	0.090676	0.042912	0.14505	0.045117	0.17909	0.10649	0.06484	0.040342	0.1298	0.24729	0.34711	0.037402	0.034253	0.16211	0.23952	0.10287	0.46457	0.054853	0.050926	0.16206
