Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	-1	1	1	-1	1	1
Meth__cg22951794__OR10A5	0.12341	0.59564	0.088082	0.68402	0.20416	0.84046	0.82499	0.696	0.045731	0.23692	0.65074	0.64111	0.76497	0.058928	0.029598	0.072826	0.07043	0.35524	0.41888	0.41717	0.32579	0.085762	0.10262	0.14473	0.424	0.82529	0.42677	0.82683	0.035717	0.6068	0.073505	0.12829	0.64255	0.68844
Meth__cg02347487__NALP14	0.043431	0.22362	0.037978	0.18506	0.041009	0.79123	0.059203	0.23666	0.069388	0.18004	0.65336	0.10982	0.23232	0.18816	0.039184	0.036722	0.051275	0.082763	0.04016	0.077648	0.17791	0.056139	0.12913	0.057571	0.25076	0.14604	0.073325	0.87736	0.02911	0.11724	0.094757	0.045173	0.29535	0.22204
Meth__cg27342801__REG3A	0.044174	0.90544	0.049943	0.72488	0.22935	0.84777	0.091364	0.78756	0.54653	0.087356	0.64417	0.12243	0.067598	0.08749	0.052568	0.035708	0.070036	0.046803	0.04338	0.50761	0.050462	0.12893	0.38172	0.06094	0.46409	0.6386	0.054207	0.86386	0.053621	0.15053	0.12847	0.03586	0.16304	0.09705
Meth__cg12738197__ZNF572	0.024916	0.86537	0.029814	0.50486	0.90266	0.29014	0.4033	0.82174	0.063282	0.69758	0.16448	0.18388	0.34805	0.070987	0.12544	0.15059	0.14997	0.046421	0.049236	0.26661	0.061898	0.065387	0.74665	0.053516	0.044724	0.25438	0.053904	0.77897	0.02557	0.63162	0.091295	0.035151	0.38926	0.37265
Meth__cg14659547__RETNLB	0.021369	0.70305	0.096213	0.81046	0.52464	0.85031	0.70484	0.63172	0.74275	0.19347	0.60807	0.7646	0.52676	0.05622	0.016501	0.29089	0.40545	0.030775	0.19112	0.5421	0.36048	0.054889	0.59846	0.072526	0.44037	0.82077	0.048355	0.8532	0.02612	0.04139	0.1591	0.045689	0.67817	0.59481
Meth__cg10127415__MAGEB6	0.027943	0.88444	0.032474	0.78201	0.46273	0.79744	0.027753	0.75716	0.18035	0.088	0.48371	0.81943	0.90949	0.03716	0.035338	0.030263	0.25531	0.32377	0.02665	0.67824	0.029114	0.033241	0.46441	0.076416	0.099661	0.72153	0.040617	0.41893	0.034153	0.14477	0.044712	0.025217	0.14412	0.11365
Meth__cg07872652__CNIH2	0.11742	0.090942	0.088866	0.081363	0.083948	0.058783	0.10788	0.091944	0.69163	0.72727	0.055992	0.072072	0.073184	0.13595	0.050787	0.83856	0.39876	0.12689	0.074314	0.12508	0.39189	0.11901	0.15755	0.18605	0.063286	0.041526	0.10596	0.061914	0.78287	0.076108	0.11855	0.13248	0.12748	0.12359
Meth__cg16122592__MAGEB6	0.038387	0.82669	0.42059	0.79629	0.84436	0.75832	0.062588	0.80982	0.41088	0.1669	0.46801	0.77423	0.83283	0.1043	0.089068	0.059851	0.44427	0.4303	0.043587	0.56048	0.097366	0.049409	0.4508	0.10037	0.18556	0.69672	0.11077	0.33442	0.050109	0.27972	0.064217	0.038741	0.4129	0.44396
Meth__cg13877465__IGF2BP1	0.047775	0.051967	0.31069	0.048161	0.024574	0.024111	0.036014	0.1684	0.3715	0.12059	0.030989	0.028609	0.031701	0.17623	0.92627	0.31232	0.3487	0.052819	0.14222	0.86335	0.023449	0.073057	0.54642	0.10863	0.019079	0.032053	0.046005	0.050221	0.03767	0.035437	0.058932	0.050511	0.025151	0.028783
Meth__cg01125463__PEX6	0.052371	0.10252	0.26509	0.084644	0.039857	0.076814	0.064592	0.13233	0.37773	0.48548	0.076669	0.16993	0.061911	0.096372	0.24681	0.69634	0.57856	0.1292	0.13884	0.088202	0.34223	0.066422	0.058529	0.1696	0.046288	0.049519	0.038075	0.18697	0.045035	0.052268	0.10577	0.13488	0.048368	0.037725
Meth__cg03379131__ADAM15	0.035171	0.037898	0.031081	0.040061	0.04088	0.032024	0.035197	0.044352	0.040233	0.088352	0.037724	0.0471	0.038375	0.05325	0.028956	0.062654	0.073345	0.26099	0.51723	0.12724	0.051839	0.074455	0.070107	0.073372	0.034303	0.028181	0.027256	0.030087	0.041515	0.024483	0.051292	0.079409	0.03157	0.033133
Meth__cg02917972__ZCCHC11	0.021335	0.022561	0.028381	0.028541	0.024448	0.018361	0.021096	0.020241	0.03223	0.027885	0.018252	0.021419	0.020577	0.04531	0.019487	0.96114	0.71142	0.30678	0.024658	0.027086	0.02696	0.043696	0.048544	0.031808	0.023926	0.018024	0.018547	0.023409	0.024772	0.022559	0.03698	0.030783	0.026276	0.025528
Meth__cg07841014__REG1B	0.092908	0.87891	0.42512	0.73553	0.69477	0.8923	0.096556	0.88057	0.15293	0.30421	0.7964	0.60014	0.50887	0.19141	0.10129	0.061644	0.13258	0.40553	0.2603	0.61234	0.11636	0.14801	0.64121	0.14965	0.24584	0.60895	0.24898	0.73719	0.075931	0.29831	0.15499	0.15085	0.19253	0.1408
Meth__cg03856723__PRKACA	0.65268	0.77168	0.15269	0.50155	0.10235	0.030987	0.3254	0.02183	0.77696	0.64144	0.040245	0.11164	0.031434	0.23974	0.16736	0.65185	0.44084	0.70573	0.37741	0.31859	0.59833	0.21288	0.36636	0.64016	0.027388	0.028534	0.21945	0.072468	0.091289	0.11185	0.034742	0.19896	0.30181	0.22329
Meth__cg09440340__C1orf161	0.013458	0.021681	0.088401	0.068353	0.9465	0.26402	0.060992	0.7782	0.014843	0.034168	0.21568	0.12442	0.5817	0.027292	0.026781	0.019244	0.040574	0.39264	0.29039	0.021417	0.02872	0.034641	0.074397	0.046144	0.43185	0.63033	0.071714	0.022993	0.02574	0.10635	0.11755	0.025029	0.043318	0.14199
Meth__cg17327492__FSHR	0.073968	0.87912	0.089003	0.83817	0.84821	0.86175	0.28692	0.68529	0.093849	0.32314	0.63239	0.35796	0.83475	0.38181	0.13535	0.061077	0.09776	0.87542	0.17872	0.8498	0.49684	0.1886	0.55206	0.12072	0.85142	0.81418	0.12245	0.85878	0.067797	0.098994	0.19494	0.084184	0.53933	0.50964
Meth__cg22268164__TRHR	0.048519	0.80406	0.040804	0.58111	0.82198	0.79569	0.041128	0.27461	0.17896	0.19433	0.45758	0.10983	0.8143	0.086848	0.11223	0.024761	0.15936	0.21447	0.066186	0.89483	0.26702	0.16014	0.43692	0.10635	0.53143	0.27608	0.51212	0.86951	0.099409	0.046432	0.17304	0.038253	0.33626	0.21672
Meth__cg22397854__C1orf102	0.12481	0.13784	0.13511	0.051142	0.066087	0.040379	0.06511	0.044686	0.3159	0.14068	0.056637	0.13958	0.068687	0.070248	0.072997	0.079508	0.068178	0.074815	0.23488	0.052446	0.14856	0.074402	0.073376	0.15301	0.044727	0.051309	0.07907	0.05152	0.041679	0.045191	0.056944	0.070258	0.049374	0.064301
