Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	-1	-1	1	1	1	-1	1	-1	-1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	1	-1	1	1	1	1	1
Meth__cg09072120__PRTFDC1	0.030489	0.099081	0.97658	0.24235	0.027423	0.43821	0.035777	0.023486	0.025395	0.023401	0.015631	0.018981	0.47434	0.52713	0.026712	0.9682	0.017625	0.041123	0.024168	0.018265	0.025169	0.42215	0.4064	0.20293	0.045657	0.024964	0.035156	0.61808	0.19393	0.017412	0.47793	0.57239	0.11628	0.023787	0.93793	0.030284	0.68579	0.28524	0.093138
Meth__cg08680085__MASK	0.59356	0.039333	0.056452	0.03798	0.4191	0.94942	0.043498	0.33172	0.03914	0.52467	0.040706	0.037086	0.121	0.66613	0.040799	0.44213	0.55779	0.17236	0.039398	0.032616	0.040764	0.52529	0.44745	0.54408	0.1122	0.047043	0.52807	0.36841	0.069561	0.64338	0.041771	0.30697	0.30385	0.034742	0.32899	0.13268	0.61828	0.42677	0.042336
Meth__cg03129910__SRP72	0.030149	0.022399	0.040108	0.036454	0.024702	0.027923	0.039657	0.53515	0.03203	0.044138	0.028876	0.037808	0.042302	0.027068	0.039093	0.049407	0.028251	0.068769	0.022874	0.021622	0.036022	0.032612	0.033631	0.028475	0.039314	0.028814	0.033943	0.080861	0.037443	0.020659	0.061348	0.03524	0.031835	0.024613	0.045738	0.056245	0.046571	0.031377	0.040111
Meth__cg01362183__MAP3K7IP2	0.071503	0.055937	0.070863	0.065296	0.060538	0.063076	0.10514	0.074879	0.061762	0.085371	0.061352	0.061639	0.063061	0.0782	0.070818	0.071814	0.065831	0.073821	0.055416	0.051763	0.076394	0.58684	0.092616	0.051788	0.12608	0.05782	0.062817	0.13415	0.062813	0.049537	0.053187	0.059974	0.060376	0.053606	0.067502	0.069598	0.0588	0.070673	0.066301
Meth__cg11810837__ARMCX5	0.46921	0.04943	0.059105	0.058204	0.078395	0.046946	0.065786	0.38049	0.090221	0.075008	0.048782	0.070587	0.075553	0.34551	0.092163	0.22273	0.50773	0.1454	0.045277	0.050701	0.047133	0.19834	0.12104	0.30665	0.074968	0.057307	0.31229	0.33127	0.084177	0.053181	0.042677	0.37793	0.063758	0.044339	0.18821	0.11315	0.51633	0.096888	0.052954
Meth__cg04837071__NOXA1	0.046036	0.20056	0.22871	0.58455	0.28129	0.94862	0.24647	0.18685	0.29297	0.90211	0.92767	0.69084	0.44603	0.1981	0.26891	0.19248	0.65752	0.090034	0.64623	0.29341	0.088078	0.06823	0.38322	0.17123	0.1742	0.46871	0.074038	0.30609	0.43802	0.14681	0.059974	0.21634	0.11687	0.4535	0.14813	0.096501	0.18317	0.044165	0.032325
Meth__cg06363801__MOSPD1	0.54331	0.034886	0.061426	0.040714	0.028665	0.028689	0.037942	0.38019	0.027469	0.55748	0.035053	0.029485	0.18797	0.62093	0.035913	0.36275	0.2535	0.12209	0.028248	0.034271	0.034678	0.49162	0.036476	0.49505	0.052323	0.043342	0.54442	0.37772	0.034575	0.59002	0.031032	0.50046	0.034002	0.032426	0.1872	0.08039	0.46946	0.39351	0.035913
Meth__cg22016571__MASK	0.31727	0.068156	0.10873	0.081676	0.22406	0.65527	0.079625	0.37541	0.060792	0.23908	0.067849	0.057666	0.12377	0.50668	0.064028	0.46744	0.6021	0.199	0.065604	0.047431	0.066739	0.57214	0.39038	0.58545	0.10653	0.070677	0.28834	0.4376	0.13866	0.657	0.066948	0.22226	0.28888	0.065425	0.38281	0.17179	0.61628	0.15374	0.084751
Meth__cg19219437__PCOLCE2	0.045632	0.080233	0.51145	0.068911	0.039252	0.043332	0.19982	0.052396	0.04878	0.060096	0.042415	0.038982	0.14378	0.099228	0.10108	0.49152	0.036364	0.11058	0.046212	0.049233	0.071252	0.49104	0.051874	0.065428	0.096569	0.046201	0.076021	0.51785	0.075981	0.049985	0.048987	0.032355	0.057903	0.044371	0.32646	0.072796	0.050737	0.051113	0.057616
