Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	1	-1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	1	1
SNP__LOC442117	0.015	-0.202	-0.243	-0.174	-1.788	-0.878	0.066	-0.432	-0.227	-2.15	-1.141	-0.466	-0.032	-1.806	0.124	0.783	-1.455	-0.09	-1.049	-0.029	-0.254	-0.291	0.035	-0.206	1.777	-1.562	0.116	0.17	-0.052	-0.234	-1.502	-2.091	-0.171	-1.975	-0.008	-1.681	-0.307	-0.324	-0.04	0.033
SNP__LOC643847	-0.033	0.113	-0.196	0.435	-0.1	0.207	-0.493	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.041	0.28	0.23	-0.021	-0.225	-0.181	0.177	0.093	-0.11	0.111	-0.222	-0.037	-0.033	0.051	-0.159	0.307	-0.016	0.153	-0.242	0.194	0.326	0.074	-0.458	-0.383
SNP__ADCY8	0.03	-0.538	0.187	0.462	0.746	0.56	0.675	0.657	0.154	-4.101	-0.212	0.924	0.583	0.726	0.809	1.565	0.52	-3.152	0.981	0.755	0.486	0.681	0.212	0.457	0.595	0.171	0.433	0.26	0.397	-0.599	0.633	0.206	0.038	0.75	-0.4	0.69	0.319	-2.892	0.234	0.326
SNP__LOC391322	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__GSTT1	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__LOC653399	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__CFHL4	0.651	0.5	0.162	0.706	0.482	0.492	0.442	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.176	0.221	2.628	-2.421	-0.061	0.408	0.351	0.315	0.099	2.833	0.39	0.745	0.263	-0.264	-1.268	0	0.153	0.243	0.291	0.282	1.222	0.569	-2.009
SNP__ESR1	0.006	0.125	-0.209	-0.415	-0.507	-0.091	-0.558	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	-0.452	0.532	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.248	-0.118	0.237	0.249	-0.704	0.044	0.161	-0.195	0.027	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__NCOA7	0.006	0.125	-0.209	0.029	-0.569	-0.095	-0.558	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	-0.452	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	-0.13	0.144	0.249	0.294	0.044	0.161	-0.195	0.027	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__NEUROD2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__RIMS1	0.009	-0.208	-0.243	0.001	-0.619	-0.508	-0.563	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.507	-0.125	0.423	0.686	-0.981	-0.047	-0.377	0.011	-0.046	-0.129	0.41	0.231	0.284	-0.619	-2.669	-0.217	0.017	0.01	-0.147	0.226	-0.315	0.062	-0.222	-0.379
SNP__STARD3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC646605	-0.648	-0.203	-0.236	-1.03	-0.275	0.166	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__DMBT1	0.014	-0.15	-0.868	-3.561	-0.116	-0.159	-0.167	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.224	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	-4.07	-3.272	-0.254	-0.304	0.08	0.118	-0.366
SNP__DMRTA1	-0.648	-0.203	-0.236	-1.03	-0.275	0.045	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__WWOX	-2.18	-0.55	-2.831	0.092	0.19	-2.109	-1.822	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.561	-0.206	-2.091	0.026	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.097	-0.173	-0.161	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	-4.366	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	0.009	0.031	0.03	-3.42	-0.806	-0.066	-0.373
SNP__GBP3	0.014	0.102	-0.219	-0.252	-0.189	0.15	-0.545	-0.062	-0.05	-3.626	0.098	-0.463	-0.029	-0.116	0.296	-0.172	0.04	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	-0.063	0.266	0.462	0.202	-4.112	0.134	-0.035	0.043	-0.3	-3.392	-0.366	-0.36
SNP__TCAP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__MGAM	0.006	-2.204	0.186	0.355	0.322	-0.135	0.422	0.042	0.426	0.662	-0.217	0.305	0.402	-2.603	-0.251	-0.206	0.557	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.327	0.23	-0.287	-0.321	-0.317	-0.042	0.028
SNP__LOC441440	-0.26	-0.178	-0.209	1.861	2.288	2.394	0.064	-0.573	0.129	0.094	0.347	1.881	0.04	-0.124	-0.018	0.1	0.011	-0.29	-0.094	2.423	0.464	-0.088	-0.006	1.694	2.642	-0.159	-0.186	0.2	2.292	0.047	-0.211	2.084	0.002	2.049	-0.378	2.062	-0.139	-0.296	1.735	0.024
SNP__GNTIVH	0	0.087	-0.89	-0.287	0.024	-1.829	0.268	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	-0.316	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.167	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	-0.014	-0.004	0.916	0.315	0.074	-0.046	-0.007
