Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	-1	-1	1	1	1	1
Meth__cg06022562__FLJ13841	0.085558	0.10554	0.81722	0.072057	0.059399	0.92006	0.080737	0.84274	0.8998	0.1083	0.075742	0.67222	0.2069	0.27778	0.34233	0.09894	0.84796	0.93214	0.19148	0.89282	0.074745	0.075066	0.093206	0.93661	0.064456	0.85915	0.12639	0.27999	0.097748	0.10402	0.93451	0.49174	0.8614	0.083839	0.086884	0.36575	0.15427	0.10217	0.27364
Meth__cg25283297__GNAS	0.21703	0.11224	0.90538	0.11785	0.091695	0.81152	0.13305	0.98087	0.21661	0.098309	0.11739	0.16448	0.0896	0.41089	0.36374	0.12731	0.4903	0.5157	0.15834	0.19554	0.13158	0.32177	0.77067	0.71118	0.1397	0.9301	0.12912	0.15728	0.14191	0.15027	0.13977	0.16212	0.23268	0.097465	0.13176	0.1735	0.17283	0.72894	0.68758
Meth__cg03167883__FLJ46365	0.78458	0.066197	0.55375	0.77302	0.85591	0.057775	0.71062	0.20842	0.83098	0.048406	0.37563	0.78852	0.35561	0.53666	0.08947	0.065444	0.62875	0.07173	0.54714	0.039449	0.75058	0.68991	0.13063	0.060925	0.84019	0.15672	0.27013	0.14494	0.5683	0.11122	0.05162	0.062952	0.059578	0.82152	0.18302	0.76068	0.11388	0.42627	0.45067
Meth__cg20050113__SLC9A2	0.025465	0.028807	0.97903	0.025714	0.050198	0.95649	0.72708	0.78413	0.025068	0.037845	0.030352	0.95474	0.4969	0.95194	0.022904	0.03388	0.94713	0.44464	0.15528	0.016513	0.027046	0.027216	0.87251	0.95227	0.036771	0.89918	0.024712	0.033616	0.041678	0.045749	0.46637	0.94268	0.95774	0.021717	0.022626	0.56138	0.039251	0.031884	0.037479
Meth__cg07818646__FLJ11712	0.02788	0.41041	0.97682	0.037417	0.036295	0.077322	0.033181	0.49075	0.015987	0.043757	0.035387	0.037666	0.03229	0.14957	0.044208	0.043893	0.047935	0.031086	0.05234	0.030007	0.02528	0.040097	0.03797	0.045949	0.02897	0.15347	0.040121	0.09432	0.068501	0.10733	0.034856	0.034223	0.038588	0.083595	0.028778	0.046584	0.1053	0.076823	0.061178
Meth__cg24652919__WDR58	0.32183	0.14301	0.13407	0.63943	0.39614	0.079496	0.49403	0.15512	0.10356	0.18871	0.41756	0.57642	0.2601	0.23013	0.37365	0.23152	0.11797	0.064309	0.16586	0.067547	0.53395	0.38103	0.8217	0.077942	0.40989	0.085484	0.71752	0.62762	0.40351	0.21957	0.053232	0.054077	0.072009	0.28568	0.34264	0.16937	0.44675	0.36448	0.2875
Meth__cg25811575__EGR3	0.051364	0.40138	0.12041	0.068503	0.059611	0.13782	0.074175	0.93162	0.052141	0.063951	0.061748	0.53387	0.043787	0.7944	0.066857	0.060304	0.22065	0.079749	0.095893	0.07215	0.048956	0.050976	0.062497	0.67381	0.078294	0.098989	0.063081	0.086685	0.91116	0.23253	0.083038	0.41508	0.18185	0.067881	0.12565	0.92618	0.11055	0.14089	0.05699
Meth__cg07031996__MTF1	0.73507	0.039499	0.41702	0.44024	0.10082	0.047448	0.2619	0.070753	0.23157	0.20246	0.18537	0.14455	0.157	0.097303	0.049571	0.20813	0.062423	0.023207	0.085354	0.10585	0.084842	0.056903	0.12121	0.062582	0.90034	0.37892	0.15474	0.048267	0.29812	0.06485	0.02577	0.0232	0.042664	0.4267	0.11106	0.1262	0.056683	0.15297	0.067504
Meth__cg19570545__PKP1	0.62836	0.83203	0.95786	0.03889	0.032925	0.93881	0.9171	0.92104	0.024195	0.029035	0.62136	0.13447	0.059089	0.90623	0.72243	0.035143	0.9335	0.36394	0.20327	0.41051	0.45421	0.48315	0.91286	0.88707	0.024221	0.8308	0.049496	0.044626	0.17898	0.57577	0.1912	0.028645	0.90313	0.18446	0.067467	0.94893	0.082968	0.55034	0.94347
Meth__cg14161730__TIMP1	0.35594	0.065045	0.14231	0.83017	0.18896	0.052533	0.34067	0.47714	0.34679	0.059628	0.60511	0.4094	0.29915	0.20277	0.029091	0.07177	0.088999	0.11423	0.10984	0.11697	0.46679	0.34934	0.36512	0.074464	0.087577	0.26938	0.69521	0.33319	0.40898	0.077682	0.062861	0.11654	0.091624	0.18186	0.13271	0.25905	0.17409	0.094962	0.28409
Meth__cg25538571__FLJ46365	0.63632	0.049414	0.77616	0.88542	0.86416	0.0529	0.79767	0.078845	0.85804	0.041181	0.69052	0.8142	0.66443	0.73608	0.11111	0.046419	0.79859	0.054017	0.52236	0.022744	0.78429	0.68038	0.053338	0.029014	0.9035	0.081007	0.26716	0.13779	0.78446	0.069476	0.031466	0.042062	0.053154	0.91338	0.29328	0.84342	0.065722	0.49516	0.50801
Meth__cg09072120__PRTFDC1	0.030489	0.099081	0.97658	0.24235	0.027423	0.43821	0.035777	0.98085	0.023486	0.025395	0.023401	0.015631	0.018981	0.47434	0.52713	0.026712	0.9682	0.017625	0.041123	0.024168	0.018265	0.025169	0.42215	0.4064	0.20293	0.045657	0.024964	0.035156	0.61808	0.19393	0.017412	0.47793	0.57239	0.11628	0.023787	0.93793	0.030284	0.28524	0.093138
Meth__cg22155248__TAPBPL	0.073721	0.77379	0.65304	0.076622	0.075858	0.85085	0.42446	0.16745	0.12346	0.084006	0.12219	0.083322	0.078253	0.76807	0.096331	0.089965	0.7318	0.086836	0.16227	0.075643	0.56588	0.12621	0.062661	0.10953	0.074634	0.14823	0.06617	0.17979	0.17348	0.62713	0.35593	0.28339	0.14587	0.10212	0.092512	0.67116	0.19446	0.32294	0.67451
Meth__cg03770147__KLF7	0.030254	0.02291	0.024168	0.027746	0.043402	0.02794	0.034898	0.023864	0.02822	0.018783	0.033337	0.044778	0.10206	0.10105	0.022145	0.38351	0.025772	0.025053	0.05334	0.025696	0.16169	0.079874	0.11122	0.024443	0.17192	0.11882	0.026637	0.068668	0.85967	0.038493	0.026002	0.023591	0.019703	0.026973	0.024706	0.021844	0.039266	0.026992	0.026762
Meth__cg14892066__DCTD	0.050701	0.14792	0.078983	0.30249	0.050185	0.89033	0.050902	0.64714	0.30563	0.074648	0.070555	0.055807	0.12472	0.71378	0.067045	0.060215	0.48836	0.089824	0.09196	0.052841	0.046523	0.07975	0.66908	0.20994	0.056295	0.086563	0.046716	0.10831	0.1417	0.16407	0.046468	0.11571	0.84363	0.05554	0.045146	0.17652	0.13626	0.1023	0.085964
Meth__cg09437522__GNAS	0.025973	0.0093064	0.17219	0.021717	0.019727	0.93471	0.026768	0.74538	0.024996	0.028118	0.016952	0.022925	0.021692	0.02981	0.013877	0.020105	0.090773	0.4106	0.034796	0.10833	0.01134	0.013943	0.41582	0.52074	0.015687	0.93211	0.02187	0.048504	0.041815	0.034373	0.048922	0.03812	0.25625	0.016562	0.013722	0.011324	0.049074	0.026895	0.038832
Meth__cg12716838__B3GALT3	0.030133	0.27208	0.97528	0.028097	0.02206	0.85386	0.027542	0.8144	0.036519	0.031515	0.019564	0.019787	0.35973	0.7358	0.01941	0.040351	0.96687	0.019474	0.022497	0.02512	0.024164	0.30071	0.28514	0.042628	0.051435	0.077438	0.029324	0.029435	0.038127	0.041905	0.033453	0.04941	0.5341	0.67293	0.019675	0.7798	0.080202	0.053652	0.92435
Meth__cg04438497__MTL5	0.11237	0.096007	0.27203	0.56493	0.33096	0.22432	0.11113	0.10357	0.8269	0.19627	0.49558	0.16991	0.44886	0.31087	0.054512	0.17599	0.11444	0.66715	0.36683	0.22507	0.31183	0.23675	0.080888	0.10991	0.12047	0.10029	0.31215	0.24914	0.47231	0.063415	0.077009	0.10749	0.056277	0.07886	0.13444	0.072102	0.17987	0.27967	0.08116
Meth__cg18919097__C3orf57	0.059428	0.88799	0.9025	0.064628	0.059227	0.75993	0.15125	0.87047	0.069851	0.91517	0.04801	0.92486	0.82168	0.50978	0.04326	0.70201	0.88545	0.42752	0.19545	0.47835	0.046005	0.050128	0.90779	0.6894	0.036963	0.91384	0.070293	0.20996	0.13172	0.68477	0.11617	0.895	0.89164	0.052103	0.089856	0.036873	0.12463	0.49939	0.74965
Meth__cg10503234__FSTL3	0.49831	0.056063	0.053354	0.12219	0.047336	0.060171	0.36449	0.031683	0.1405	0.11751	0.066986	0.29463	0.11064	0.21231	0.094075	0.17798	0.64085	0.038553	0.11079	0.21716	0.23655	0.059518	0.10484	0.033763	0.70687	0.090671	0.37375	0.51244	0.62921	0.1769	0.080027	0.031195	0.041754	0.23906	0.061147	0.40794	0.062108	0.072348	0.043844
