Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	1	1	-1	1	1	-1	1	-1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	1	1	1	1	1
Meth__cg03891319__ACY1	0.043496	0.067761	0.063529	0.057028	0.1529	0.10483	0.053154	0.40392	0.048061	0.063932	0.061134	0.11928	0.19048	0.032142	0.056929	0.089607	0.041441	0.080921	0.33429	0.086526	0.051391	0.090423	0.088996	0.19994	0.15804	0.052598	0.11202	0.13245	0.080786	0.13328	0.067437	0.049142	0.043501	0.084861	0.043111	0.065182	0.067309	0.051075	0.1099	0.049409
Meth__cg03440846__ACSS2	0.056238	0.03975	0.79236	0.11188	0.55104	0.092432	0.21512	0.58245	0.092146	0.20177	0.56727	0.44609	0.082797	0.085854	0.11546	0.06733	0.18194	0.14317	0.039103	0.15484	0.17007	0.85658	0.49577	0.44832	0.12271	0.080186	0.13195	0.27798	0.058118	0.31838	0.12285	0.034127	0.051026	0.7005	0.093968	0.092251	0.8367	0.064725	0.14884	0.041809
Meth__cg17749961__LYCAT	0.075651	0.2634	0.07144	0.093657	0.058854	0.074945	0.18182	0.045757	0.57779	0.071328	0.061908	0.066059	0.43831	0.33591	0.37249	0.063398	0.074927	0.14895	0.063645	0.068472	0.055124	0.063786	0.045806	0.072541	0.18149	0.13242	0.13517	0.06298	0.1549	0.083421	0.25871	0.057005	0.77184	0.054239	0.056137	0.11307	0.19185	0.077433	0.16352	0.17192
Meth__cg03116740__TSPAN4	0.52596	0.054164	0.35727	0.23486	0.067196	0.1216	0.83867	0.75145	0.087696	0.79234	0.19238	0.93274	0.48034	0.9293	0.077995	0.29067	0.8141	0.34996	0.083568	0.54717	0.26178	0.76212	0.5413	0.92022	0.10642	0.19002	0.34503	0.33172	0.08901	0.44355	0.13661	0.053814	0.043843	0.11236	0.031339	0.12987	0.46743	0.087192	0.090351	0.07744
Meth__cg01911082__CSMD3	0.14959	0.012962	0.20964	0.021941	0.096183	0.7801	0.081878	0.7405	0.02236	0.030032	0.17742	0.52549	0.34704	0.1276	0.03002	0.31183	0.055433	0.053961	0.017936	0.057812	0.56524	0.62828	0.045229	0.23306	0.89605	0.032069	0.076469	0.02622	0.75204	0.39564	0.027266	0.024689	0.041607	0.52622	0.068251	0.017906	0.15682	0.050972	0.47711	0.021657
Meth__cg08570521__TLL1	0.065334	0.43276	0.078773	0.047744	0.057044	0.4055	0.053793	0.51138	0.053152	0.072162	0.20414	0.15722	0.69983	0.064302	0.057475	0.14961	0.065413	0.18087	0.050458	0.085628	0.055817	0.085619	0.5	0.09811	0.44875	0.054725	0.094116	0.27973	0.093429	0.10643	0.069562	0.049094	0.046909	0.81344	0.16438	0.16667	0.057146	0.07582	0.10622	0.055661
Meth__cg14450605__NCOA4	0.088623	0.080627	0.070506	0.051857	0.05133	0.096679	0.11286	0.031966	0.93708	0.071217	0.060436	0.032932	0.16815	0.06232	0.81264	0.052843	0.057856	0.20699	0.081241	0.064277	0.068956	0.058281	0.079779	0.047185	0.10696	0.068262	0.058136	0.051341	0.084721	0.05244	0.085366	0.079543	0.092243	0.062069	0.075565	0.076487	0.74135	0.20595	0.10672	0.10821
Meth__cg08917718__PCBP4	0.060075	0.058189	0.28017	0.042514	0.048059	0.24997	0.072831	0.59831	0.062188	0.087259	0.14148	0.30548	0.30456	0.073191	0.069599	0.30685	0.045201	0.11142	0.035266	0.1088	0.091277	0.067709	0.15017	0.055049	0.36362	0.38306	0.13365	0.04888	0.13356	0.48438	0.070143	0.048707	0.093298	0.76977	0.048837	0.095935	0.081215	0.051487	0.27819	0.065433
Meth__cg23507131__DARC	0.40231	0.047369	0.18713	0.14509	0.56013	0.096795	0.2116	0.18778	0.23657	0.048415	0.33666	0.13068	0.75714	0.036632	0.21474	0.31547	0.56375	0.10158	0.034872	0.17404	0.13147	0.058223	0.07047	0.11723	0.23564	0.065486	0.056793	0.18915	0.35668	0.046418	0.10046	0.064989	0.75583	0.054832	0.18974	0.084998	0.32787	0.19036	0.077351	0.25813
