Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	1	1
Meth__cg25340403__LYPD3	0.041991	0.035241	0.36761	0.052266	0.83676	0.058992	0.47752	0.062234	0.15438	0.42546	0.079824	0.18769	0.056727	0.30018	0.66495	0.076535	0.83915	0.03933	0.037908	0.2338	0.80747	0.035903	0.7884	0.036387	0.3407	0.26306	0.040486	0.82379	0.028007	0.51634	0.2241	0.16982	0.02642	0.0736	0.040626	0.040225	0.044181
Meth__cg23959705__TNFRSF9	0.35644	0.047179	0.68785	0.1543	0.41475	0.43216	0.88149	0.077386	0.058521	0.35927	0.3587	0.67194	0.10815	0.57717	0.36834	0.4272	0.37949	0.078637	0.056394	0.41096	0.72536	0.11681	0.75743	0.20503	0.066693	0.13681	0.067751	0.052542	0.12705	0.81645	0.46437	0.15639	0.46729	0.067994	0.046414	0.12232	0.25811
Meth__cg05790038__TRPV3	0.04229	0.04342	0.85282	0.69794	0.88919	0.048001	0.39288	0.027054	0.54063	0.92721	0.038285	0.83	0.33545	0.6689	0.92306	0.11912	0.66583	0.1623	0.48809	0.9144	0.89785	0.049958	0.88273	0.33063	0.39126	0.83425	0.096214	0.46792	0.70298	0.64111	0.771	0.52504	0.033315	0.14625	0.045041	0.83354	0.81264
Meth__cg25856383__CYP1B1	0.043667	0.055952	0.077622	0.18089	0.11588	0.058447	0.62796	0.047986	0.053672	0.95573	0.035521	0.093662	0.10235	0.7037	0.045805	0.054811	0.62795	0.036447	0.042638	0.23267	0.13662	0.043323	0.087203	0.043704	0.056588	0.67139	0.051383	0.040163	0.040666	0.96305	0.69784	0.046749	0.041711	0.16339	0.056992	0.04535	0.052221
Meth__cg24364574__PREX1	0.12318	0.097304	0.74654	0.095746	0.60984	0.15835	0.64209	0.092831	0.12227	0.79751	0.66963	0.65158	0.13384	0.66788	0.70847	0.15872	0.546	0.069166	0.12186	0.12154	0.21781	0.40838	0.71055	0.15715	0.19649	0.27523	0.14049	0.14124	0.25167	0.80915	0.46806	0.60139	0.099181	0.14508	0.12998	0.10377	0.129
Meth__cg05801648__SYK	0.10544	0.10226	0.11106	0.10691	0.87487	0.14196	0.27619	0.09733	0.13999	0.60114	0.1091	0.1224	0.094785	0.079635	0.49815	0.13585	0.12478	0.076791	0.092559	0.53721	0.17893	0.10837	0.73364	0.11477	0.36228	0.79153	0.15902	0.12082	0.081052	0.71146	0.67569	0.10809	0.094701	0.15053	0.11089	0.093039	0.091988
Meth__cg13066963__ESPN	0.27401	0.11409	0.93723	0.059191	0.92307	0.88171	0.87689	0.04761	0.81051	0.9164	0.92632	0.88616	0.076448	0.93966	0.51989	0.25144	0.46764	0.892	0.15161	0.14748	0.92585	0.34731	0.85341	0.51579	0.11137	0.089624	0.32096	0.59255	0.04236	0.89619	0.36517	0.59465	0.044711	0.061713	0.042406	0.041968	0.033587
Meth__cg19632206__FAM5C	0.092721	0.070135	0.10457	0.10611	0.5951	0.11245	0.59318	0.076529	0.11617	0.2313	0.14534	0.1777	0.054874	0.26242	0.31917	0.1565	0.33218	0.064621	0.14966	0.50069	0.15407	0.047569	0.46397	0.093381	0.25091	0.13924	0.10808	0.40976	0.11321	0.35144	0.3118	0.07333	0.10159	0.10894	0.057143	0.073786	0.10372
Meth__cg08955609__APOE	0.023596	0.03179	0.2006	0.29571	0.67491	0.067427	0.62356	0.033225	0.040101	0.80753	0.34698	0.23688	0.028861	0.62586	0.57156	0.067426	0.056207	0.07577	0.036009	0.41677	0.71537	0.042072	0.56178	0.24307	0.037043	0.71274	0.040279	0.03766	0.56072	0.044138	0.18844	0.14777	0.28176	0.0206	0.02875	0.030139	0.11701
Meth__cg27238470__EDN2	0.039079	0.048924	0.07974	0.042509	0.67522	0.042523	0.088471	0.041521	0.038442	0.50625	0.026792	0.072567	0.031101	0.084532	0.33082	0.07018	0.79296	0.036581	0.056081	0.057722	0.88699	0.035482	0.37021	0.038172	0.06422	0.095476	0.03502	0.1699	0.044306	0.065918	0.71498	0.026771	0.032185	0.081388	0.054654	0.039546	0.03299
Meth__cg16072462__PF4	0.473	0.054258	0.8117	0.33941	0.88185	0.6641	0.89851	0.067938	0.064976	0.59639	0.57356	0.74177	0.12827	0.68738	0.42698	0.18243	0.071913	0.11227	0.10756	0.82732	0.53117	0.087726	0.59927	0.15005	0.067679	0.55838	0.093232	0.10358	0.39894	0.74943	0.78849	0.075833	0.29733	0.07424	0.070183	0.080563	0.33198
