Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Response	1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	1
Meth__cg06150468__SNFT	0.042234	0.064041	0.05981	0.03537	0.44642	0.030625	0.75969	0.031455	0.54694	0.17176	0.96289	0.1383	0.62617	0.023958	0.16874	0.095977	0.10849	0.7047	0.49237	0.50287	0.028583	0.58023	0.029073	0.02598	0.11312	0.037483	0.90219	0.021486	0.031668	0.18842
Meth__cg20807545__ADAMTS18	0.07786	0.057228	0.068917	0.50875	0.67129	0.063842	0.92873	0.3482	0.89193	0.9043	0.39993	0.094462	0.85419	0.22262	0.11235	0.5143	0.070913	0.8886	0.8501	0.57753	0.1078	0.87322	0.090043	0.16798	0.89192	0.050696	0.33851	0.11401	0.13589	0.64761
Meth__cg15201877__PTGER3	0.065032	0.048954	0.57183	0.056042	0.85711	0.048288	0.33811	0.36802	0.9376	0.51732	0.49883	0.66739	0.55059	0.20214	0.18388	0.43361	0.10259	0.35812	0.5666	0.88959	0.16044	0.55073	0.072141	0.47517	0.44755	0.045671	0.89585	0.048413	0.043809	0.078791
Meth__cg22243662__ATP6V1C2	0.040781	0.044757	0.063401	0.0539	0.97076	0.063322	0.76644	0.047619	0.96697	0.56563	0.69181	0.047146	0.21121	0.10477	0.095438	0.40885	0.32875	0.50977	0.15341	0.9238	0.07969	0.95607	0.067953	0.034934	0.16517	0.034072	0.97103	0.060626	0.041293	0.04644
Meth__cg09501516__RGS4	0.07035	0.035424	0.18713	0.031031	0.63998	0.085297	0.93843	0.096045	0.18267	0.185	0.51168	0.034783	0.26763	0.043154	0.12887	0.87273	0.097699	0.90525	0.11652	0.66185	0.079933	0.31798	0.09019	0.036895	0.89237	0.059437	0.16365	0.13359	0.057454	0.063214
Meth__cg27383956__FLJ13265	0.03109	0.044627	0.05002	0.049315	0.88459	0.048568	0.98124	0.048619	0.95776	0.89548	0.85139	0.063695	0.96099	0.75764	0.70933	0.74376	0.04704	0.086473	0.10301	0.57359	0.042971	0.13299	0.055699	0.054876	0.94499	0.080572	0.78281	0.094811	0.039587	0.20177
Meth__cg22175764__C20orf86	0.40022	0.027694	0.028289	0.048103	0.92416	0.11149	0.58438	0.039855	0.89425	0.52991	0.90309	0.089096	0.85601	0.047705	0.1058	0.87018	0.76729	0.67729	0.41797	0.85587	0.15292	0.84138	0.21446	0.068578	0.14055	0.036811	0.86998	0.11322	0.072346	0.071569
Meth__cg03985136__ULBP2	0.043438	0.052763	0.084601	0.051181	0.52035	0.23123	0.10622	0.059994	0.12529	0.195	0.28338	0.067654	0.093214	0.046224	0.058763	0.075452	0.056018	0.95368	0.070361	0.48238	0.071503	0.48372	0.083777	0.041291	0.06208	0.052209	0.35847	0.067327	0.065501	0.053968
Meth__cg13337865__TEKT1	0.061476	0.047768	0.29855	0.093546	0.83946	0.10323	0.62267	0.052388	0.53193	0.68235	0.15611	0.50813	0.6712	0.3694	0.17723	0.21255	0.057808	0.25833	0.12388	0.82381	0.087397	0.67945	0.085915	0.049551	0.074002	0.081574	0.56795	0.048207	0.041888	0.056362
