Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	1	1	1
Meth__cg16741710__TP73	0.082847	0.50395	0.9461	0.81316	0.033461	0.92355	0.72836	0.062602	0.065449	0.053739	0.083933	0.056929	0.91119	0.5217	0.081392	0.68498	0.31028	0.1451	0.16924	0.93032	0.4616	0.88216	0.536	0.60706	0.054836	0.070349	0.090336	0.4254	0.38276	0.85353	0.096669	0.50947	0.5363	0.063014	0.055561	0.47588	0.2374	0.081294
Meth__cg02128567__KCNK5	0.027432	0.034767	0.56616	0.091834	0.031232	0.98454	0.048709	0.044876	0.033172	0.023146	0.045549	0.029614	0.46257	0.069087	0.035436	0.032087	0.03236	0.076503	0.31617	0.12233	0.088607	0.14299	0.14688	0.55417	0.63545	0.065166	0.95948	0.049509	0.051398	0.043662	0.89039	0.52514	0.64122	0.11654	0.03463	0.072119	0.15965	0.041909
Meth__cg19478743__CXCL16	0.057203	0.91745	0.12601	0.075086	0.041705	0.56923	0.070862	0.05286	0.037386	0.042442	0.08427	0.065224	0.11272	0.043426	0.033969	0.94058	0.076221	0.10403	0.12385	0.085743	0.075012	0.11488	0.085477	0.7835	0.056325	0.35687	0.15292	0.49551	0.060698	0.043761	0.06916	0.045117	0.50073	0.055945	0.047076	0.047644	0.069421	0.082939
Meth__cg08700651__IL28RA	0.14158	0.85916	0.60087	0.41057	0.080806	0.87757	0.65784	0.14156	0.063688	0.095179	0.073829	0.28835	0.86666	0.31855	0.078799	0.086583	0.49599	0.37763	0.40924	0.63533	0.59873	0.81063	0.43427	0.55716	0.27176	0.4001	0.18042	0.17372	0.62852	0.37593	0.11959	0.61514	0.92037	0.06393	0.14553	0.13935	0.40461	0.19756
Meth__cg24512400__KLK10	0.12412	0.15566	0.98099	0.56749	0.26357	0.54754	0.57702	0.037593	0.034174	0.06507	0.16319	0.022388	0.97008	0.36218	0.030087	0.62769	0.058556	0.15507	0.027523	0.96806	0.97699	0.64329	0.60293	0.77849	0.64248	0.44048	0.95386	0.26524	0.067053	0.034884	0.3297	0.15932	0.97729	0.10903	0.33164	0.32557	0.46591	0.06638
Meth__cg11065385__B4GALNT3	0.021913	0.042264	0.90718	0.086399	0.033125	0.95205	0.028177	0.045366	0.024061	0.023575	0.030575	0.061224	0.18053	0.049509	0.029743	0.074944	0.078844	0.043921	0.35204	0.041028	0.054018	0.039235	0.046872	0.84555	0.047002	0.037733	0.083704	0.066879	0.03715	0.17562	0.28008	0.017907	0.27106	0.050144	0.039707	0.039722	0.10593	0.28333
Meth__cg24081819__EPHX2	0.035518	0.055295	0.14586	0.66126	0.033947	0.5966	0.051515	0.064869	0.033901	0.035306	0.048933	0.047792	0.52956	0.91674	0.044892	0.043315	0.046901	0.11677	0.43565	0.032483	0.053987	0.30049	0.039202	0.80517	0.41613	0.073867	0.11168	0.054207	0.03685	0.55062	0.052028	0.044513	0.045465	0.062568	0.04303	0.89636	0.077229	0.88649
Meth__cg20881054__VASH1	0.12071	0.31143	0.41421	0.17069	0.095339	0.16707	0.73786	0.18168	0.024095	0.047555	0.075942	0.037927	0.61448	0.67126	0.031606	0.064587	0.062105	0.27071	0.035117	0.91908	0.65915	0.071188	0.13443	0.84592	0.41229	0.076941	0.92224	0.10858	0.034965	0.041919	0.044091	0.11923	0.43181	0.053937	0.038439	0.12155	0.20172	0.15701
Meth__cg20699736__VAX2	0.10919	0.22933	0.23655	0.10454	0.14927	0.31776	0.43366	0.043405	0.084588	0.14534	0.070087	0.059149	0.76703	0.068577	0.089394	0.28666	0.062309	0.069824	0.3766	0.20507	0.24149	0.60868	0.16609	0.5656	0.29541	0.11893	0.72788	0.11251	0.058948	0.029255	0.08603	0.24289	0.79616	0.065822	0.063298	0.091466	0.30535	0.40188
