Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	1
SNP__LOC220929	0.021	-3.307	0.326	-0.091	0.102	-2.386	-0.139	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.084	0.183	0.083	0.042	0.762	-2.689	-0.356	0.09	-0.589	-2.667	0.019	0.213	-0.043	-1.109	0.189	0.189	0.033	0.416	-0.204	0.008	-0.773	-0.302	0.08	-0.074	0.009
SNP__GBP3	0.014	0.102	-0.219	-0.252	-0.189	0.15	-0.545	-0.062	-0.05	-3.626	0.098	-0.463	-0.029	-0.116	0.296	-0.172	0.04	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	-0.063	0.266	0.462	0.202	-4.112	-0.139	0.134	-0.035	0.043	-0.3	-3.392	-0.366	-0.36
SNP__TRY6	0.012	0.553	0.186	0.355	0.322	-1.816	0.45	-1.938	0.854	0.715	-0.643	0.29	1.134	-4.448	-0.251	-2.001	0.557	-1.912	0.015	-2.121	-0.395	-0.392	0.18	0.067	0.122	-0.125	-2.332	0.191	-0.039	0.48	0.526	-0.864	-2.463	-3.111	-0.313	0.262	-2.35	-0.319	0.188	-0.042	0.028
SNP__LOC391322	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__GSTT1	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	-0.314	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__LOC653399	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-2.299	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__HSF2BP	0.006	-4.25	0.188	-0.24	-0.037	0.118	0.076	-3.725	0.175	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	-0.099	0.613	0.096	0.218	-3.535	-0.041	-4.092	0.46	0.412	0.344	-4.152	-0.443	0.138	-0.034	-3.431	0.422	0.48	0.013	0.203	-0.053	-3.924	0.039	0.058	-2.736	-0.417	-0.377
SNP__LOC646609	-0.648	-0.203	-0.236	-1.03	-0.658	-0.225	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-0.228	-2.484	-2.568	-0.025	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__LOC653723	0.003	-0.12	-2.97	0.093	0.166	0.219	0.475	0.152	0.408	-0.301	0.1	-3.66	-2.52	0.255	0.478	-2.716	0.352	0.584	-3.227	0.016	0.14	0.287	-0.019	-0.177	-0.637	0.119	0.029	0.182	-0.021	0.052	-0.159	-0.223	0.002	0.745	0.286	0.55	-0.388	-0.286	0.088	0.066	0.001
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__RPL31P1	0.006	-4.25	0.188	-0.24	-0.037	0.118	0.076	-3.725	0.175	-0.238	0.057	-3.503	-2.536	-0.103	-0.267	-0.099	0.613	0.096	0.218	-3.535	-0.041	-4.092	0.46	0.412	0.344	-4.152	-0.443	0.138	-0.034	-3.431	0.422	0.48	0.013	0.203	-0.053	-3.924	0.039	0.058	-2.736	-0.417	-0.377
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC147158	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
