Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1
Meth__cg06385087__CTSZ	0.027811	0.067591	0.038488	0.041837	0.77845	0.49182	0.1994	0.59265	0.89169	0.47671	0.69077	0.1198	0.030352	0.55776	0.4386	0.027187	0.038879	0.020528	0.94259	0.94848	0.52254	0.10006	0.163	0.046032	0.58737	0.054617	0.026139	0.02193	0.024036	0.68424	0.027018	0.022763	0.05047	0.054953	0.16232	0.060018
Meth__cg13490971__NDFIP1	0.07186	0.14525	0.65636	0.61765	0.57782	0.19291	0.39272	0.32298	0.4173	0.44005	0.18803	0.39472	0.11669	0.383	0.088882	0.28516	0.22274	0.060597	0.68367	0.33453	0.1526	0.24188	0.31288	0.083458	0.38873	0.22737	0.04406	0.05684	0.15751	0.34048	0.36631	0.12589	0.17895	0.13304	0.28585	0.21405
Meth__cg00311768__TSTA3	0.086867	0.19853	0.6503	0.70767	0.3596	0.66789	0.3497	0.67668	0.21182	0.77743	0.071736	0.86943	0.36088	0.24303	0.3347	0.5905	0.13027	0.081038	0.42845	0.43043	0.8973	0.78983	0.74237	0.16358	0.14426	0.51164	0.081686	0.092009	0.11472	0.36966	0.4348	0.11911	0.13438	0.85424	0.074186	0.074599
Meth__cg06196379__TREM1	0.14161	0.26734	0.8738	0.79891	0.67663	0.040308	0.41866	0.66359	0.68628	0.69373	0.44526	0.75107	0.51084	0.72525	0.40988	0.74308	0.11004	0.021995	0.49712	0.43676	0.097922	0.0866	0.55806	0.050501	0.52635	0.27158	0.028516	0.043436	0.037478	0.58869	0.12573	0.29627	0.22799	0.34693	0.22286	0.42307
Meth__cg00410921__CKMT1B	0.089636	0.10101	0.38112	0.87546	0.31869	0.62827	0.55819	0.58514	0.29586	0.65872	0.77707	0.26545	0.72887	0.20597	0.84118	0.42691	0.061608	0.049283	0.75865	0.8718	0.39861	0.50721	0.79296	0.24116	0.88056	0.4105	0.14437	0.07059	0.058082	0.65013	0.14275	0.04754	0.19861	0.13863	0.093878	0.057959
U133A__MT1X	8.4084	8.2002	10.7098	8.1249	7.4471	9.3471	8.3782	10.0479	6.6892	9.4273	8.2086	8.4598	10.1523	8.178	8.9091	10.0628	10.8713	10.1184	6.7858	7.3453	9.6321	10.0782	8.8258	10.9035	8.2451	8.777	9.7324	10.4715	10.7999	8.8989	9.62	9.7216	6.9663	7.1999	9.2386	6.7383
Meth__cg09009259__MUM1	0.089656	0.088579	0.11034	0.54768	0.37528	0.59899	0.14257	0.07755	0.15366	0.73657	0.07571	0.10279	0.12334	0.41525	0.068684	0.57399	0.10777	0.045745	0.11536	0.11592	0.11915	0.32938	0.76844	0.13589	0.1767	0.67437	0.04148	0.052551	0.069639	0.12837	0.054752	0.046298	0.12687	0.14907	0.063381	0.22123
Meth__cg21516384__KIAA1618	0.064106	0.42404	0.76813	0.74213	0.599	0.54262	0.36881	0.54195	0.45276	0.66554	0.045053	0.88664	0.48051	0.48617	0.1269	0.18468	0.054778	0.023537	0.64074	0.44086	0.098691	0.090634	0.69195	0.12526	0.40781	0.44503	0.02366	0.036718	0.17882	0.42164	0.5084	0.18131	0.25147	0.067899	0.28266	0.32786
Meth__cg14473016__RASD2	0.027961	0.41038	0.048626	0.9362	0.94147	0.73597	0.47817	0.048689	0.066335	0.90576	0.067189	0.14903	0.88424	0.054791	0.44868	0.037816	0.10922	0.044405	0.9058	0.91145	0.44323	0.070807	0.89961	0.053556	0.47883	0.4491	0.046666	0.030039	0.049372	0.24465	0.45906	0.031595	0.21596	0.41352	0.061024	0.44149
Meth__cg18490846__C17orf73	0.028151	0.031281	0.47601	0.13664	0.15169	0.32115	0.035699	0.46022	0.49084	0.30968	0.45751	0.070695	0.11874	0.32512	0.24413	0.75483	0.050086	0.047859	0.48186	0.24246	0.6792	0.20263	0.27494	0.049987	0.13027	0.08817	0.16251	0.050326	0.068589	0.39362	0.067448	0.033795	0.10971	0.31435	0.10976	0.071334
U133A__MEST	4.1765	9.1445	7.6999	8.9309	8.7516	6.6424	8.5033	7.7862	7.8309	8.7083	4.5952	7.8941	7.5623	8.9105	4.5462	11.3108	3.7298	6.5437	8.65	8.9624	9.3082	7.1838	7.7	7.1751	9.0391	9.9474	5.8419	5.283	7.8764	7.8433	7.9864	3.8016	3.9968	7.8186	7.7185	9.1736
