Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	1	-1	1	-1	1	-1	1	1	-1	1	-1	1	1	1	-1	1	-1	-1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1
Meth__cg16442715__MAP3K7IP1	0.053033	0.049112	0.14141	0.054028	0.071809	0.057086	0.074865	0.059634	0.061144	0.071546	0.068272	0.076884	0.087923	0.061216	0.053575	0.079582	0.041953	0.0709	0.096818	0.085878	0.064795	0.099976	0.088764	0.072408	0.26068	0.099394	0.082411	0.080509	0.11999	0.053878	0.059078	0.070177	0.092867	0.065169	0.045762	0.071973	0.059728	0.13254	0.067049
Meth__cg27167439__C1orf21	0.098904	0.23295	0.08995	0.054749	0.33322	0.059663	0.49842	0.10054	0.064018	0.070279	0.060871	0.10387	0.10195	0.17257	0.066561	0.11042	0.072526	0.091116	0.065456	0.049486	0.047075	0.71869	0.17635	0.47949	0.10385	0.062481	0.099533	0.54462	0.27979	0.067909	0.060635	0.06864	0.075569	0.053689	0.089432	0.071193	0.4921	0.15048	0.80969
Meth__cg21712685__UNQ3045	0.046434	0.04306	0.50889	0.058518	0.041605	0.61885	0.093688	0.14421	0.031645	0.042702	0.045603	0.064123	0.39538	0.057493	0.038326	0.86026	0.039921	0.11903	0.11086	0.054947	0.060668	0.043765	0.17914	0.074765	0.041079	0.038582	0.078509	0.18845	0.079435	0.04887	0.038831	0.060926	0.096149	0.039876	0.042503	0.045876	0.043031	0.17147	0.044983
Meth__cg03243946__LDHB	0.81874	0.065801	0.94358	0.78427	0.7515	0.083307	0.94948	0.07513	0.12782	0.71975	0.06265	0.10425	0.51188	0.66662	0.13069	0.47424	0.049203	0.082998	0.093932	0.86189	0.81477	0.94008	0.082992	0.11502	0.094371	0.063979	0.58266	0.92888	0.065379	0.048668	0.036139	0.060998	0.95878	0.18964	0.48413	0.077533	0.86306	0.22054	0.89466
Meth__cg03642357__ADRBK2	0.12388	0.093804	0.94026	0.90915	0.86367	0.16574	0.37308	0.28483	0.11311	0.31027	0.12878	0.23859	0.48324	0.60485	0.14367	0.24591	0.084798	0.15666	0.36927	0.22967	0.13031	0.70283	0.39199	0.1885	0.69821	0.1961	0.12465	0.35214	0.12976	0.11381	0.10818	0.10101	0.90682	0.80096	0.20582	0.19361	0.16973	0.34727	0.8541
Meth__cg02225847__FAM65A	0.046601	0.15466	0.071615	0.10503	0.083226	0.036687	0.22333	0.22974	0.055938	0.56396	0.050341	0.097486	0.4402	0.076362	0.061863	0.913	0.035031	0.06341	0.03847	0.15386	0.13665	0.36426	0.39439	0.15299	0.083839	0.18556	0.12974	0.52505	0.50503	0.31247	0.046105	0.044743	0.622	0.037543	0.088364	0.12063	0.059851	0.24751	0.068017
Meth__cg06437004__LDHB	0.71664	0.046459	0.91188	0.58354	0.4522	0.045803	0.9131	0.037061	0.031974	0.057247	0.047387	0.06485	0.56611	0.67372	0.047277	0.42439	0.038202	0.070586	0.030881	0.8885	0.89914	0.92063	0.051113	0.090638	0.061648	0.058185	0.13333	0.86239	0.1302	0.033337	0.044269	0.037619	0.92681	0.03705	0.48461	0.041992	0.71358	0.10523	0.86612
Meth__cg25681177__GAPDHS	0.86922	0.035781	0.60927	0.7624	0.67321	0.073626	0.66002	0.54981	0.022437	0.75298	0.25316	0.59743	0.50738	0.55088	0.026871	0.46011	0.39201	0.055809	0.020322	0.7453	0.36131	0.93176	0.56633	0.45383	0.44287	0.67222	0.041747	0.38954	0.052058	0.045291	0.088317	0.050538	0.69349	0.3732	0.092973	0.080932	0.38612	0.37392	0.34061
Meth__cg20263942__GOLPH2	0.17298	0.82379	0.18843	0.91158	0.96369	0.05548	0.91388	0.92801	0.098964	0.94152	0.093004	0.24312	0.57451	0.48656	0.14754	0.49864	0.053325	0.13725	0.14807	0.94318	0.82786	0.96151	0.24898	0.63618	0.11799	0.52055	0.19375	0.88356	0.85451	0.07463	0.055348	0.19986	0.62526	0.63096	0.2149	0.12709	0.67723	0.20319	0.91808
