Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	1	1	-1	1	1	1	1	-1	1
Meth__cg20345446__OSBPL5	0.3735	0.30513	0.39977	0.1196	0.45432	0.15928	0.050171	0.487	0.073898	0.065904	0.23599	0.79346	0.117	0.17135	0.046122	0.079407	0.046067	0.074235	0.051726	0.40541	0.30336	0.41197	0.59235	0.3587	0.15437	0.29511	0.087521	0.64245	0.2807	0.71104	0.28744	0.57384	0.035188	0.038367	0.30329	0.053581	0.17594	0.056968	0.10933	0.30974	0.053195
Meth__cg07950803__CD1A	0.73751	0.10593	0.15058	0.11136	0.056247	0.10669	0.089947	0.17484	0.2314	0.069441	0.72906	0.031374	0.46102	0.1992	0.1979	0.31072	0.52635	0.10733	0.051049	0.21729	0.24558	0.20197	0.048963	0.94075	0.050912	0.13716	0.093916	0.10042	0.36559	0.056951	0.074294	0.036145	0.45283	0.052823	0.037061	0.046256	0.12776	0.05575	0.27545	0.14395	0.30833
Meth__cg06245154__ERCC2	0.042574	0.038419	0.15804	0.065941	0.031389	0.096654	0.077165	0.096829	0.034451	0.17459	0.039395	0.13323	0.047642	0.053749	0.044496	0.038694	0.04537	0.09918	0.035283	0.047171	0.049577	0.18528	0.071905	0.057487	0.20812	0.13315	0.050641	0.042593	0.064516	0.067632	0.053655	0.043467	0.036117	0.035502	0.060941	0.071476	0.060899	0.04986	0.034141	0.1357	0.048961
Meth__cg23507131__DARC	0.40231	0.047369	0.18713	0.14509	0.56013	0.096795	0.2116	0.18778	0.23657	0.048415	0.33666	0.13068	0.75714	0.036632	0.21474	0.31547	0.56375	0.10158	0.034872	0.17404	0.13147	0.058223	0.07047	0.11723	0.23564	0.065486	0.056793	0.18915	0.35668	0.046418	0.10046	0.064989	0.31863	0.75583	0.054832	0.18974	0.084998	0.32787	0.19036	0.077351	0.25813
Meth__cg04893119__PI15	0.77355	0.075998	0.56548	0.096756	0.49656	0.14649	0.33557	0.63203	0.33988	0.40414	0.093759	0.26595	0.216	0.13487	0.2891	0.44961	0.72807	0.20727	0.25308	0.088683	0.2787	0.82845	0.45765	0.26577	0.58963	0.12713	0.24729	0.17126	0.10439	0.18422	0.078378	0.50927	0.64908	0.14451	0.73663	0.058219	0.10187	0.087666	0.18581	0.24898	0.10349
Meth__cg25340403__LYPD3	0.041991	0.035241	0.052266	0.20651	0.83676	0.058992	0.90545	0.47752	0.062234	0.15438	0.42546	0.079824	0.18769	0.030084	0.056727	0.30018	0.66495	0.076535	0.83915	0.03933	0.037908	0.2338	0.80747	0.035903	0.7884	0.036387	0.3407	0.27939	0.26306	0.20758	0.040486	0.82379	0.028007	0.51634	0.2241	0.02642	0.0736	0.040626	0.040225	0.27833	0.044181
Meth__cg03891319__ACY1	0.043496	0.067761	0.063529	0.057028	0.1529	0.10483	0.053154	0.40392	0.048061	0.063932	0.061134	0.11928	0.19048	0.032142	0.056929	0.089607	0.041441	0.080921	0.33429	0.086526	0.051391	0.090423	0.088996	0.19994	0.15804	0.052598	0.11202	0.13245	0.080786	0.13328	0.067437	0.049142	0.037829	0.043501	0.084861	0.043111	0.065182	0.067309	0.051075	0.1099	0.049409
Meth__cg22619563__EPHA3	0.043238	0.03572	0.11769	0.051241	0.042585	0.056872	0.043932	0.21423	0.037064	0.041912	0.058902	0.069588	0.24519	0.036037	0.041021	0.040372	0.040104	0.14689	0.38114	0.032536	0.039594	0.40042	0.044097	0.033881	0.20165	0.042223	0.097252	0.041485	0.074226	0.070223	0.060577	0.053806	0.034188	0.034468	0.05137	0.52317	0.18045	0.051377	0.045428	0.3477	0.047561
Meth__cg07623294__ELAVL2	0.76984	0.023497	0.76691	0.06047	0.029583	0.75205	0.039894	0.39253	0.35184	0.42244	0.22432	0.57208	0.052815	0.013979	0.30141	0.032964	0.4	0.17369	0.071794	0.060714	0.22229	0.92579	0.029475	0.13336	0.357	0.0619	0.072806	0.036255	0.12652	0.15892	0.058166	0.26569	0.40747	0.031016	0.039129	0.064694	0.079397	0.055391	0.031217	0.63421	0.022426
Meth__cg14562990__LDOC1	0.50337	0.066028	0.85233	0.14709	0.056595	0.04771	0.07278	0.62558	0.21671	0.57322	0.056012	0.09205	0.18898	0.73156	0.18221	0.074678	0.56705	0.16494	0.37529	0.074427	0.055266	0.55681	0.32149	0.51694	0.53059	0.17417	0.43053	0.56686	0.40299	0.26903	0.08048	0.22996	0.039003	0.24814	0.26896	0.47393	0.10824	0.61579	0.36231	0.5565	0.06615
Meth__cg17456704__ZNF625	0.10655	0.10475	0.10674	0.099169	0.13367	0.10676	0.13284	0.21407	0.13201	0.11666	0.95655	0.09963	0.52892	0.11435	0.13913	0.80277	0.099196	0.14544	0.10664	0.83574	0.48342	0.1131	0.1117	0.13935	0.2865	0.096139	0.12043	0.30614	0.51588	0.10801	0.17957	0.11581	0.42613	0.13137	0.078712	0.18392	0.1201	0.12093	0.15952	0.15563	0.25175
Meth__cg08872550__CA2	0.32794	0.058366	0.20261	0.10177	0.16497	0.14689	0.14535	0.22042	0.077294	0.047818	0.045223	0.15849	0.31413	0.043011	0.081562	0.081969	0.067918	0.15011	0.034685	0.09065	0.20221	0.44683	0.17496	0.10843	0.17967	0.13066	0.097716	0.19658	0.39148	0.075802	0.11276	0.2994	0.076754	0.06371	0.34655	0.11921	0.04603	0.05958	0.069973	0.3881	0.094479
Meth__cg07102705__HTR4	0.43928	0.015076	0.69156	0.66315	0.54811	0.71804	0.27792	0.97699	0.018113	0.76283	0.63935	0.93674	0.53858	0.21897	0.13335	0.039791	0.31391	0.030165	0.024775	0.22476	0.51853	0.3596	0.33336	0.56007	0.77642	0.26399	0.020838	0.12915	0.76264	0.15511	0.052542	0.71436	0.037525	0.04354	0.94685	0.68262	0.25524	0.021938	0.52498	0.89257	0.19737
