Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1
Meth__cg07443748__CESK1	0.88322	0.12393	0.84947	0.55211	0.052044	0.71624	0.088641	0.48532	0.16396	0.61206	0.69543	0.14883	0.098286	0.041842	0.20245	0.44559	0.02948	0.031988	0.83568	0.83665	0.04405	0.1331	0.92652	0.03965	0.64572	0.079212	0.42968	0.11724	0.051992	0.052074	0.078189	0.045546	0.11852	0.85878	0.16906	0.18858	0.45057	0.61666	0.36978	0.75867
Meth__cg04513422__LOC283487	0.49463	0.12456	0.65108	0.83539	0.049121	0.85199	0.042454	0.1521	0.057214	0.8543	0.84342	0.22335	0.36535	0.43123	0.065228	0.058811	0.20007	0.029201	0.63988	0.62284	0.055704	0.035941	0.49689	0.10028	0.51746	0.065162	0.032935	0.81037	0.079769	0.15542	0.038551	0.051638	0.047799	0.83531	0.84775	0.75645	0.77443	0.73714	0.48471	0.82718
Meth__cg00615377__RBM9	0.079363	0.067375	0.17169	0.75395	0.035771	0.74465	0.080727	0.061351	0.082116	0.26139	0.80537	0.12495	0.13155	0.10121	0.12263	0.056203	0.091474	0.06266	0.73914	0.39959	0.79253	0.06016	0.83628	0.1074	0.11435	0.074634	0.0665	0.74337	0.068824	0.13734	0.070647	0.067497	0.059602	0.30949	0.16064	0.12472	0.7657	0.8268	0.24246	0.78353
Meth__cg23051664__TNFRSF10D	0.91386	0.89845	0.93774	0.95421	0.53395	0.9161	0.16053	0.044315	0.045041	0.93802	0.69717	0.08417	0.65121	0.51784	0.34746	0.055348	0.16894	0.044293	0.9173	0.92195	0.90254	0.083373	0.76836	0.11919	0.73452	0.16091	0.16681	0.84221	0.090108	0.89524	0.05392	0.07691	0.052408	0.94524	0.94725	0.80849	0.92419	0.21009	0.90668	0.89573
Meth__cg08569678__LY6K	0.79822	0.22158	0.8864	0.86349	0.039585	0.86276	0.070053	0.071613	0.056811	0.90052	0.79834	0.035944	0.12366	0.81614	0.46143	0.056896	0.23339	0.043153	0.84752	0.88424	0.82278	0.041467	0.86085	0.071037	0.88314	0.37056	0.048084	0.84173	0.067623	0.33484	0.060388	0.047138	0.056778	0.90518	0.92339	0.50023	0.89234	0.90284	0.84654	0.87038
Meth__cg26976437__LY6K	0.92	0.36664	0.94032	0.92656	0.049234	0.91669	0.098425	0.071885	0.058947	0.6243	0.94053	0.3568	0.13629	0.95468	0.49273	0.27238	0.38557	0.037731	0.95662	0.92655	0.71817	0.040696	0.87358	0.10805	0.90331	0.42161	0.029104	0.88879	0.048449	0.28287	0.094598	0.046038	0.061018	0.91234	0.91782	0.76721	0.94558	0.90714	0.89959	0.91439
Meth__cg08590939__OXCT1	0.052523	0.080204	0.20992	0.85325	0.029701	0.91022	0.025918	0.041699	0.035581	0.91788	0.052928	0.037889	0.4535	0.6434	0.041804	0.034303	0.051387	0.032012	0.92022	0.67333	0.14732	0.057413	0.41786	0.55231	0.19414	0.067456	0.038602	0.051032	0.041142	0.099256	0.035851	0.041438	0.029812	0.8242	0.53131	0.83674	0.067649	0.24821	0.55911	0.90935
Meth__cg07637239__KCNK18	0.89531	0.027951	0.88551	0.83159	0.12817	0.64108	0.11634	0.53946	0.42794	0.45269	0.63835	0.41311	0.24382	0.034483	0.37585	0.3801	0.073238	0.037095	0.81849	0.79132	0.090987	0.053188	0.94385	0.10905	0.53359	0.051062	0.33539	0.41076	0.063855	0.10317	0.049801	0.3717	0.036266	0.36402	0.068764	0.18325	0.88663	0.48895	0.2783	0.70708
Meth__cg03973663__LYN	0.078525	0.061648	0.084351	0.032846	0.86859	0.056897	0.71429	0.3023	0.91793	0.034635	0.92582	0.67003	0.88329	0.086025	0.767	0.87148	0.16543	0.81605	0.087465	0.079744	0.65056	0.93678	0.047105	0.15364	0.10029	0.18803	0.91853	0.12821	0.84505	0.074676	0.9126	0.42793	0.14908	0.045052	0.29198	0.18533	0.05233	0.08799	0.21953	0.12318
