Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1
Meth__cg25225238__GRM3	0.60765	0.071088	0.58193	0.16772	0.12087	0.32116	0.53629	0.10699	0.70752	0.148	0.30114	0.082604	0.067422	0.067659	0.15061	0.11333	0.24907	0.33462	0.49947	0.34339	0.3155	0.079736	0.077087	0.27349	0.083049	0.12667	0.30463	0.31582	0.41367
Meth__cg07664856__CNTN6	0.68339	0.055739	0.62468	0.326	0.58946	0.62145	0.25368	0.59124	0.68323	0.10242	0.30752	0.23315	0.050333	0.48298	0.045226	0.075451	0.45653	0.80065	0.23713	0.14578	0.36995	0.12896	0.08796	0.79007	0.12026	0.17569	0.12541	0.58624	0.29871
Meth__cg01172899__SLC16A14	0.058537	0.38384	0.11106	0.60238	0.86698	0.11523	0.17485	0.21945	0.12243	0.35792	0.77848	0.44428	0.13639	0.10199	0.53061	0.20053	0.23113	0.08361	0.5538	0.089871	0.17717	0.34775	0.63182	0.093569	0.44468	0.14427	0.45268	0.096006	0.15851
Meth__cg10994126__PAPPA2	0.32681	0.047501	0.68813	0.40435	0.068571	0.22875	0.21916	0.057334	0.34384	0.077001	0.16041	0.1044	0.07025	0.12021	0.048646	0.15303	0.60923	0.90604	0.16687	0.18354	0.43799	0.067987	0.070307	0.099684	0.060505	0.05618	0.27852	0.14631	0.15285
Meth__cg00695416__CBR1	0.97515	0.032224	0.97326	0.69761	0.019668	0.59368	0.052036	0.96918	0.035407	0.034823	0.95241	0.02853	0.027134	0.064554	0.023331	0.032715	0.96054	0.79007	0.058917	0.95474	0.95596	0.038972	0.024338	0.040027	0.10394	0.14209	0.024681	0.95745	0.96392
Meth__cg25119415__MNDA	0.71372	0.072091	0.19744	0.047543	0.10196	0.11561	0.63362	0.11591	0.27726	0.092892	0.12186	0.1372	0.067797	0.084528	0.040908	0.13116	0.44722	0.73402	0.12108	0.1457	0.21113	0.12355	0.064734	0.52946	0.074202	0.1345	0.073938	0.18314	0.18696
Meth__cg11504897__NRN1	0.71248	0.13355	0.23187	0.17096	0.73864	0.91686	0.53527	0.48291	0.55657	0.16727	0.18441	0.086957	0.24143	0.1365	0.42814	0.2273	0.95321	0.29889	0.92095	0.38222	0.94573	0.20638	0.12034	0.11563	0.12256	0.19759	0.92162	0.65629	0.88658
Meth__cg22689690__ADCY6	0.05585	0.10609	0.06373	0.096844	0.10627	0.072749	0.070374	0.065784	0.053691	0.14167	0.13915	0.12588	0.11604	0.11921	0.076814	0.084342	0.081936	0.052069	0.10041	0.055187	0.070962	0.087245	0.097392	0.065114	0.058371	0.084588	0.062858	0.057405	0.086176
Meth__cg07172280__DPP7	0.037093	0.65517	0.37738	0.15096	0.90391	0.14046	0.049617	0.21806	0.099378	0.38109	0.34849	0.87151	0.043088	0.097529	0.48372	0.1843	0.16333	0.068783	0.056586	0.22373	0.05473	0.60196	0.22182	0.1605	0.18649	0.33979	0.081747	0.099049	0.061947
RS_G15192__FAM101A__FAM101A	0	0	5.0831	3.729	0	4.3808	1.9118	1.0259	0	2.5187	0	0	0.48686	0	0	0	1.9609	1.1709	0.95138	4.1848	3.6832	0	0	5.271	0	0	4.0247	5.5645	8.5957
Meth__cg08244522__THBD	0.043397	0.25408	0.067014	0.048239	0.80814	0.054036	0.75013	0.036973	0.53478	0.96194	0.77705	0.86825	0.051634	0.10769	0.44696	0.44549	0.035256	0.039103	0.073936	0.042394	0.052772	0.158	0.16635	0.038178	0.67591	0.056253	0.050049	0.038457	0.040733
Meth__cg02913089__PDE8A	0.23057	0.043466	0.85759	0.20879	0.031453	0.38754	0.85011	0.44356	0.077795	0.058214	0.26275	0.034146	0.036529	0.091077	0.01816	0.052969	0.80076	0.87473	0.089324	0.1563	0.88758	0.060715	0.091287	0.026941	0.1504	0.052473	0.059146	0.23276	0.094156
Meth__cg07031996__MTF1	0.73507	0.039499	0.44024	0.10082	0.047448	0.2619	0.23157	0.18537	0.14455	0.157	0.097303	0.062423	0.023207	0.085354	0.084842	0.056903	0.12121	0.90034	0.37892	0.15474	0.29812	0.06485	0.02577	0.0232	0.1262	0.056683	0.050524	0.15297	0.067504
Meth__cg01962969__CBR1	0.61103	0.017736	0.94089	0.40107	0.019737	0.2283	0.043682	0.90222	0.034744	0.03119	0.76054	0.03607	0.035059	0.036798	0.024024	0.041677	0.94717	0.71934	0.0601	0.93052	0.90556	0.039422	0.019376	0.026456	0.023353	0.051742	0.028889	0.90553	0.73295
Meth__cg02413850__SLC35C2	0.40466	0.026385	0.41015	0.03989	0.28485	0.19348	0.056846	0.4008	0.03391	0.050456	0.34466	0.035833	0.064545	0.081946	0.025141	0.032003	0.04088	0.071858	0.071375	0.89409	0.79003	0.055969	0.036791	0.066019	0.023622	0.075833	0.051486	0.55249	0.30442
RS_G8454__PADI3__PADI3	0.46584	6.8211	0.54552	2.2372	0.43485	0.3183	0	1.9093	0	5.4543	9.8003	2.9407	1.0326	0.40476	6.6389	2.5696	1.7243	6.681	0.35983	0.59354	0.41031	4.097	0.41693	0.315	6.8956	7.7006	4.0201	2.2637	0.52515
Meth__cg10519140__SLC29A1	0.042044	0.18434	0.049417	0.2975	0.93723	0.1646	0.042355	0.10035	0.039705	0.26061	0.91048	0.89692	0.16484	0.083243	0.54183	0.44769	0.063049	0.048042	0.048621	0.080687	0.068531	0.097216	0.31932	0.036225	0.037887	0.055261	0.044305	0.046145	0.69178
Meth__cg02914419__ASNA1	0.029344	0.025496	0.025336	0.025584	0.025246	0.025255	0.5859	0.031048	0.56392	0.019905	0.030485	0.023543	0.021939	0.059032	0.01616	0.024488	0.027111	0.039361	0.045126	0.030646	0.053573	0.030527	0.05235	0.044177	0.022993	0.037088	0.67445	0.030488	0.029985
Meth__cg02115041__NPBWR1	0.65467	0.035659	0.79099	0.20496	0.27125	0.63816	0.9424	0.52272	0.69559	0.27728	0.91743	0.57853	0.052839	0.21991	0.30918	0.50383	0.34728	0.93072	0.31197	0.43667	0.38733	0.065115	0.078641	0.093887	0.25483	0.16893	0.58309	0.80995	0.66864
Meth__cg21789545__COL9A1	0.72267	0.032243	0.84176	0.23715	0.15382	0.60232	0.87411	0.29447	0.81352	0.29131	0.21061	0.26305	0.39998	0.09472	0.064909	0.11929	0.36511	0.70646	0.17668	0.18448	0.44263	0.087827	0.25976	0.45375	0.1361	0.08538	0.24205	0.17193	0.4613
RS_G14997__ODF3B__ODF3B	4.8507	2.6239	1.1155	5.0856	1.2456	2.7493	4.4677	1.5611	8.8354	3.5457	1.9196	1.0577	1.01	7.96	1.0288	2.1161	4.3639	4.3224	1.5806	4.3544	6.2574	2.0834	1.7179	7.1725	0.97023	3.3624	4.0077	5.6032	4.2153
Meth__cg18219951__GABRG2	0.16308	0.060276	0.37071	0.085969	0.07614	0.11421	0.19981	0.084848	0.68721	0.095469	0.17578	0.15073	0.098958	0.1468	0.071571	0.10273	0.11866	0.20169	0.11689	0.088433	0.20181	0.077028	0.057186	0.10966	0.069846	0.090738	0.088407	0.11147	0.097542
Meth__cg26635603__BACH1	0.055919	0.062375	0.065499	0.060255	0.054436	0.15744	0.064859	0.061876	0.06708	0.062613	0.086751	0.053848	0.049322	0.11525	0.048658	0.062184	0.075087	0.12904	0.096603	0.075209	0.115	0.09628	0.060195	0.056508	0.049455	0.061451	0.06883	0.06304	0.068742
Meth__cg00834796__JAKMIP2	0.11782	0.08133	0.60835	0.16274	0.052793	0.14758	0.23501	0.11108	0.074826	0.042602	0.14269	0.10835	0.051934	0.18757	0.078252	0.081812	0.29497	0.27524	0.16433	0.16266	0.16992	0.052296	0.027932	0.060415	0.20255	0.091217	0.073985	0.15599	0.21936
Meth__cg02065387__GABRA1	0.5475	0.1054	0.93826	0.12195	0.37416	0.88551	0.48344	0.14078	0.80387	0.17007	0.20517	0.25046	0.14197	0.18495	0.10774	0.49753	0.91381	0.66782	0.2038	0.16689	0.55361	0.13702	0.11818	0.4635	0.39793	0.082365	0.44976	0.20845	0.17859
Meth__cg16208271__ENTPD6	0.02773	0.019701	0.027965	0.021847	0.022367	0.028125	0.02513	0.028976	0.027847	0.018419	0.80809	0.023867	0.020743	0.029417	0.014581	0.026726	0.035728	0.023727	0.049764	0.026286	0.036224	0.028136	0.02209	0.015836	0.020914	0.024058	0.031577	0.043332	0.029108
Meth__cg01657408__FLJ31951	0.056304	0.019914	0.78202	0.69986	0.02413	0.39119	0.02268	0.055705	0.02247	0.01303	0.0276	0.01793	0.022291	0.037063	0.084332	0.29784	0.96092	0.74468	0.036342	0.80535	0.92188	0.041725	0.021192	0.025951	0.021771	0.039444	0.32079	0.37812	0.82648
Meth__cg24155668__MAPK13	0.018834	0.7477	0.019135	0.020247	0.98148	0.35934	0.021728	0.72009	0.97815	0.02728	0.46561	0.97948	0.053623	0.044731	0.457	0.46086	0.021627	0.019907	0.036002	0.020673	0.030069	0.53018	0.14153	0.014241	0.56636	0.074846	0.015493	0.019929	0.015593
