Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	-1	-1	-1	-1
Meth__cg00615377__RBM9	0.079363	0.067375	0.17169	0.75395	0.035771	0.74465	0.080727	0.061351	0.082116	0.26139	0.80537	0.12495	0.13155	0.10121	0.12263	0.056203	0.091474	0.06266	0.73914	0.39959	0.06016	0.1074	0.11435	0.074634	0.0665	0.74337	0.068824	0.13734	0.070647	0.067497	0.059602	0.30949	0.16064	0.12472	0.7657	0.8268	0.78353
Meth__cg15210427__CST9L	0.89454	0.22279	0.89698	0.78067	0.028283	0.39384	0.023089	0.057645	0.10265	0.68244	0.12458	0.56696	0.41427	0.029804	0.11849	0.079038	0.061728	0.030258	0.7802	0.823	0.033912	0.031235	0.49292	0.58551	0.053419	0.028298	0.037944	0.13013	0.04177	0.034676	0.048325	0.78658	0.14042	0.37707	0.86499	0.48963	0.60433
Meth__cg04513422__LOC283487	0.49463	0.12456	0.65108	0.83539	0.049121	0.85199	0.042454	0.1521	0.057214	0.8543	0.84342	0.22335	0.36535	0.43123	0.065228	0.058811	0.20007	0.029201	0.63988	0.62284	0.035941	0.10028	0.51746	0.065162	0.032935	0.81037	0.079769	0.15542	0.038551	0.051638	0.047799	0.83531	0.84775	0.75645	0.77443	0.73714	0.82718
Meth__cg07443748__CESK1	0.88322	0.12393	0.84947	0.55211	0.052044	0.71624	0.088641	0.48532	0.16396	0.61206	0.69543	0.14883	0.098286	0.041842	0.20245	0.44559	0.02948	0.031988	0.83568	0.83665	0.1331	0.03965	0.64572	0.079212	0.42968	0.11724	0.051992	0.052074	0.078189	0.045546	0.11852	0.85878	0.16906	0.18858	0.45057	0.61666	0.75867
Meth__cg00243313__IRX4	0.029184	0.023705	0.027316	0.017799	0.78009	0.038015	0.08037	0.93953	0.13974	0.025441	0.026216	0.030656	0.40097	0.056494	0.1059	0.68599	0.090337	0.052295	0.026314	0.028003	0.2733	0.75008	0.039598	0.048514	0.039626	0.62835	0.26399	0.051565	0.029355	0.034529	0.085462	0.021158	0.25412	0.033346	0.036342	0.02772	0.029975
Meth__cg23051664__TNFRSF10D	0.91386	0.89845	0.93774	0.95421	0.53395	0.9161	0.16053	0.044315	0.045041	0.93802	0.69717	0.08417	0.65121	0.51784	0.34746	0.055348	0.16894	0.044293	0.9173	0.92195	0.083373	0.11919	0.73452	0.16091	0.16681	0.84221	0.090108	0.89524	0.05392	0.07691	0.052408	0.94524	0.94725	0.80849	0.92419	0.21009	0.89573
Meth__cg25488206__RBM9	0.084582	0.09994	0.064376	0.78919	0.037693	0.82889	0.055631	0.035925	0.066058	0.28147	0.88381	0.066496	0.095462	0.053662	0.067146	0.055365	0.062629	0.036458	0.74371	0.58167	0.054122	0.083587	0.080861	0.060621	0.052391	0.93672	0.062047	0.10394	0.058769	0.043314	0.062231	0.18055	0.19939	0.12041	0.75208	0.81659	0.66964
Meth__cg26976437__LY6K	0.92	0.36664	0.94032	0.92656	0.049234	0.91669	0.098425	0.071885	0.058947	0.6243	0.94053	0.3568	0.13629	0.95468	0.49273	0.27238	0.38557	0.037731	0.95662	0.92655	0.040696	0.10805	0.90331	0.42161	0.029104	0.88879	0.048449	0.28287	0.094598	0.046038	0.061018	0.91234	0.91782	0.76721	0.94558	0.90714	0.91439
Meth__cg08569678__LY6K	0.79822	0.22158	0.8864	0.86349	0.039585	0.86276	0.070053	0.071613	0.056811	0.90052	0.79834	0.035944	0.12366	0.81614	0.46143	0.056896	0.23339	0.043153	0.84752	0.88424	0.041467	0.071037	0.88314	0.37056	0.048084	0.84173	0.067623	0.33484	0.060388	0.047138	0.056778	0.90518	0.92339	0.50023	0.89234	0.90284	0.87038
