Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	-1	1
Meth__cg25047001__GRIN2A	0.75761	0.040121	0.94078	0.69044	0.084179	0.89404	0.58742	0.94772	0.039532	0.069756	0.89949	0.9344	0.83612	0.059773	0.66886	0.15128	0.10215	0.2505	0.89076	0.90675	0.54552	0.26443	0.46578	0.76089	0.59826	0.097175	0.63679	0.093706	0.10438	0.050262	0.050362	0.050829	0.063982	0.72184	0.096944	0.60399	0.50507	0.22779
Meth__cg19486673__LILRA2	0.46117	0.036662	0.63984	0.069838	0.060009	0.14719	0.052123	0.076796	0.040063	0.048257	0.38913	0.53292	0.0774	0.049457	0.22779	0.05116	0.059106	0.032945	0.26222	0.46773	0.053868	0.077624	0.84832	0.11304	0.048049	0.060257	0.08782	0.057548	0.065144	0.05869	0.071165	0.057031	0.035	0.28728	0.097609	0.90255	0.070744	0.13405
Meth__cg03238797__ADAMTS18	0.89177	0.042857	0.95333	0.038595	0.22478	0.95681	0.87978	0.66562	0.035111	0.72503	0.93824	0.27037	0.84645	0.038767	0.14021	0.10428	0.11416	0.34894	0.94086	0.94761	0.20578	0.47182	0.49735	0.86178	0.046456	0.58875	0.89008	0.070703	0.89465	0.041963	0.14803	0.054725	0.0324	0.92067	0.0678	0.57962	0.92877	0.91093
EA_G__PSMD6	7.9501	7.7603	8.6325	7.5752	7.5897	8.1262	7.502	7.4861	7.8203	7.638	7.8165	8.5692	8.0698	7.4448	8.0692	7.7174	7.6386	8.4171	10.3431	10.7381	8.6986	7.6745	7.9224	8.4514	8.2692	7.0524	7.6056	7.5832	7.9681	8.0584	8.5595	7.9224	7.5789	7.6847	8.1159	8.3103	7.9965	7.9197
Meth__cg02497758__MAFB	0.16919	0.053579	0.5967	0.047388	0.03218	0.83965	0.059214	0.10725	0.10396	0.04432	0.77766	0.06293	0.12066	0.042712	0.53016	0.091848	0.074752	0.37544	0.59527	0.095504	0.059001	0.40497	0.34046	0.87696	0.041478	0.075934	0.11371	0.10408	0.26313	0.076376	0.35566	0.10185	0.026899	0.040469	0.11393	0.049511	0.051027	0.080684
Meth__cg21321735__KIF1A	0.56649	0.027512	0.97755	0.03392	0.56874	0.66202	0.62569	0.022091	0.018764	0.16008	0.86496	0.49355	0.90019	0.027198	0.22757	0.032286	0.079988	0.54313	0.97892	0.97765	0.12659	0.53434	0.71062	0.92732	0.35207	0.049034	0.94517	0.048737	0.027331	0.053535	0.48833	0.020385	0.015196	0.49685	0.84704	0.95667	0.29164	0.17646
EA_G__LIF	8.4753	5.5574	9.0906	4.1308	5.6326	7.9653	4.2594	7.0714	6.2875	4.7354	5.1654	6.312	7.6076	5.0649	8.8301	8.1927	5.7529	7.6527	5.5646	5.0286	4.1323	4.527	6.9474	8.8432	4.5779	4.9192	4.8537	5.3688	5.5197	6.3948	4.6722	4.8785	6.0052	4.5813	4.5721	6.6062	4.9532	5.9404
Meth__cg19970051__HBA1	0.52887	0.038643	0.23257	0.1297	0.33388	0.95412	0.54839	0.20303	0.045737	0.032471	0.55658	0.42618	0.45225	0.048537	0.4231	0.091629	0.097255	0.23547	0.57679	0.54385	0.43529	0.031743	0.55247	0.92627	0.33019	0.056413	0.53001	0.13483	0.033057	0.049667	0.07512	0.034211	0.025773	0.60321	0.041169	0.46695	0.13514	0.041661
Meth__cg22175764__C20orf86	0.40022	0.027694	0.91259	0.028289	0.048103	0.92416	0.11149	0.58438	0.049859	0.039855	0.89425	0.52991	0.90309	0.17257	0.85601	0.047705	0.1058	0.87018	0.89513	0.76729	0.67729	0.08213	0.41797	0.85587	0.15292	0.10628	0.84138	0.21446	0.068578	0.14055	0.87005	0.090399	0.036811	0.86998	0.11322	0.072346	0.071569	0.064405
