Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	1	1	1
Meth__cg08411049__SERPINB5	0.037852	0.034076	0.10221	0.8357	0.021755	0.89521	0.048385	0.034672	0.043258	0.037471	0.051679	0.09383	0.077276	0.058181	0.055135	0.40661	0.042394	0.79517	0.035255	0.054879	0.90968	0.53326	0.048862	0.039866	0.078862	0.089885	0.43472	0.019318	0.026966	0.031722	0.046922	0.06	0.062919	0.023345	0.044332
Meth__cg16891895__RGS16	0.027991	0.022697	0.21645	0.045587	0.023923	0.97307	0.034673	0.10274	0.30159	0.032647	0.041321	0.032492	0.17357	0.25311	0.46676	0.10285	0.045449	0.20306	0.020058	0.034584	0.80258	0.073275	0.086659	0.0545	0.056178	0.056297	0.051658	0.027606	0.0404	0.040707	0.69746	0.053813	0.033374	0.0361	0.030418
Meth__cg20867633__GOLT1A	0.023741	0.020883	0.51563	0.49381	0.026591	0.90501	0.023763	0.031325	0.1937	0.02562	0.87031	0.44056	0.065728	0.21964	0.18816	0.81849	0.8748	0.5686	0.025314	0.036873	0.91243	0.96318	0.26601	0.046501	0.042374	0.027679	0.057544	0.93032	0.09821	0.053446	0.011707	0.073128	0.024699	0.027422	0.031829
Meth__cg02062650__HCFC1R1	0.03147	0.019576	0.17598	0.052872	0.027453	0.059975	0.034744	0.036045	0.054834	0.029808	0.038475	0.27621	0.070997	0.056681	0.061224	0.36703	0.1192	0.16399	0.020782	0.041731	0.082806	0.065952	0.032613	0.047589	0.045775	0.048166	0.02155	0.023478	0.031679	0.026401	0.041188	0.046469	0.039632	0.027698	0.026588
Meth__cg09264112__GCHFR	0.026848	0.017341	0.45866	0.02911	0.023186	0.029893	0.02691	0.20277	0.77288	0.040599	0.90311	0.89147	0.33502	0.56673	0.89826	0.96592	0.053579	0.12262	0.035768	0.031224	0.69901	0.94071	0.03592	0.032637	0.042022	0.038985	0.024046	0.046633	0.014271	0.60827	0.33646	0.094851	0.031284	0.02296	0.032635
Meth__cg10301990__UBXD6	0.057272	0.053883	0.6109	0.19846	0.11042	0.30804	0.073521	0.16961	0.16671	0.096185	0.20936	0.23339	0.20572	0.1599	0.10314	0.77876	0.18556	0.070806	0.097011	0.07035	0.21137	0.66116	0.36199	0.10003	0.08766	0.061687	0.30287	0.077175	0.067786	0.084485	0.10174	0.08961	0.070281	0.063254	0.053909
Meth__cg03973663__LYN	0.078525	0.061648	0.89329	0.084351	0.032846	0.86859	0.056897	0.3023	0.91793	0.034635	0.92582	0.67003	0.88329	0.767	0.87148	0.9304	0.16543	0.81605	0.087465	0.079744	0.93678	0.15364	0.10029	0.18803	0.12821	0.074676	0.9126	0.42793	0.14908	0.13734	0.29198	0.18533	0.05233	0.08799	0.12318
Meth__cg18611847__RGS16	0.017003	0.023731	0.052741	0.12115	0.028883	0.65733	0.024959	0.022013	0.2458	0.029836	0.036967	0.013169	0.154	0.20677	0.57367	0.32664	0.048939	0.022692	0.017472	0.025958	0.40843	0.056308	0.16632	0.031242	0.045739	0.029859	0.02802	0.02275	0.016812	0.02396	0.7628	0.076977	0.017422	0.031159	0.019311
Meth__cg00679738__FAM89A	0.83439	0.052309	0.064153	0.032909	0.54516	0.02266	0.9787	0.19963	0.020253	0.96884	0.022584	0.03139	0.035965	0.024737	0.016925	0.016553	0.060236	0.2318	0.017088	0.028619	0.021613	0.031088	0.017306	0.22898	0.96588	0.05351	0.033076	0.027087	0.12137	0.015255	0.49252	0.77447	0.024844	0.81123	0.64755
Meth__cg08999895__SLC22A18AS	0.040431	0.068029	0.56809	0.79314	0.19238	0.9165	0.13225	0.29236	0.41048	0.19981	0.38694	0.69899	0.44982	0.33173	0.42771	0.54265	0.27657	0.86717	0.08169	0.08433	0.85063	0.68239	0.39079	0.11409	0.2617	0.28812	0.61403	0.05954	0.50788	0.24333	0.039097	0.14813	0.44421	0.14405	0.056872
Meth__cg15479752__FFAR2	0.053974	0.049646	0.37581	0.07805	0.16886	0.8048	0.043876	0.40519	0.24519	0.051029	0.87594	0.36013	0.21567	0.2363	0.62324	0.39319	0.12657	0.049021	0.12591	0.1885	0.30494	0.53001	0.17385	0.10136	0.10543	0.13949	0.41349	0.057307	0.05642	0.029728	0.19051	0.21598	0.11779	0.13289	0.10961
Meth__cg03609102__MUC5B	0.023048	0.018929	0.86477	0.025664	0.01365	0.56322	0.019154	0.91849	0.56227	0.02859	0.22949	0.8021	0.19173	0.46585	0.54421	0.88815	0.036661	0.035204	0.032847	0.23739	0.85014	0.20239	0.031602	0.022187	0.27103	0.073333	0.86762	0.31253	0.016475	0.018841	0.69896	0.097923	0.030479	0.024829	0.023617
Meth__cg05587474__MOV10	0.02592	0.026135	0.020121	0.024905	0.030152	0.026683	0.02544	0.06847	0.029221	0.049511	0.021836	0.030309	0.039859	0.031407	0.024234	0.01857	0.050793	0.017382	0.026019	0.032305	0.029966	0.014328	0.048199	0.10263	0.044479	0.05229	0.020084	0.032664	0.10463	0.024705	0.02149	0.037336	0.028219	0.14918	0.06921
Meth__cg15422147__SERPINB5	0.054537	0.0473	0.17342	0.76303	0.078002	0.58027	0.077766	0.05117	0.12879	0.061192	0.09273	0.10731	0.11171	0.12495	0.059804	0.31165	0.063549	0.26346	0.11744	0.08399	0.60836	0.44061	0.12943	0.040707	0.11624	0.071891	0.2008	0.053099	0.078602	0.07637	0.097321	0.12366	0.070696	0.1497	0.12382
Meth__cg21484834__PTK6	0.072312	0.033943	0.062735	0.38639	0.36318	0.9511	0.053812	0.47321	0.89471	0.081672	0.92494	0.452	0.56269	0.58594	0.76444	0.94351	0.21032	0.82393	0.098506	0.68336	0.93003	0.099939	0.59623	0.077905	0.45174	0.12562	0.66259	0.04365	0.90691	0.71661	0.037512	0.060721	0.054276	0.036147	0.037907
Meth__cg13553204__CNKSR1	0.041228	0.045273	0.090824	0.073766	0.063382	0.86385	0.057016	0.24909	0.78677	0.045206	0.089074	0.3069	0.1417	0.57068	0.13901	0.84734	0.10381	0.60519	0.077939	0.069682	0.87802	0.54061	0.068242	0.068323	0.12214	0.064973	0.89909	0.059324	0.50846	0.047152	0.038417	0.24013	0.060363	0.048049	0.040235
Meth__cg03289872__ZNF667	0.94389	0.041867	0.02803	0.90315	0.027271	0.016565	0.92709	0.49939	0.021979	0.92602	0.048038	0.076653	0.90945	0.20341	0.053988	0.020615	0.14214	0.13388	0.73242	0.90972	0.019784	0.83436	0.24297	0.088418	0.70931	0.31653	0.026463	0.4036	0.42331	0.13109	0.66551	0.066995	0.88613	0.84158	0.62071
Meth__cg06850526__MGC15523	0.067797	0.075712	0.19615	0.096842	0.092101	0.87227	0.060445	0.056349	0.33919	0.078976	0.117	0.71953	0.38465	0.21604	0.31351	0.19648	0.1299	0.90819	0.047805	0.12046	0.94745	0.17402	0.061937	0.12681	0.11865	0.088441	0.26392	0.052686	0.28293	0.052057	0.66482	0.16467	0.28064	0.073901	0.035999
Meth__cg20008332__SOX11	0.87163	0.47999	0.88913	0.031618	0.75936	0.89222	0.86273	0.92186	0.030594	0.88169	0.064363	0.34575	0.11328	0.039014	0.034118	0.038924	0.12765	0.026574	0.81899	0.59649	0.042957	0.81723	0.035366	0.57894	0.86167	0.075014	0.82664	0.18372	0.40894	0.029262	0.47643	0.68125	0.8609	0.73733	0.7312
Meth__cg04619381__LOC222171	0.037973	0.032548	0.071711	0.046231	0.02809	0.93383	0.038161	0.030702	0.046377	0.037402	0.93953	0.37159	0.063108	0.046029	0.61805	0.067463	0.094299	0.5224	0.037907	0.043977	0.27583	0.83896	0.03567	0.089903	0.1112	0.049406	0.20248	0.029939	0.086899	0.027837	0.03116	0.087766	0.039522	0.030141	0.038457
Meth__cg07947930__PRELP	0.071486	0.059942	0.80974	0.049466	0.069864	0.3019	0.081853	0.10897	0.21375	0.12068	0.17468	0.31818	0.50206	0.11258	0.10712	0.30012	0.10647	0.26646	0.057208	0.050774	0.6021	0.303	0.1002	0.13788	0.046347	0.17596	0.54051	0.10003	0.15366	0.071328	0.12723	0.13558	0.05361	0.098588	0.060339
Meth__cg23424268__GCHFR	0.018446	0.013659	0.50168	0.029195	0.015611	0.016222	0.019892	0.033276	0.055972	0.02735	0.66816	0.70709	0.075312	0.069454	0.78103	0.74237	0.03554	0.013388	0.026372	0.019368	0.25004	0.89161	0.021478	0.020685	0.035849	0.032351	0.020758	0.0291	0.013474	0.16568	0.3139	0.043391	0.03004	0.017881	0.028141
Meth__cg24798047__GOLT1A	0.072984	0.036708	0.71993	0.72257	0.079727	0.81308	0.041119	0.28333	0.098394	0.17523	0.83562	0.85425	0.21446	0.14359	0.49943	0.55411	0.80224	0.4827	0.049001	0.074518	0.83995	0.80353	0.22128	0.20157	0.065789	0.14739	0.35135	0.83626	0.28397	0.17797	0.13073	0.095624	0.21359	0.053552	0.10004
Meth__cg02480835__NUPL2	0.066285	0.034255	0.062857	0.08286	0.10304	0.084646	0.10836	0.069515	0.043454	0.46425	0.044495	0.046651	0.1935	0.046915	0.057189	0.044007	0.058654	0.06183	0.046684	0.087042	0.033645	0.089418	0.063613	0.10249	0.12462	0.038129	0.050655	0.061903	0.085794	0.042673	0.075129	0.070374	0.043861	0.32405	0.33023
Meth__cg21212956__ZDHHC4	0.04201	0.51302	0.52189	0.026487	0.79513	0.039258	0.88558	0.95561	0.041298	0.90931	0.034498	0.04681	0.85145	0.044486	0.050699	0.053868	0.24922	0.02725	0.064346	0.041868	0.036213	0.067413	0.059699	0.17304	0.099608	0.38147	0.030796	0.049972	0.03091	0.036814	0.42491	0.21648	0.047387	0.40902	0.68387
