Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1
Meth__cg03138091__OSMR	0.12368	0.0239	0.02834	0.80902	0.71173	0.022933	0.13974	0.017902	0.1356	0.22471	0.024757	0.017783	0.054894	0.20514	0.30665	0.041097	0.022246	0.040872	0.02067	0.28454	0.24858	0.8673	0.028537	0.50926	0.084037	0.46033	0.04612	0.53343	0.10511	0.024653	0.019998	0.021626	0.68153	0.022935	0.20007	0.053609	0.045693	0.10989	0.54668
Meth__cg07640473__SEMA3F	0.026867	0.025677	0.88506	0.040579	0.039975	0.8	0.048008	0.85396	0.03167	0.049449	0.97912	0.12626	0.08538	0.040121	0.037801	0.53039	0.030363	0.048484	0.25015	0.045507	0.058389	0.057597	0.75673	0.025232	0.9603	0.037097	0.10301	0.060152	0.08906	0.60151	0.58203	0.765	0.034869	0.043344	0.048554	0.18153	0.028054	0.032835	0.050105
Meth__cg21091679__ELL2	0.11919	0.042062	0.053099	0.87698	0.76361	0.32637	0.54614	0.047184	0.16652	0.49894	0.055378	0.13851	0.42	0.29458	0.19813	0.052538	0.034349	0.096141	0.052056	0.38767	0.39737	0.83628	0.037972	0.59342	0.0636	0.51889	0.049012	0.81504	0.075776	0.024916	0.055427	0.042357	0.43713	0.072486	0.88641	0.093505	0.16102	0.36102	0.093006
Meth__cg24949488__DNTT	0.42372	0.096279	0.2155	0.84817	0.75592	0.08372	0.35639	0.83895	0.67981	0.66379	0.2809	0.17602	0.35968	0.097555	0.39049	0.096892	0.71303	0.16543	0.053589	0.30137	0.4392	0.92606	0.060641	0.91575	0.085451	0.32687	0.074141	0.20078	0.20579	0.033616	0.10259	0.032597	0.34705	0.1453	0.2166	0.048182	0.83443	0.3763	0.22312
Meth__cg09936839__SIRT6	0.4611	0.14561	0.19984	0.75587	0.72704	0.22475	0.65842	0.11625	0.83689	0.5993	0.13774	0.33164	0.1198	0.81023	0.76517	0.13492	0.079099	0.25263	0.054514	0.83669	0.70172	0.6028	0.12066	0.60279	0.1536	0.83229	0.14132	0.16855	0.72798	0.15635	0.082003	0.059466	0.85906	0.11853	0.13338	0.43134	0.54018	0.31904	0.45669
Meth__cg21008828__TNK2	0.043356	0.047011	0.05558	0.028024	0.052446	0.86446	0.036544	0.027314	0.04717	0.030056	0.09977	0.31954	0.43672	0.042775	0.057457	0.20027	0.040599	0.11402	0.88348	0.048527	0.041382	0.036777	0.91253	0.029495	0.081193	0.053028	0.084981	0.051969	0.089224	0.9014	0.17314	0.61866	0.042944	0.055454	0.028645	0.040547	0.046707	0.10201	0.13607
Meth__cg22136365__TAT	0.81316	0.15202	0.91369	0.92079	0.7935	0.039004	0.40223	0.38914	0.84229	0.22524	0.10704	0.32846	0.32038	0.80748	0.64799	0.30226	0.89597	0.041917	0.058528	0.32507	0.49052	0.88903	0.06964	0.87542	0.09089	0.54949	0.20686	0.72312	0.22252	0.042331	0.073751	0.057319	0.77524	0.37753	0.7425	0.34819	0.77278	0.62986	0.48869
Meth__cg07211259__PDCD1LG2	0.81331	0.21872	0.059666	0.76218	0.80618	0.052284	0.85562	0.46059	0.70205	0.68948	0.75117	0.068915	0.20686	0.68405	0.59066	0.2142	0.024139	0.1156	0.038091	0.73487	0.70226	0.89875	0.11557	0.82545	0.08559	0.75673	0.16885	0.81211	0.26967	0.14104	0.0576	0.051492	0.59326	0.30961	0.57979	0.20401	0.81391	0.69716	0.66784
Meth__cg10723020__CREB1	0.066085	0.32097	0.053755	0.6757	0.61349	0.086396	0.68541	0.053674	0.45341	0.59076	0.036367	0.11035	0.14913	0.26291	0.41077	0.14418	0.065094	0.064212	0.057891	0.22221	0.16694	0.37967	0.14431	0.26216	0.078582	0.25209	0.091133	0.28372	0.43289	0.034191	0.040189	0.041552	0.32085	0.25019	0.37404	0.52607	0.49905	0.08527	0.22061
