Cell lines	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM44PE	SUM52PE	UACC812	ZR751	ZR75B
Response	1	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	1	1	1
Meth__cg12781218__C7orf31	0.038067	0.055007	0.033145	0.038039	0.045644	0.064295	0.045402	0.025956	0.04683	0.049498	0.072155	0.29747	0.041474	0.043728	0.030602	0.051714	0.050824	0.77427	0.76632	0.079963	0.040519	0.04541	0.068326	0.04473	0.074485	0.037882	0.79455	0.041323	0.041513	0.037243	0.045795	0.034473	0.71308	0.034239	0.044678	0.038676	0.037926
Meth__cg05786809__CKB	0.03768	0.50526	0.77559	0.39666	0.14572	0.13628	0.28973	0.040628	0.29722	0.9252	0.59556	0.96953	0.046988	0.69089	0.032388	0.1302	0.13512	0.97487	0.92624	0.042852	0.046993	0.47699	0.87091	0.28237	0.077203	0.80188	0.092308	0.076836	0.077774	0.022652	0.54216	0.065794	0.76081	0.060561	0.040936	0.080353	0.049088
Meth__cg25823578__PTGER2	0.05354	0.85727	0.11311	0.61724	0.33956	0.049773	0.8466	0.0483	0.4929	0.84458	0.79349	0.40286	0.11844	0.94228	0.045986	0.056402	0.52365	0.92655	0.72142	0.31794	0.18399	0.46828	0.81805	0.84305	0.06477	0.054178	0.251	0.72461	0.08196	0.050728	0.91751	0.58146	0.5798	0.51197	0.050568	0.14639	0.28882
Meth__cg00929855__HSPA1A	0.043052	0.077232	0.0222	0.0258	0.03973	0.14679	0.080687	0.023704	0.0354	0.077596	0.043223	0.035603	0.07303	0.74541	0.032446	0.10251	0.026788	0.035553	0.13637	0.031794	0.094091	0.039478	0.97628	0.073347	0.050056	0.036658	0.087891	0.031935	0.032948	0.034988	0.094567	0.023587	0.021443	0.021286	0.028421	0.022959	0.031318
Meth__cg18335068__ZNF677	0.051365	0.95047	0.29806	0.61395	0.93149	0.72502	0.96116	0.20221	0.80268	0.95149	0.40136	0.5159	0.17876	0.66161	0.027996	0.3627	0.041031	0.88043	0.64354	0.036104	0.03575	0.079372	0.66219	0.67995	0.33768	0.042886	0.90756	0.038185	0.15916	0.10864	0.098178	0.48366	0.94111	0.25807	0.033494	0.088111	0.05029
Meth__cg04609859__HOXB4	0.03755	0.64059	0.036734	0.031238	0.82236	0.11576	0.87354	0.48533	0.42034	0.32749	0.73548	0.16273	0.41116	0.11962	0.030202	0.074571	0.44629	0.89809	0.69944	0.30421	0.28431	0.94034	0.75829	0.63583	0.04459	0.036976	0.48567	0.041697	0.070417	0.29009	0.21774	0.38674	0.047131	0.048776	0.10772	0.47201	0.83944
Meth__cg10887021__PCDHB2	0.082121	0.90936	0.064935	0.064721	0.36651	0.35104	0.70043	0.15851	0.092952	0.51425	0.19434	0.065021	0.13203	0.88396	0.067827	0.14608	0.097206	0.80335	0.40337	0.55965	0.71833	0.46516	0.11835	0.098481	0.15736	0.072429	0.51543	0.096316	0.077164	0.65543	0.31382	0.076358	0.099459	0.077309	0.090652	0.12471	0.086715
Meth__cg07654934__LXN	0.65417	0.19624	0.48811	0.90713	0.062351	0.52011	0.052002	0.068215	0.52379	0.89896	0.81605	0.34616	0.35237	0.049567	0.11277	0.069308	0.88067	0.065195	0.057981	0.8992	0.47364	0.10524	0.17951	0.081334	0.059394	0.91204	0.86394	0.060179	0.11847	0.26883	0.86942	0.88333	0.35221	0.90891	0.0843	0.88144	0.87017
Meth__cg00474209__DLL1	0.04739	0.10244	0.10234	0.052378	0.15539	0.14218	0.098332	0.10188	0.088023	0.28492	0.22306	0.1143	0.11423	0.68988	0.078526	0.15819	0.30549	0.065263	0.06555	0.064966	0.10561	0.073883	0.91921	0.09009	0.18295	0.073478	0.074466	0.069407	0.098198	0.053646	0.066968	0.10825	0.073985	0.066941	0.078782	0.085815	0.07314
Meth__cg21224049__ATP5I	0.081666	0.11629	0.056037	0.06379	0.11607	0.037547	0.76259	0.068309	0.094463	0.11567	0.13144	0.095295	0.10028	0.069536	0.092964	0.12025	0.28655	0.076926	0.11511	0.079723	0.11861	0.074742	0.093606	0.11971	0.13166	0.08479	0.19736	0.089208	0.076931	0.07133	0.076935	0.064002	0.055017	0.06104	0.071442	0.072792	0.1106
Meth__cg02422694__HOXB4	0.040165	0.62235	0.062092	0.038815	0.79084	0.038348	0.57267	0.29239	0.42335	0.48432	0.79198	0.21999	0.26402	0.28696	0.062763	0.1021	0.50899	0.69523	0.63029	0.47695	0.35063	0.8913	0.87256	0.77022	0.087323	0.040328	0.7091	0.058646	0.10436	0.51582	0.81624	0.59284	0.053397	0.51045	0.25375	0.34509	0.57776
Meth__cg05129930__PFKL	0.04635	0.041504	0.023541	0.02814	0.060466	0.024081	0.052034	0.065105	0.049373	0.056717	0.088067	0.023849	0.039246	0.037499	0.032012	0.092128	0.024957	0.030328	0.048224	0.032836	0.42508	0.034668	0.06296	0.077358	0.085801	0.033056	0.069282	0.044307	0.063241	0.030726	0.035651	0.028076	0.032429	0.020445	0.035952	0.029269	0.04037
Meth__cg22762180__PERP	0.050166	0.045861	0.054812	0.37717	0.050992	0.44397	0.026063	0.035773	0.050543	0.12366	0.11214	0.034652	0.03755	0.035885	0.075398	0.04712	0.067503	0.095328	0.04282	0.26215	0.17739	0.049809	0.09559	0.041905	0.044971	0.21255	0.13786	0.045794	0.060436	0.064476	0.042898	0.47154	0.035952	0.046966	0.045376	0.11257	0.10509
Meth__cg22307908__ZNF264	0.03154	0.033727	0.034736	0.032296	0.055505	0.040741	0.032747	0.036389	0.042542	0.044712	0.38389	0.49821	0.039228	0.044361	0.032251	0.07455	0.045038	0.26962	0.32206	0.033509	0.052636	0.035181	0.076972	0.039231	0.035779	0.02783	0.066996	0.041785	0.074032	0.031939	0.040245	0.039189	0.048259	0.033194	0.04046	0.043775	0.04509
Meth__cg05472874__SULT4A1	0.041662	0.19498	0.045082	0.025783	0.95879	0.2097	0.34824	0.026995	0.036507	0.031342	0.55127	0.15933	0.23071	0.039873	0.031849	0.056776	0.41749	0.97946	0.97727	0.022207	0.53656	0.040721	0.94193	0.89912	0.060984	0.030557	0.92013	0.92031	0.05074	0.035115	0.040775	0.035097	0.50988	0.023489	0.03883	0.036223	0.029095
Meth__cg23614979__NAV2	0.06306	0.29357	0.11625	0.040339	0.59223	0.038781	0.048904	0.058711	0.87385	0.14444	0.30526	0.4261	0.19056	0.041782	0.060536	0.09563	0.040008	0.81271	0.41345	0.056419	0.069758	0.11366	0.067404	0.14085	0.084446	0.04974	0.2202	0.13573	0.11451	0.040182	0.045818	0.038146	0.50449	0.028196	0.057895	0.050558	0.053477
Meth__cg18108623__FLJ34922	0.047571	0.91194	0.44684	0.040587	0.87042	0.039832	0.44943	0.048214	0.83359	0.19178	0.60872	0.089523	0.053182	0.77523	0.041857	0.13461	0.73477	0.92731	0.89752	0.73239	0.38979	0.36355	0.87113	0.57632	0.74308	0.043148	0.84745	0.074711	0.10458	0.53508	0.04187	0.88908	0.89779	0.55394	0.062218	0.2376	0.10762
Meth__cg07849904__MN1	0.16014	0.20315	0.22837	0.072058	0.20299	0.057198	0.11854	0.068817	0.14889	0.22686	0.16876	0.12669	0.104	0.093405	0.079578	0.16016	0.068605	0.18325	0.20656	0.095834	0.11802	0.11723	0.54005	0.094433	0.14148	0.062361	0.15875	0.091155	0.096903	0.075348	0.066674	0.061412	0.52021	0.11822	0.082399	0.086831	0.12024
Meth__cg08917718__PCBP4	0.058189	0.28017	0.042514	0.048059	0.24997	0.072831	0.59831	0.062188	0.087259	0.14148	0.30456	0.073191	0.069599	0.30685	0.045201	0.11142	0.035266	0.1088	0.091277	0.067709	0.15017	0.055049	0.36362	0.38306	0.13365	0.04888	0.13356	0.48438	0.070143	0.048707	0.093298	0.76977	0.051195	0.048837	0.081215	0.051487	0.065433
Meth__cg04785227__CHRNA7	0.032114	0.27321	0.04951	0.065836	0.34008	0.11168	0.068878	0.050995	0.09099	0.066357	0.87487	0.037754	0.050063	0.28031	0.047152	0.039802	0.036881	0.93841	0.23411	0.070184	0.04735	0.14532	0.33097	0.081907	0.079516	0.029479	0.2322	0.05738	0.03716	0.03663	0.039934	0.045074	0.45396	0.16262	0.053014	0.038851	0.04567
Meth__cg00818693__TTC14	0.050201	0.69562	0.036749	0.042307	0.40868	0.035355	0.12799	0.040366	0.044588	0.18129	0.069172	0.7951	0.048675	0.038849	0.038516	0.13669	0.042606	0.29496	0.21431	0.43952	0.040718	0.041879	0.18086	0.049398	0.054295	0.039659	0.093109	0.041972	0.061155	0.044491	0.05244	0.036759	0.033629	0.037691	0.044973	0.036773	0.042388
Meth__cg20001829__TMEM25	0.032306	0.39257	0.09387	0.32354	0.44295	0.57235	0.12943	0.12191	0.12155	0.9362	0.51803	0.10206	0.09477	0.25627	0.10046	0.37048	0.48599	0.8814	0.91296	0.11203	0.53025	0.15034	0.77817	0.10785	0.16091	0.91289	0.13214	0.50264	0.138	0.07416	0.63033	0.10346	0.13788	0.10321	0.057824	0.1141	0.17051
