Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	-1	1	-1	1	-1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	-1
Meth__cg26392924__SLC23A1	0.056165	0.043544	0.025347	0.047082	0.031428	0.23664	0.059872	0.064919	0.77016	0.13347	0.028467	0.22657	0.049311	0.076303	0.089573	0.12008	0.12164	0.25019	0.083462	0.025193	0.050309	0.038434	0.098805	0.38495	0.22327	0.078105	0.034903	0.071324	0.11626	0.15565	0.038262	0.045758	0.03714	0.070283	0.11766	0.0829	0.024001	0.044338	0.026369
Meth__cg23620639__COL13A1	0.040173	0.033159	0.023612	0.30803	0.031056	0.53871	0.025548	0.031387	0.23309	0.021258	0.028301	0.87342	0.02821	0.062234	0.02314	0.029076	0.25906	0.092388	0.064433	0.019838	0.01481	0.021173	0.20253	0.1975	0.028826	0.02576	0.020368	0.025462	0.026819	0.23941	0.0316	0.027862	0.026358	0.36836	0.033508	0.30957	0.047402	0.025944	0.022152
Meth__cg01837574__TRAPPC1	0.080761	0.18882	0.072186	0.6365	0.097139	0.086736	0.12488	0.30703	0.29758	0.81831	0.13013	0.46717	0.89892	0.1465	0.11617	0.66627	0.28955	0.082558	0.18424	0.043939	0.086368	0.064281	0.089265	0.17008	0.14929	0.087433	0.063197	0.12449	0.14047	0.26284	0.06167	0.35351	0.11089	0.044962	0.10346	0.06718	0.10099	0.0655	0.072278
Meth__cg07007400__KRT7	0.055763	0.046739	0.070614	0.055848	0.053989	0.86183	0.087797	0.78136	0.049454	0.05255	0.85972	0.10655	0.053436	0.075979	0.041101	0.055336	0.054914	0.078192	0.099266	0.84862	0.877	0.86467	0.54035	0.85256	0.040393	0.14013	0.059741	0.099584	0.102	0.059799	0.10632	0.046383	0.053153	0.054552	0.048268	0.045592	0.51199	0.83956	0.82992
Meth__cg07826255__SGCA	0.12084	0.13586	0.18578	0.37489	0.133	0.32957	0.1215	0.15059	0.43688	0.2815	0.11288	0.22782	0.43508	0.18446	0.044563	0.20495	0.14602	0.096187	0.19176	0.087977	0.18765	0.11497	0.70799	0.38558	0.54626	0.093098	0.12479	0.09612	0.23299	0.20104	0.044899	0.08299	0.08604	0.13116	0.14792	0.15485	0.12377	0.080553	0.062261
Meth__cg07408456__PGLYRP2	0.11653	0.1311	0.1208	0.38421	0.08599	0.38808	0.10958	0.48246	0.51999	0.14619	0.10763	0.17157	0.40725	0.20876	0.070583	0.15259	0.42416	0.33765	0.12888	0.080959	0.10753	0.14015	0.11041	0.64408	0.34259	0.22089	0.12713	0.13169	0.30977	0.25599	0.10355	0.13753	0.10761	0.29092	0.14434	0.28326	0.15425	0.1036	0.11027
Meth__cg02589695__RASSF5	0.033423	0.10272	0.24451	0.07987	0.16825	0.57948	0.3717	0.21042	0.69831	0.87714	0.085363	0.71149	0.564	0.59981	0.075248	0.71273	0.52476	0.37618	0.34421	0.32223	0.22419	0.2147	0.32448	0.58038	0.1366	0.089552	0.06118	0.10929	0.26957	0.16174	0.13109	0.56875	0.2497	0.15757	0.1398	0.71408	0.11908	0.097257	0.35475
Meth__cg07841014__REG1B	0.65353	0.092908	0.56022	0.87891	0.075168	0.42512	0.73553	0.19803	0.69477	0.8923	0.096556	0.88057	0.15293	0.30421	0.37164	0.7964	0.60014	0.50887	0.19141	0.10129	0.061644	0.13258	0.40553	0.2603	0.61234	0.45472	0.11636	0.14801	0.64121	0.14965	0.24584	0.60895	0.24898	0.73719	0.075931	0.29831	0.15499	0.19253	0.1408
Meth__cg07393322__A4GALT	0.070948	0.50115	0.54747	0.66901	0.075221	0.49112	0.52974	0.38267	0.058774	0.34368	0.062136	0.55767	0.47093	0.77518	0.1843	0.24876	0.72963	0.13108	0.32339	0.23132	0.11567	0.063552	0.5244	0.093349	0.2807	0.087988	0.14344	0.11318	0.52254	0.46725	0.080527	0.12382	0.29037	0.52475	0.10224	0.57197	0.06935	0.32099	0.15834
Meth__cg24881834__ME1	0.083263	0.071448	0.081589	0.14225	0.058354	0.34211	0.9518	0.038994	0.058323	0.12932	0.056617	0.27773	0.070091	0.096239	0.17614	0.10463	0.06974	0.052026	0.082832	0.052402	0.043473	0.077971	0.3829	0.085865	0.20927	0.090895	0.8503	0.056051	0.9032	0.090175	0.051092	0.20383	0.06474	0.96194	0.040654	0.060022	0.87993	0.052394	0.047924
Meth__cg00918005__REG3G	0.26406	0.031475	0.042526	0.72241	0.02899	0.04975	0.41682	0.092537	0.31524	0.61952	0.047778	0.57417	0.41454	0.14365	0.12811	0.40172	0.051394	0.034809	0.12534	0.040323	0.037726	0.043386	0.39129	0.051268	0.31686	0.16202	0.049876	0.086746	0.3855	0.046597	0.039331	0.15312	0.059216	0.37686	0.038564	0.07183	0.096541	0.056515	0.036532
Meth__cg21459867__IDUA	0.043531	0.50769	0.077306	0.31461	0.055027	0.71668	0.34124	0.026958	0.85769	0.66708	0.06737	0.23881	0.53773	0.098246	0.27765	0.6696	0.2607	0.075514	0.13846	0.03097	0.27771	0.085359	0.099678	0.15572	0.66232	0.042537	0.18194	0.061989	0.072471	0.09998	0.080513	0.02816	0.042856	0.52306	0.039989	0.26648	0.090174	0.23044	0.043545
Meth__cg13258700__C7orf13	0.060923	0.58974	0.081684	0.25304	0.045646	0.24859	0.7583	0.40275	0.178	0.54935	0.059736	0.79952	0.19136	0.18049	0.16964	0.46975	0.29627	0.045478	0.11211	0.096463	0.029431	0.049294	0.69923	0.43281	0.061967	0.085404	0.76377	0.12959	0.63377	0.27124	0.036408	0.043273	0.21054	0.17708	0.088895	0.084208	0.14463	0.11309	0.050785
Meth__cg12195135__ZNF584	0.052005	0.1843	0.11265	0.24778	0.032994	0.09314	0.043879	0.051986	0.078969	0.14465	0.082288	0.091099	0.36462	0.14577	0.15476	0.12046	0.14182	0.1177	0.18621	0.062988	0.045006	0.041766	0.051212	0.8331	0.074777	0.19054	0.068228	0.037739	0.040329	0.15872	0.030459	0.16438	0.052325	0.044603	0.042311	0.052741	0.095492	0.04306	0.026577
Meth__cg26372517__TFAP2E	0.45401	0.036894	0.89191	0.44621	0.7051	0.045549	0.66197	0.9742	0.42118	0.047937	0.96644	0.12064	0.075062	0.83988	0.058948	0.047857	0.53369	0.069917	0.068866	0.042988	0.9756	0.36567	0.5922	0.040614	0.044976	0.54548	0.82964	0.075955	0.91256	0.095431	0.69088	0.029072	0.30562	0.75367	0.033041	0.97856	0.051752	0.96664	0.96081
Meth__cg07210490__SMARCD1	0.024172	0.038193	0.050149	0.089642	0.021642	0.2168	0.047845	0.15753	0.068368	0.025472	0.032681	0.11823	0.67333	0.062375	0.04013	0.024225	0.098752	0.033367	0.041888	0.018448	0.023949	0.031263	0.021281	0.5175	0.033041	0.11197	0.038868	0.029196	0.041739	0.045439	0.021482	0.2264	0.029527	0.046027	0.042035	0.1331	0.090709	0.022859	0.021344
Meth__cg08044694__BRD4	0.049629	0.042114	0.072398	0.36281	0.79788	0.95779	0.10976	0.60931	0.054526	0.03676	0.64726	0.11625	0.035122	0.096442	0.44755	0.038668	0.050353	0.044292	0.071429	0.92309	0.91053	0.86396	0.87122	0.079952	0.95588	0.89029	0.59508	0.19285	0.5738	0.097434	0.18144	0.075269	0.046951	0.88443	0.055871	0.047357	0.14776	0.43545	0.53972
Meth__cg14564494__CBR3	0.082028	0.18794	0.16086	0.099128	0.10106	0.78766	0.092253	0.3886	0.16199	0.22255	0.087619	0.56528	0.61336	0.62535	0.1609	0.23631	0.55364	0.12443	0.2036	0.12029	0.074161	0.088662	0.20188	0.59878	0.20808	0.14941	0.13045	0.16185	0.31541	0.39152	0.40798	0.090118	0.11611	0.20915	0.13084	0.35116	0.19681	0.19244	0.15276
