Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	1	-1	1	1	-1	-1	1	1	-1	-1	1
Meth__cg16330965__SNAPC5	0.24942	0.080318	0.22225	0.23486	0.39785	0.07524	0.092328	0.55567	0.24476	0.1189	0.79012	0.6688	0.36718	0.12116	0.4802	0.18202	0.20372	0.19814	0.53266	0.41749	0.40002	0.17742	0.14978	0.18121	0.13447	0.28856	0.1714	0.25539	0.076956	0.069992	0.1405	0.2679	0.049528	0.14331	0.17374	0.43671	0.12769
Meth__cg17733100__C1orf106	0.054622	0.037504	0.084968	0.13757	0.1056	0.036547	0.069474	0.46116	0.040626	0.046508	0.053183	0.060216	0.19902	0.028967	0.35939	0.053671	0.049572	0.1192	0.049393	0.32444	0.35178	0.6084	0.059762	0.062733	0.089893	0.086826	0.079254	0.28283	0.034321	0.04925	0.23903	0.064211	0.035786	0.05262	0.05778	0.052421	0.04601
Meth__cg26024531__CHAF1B	0.065669	0.043904	0.12365	0.35682	0.17255	0.05109	0.058591	0.089276	0.080285	0.081214	0.053254	0.16624	0.16794	0.064509	0.0841	0.087896	0.050793	0.060915	0.082639	0.303	0.069755	0.12357	0.23529	0.15015	0.08986	0.12426	0.060253	0.057989	0.046172	0.066658	0.071246	0.11416	0.045381	0.075472	0.10056	0.32696	0.077093
Meth__cg05840031__PAX6	0.064235	0.25073	0.043871	0.16263	0.098279	0.073639	0.6062	0.039474	0.071231	0.62385	0.17546	0.035845	0.57785	0.38973	0.075652	0.029669	0.034314	0.054499	0.043144	0.60186	0.60499	0.066866	0.88497	0.58773	0.078559	0.73826	0.15856	0.071245	0.11396	0.078372	0.034804	0.036055	0.62303	0.073864	0.050418	0.43749	0.3996
Meth__cg18979491__LBP	0.17217	0.048797	0.63837	0.51741	0.26538	0.088703	0.3393	0.62216	0.11224	0.24355	0.24041	0.75264	0.43094	0.0578	0.090219	0.16653	0.34546	0.13072	0.06592	0.27966	0.24283	0.28111	0.072552	0.20113	0.12867	0.11815	0.064395	0.13314	0.061055	0.070701	0.3416	0.076672	0.12134	0.053702	0.2705	0.15196	0.097749
Meth__cg09084200__hCAP-D3	0.13347	0.079648	0.79014	0.26991	0.073898	0.13049	0.15884	0.28319	0.11013	0.15749	0.066803	0.73026	0.25623	0.046452	0.13399	0.37718	0.12587	0.15009	0.426	0.19492	0.12297	0.39566	0.1586	0.21667	0.17408	0.090432	0.084903	0.10809	0.46625	0.22662	0.30672	0.45185	0.10606	0.050339	0.25985	0.14467	0.13955
Meth__cg06577005__DHDDS	0.71863	0.055503	0.07696	0.30454	0.10177	0.52275	0.31878	0.055737	0.077985	0.092941	0.041511	0.14124	0.13012	0.054937	0.062252	0.13297	0.091398	0.039346	0.14943	0.099431	0.23592	0.089076	0.85323	0.60093	0.058381	0.13963	0.071293	0.03745	0.32239	0.22277	0.070878	0.029004	0.072879	0.17279	0.061565	0.085577	0.49144
Meth__cg11934695__ADRA1D	0.94079	0.44314	0.24307	0.10138	0.042337	0.92337	0.93411	0.43383	0.095136	0.090769	0.90489	0.1606	0.16549	0.57655	0.094289	0.042429	0.26041	0.32195	0.25515	0.9676	0.94767	0.040507	0.92884	0.4383	0.12573	0.82717	0.67958	0.14752	0.053351	0.10631	0.044819	0.40495	0.95312	0.87763	0.054991	0.6243	0.92087
Meth__cg13904968__PCK1	0.22638	0.029321	0.84031	0.77681	0.30093	0.22964	0.11873	0.91737	0.17542	0.27324	0.7301	0.79833	0.73655	0.04978	0.12029	0.6354	0.83553	0.080703	0.053446	0.71984	0.52464	0.65725	0.24246	0.069437	0.1143	0.10702	0.052067	0.40072	0.046142	0.077045	0.39179	0.045305	0.59085	0.18162	0.84146	0.37982	0.33507
