Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1
Meth__cg17159537__PEX11G	0.03486	0.42097	0.047775	0.042432	0.032099	0.50849	0.039021	0.95622	0.029016	0.047847	0.033016	0.029351	0.032395	0.029878	0.038025	0.038864	0.18126	0.026439	0.048613	0.04768	0.032802	0.03283	0.039272	0.072525	0.040177	0.077906	0.079338	0.056267	0.035758	0.034377	0.040221	0.042618	0.035452	0.028744	0.14684	0.033468	0.048186	0.03559
Meth__cg16779976__BLNK	0.084951	0.095172	0.45234	0.057379	0.089915	0.18889	0.16082	0.68441	0.083548	0.083992	0.31868	0.13002	0.17483	0.079655	0.40531	0.48551	0.16447	0.073918	0.30544	0.2055	0.15702	0.079136	0.084954	0.53394	0.060696	0.18575	0.13922	0.1278	0.63034	0.13855	0.097043	0.12117	0.070344	0.068352	0.077167	0.084322	0.096531	0.371
Meth__cg03750606__ESRRG	0.055156	0.064742	0.61505	0.06877	0.070728	0.8472	0.086443	0.59767	0.063915	0.098483	0.078735	0.2525	0.085441	0.073398	0.076216	0.077662	0.11205	0.091936	0.097127	0.067152	0.072808	0.11071	0.06268	0.80959	0.067935	0.11177	0.12296	0.089579	0.29553	0.052479	0.089292	0.83812	0.06206	0.32474	0.089591	0.068634	0.073841	0.062603
Meth__cg06690548__SLC7A11	0.88412	0.063771	0.12999	0.46673	0.7583	0.050909	0.16513	0.068711	0.94787	0.12478	0.22934	0.68912	0.10014	0.82246	0.11721	0.03876	0.067405	0.046588	0.080929	0.067968	0.93382	0.16922	0.77568	0.085106	0.10005	0.13874	0.23146	0.11176	0.035643	0.4378	0.03106	0.22606	0.051431	0.053379	0.17929	0.86589	0.59637	0.47044
Meth__cg25346576__CCDC55	0.023732	0.04265	0.033852	0.025477	0.019688	0.027433	0.029365	0.087559	0.02042	0.026551	0.028928	0.021277	0.046803	0.021061	0.021278	0.071288	0.045259	0.018667	0.024483	0.022779	0.026124	0.039046	0.021666	0.052603	0.021515	0.027046	0.035491	0.037674	0.031031	0.02022	0.21963	0.059559	0.020311	0.016101	0.0196	0.028576	0.01986	0.081589
Meth__cg00392257__ISG20L2	0.063117	0.027933	0.065366	0.39648	0.1524	0.10168	0.06971	0.039333	0.2714	0.09935	0.075969	0.75969	0.05092	0.22638	0.036255	0.036253	0.054943	0.65123	0.076563	0.041297	0.47061	0.72876	0.24365	0.18522	0.15622	0.090386	0.057427	0.046863	0.051859	0.39297	0.04102	0.030143	0.044532	0.034119	0.1759	0.30369	0.042563	0.029613
Meth__cg17886959__MT2A	0.11177	0.051136	0.057708	0.27656	0.59693	0.047626	0.085836	0.081914	0.77971	0.073035	0.33	0.52761	0.09749	0.63722	0.10135	0.075953	0.11021	0.090058	0.28624	0.24139	0.37606	0.10855	0.28906	0.091348	0.24716	0.1121	0.11554	0.078559	0.066028	0.065172	0.068837	0.14441	0.029835	0.08256	0.11927	0.17887	0.14978	0.25183
Meth__cg21712685__UNQ3045	0.046434	0.04306	0.50889	0.058518	0.041605	0.61885	0.093688	0.14421	0.031645	0.042702	0.045603	0.064123	0.39538	0.038326	0.86026	0.039921	0.11903	0.11086	0.054947	0.060668	0.043765	0.17914	0.074765	0.041079	0.038582	0.078509	0.18845	0.079435	0.04887	0.038831	0.060926	0.096149	0.039312	0.039876	0.042503	0.045876	0.043031	0.044983
Meth__cg00695416__CBR1	0.97515	0.032224	0.03106	0.97326	0.69761	0.019668	0.59368	0.052036	0.24722	0.96918	0.035407	0.034823	0.95241	0.37414	0.02853	0.027134	0.064554	0.028076	0.023331	0.032715	0.96054	0.6536	0.79007	0.058917	0.95474	0.064996	0.95596	0.038972	0.024338	0.040027	0.016676	0.041698	0.77073	0.10394	0.14209	0.024681	0.95745	0.96392
Meth__cg19713196__LAD1	0.037088	0.033483	0.04903	0.030894	0.069663	0.93908	0.17135	0.14803	0.027553	0.10249	0.041001	0.052973	0.072	0.03452	0.63622	0.31309	0.081901	0.065618	0.041797	0.037644	0.057369	0.69284	0.039943	0.84	0.039173	0.046531	0.17757	0.073475	0.36712	0.024038	0.65133	0.027912	0.029821	0.040008	0.057748	0.044178	0.033714	0.032604
Meth__cg17805404__GPR162	0.022497	0.23394	0.89643	0.90334	0.85737	0.035045	0.5258	0.026045	0.68079	0.61552	0.71497	0.83815	0.81055	0.62426	0.44675	0.030077	0.075924	0.037622	0.58418	0.57625	0.88853	0.68688	0.70239	0.04291	0.48733	0.030997	0.086844	0.3875	0.035642	0.30038	0.051617	0.33708	0.16204	0.61212	0.060124	0.91625	0.56377	0.63429
Meth__cg03752885__DAPK3	0.31684	0.18018	0.11941	0.1828	0.23016	0.092403	0.15304	0.12903	0.79441	0.5557	0.43812	0.76245	0.30489	0.63549	0.20223	0.07884	0.13225	0.08197	0.35891	0.1451	0.88377	0.18026	0.53009	0.12034	0.30614	0.16601	0.40683	0.14466	0.13532	0.15381	0.13524	0.095045	0.18212	0.1874	0.31985	0.78868	0.16899	0.21651
Meth__cg02327719__C1orf135	0.051555	0.049058	0.04506	0.14074	0.096648	0.051723	0.053413	0.043819	0.51481	0.23882	0.045209	0.073662	0.074932	0.43425	0.052392	0.048675	0.079467	0.111	0.058332	0.082158	0.32483	0.16297	0.33088	0.30602	0.40841	0.24151	0.066192	0.082583	0.054213	0.03004	0.049886	0.099868	0.12383	0.030101	0.1504	0.092501	0.32793	0.079314
Meth__cg15520279__HOXD8	0.98144	0.018905	0.022715	0.023171	0.020308	0.89328	0.026691	0.020341	0.021074	0.034736	0.50134	0.13261	0.97556	0.023227	0.025898	0.41585	0.060801	0.97393	0.015127	0.027154	0.90997	0.03394	0.98442	0.96206	0.97679	0.051472	0.43635	0.040184	0.62465	0.69662	0.023344	0.01867	0.98218	0.014354	0.86949	0.97762	0.98597	0.98279
Meth__cg18530748__SULT1A1	0.049366	0.83088	0.97725	0.062705	0.037986	0.96602	0.37779	0.084202	0.036532	0.052913	0.96474	0.12372	0.17907	0.049124	0.97209	0.059178	0.090626	0.050239	0.70466	0.60277	0.21158	0.96029	0.041926	0.95169	0.040278	0.055933	0.062547	0.12508	0.14627	0.045303	0.3586	0.060289	0.038108	0.043324	0.088552	0.049755	0.058723	0.048643
