Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	1	1	-1	-1	1
Meth__cg19486673__LILRA2	0.46117	0.036662	0.63984	0.069838	0.060009	0.14719	0.052123	0.076796	0.040063	0.048257	0.38913	0.53292	0.0774	0.049457	0.22779	0.05116	0.059106	0.032945	0.26222	0.46773	0.053868	0.077624	0.84832	0.11304	0.048049	0.060257	0.08782	0.057548	0.065144	0.05869	0.071165	0.057031	0.035	0.28728	0.097609	0.90255	0.070744	0.13405
Meth__cg25047001__GRIN2A	0.75761	0.040121	0.94078	0.69044	0.084179	0.89404	0.58742	0.94772	0.039532	0.069756	0.89949	0.9344	0.83612	0.059773	0.66886	0.15128	0.10215	0.2505	0.89076	0.90675	0.54552	0.26443	0.46578	0.76089	0.59826	0.097175	0.63679	0.093706	0.10438	0.050262	0.050362	0.050829	0.063982	0.72184	0.096944	0.60399	0.50507	0.22779
Meth__cg03238797__ADAMTS18	0.89177	0.042857	0.95333	0.038595	0.22478	0.95681	0.87978	0.66562	0.035111	0.72503	0.93824	0.27037	0.84645	0.038767	0.14021	0.10428	0.11416	0.34894	0.94086	0.94761	0.20578	0.47182	0.49735	0.86178	0.046456	0.58875	0.89008	0.070703	0.89465	0.041963	0.14803	0.054725	0.0324	0.92067	0.0678	0.57962	0.92877	0.91093
Meth__cg21321735__KIF1A	0.56649	0.027512	0.97755	0.03392	0.56874	0.66202	0.62569	0.022091	0.018764	0.16008	0.86496	0.49355	0.90019	0.027198	0.22757	0.032286	0.079988	0.54313	0.97892	0.97765	0.12659	0.53434	0.71062	0.92732	0.35207	0.049034	0.94517	0.048737	0.027331	0.053535	0.48833	0.020385	0.015196	0.49685	0.84704	0.95667	0.29164	0.17646
Meth__cg19970051__HBA1	0.52887	0.038643	0.23257	0.1297	0.33388	0.95412	0.54839	0.20303	0.045737	0.032471	0.55658	0.42618	0.45225	0.048537	0.4231	0.091629	0.097255	0.23547	0.57679	0.54385	0.43529	0.031743	0.55247	0.92627	0.33019	0.056413	0.53001	0.13483	0.033057	0.049667	0.07512	0.034211	0.025773	0.60321	0.041169	0.46695	0.13514	0.041661
Meth__cg02497758__MAFB	0.16919	0.053579	0.5967	0.047388	0.03218	0.83965	0.059214	0.10725	0.10396	0.04432	0.77766	0.06293	0.12066	0.042712	0.53016	0.091848	0.074752	0.37544	0.59527	0.095504	0.059001	0.40497	0.34046	0.87696	0.041478	0.075934	0.11371	0.10408	0.26313	0.076376	0.35566	0.10185	0.026899	0.040469	0.11393	0.049511	0.051027	0.080684
Meth__cg20256494__CABP7	0.92997	0.15955	0.56855	0.11923	0.070694	0.58993	0.77195	0.40921	0.074714	0.057206	0.7645	0.31057	0.53165	0.097486	0.094671	0.081729	0.16807	0.41025	0.95432	0.96755	0.088903	0.091958	0.9432	0.92014	0.11637	0.24318	0.9165	0.18163	0.05871	0.082978	0.15857	0.083267	0.046111	0.37606	0.22607	0.18223	0.42421	0.60145
Meth__cg22175764__C20orf86	0.40022	0.027694	0.91259	0.028289	0.048103	0.92416	0.11149	0.58438	0.049859	0.039855	0.89425	0.52991	0.90309	0.17257	0.85601	0.047705	0.1058	0.87018	0.89513	0.76729	0.67729	0.08213	0.41797	0.85587	0.15292	0.10628	0.84138	0.21446	0.068578	0.14055	0.87005	0.090399	0.036811	0.86998	0.11322	0.072346	0.071569	0.064405
Meth__cg18011401__CACNA1A	0.41824	0.12281	0.66107	0.22775	0.14641	0.59581	0.2772	0.75298	0.11086	0.14315	0.41369	0.26497	0.2155	0.14789	0.19966	0.17938	0.15257	0.24529	0.19523	0.5527	0.14151	0.084356	0.54354	0.33096	0.10239	0.17612	0.40921	0.26265	0.074167	0.073152	0.078882	0.077844	0.10889	0.28901	0.11699	0.55277	0.12221	0.092852
Meth__cg08694544__RTBDN	0.049532	0.027052	0.12025	0.15248	0.041839	0.95289	0.039985	0.31554	0.040817	0.039096	0.95576	0.14016	0.6576	0.035368	0.95327	0.20931	0.075276	0.57891	0.93843	0.67345	0.028109	0.61738	0.092084	0.87976	0.35618	0.099688	0.29328	0.068337	0.1977	0.050178	0.42597	0.026429	0.025366	0.034106	0.042676	0.041423	0.061834	0.0432
