Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1
Meth__cg18917378__BCAS1	0.064876	0.044466	0.26067	0.047498	0.04833	0.27358	0.047544	0.89978	0.19452	0.046767	0.30694	0.1488	0.073962	0.046452	0.1287	0.5417	0.82707	0.26178	0.039681	0.037449	0.05945	0.049269	0.15956	0.041126	0.59626	0.044455	0.061076	0.14137	0.046566	0.42585	0.70947	0.1484	0.04078	0.050008	0.048967	0.084935	0.051877	0.039871	0.038021
Meth__cg13364756__CYP3A43	0.12757	0.097206	0.29339	0.091689	0.074797	0.5311	0.077266	0.8769	0.41225	0.11451	0.82936	0.57974	0.2244	0.051109	0.30985	0.75644	0.86855	0.20715	0.10381	0.045643	0.069488	0.09324	0.33434	0.058971	0.56504	0.10577	0.13151	0.18144	0.19843	0.86696	0.49968	0.16554	0.56541	0.072591	0.25519	0.19342	0.11212	0.088645	0.094356
Meth__cg04444771__C10orf10	0.049124	0.080543	0.035194	0.033884	0.031894	0.58503	0.043196	0.422	0.3801	0.040331	0.087482	0.1177	0.06305	0.033185	0.31408	0.35654	0.056718	0.050441	0.042652	0.038024	0.039169	0.044165	0.84506	0.022256	0.48206	0.036273	0.083599	0.048407	0.031978	0.85503	0.84182	0.15447	0.021963	0.10432	0.16001	0.054477	0.035515	0.035007	0.034544
Meth__cg03623878__MCF2L	0.019556	0.025632	0.03543	0.030514	0.019958	0.45834	0.031095	0.13625	0.020123	0.031796	0.04279	0.089331	0.09388	0.016615	0.027527	0.20627	0.75725	0.038929	0.016696	0.020634	0.044224	0.037087	0.59501	0.017721	0.048839	0.033462	0.043776	0.062828	0.02081	0.23603	0.081245	0.02306	0.022266	0.018268	0.025015	0.10253	0.057276	0.0278	0.044804
Meth__cg22385764__ASB8	0.49647	0.041256	0.089747	0.072231	0.050955	0.050392	0.039274	0.043462	0.073846	0.077239	0.10488	0.066422	0.40297	0.026359	0.089893	0.067044	0.035499	0.13568	0.051764	0.033083	0.053638	0.90323	0.045827	0.044772	0.095068	0.034967	0.033898	0.0762	0.048723	0.048439	0.13734	0.05237	0.055095	0.048468	0.36541	0.26932	0.23601	0.064382	0.053297
Meth__cg04133652__MLLT6	0.032843	0.057746	0.08567	0.056751	0.040082	0.44755	0.044089	0.070432	0.31849	0.042027	0.044627	0.11246	0.10003	0.027058	0.30016	0.10993	0.069603	0.19784	0.0237	0.03925	0.04137	0.050897	0.12889	0.039199	0.056193	0.048889	0.03876	0.057351	0.043373	0.044936	0.035672	0.21495	0.06981	0.026753	0.030065	0.060203	0.084207	0.026658	0.035796
Meth__cg08343834__PMP22	0.08464	0.089417	0.83099	0.38859	0.47021	0.54362	0.12107	0.82086	0.11496	0.15478	0.52836	0.40228	0.72863	0.056031	0.10486	0.72591	0.78516	0.13061	0.097708	0.18857	0.21744	0.11346	0.74188	0.095209	0.54875	0.1452	0.147	0.22438	0.095472	0.14707	0.64724	0.33634	0.40287	0.11717	0.25352	0.24518	0.13434	0.12557	0.12641
Meth__cg20712430__KREMEN2	0.03129	0.023948	0.040159	0.025964	0.025482	0.02493	0.025976	0.016391	0.022367	0.02198	0.038505	0.021783	0.075125	0.015919	0.042539	0.78881	0.025785	0.041523	0.016643	0.016102	0.027556	0.025755	0.030653	0.022565	0.065737	0.020819	0.03765	0.023655	0.022647	0.023305	0.02677	0.029442	0.01929	0.020387	0.023291	0.036243	0.040348	0.019806	0.018771
Meth__cg04587910__XLF	0.085734	0.093994	0.30344	0.88615	0.52254	0.20184	0.098016	0.29362	0.14955	0.59306	0.086053	0.2271	0.14772	0.070307	0.14625	0.15825	0.27744	0.47459	0.072812	0.11138	0.10259	0.30623	0.15275	0.085843	0.15854	0.11287	0.65245	0.1311	0.14194	0.07394	0.10001	0.080516	0.11413	0.40385	0.15458	0.11343	0.47041	0.10235	0.11069
Meth__cg03616357__FLJ21159	0.027887	0.037477	0.23938	0.48371	0.036903	0.9603	0.035367	0.041441	0.040251	0.036278	0.060852	0.10228	0.51391	0.025904	0.10383	0.054112	0.037662	0.17771	0.027438	0.030383	0.038665	0.046023	0.037138	0.023058	0.082151	0.031546	0.094876	0.11104	0.068375	0.029878	0.029022	0.031174	0.032162	0.034401	0.039035	0.054751	0.045369	0.035517	0.033235
Meth__cg23037133__OXGR1	0.076848	0.097075	0.57171	0.35559	0.080085	0.49557	0.10015	0.39808	0.065863	0.067933	0.079471	0.29111	0.84642	0.075935	0.08382	0.87757	0.14008	0.15552	0.070799	0.071469	0.068774	0.20982	0.3135	0.061966	0.88937	0.075605	0.11918	0.095661	0.087628	0.07988	0.50485	0.13518	0.078424	0.077087	0.34081	0.11014	0.073779	0.070217	0.74935
Meth__cg10334385__FLJ25143	0.054465	0.041529	0.3056	0.19631	0.11734	0.15312	0.066189	0.067143	0.05887	0.091413	0.65056	0.12335	0.11695	0.04377	0.068849	0.059345	0.10228	0.11912	0.072413	0.063988	0.065486	0.23955	0.069517	0.051784	0.10853	0.054522	0.10444	0.25763	0.091154	0.058495	0.083418	0.099745	0.10179	0.082429	0.11171	0.09208	0.28828	0.060171	0.061493
Meth__cg00002426__SLMAP	0.067202	0.056657	0.057735	0.22468	0.36535	0.038872	0.14852	0.063399	0.08233	0.098221	0.094675	0.054976	0.057546	0.90656	0.17127	0.064319	0.062067	0.066066	0.54875	0.84705	0.088564	0.90197	0.18975	0.92733	0.073475	0.18956	0.047982	0.12424	0.12973	0.90957	0.052474	0.045397	0.64229	0.046751	0.061264	0.77762	0.89998	0.098025	0.09051
Meth__cg10988561__PDCD6	0.082511	0.033413	0.18797	0.034214	0.072163	0.22035	0.053402	0.21648	0.03508	0.10277	0.16762	0.20763	0.29679	0.048937	0.046619	0.080399	0.17869	0.073962	0.023484	0.030593	0.033327	0.046678	0.10836	0.023324	0.37	0.036137	0.049033	0.10683	0.048487	0.038807	0.062873	0.068304	0.082983	0.023571	0.12372	0.059969	0.056135	0.053967	0.048797
Meth__cg03003745__UNQ473	0.023829	0.021727	0.24205	0.03205	0.024317	0.76967	0.032516	0.94579	0.87651	0.028213	0.33372	0.36855	0.11754	0.015164	0.62171	0.24389	0.92538	0.28638	0.020053	0.022614	0.023669	0.036617	0.83669	0.020176	0.10883	0.025744	0.030464	0.069658	0.10154	0.58374	0.10797	0.067347	0.027108	0.018647	0.049721	0.12986	0.020689	0.024956	0.018402
Meth__cg22188495__PRICKLE1	0.069533	0.060677	0.10869	0.22732	0.055923	0.057956	0.046349	0.12438	0.069416	0.11303	0.16084	0.19788	0.23128	0.042412	0.056859	0.2684	0.13448	0.14349	0.056925	0.038271	0.058911	0.17574	0.06587	0.033399	0.078626	0.065022	0.056869	0.082749	0.065217	0.050082	0.035818	0.06643	0.076801	0.038815	0.19564	0.12349	0.061927	0.064334	0.063139
Meth__cg02334775__ISG20	0.042151	0.028441	0.32816	0.049459	0.045846	0.93897	0.03898	0.096791	0.38719	0.053914	0.87268	0.38495	0.094983	0.033055	0.30749	0.070807	0.080655	0.075539	0.04414	0.029292	0.0368	0.039142	0.27801	0.02879	0.78524	0.045113	0.068625	0.088208	0.050047	0.16537	0.16942	0.12304	0.03088	0.032684	0.030822	0.09307	0.042255	0.043432	0.047225
