Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1
Meth__cg10334385__FLJ25143	0.054465	0.041529	0.3056	0.19631	0.11734	0.15312	0.066189	0.14132	0.067143	0.05887	0.091413	0.65056	0.12335	0.11695	0.04377	0.068849	0.059345	0.10228	0.11912	0.072413	0.063988	0.065486	0.069517	0.10853	0.054522	0.10444	0.25763	0.091154	0.058495	0.083418	0.099745	0.10179	0.082429	0.11171	0.09208	0.060171	0.061493
Meth__cg15485859__C1orf116	0.051914	0.04523	0.60451	0.070221	0.11278	0.46861	0.067868	0.84286	0.10776	0.055734	0.070759	0.20135	0.26478	0.19879	0.037497	0.070686	0.34061	0.86098	0.11283	0.31726	0.065925	0.10369	0.41817	0.83616	0.071188	0.085886	0.52881	0.093844	0.82889	0.35692	0.84192	0.35474	0.052818	0.092157	0.20738	0.14635	0.31016
Meth__cg02551396__JPH2	0.028533	0.031363	0.023835	0.37793	0.088274	0.022883	0.68567	0.036299	0.035014	0.033328	0.025352	0.023076	0.021135	0.070173	0.030495	0.029648	0.026398	0.02623	0.045887	0.022569	0.56762	0.89965	0.029685	0.027605	0.17768	0.026526	0.36801	0.048439	0.028486	0.019049	0.027944	0.57529	0.021973	0.021251	0.028019	0.18968	0.83759
Meth__cg07845566__B3GAT1	0.94318	0.06231	0.45674	0.29185	0.034534	0.88943	0.94935	0.033695	0.13523	0.41374	0.026205	0.049432	0.026863	0.45179	0.14968	0.37775	0.037553	0.1429	0.079902	0.025426	0.91124	0.97299	0.079272	0.65423	0.65254	0.081991	0.91617	0.037609	0.043939	0.03101	0.037106	0.026499	0.022673	0.043745	0.1179	0.48373	0.050105
Meth__cg24798047__GOLT1A	0.072984	0.036708	0.71993	0.72257	0.079727	0.81308	0.041119	0.65836	0.28333	0.098394	0.17523	0.83562	0.85425	0.21446	0.04133	0.14359	0.49943	0.55411	0.80224	0.4827	0.049001	0.074518	0.83995	0.80353	0.22128	0.20157	0.065789	0.14739	0.35135	0.83626	0.28397	0.70635	0.17797	0.13073	0.095624	0.053552	0.10004
Meth__cg04941721__EREG	0.69144	0.46811	0.044786	0.91797	0.5393	0.67003	0.66268	0.42795	0.96923	0.10874	0.054711	0.85909	0.029164	0.84721	0.72442	0.096567	0.771	0.046959	0.054205	0.27436	0.67625	0.8765	0.80358	0.058011	0.72758	0.049372	0.42386	0.063035	0.041262	0.022769	0.025195	0.8057	0.026524	0.66841	0.6134	0.80307	0.66823
Meth__cg08278554__C15orf48	0.13436	0.067825	0.72813	0.18901	0.1068	0.66463	0.097548	0.24793	0.079726	0.076996	0.13213	0.2026	0.21694	0.13956	0.099415	0.13518	0.11177	0.13967	0.19236	0.11736	0.11324	0.10687	0.10736	0.17324	0.13395	0.15337	0.42025	0.11251	0.065369	0.055095	0.91661	0.27329	0.093236	0.33122	0.15324	0.11851	0.10831
Meth__cg20099806__CCDC47	0.10082	0.076132	0.15112	0.10843	0.25443	0.22661	0.10941	0.64399	0.079662	0.13664	0.53897	0.18051	0.20025	0.10241	0.078779	0.14411	0.10555	0.082784	0.20745	0.084237	0.055494	0.097668	0.063229	0.44799	0.073329	0.13957	0.080694	0.17324	0.073174	0.11426	0.11131	0.11699	0.10186	0.049203	0.13978	0.090868	0.1311
Meth__cg02859934__NAGPA	0.046641	0.034217	0.56697	0.21977	0.066158	0.42201	0.069501	0.89673	0.032969	0.88653	0.078438	0.87362	0.92501	0.36766	0.041547	0.67132	0.57115	0.16559	0.086049	0.85548	0.068313	0.049122	0.56242	0.81843	0.051573	0.098752	0.16437	0.091154	0.045426	0.37624	0.40376	0.6652	0.050586	0.79911	0.09817	0.051219	0.067586
Meth__cg12277666__TDRD5	0.0742	0.03414	0.034625	0.18943	0.035659	0.89198	0.038193	0.6644	0.038334	0.026725	0.034988	0.75208	0.096427	0.67597	0.024254	0.087904	0.92768	0.18493	0.083028	0.076846	0.025415	0.032042	0.28345	0.91422	0.040459	0.045746	0.048801	0.035376	0.33224	0.5485	0.19458	0.062087	0.024065	0.94624	0.049141	0.033805	0.04377
Meth__cg08504049__ZNF264	0.094102	0.094408	0.099694	0.075094	0.077782	0.083452	0.10552	0.13259	0.12691	0.076468	0.076898	0.092905	0.082726	0.47673	0.47156	0.078495	0.080793	0.089184	0.13661	0.075753	0.56598	0.62912	0.10095	0.11111	0.083525	0.083181	0.11247	0.25006	0.084241	0.081476	0.064643	0.062495	0.055208	0.067599	0.11952	0.083405	0.11409
Meth__cg24124789__IARS2	0.023763	0.019707	0.03945	0.037415	0.021953	0.054994	0.046461	0.031636	0.024244	0.030367	0.057901	0.025979	0.10397	0.029594	0.01548	0.032809	0.037111	0.03703	0.05063	0.035676	0.024196	0.032766	0.029848	0.068945	0.028927	0.040649	0.048288	0.04455	0.024873	0.043755	0.0343	0.042065	0.018123	0.030311	0.17291	0.017953	0.029284
Meth__cg18016365__GABRB1	0.051976	0.065391	0.83361	0.89243	0.20089	0.74826	0.46298	0.84376	0.70207	0.078495	0.89193	0.64321	0.1374	0.73407	0.055128	0.30994	0.13515	0.67254	0.36298	0.6413	0.16484	0.2489	0.092435	0.82701	0.33013	0.20768	0.77276	0.07714	0.054442	0.87539	0.56719	0.58638	0.32891	0.69862	0.12115	0.05488	0.28039
Meth__cg04488521__ZNF354C	0.93673	0.018679	0.1991	0.61411	0.027935	0.025427	0.98133	0.13578	0.36332	0.74908	0.040777	0.021638	0.02473	0.83197	0.12615	0.5575	0.026559	0.020877	0.057463	0.031532	0.94419	0.89313	0.022107	0.80257	0.64731	0.042921	0.17423	0.21913	0.017761	0.11875	0.090608	0.018441	0.017726	0.51646	0.080145	0.38381	0.66692
Meth__cg24762359__ATP12A	0.043633	0.045777	0.064687	0.053002	0.050961	0.79009	0.05965	0.72965	0.065101	0.02265	0.051203	0.17341	0.087469	0.11009	0.09274	0.047168	0.065885	0.17718	0.088496	0.067723	0.063903	0.045648	0.07127	0.71291	0.049236	0.11735	0.28779	0.07663	0.069001	0.088918	0.13563	0.095107	0.047	0.14606	0.10189	0.044759	0.049915
Meth__cg10917602__HSD3B7	0.040123	0.02716	0.045585	0.033577	0.033668	0.20863	0.036675	0.23282	0.02489	0.032806	0.047785	0.57088	0.4705	0.08041	0.030665	0.039537	0.031081	0.53144	0.061189	0.46819	0.032272	0.039978	0.76073	0.28072	0.033089	0.051509	0.063392	0.080223	0.06939	0.80735	0.74138	0.086218	0.1858	0.033582	0.071201	0.028323	0.038991
Meth__cg05522383__PITX2	0.94246	0.67017	0.81049	0.78999	0.5194	0.07893	0.92481	0.41042	0.94038	0.05273	0.055247	0.12792	0.79304	0.87898	0.77921	0.060278	0.76241	0.12733	0.41586	0.037999	0.87125	0.92824	0.040955	0.54472	0.60837	0.071361	0.090703	0.69558	0.039063	0.02783	0.16325	0.046131	0.057101	0.90542	0.57523	0.92008	0.92514
Meth__cg06200697__CTNND1	0.029951	0.030869	0.088319	0.12372	0.87784	0.15535	0.26357	0.17979	0.43659	0.47548	0.91197	0.78646	0.52499	0.12291	0.10813	0.46102	0.084202	0.48132	0.50275	0.19154	0.082756	0.062608	0.032651	0.23964	0.057964	0.38849	0.047517	0.050882	0.037448	0.18725	0.046831	0.84455	0.73004	0.29307	0.60088	0.22491	0.69592
Meth__cg17602451__BCL2	0.063162	0.035492	0.95173	0.055695	0.10524	0.95404	0.070302	0.79792	0.14865	0.21232	0.038886	0.93365	0.79234	0.74046	0.21238	0.21557	0.63814	0.27776	0.755	0.4052	0.034002	0.046118	0.94636	0.90867	0.054939	0.094513	0.93449	0.1315	0.40849	0.21134	0.57873	0.50248	0.69178	0.94823	0.16002	0.047757	0.042401
Meth__cg13042487__XRCC3	0.86897	0.35783	0.14687	0.11911	0.062091	0.066651	0.36045	0.021586	0.91031	0.064494	0.061406	0.075965	0.06937	0.34943	0.02425	0.078272	0.084643	0.061584	0.11934	0.04785	0.062219	0.27881	0.30398	0.10975	0.42001	0.18309	0.1216	0.16356	0.031162	0.031532	0.47426	0.087674	0.0324	0.032299	0.11958	0.10138	0.045577
Meth__cg00019495__HOP	0.065804	0.054208	0.069195	0.076923	0.053654	0.77097	0.053447	0.72	0.40221	0.078713	0.085434	0.83632	0.094268	0.1004	0.036578	0.064161	0.76049	0.80696	0.12057	0.15878	0.046522	0.063906	0.4149	0.82704	0.063696	0.08346	0.10296	0.06139	0.085053	0.12873	0.80788	0.08619	0.035855	0.13704	0.2076	0.042567	0.046419
Meth__cg16421285__SAE1	0.084534	0.080591	0.52182	0.06903	0.10279	0.32228	0.087193	0.50409	0.075213	0.13036	0.10172	0.17172	0.2931	0.15494	0.0556	0.11426	0.086527	0.17789	0.19099	0.52129	0.058433	0.086697	0.20616	0.15718	0.078452	0.16117	0.13225	0.053113	0.070514	0.1804	0.39705	0.11027	0.041633	0.11959	0.18538	0.11071	0.14157
Meth__cg03454353__ZFP37	0.62921	0.079996	0.24455	0.86992	0.041185	0.072726	0.67277	0.55982	0.06032	0.098546	0.071613	0.063459	0.075107	0.4643	0.73365	0.06488	0.060075	0.050706	0.13999	0.074633	0.40744	0.37666	0.2108	0.4564	0.50394	0.071376	0.23802	0.11267	0.06572	0.2881	0.12442	0.079916	0.055196	0.2556	0.074433	0.59934	0.33526
Meth__cg03790207__PEX6	0.042997	0.038908	0.55145	0.047011	0.50284	0.030555	0.04168	0.034797	0.53936	0.029606	0.036792	0.046735	0.029922	0.59863	0.62321	0.033737	0.039558	0.032183	0.066998	0.036271	0.76001	0.62152	0.20719	0.060757	0.4393	0.077752	0.077907	0.087373	0.030083	0.0341	0.042663	0.037302	0.030294	0.021943	0.06394	0.040933	0.033341
Meth__cg06778853__PHF13	0.027601	0.037173	0.39143	0.072523	0.032744	0.74723	0.045369	0.79377	0.075857	0.21965	0.065378	0.037821	0.35922	0.20064	0.035268	0.20087	0.48976	0.11846	0.063346	0.49418	0.058379	0.061301	0.14834	0.77148	0.046739	0.10932	0.073	0.1318	0.28619	0.032478	0.94118	0.23546	0.047873	0.46589	0.070447	0.037272	0.32282
Meth__cg18943195__RAB11FIP5	0.023537	0.1874	0.026012	0.067181	0.039545	0.020551	0.024068	0.012288	0.41618	0.11835	0.028494	0.016384	0.032706	0.030945	0.11779	0.10912	0.020444	0.021096	0.027896	0.017624	0.61738	0.46078	0.23412	0.031731	0.022619	0.037244	0.035886	0.22778	0.020968	0.018425	0.040146	0.016065	0.021008	0.0182	0.045075	0.017668	0.016324
Meth__cg22821324__GPM6A	0.05711	0.050558	0.95297	0.060357	0.054623	0.13555	0.10202	0.20178	0.093939	0.041657	0.052227	0.36349	0.39945	0.56179	0.041102	0.25572	0.057152	0.18135	0.30764	0.10893	0.047046	0.065299	0.054175	0.075614	0.047932	0.13817	0.54615	0.10194	0.096362	0.067076	0.056115	0.54131	0.042868	0.90147	0.13599	0.041248	0.051567
Meth__cg00901493__YBX2	0.035067	0.036062	0.056282	0.60146	0.055533	0.95157	0.047868	0.96655	0.036085	0.04268	0.056777	0.047596	0.10758	0.090122	0.04615	0.0475	0.32026	0.10358	0.1237	0.43951	0.034767	0.055342	0.85617	0.83843	0.43328	0.053123	0.10598	0.046332	0.50119	0.085473	0.95672	0.09875	0.04392	0.033836	0.076683	0.051802	0.054314
Meth__cg20867633__GOLT1A	0.023741	0.020883	0.51563	0.49381	0.026591	0.90501	0.023763	0.44125	0.031325	0.1937	0.02562	0.87031	0.44056	0.065728	0.02116	0.21964	0.18816	0.81849	0.8748	0.5686	0.025314	0.036873	0.91243	0.96318	0.26601	0.046501	0.042374	0.027679	0.057544	0.93032	0.09821	0.62647	0.053446	0.011707	0.073128	0.027422	0.031829
Meth__cg04245402__C19orf21	0.033274	0.028392	0.044926	0.03281	0.0434	0.96162	0.028215	0.91853	0.027473	0.035513	0.87944	0.19839	0.09484	0.046489	0.026267	0.034799	0.34035	0.97317	0.092414	0.96715	0.027015	0.048047	0.95174	0.12566	0.038448	0.078617	0.34167	0.038792	0.69939	0.031802	0.97037	0.032284	0.029179	0.020819	0.12456	0.058892	0.044523
Meth__cg04543012__TFCP2	0.055556	0.55941	0.082686	0.066756	0.5058	0.044228	0.66306	0.025777	0.049007	0.049809	0.82217	0.069782	0.039964	0.79522	0.46995	0.29501	0.042294	0.041877	0.097796	0.041207	0.83399	0.84444	0.060277	0.069326	0.22594	0.080071	0.089238	0.18701	0.043906	0.047447	0.051229	0.35903	0.04341	0.045533	0.2268	0.45878	0.80361
Meth__cg21602520__BCL2	0.046958	0.077954	0.94727	0.24149	0.33085	0.96633	0.066128	0.92797	0.26622	0.86556	0.044701	0.94333	0.93871	0.94708	0.49335	0.75933	0.92554	0.92762	0.74503	0.57908	0.038538	0.046838	0.96319	0.94754	0.060168	0.083088	0.91319	0.069498	0.45537	0.93335	0.96885	0.8838	0.87083	0.95928	0.57398	0.082738	0.047451
Meth__cg18416881__AKR1B1	0.95053	0.57034	0.043798	0.96923	0.82263	0.033738	0.94934	0.027918	0.95653	0.094778	0.032397	0.60332	0.055515	0.94126	0.8851	0.44132	0.45964	0.030593	0.062402	0.030391	0.91941	0.93229	0.038894	0.076132	0.90051	0.22775	0.88609	0.49356	0.035796	0.030175	0.029567	0.91786	0.94956	0.95218	0.41632	0.63905	0.6052
Meth__cg19258882__ERBB3	0.039942	0.036267	0.053322	0.063007	0.066172	0.13329	0.047175	0.058614	0.056798	0.04483	0.071361	0.046058	0.17765	0.071405	0.026029	0.040339	0.076534	0.088053	0.031152	0.14355	0.06331	0.03822	0.065654	0.12185	0.038808	0.038691	0.051876	0.044444	0.068946	0.071797	0.42133	0.053701	0.078845	0.037677	0.060111	0.03682	0.037791
Meth__cg14833385__HLA-DMA	0.055157	0.032845	0.081138	0.75122	0.44865	0.74249	0.091769	0.51621	0.54357	0.089969	0.13254	0.23746	0.17671	0.095985	0.040729	0.086136	0.50161	0.76054	0.20608	0.14073	0.060226	0.07306	0.18531	0.38829	0.16749	0.099474	0.072768	0.10644	0.43999	0.3504	0.12477	0.22328	0.032711	0.15158	0.087402	0.061522	0.10205
