Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751
Response	1	1	-1	-1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1
Meth__cg19103704__FCGBP	0.072995	0.057182	0.36126	0.83583	0.64805	0.055399	0.36922	0.23426	0.16662	0.051793	0.082106	0.27999	0.15396	0.24818	0.059934	0.059808	0.16629	0.067348	0.081208	0.037318	0.414	0.61874	0.66485	0.58507	0.32156	0.093399	0.39395	0.10575	0.15563	0.14453	0.05752	0.050659	0.052219	0.32204	0.030947	0.14827	0.15174	0.43048
Meth__cg15700197__OR10J1	0.14578	0.095172	0.14539	0.27892	0.097314	0.72649	0.11439	0.3588	0.078697	0.21073	0.22803	0.16109	0.090962	0.42936	0.058824	0.16884	0.12955	0.18571	0.19674	0.1519	0.09803	0.13285	0.15578	0.16842	0.056467	0.5508	0.19874	0.22756	0.28187	0.11899	0.117	0.69843	0.68293	0.12701	0.11609	0.13352	0.14811	0.1197
Meth__cg00002426__SLMAP	0.067202	0.056657	0.057735	0.22468	0.36535	0.038872	0.14852	0.72331	0.063399	0.08233	0.098221	0.094675	0.054976	0.057546	0.90656	0.17127	0.064319	0.062067	0.066066	0.54875	0.84705	0.088564	0.90197	0.18975	0.92733	0.073475	0.18956	0.047982	0.12424	0.12973	0.90957	0.052474	0.045397	0.64229	0.046751	0.061264	0.77762	0.098025
Meth__cg06123346__ATP4A	0.072149	0.042943	0.40531	0.57984	0.37544	0.08304	0.096061	0.10458	0.4533	0.037512	0.13282	0.20349	0.57916	0.12375	0.021091	0.049899	0.41215	0.15139	0.054883	0.044314	0.4666	0.24426	0.36028	0.11383	0.38825	0.09273	0.089856	0.10716	0.069293	0.10134	0.093641	0.053729	0.054402	0.093918	0.039072	0.12284	0.12559	0.097931
Meth__cg02121427__LRRC15	0.17036	0.058151	0.54648	0.62453	0.32408	0.072343	0.51388	0.59387	0.66406	0.093584	0.23917	0.29768	0.72387	0.25263	0.11307	0.074922	0.31442	0.65481	0.13715	0.040348	0.24688	0.50145	0.8732	0.67776	0.69201	0.24183	0.67445	0.068844	0.10749	0.064115	0.17112	0.068451	0.06156	0.3169	0.063455	0.13669	0.16599	0.20882
Meth__cg00042156__MGC16291	0.57086	0.041955	0.1013	0.84318	0.92626	0.78103	0.61532	0.48718	0.86331	0.95065	0.93317	0.88142	0.83943	0.1543	0.52859	0.76674	0.84039	0.29624	0.073244	0.72791	0.57128	0.56745	0.11916	0.75069	0.9494	0.049534	0.31504	0.041277	0.32168	0.096966	0.7485	0.036559	0.16028	0.075569	0.063568	0.088962	0.72405	0.89812
Meth__cg21301148__MYH6	0.25285	0.067911	0.43361	0.66915	0.5794	0.097872	0.1594	0.10763	0.42115	0.26879	0.10687	0.1401	0.47904	0.17801	0.086147	0.21766	0.12395	0.12595	0.14001	0.05153	0.45672	0.42952	0.59962	0.13033	0.88404	0.1189	0.22132	0.1219	0.15657	0.11702	0.091789	0.075246	0.068529	0.34337	0.09646	0.10355	0.3033	0.14644
Meth__cg03682712__LOXL1	0.03711	0.86147	0.66632	0.96079	0.15588	0.64798	0.45174	0.025987	0.37769	0.016943	0.42287	0.97455	0.93219	0.96323	0.82444	0.55751	0.92425	0.048716	0.23543	0.017503	0.97393	0.94536	0.066567	0.83834	0.596	0.06389	0.76966	0.015635	0.94502	0.55574	0.73774	0.015294	0.018367	0.017339	0.090509	0.014119	0.21174	0.26296
Meth__cg19762747__CRX	0.065714	0.041747	0.91989	0.8722	0.85223	0.2789	0.59105	0.32932	0.9651	0.06463	0.24793	0.75887	0.7918	0.81864	0.052246	0.065925	0.65289	0.41084	0.078444	0.040971	0.69338	0.7425	0.19841	0.41831	0.13337	0.13594	0.5498	0.091106	0.23462	0.080654	0.56724	0.054998	0.053471	0.032252	0.060165	0.28129	0.1022	0.37684
Meth__cg19147390__UHRF1	0.12927	0.24891	0.36189	0.75941	0.63144	0.22025	0.62301	0.37991	0.049106	0.383	0.77228	0.17993	0.88457	0.26267	0.74555	0.39473	0.10419	0.065955	0.13722	0.051744	0.74059	0.41778	0.38072	0.47186	0.496	0.094295	0.54295	0.10433	0.076831	0.36843	0.77132	0.29212	0.4002	0.064093	0.37321	0.054195	0.21689	0.37556
Meth__cg07629017__NPBWR1	0.21412	0.026729	0.94435	0.70462	0.20359	0.24813	0.25824	0.27726	0.92345	0.051172	0.082041	0.84587	0.60395	0.84297	0.16056	0.079695	0.72732	0.075414	0.54651	0.032906	0.35799	0.35577	0.59927	0.30228	0.9439	0.61655	0.28008	0.10044	0.4629	0.073766	0.23572	0.048801	0.043182	0.055567	0.050769	0.095186	0.1	0.65619
Meth__cg17805404__GPR162	0.022497	0.23394	0.89643	0.90334	0.85737	0.035045	0.5258	0.017586	0.026045	0.68079	0.61552	0.71497	0.83815	0.81055	0.24694	0.62426	0.44675	0.030077	0.075924	0.037622	0.58418	0.57625	0.88853	0.68688	0.70239	0.04291	0.48733	0.030997	0.086844	0.3875	0.035642	0.30038	0.051617	0.33708	0.16204	0.61212	0.060124	0.56377
Meth__cg22421766__SCNN1D	0.023313	0.2435	0.28629	0.80941	0.49045	0.58511	0.47185	0.30493	0.67225	0.016166	0.5296	0.77264	0.33821	0.18249	0.05366	0.051117	0.3333	0.4797	0.040136	0.02321	0.75513	0.73204	0.53839	0.77346	0.82977	0.05274	0.83519	0.13785	0.53334	0.29092	0.33435	0.021599	0.022187	0.51652	0.049094	0.37792	0.21398	0.6232
Meth__cg24387380__GABRA5	0.8703	0.098072	0.12174	0.83515	0.055052	0.068296	0.7505	0.23481	0.31692	0.12544	0.17962	0.8	0.20725	0.11828	0.10306	0.12666	0.25162	0.16112	0.1326	0.089679	0.4154	0.36815	0.34697	0.11355	0.52588	0.10245	0.21664	0.11155	0.20479	0.14851	0.29151	0.042511	0.088707	0.094359	0.090281	0.18989	0.34483	0.24836
Meth__cg21682382__TMEM39B	0.02831	0.52552	0.077101	0.066099	0.042702	0.040926	0.084301	0.038202	0.049795	0.051269	0.04242	0.16856	0.082259	0.11172	0.022272	0.05971	0.047947	0.036096	0.050835	0.022499	0.068565	0.033467	0.41036	0.036642	0.087117	0.037267	0.050532	0.043422	0.058588	0.2031	0.19403	0.03862	0.037621	0.033692	0.050169	0.028341	0.087102	0.044846
Meth__cg20845050__ZNF7	0.049641	0.20511	0.075135	0.047112	0.044227	0.26979	0.044444	0.54286	0.082103	0.07423	0.094763	0.041808	0.13106	0.17256	0.02958	0.065816	0.058202	0.096936	0.093765	0.1164	0.040052	0.070629	0.045123	0.25423	0.068724	0.74942	0.05993	0.071218	0.18553	0.080185	0.033784	0.30401	0.084677	0.050444	0.028324	0.043232	0.0681	0.072291
Meth__cg25025243__GSTP1	0.16491	0.13901	0.19224	0.11518	0.15738	0.85582	0.13119	0.69643	0.12573	0.166	0.13017	0.13622	0.31532	0.30233	0.11139	0.15429	0.5543	0.61085	0.28177	0.62854	0.11601	0.16284	0.064457	0.57071	0.11955	0.7621	0.15389	0.25425	0.21482	0.24667	0.33212	0.35516	0.43811	0.12855	0.13259	0.19528	0.13169	0.094258
Meth__cg09980622__BOLA1	0.023931	0.34484	0.10743	0.031365	0.015759	0.53191	0.021035	0.2709	0.01828	0.021614	0.030523	0.021905	0.090047	0.14219	0.015116	0.019059	0.020891	0.31537	0.040071	0.41375	0.018911	0.018726	0.02744	0.063277	0.015023	0.94718	0.036582	0.047871	0.042128	0.032978	0.013227	0.01368	0.074218	0.74002	0.021886	0.030271	0.05996	0.022798
Meth__cg27143049__PDE3B	0.11787	0.039445	0.53365	0.12114	0.159	0.28138	0.18934	0.063985	0.15063	0.085996	0.089503	0.1318	0.064301	0.10941	0.48834	0.098574	0.12654	0.082122	0.085954	0.047038	0.13004	0.11433	0.13139	0.11018	0.12348	0.15598	0.15476	0.14068	0.1955	0.16093	0.1995	0.12784	0.053322	0.15025	0.041904	0.09273	0.3827	0.14477
Meth__cg09882647__C20orf35	0.19529	0.10757	0.76483	0.069343	0.061235	0.40313	0.11823	0.70819	0.32004	0.14922	0.23111	0.067004	0.081363	0.28668	0.072448	0.10296	0.21147	0.51348	0.17281	0.30076	0.12278	0.051799	0.23192	0.11476	0.22312	0.56486	0.072495	0.076051	0.25543	0.06786	0.051347	0.90385	0.45887	0.087695	0.076548	0.22847	0.030689	0.053007
Meth__cg11521325__FLJ32926	0.28701	0.051987	0.70159	0.5736	0.37893	0.16098	0.18985	0.16181	0.79586	0.15842	0.24987	0.31047	0.60519	0.20071	0.02444	0.12292	0.18714	0.57895	0.10666	0.082371	0.40238	0.40775	0.66196	0.49883	0.80626	0.11307	0.145	0.079541	0.14745	0.12227	0.062955	0.1	0.072416	0.17326	0.044765	0.080756	0.44286	0.18562
Meth__cg04384208__FCGR3A	0.27601	0.036336	0.13508	0.42684	0.59134	0.067887	0.12286	0.060762	0.82673	0.42987	0.10369	0.56283	0.61132	0.40708	0.018803	0.30864	0.30093	0.61151	0.10917	0.028824	0.1094	0.15634	0.80165	0.07839	0.9432	0.11288	0.12275	0.041477	0.071902	0.082844	0.17264	0.049561	0.046888	0.16552	0.044741	0.057503	0.10079	0.30001
Meth__cg04431133__RPL36AL	0.48323	0.11297	0.6613	0.63956	0.37506	0.076972	0.23737	0.43409	0.046344	0.42133	0.093842	0.091454	0.4661	0.11714	0.37269	0.5567	0.45396	0.03445	0.14345	0.146	0.1644	0.15069	0.15917	0.065587	0.91229	0.36532	0.59288	0.093647	0.089069	0.15133	0.89149	0.49265	0.043416	0.079593	0.43658	0.056756	0.66959	0.37961
Meth__cg21210789__BAI1	0.38605	0.028531	0.90833	0.89384	0.81761	0.28458	0.73894	0.41048	0.61877	0.020386	0.86004	0.64807	0.58675	0.66821	0.025969	0.069617	0.59038	0.50694	0.048965	0.025212	0.80713	0.79432	0.75155	0.80818	0.77953	0.10323	0.48488	0.034753	0.31212	0.034228	0.80984	0.070577	0.032377	0.1902	0.03215	0.52221	0.095252	0.325
Meth__cg04988978__MPO	0.22319	0.15279	0.89324	0.94875	0.88641	0.045052	0.49393	0.098237	0.9499	0.58423	0.58808	0.28235	0.29921	0.4644	0.030602	0.42909	0.3385	0.30499	0.050767	0.021859	0.88315	0.86643	0.94367	0.048729	0.94811	0.03138	0.69626	0.057034	0.13084	0.10184	0.07716	0.04234	0.033101	0.55932	0.11651	0.2642	0.16176	0.60265
Meth__cg13230584__GSTK1	0.052043	0.041508	0.050259	0.040973	0.033092	0.4368	0.047307	0.059604	0.040381	0.036709	0.050709	0.0429	0.075725	0.076675	0.031833	0.047107	0.033066	0.057116	0.093831	0.046041	0.035212	0.050861	0.048757	0.05335	0.040498	0.069823	0.055609	0.11058	0.094859	0.053603	0.051194	0.054052	0.061982	0.048531	0.044433	0.050513	0.091604	0.045791
Meth__cg05997860__ADAM21	0.23264	0.034324	0.69553	0.67978	0.50797	0.057585	0.36837	0.12927	0.78136	0.67081	0.080261	0.16681	0.2504	0.21527	0.10846	0.45761	0.20881	0.4499	0.053191	0.062792	0.1216	0.19866	0.78004	0.098212	0.76245	0.10979	0.21511	0.069855	0.07838	0.12316	0.28709	0.042182	0.19056	0.80283	0.06036	0.38118	0.14421	0.43065
Meth__cg07260017__CSF1R	0.096571	0.19143	0.061797	0.95479	0.94218	0.64628	0.82352	0.14825	0.49686	0.036112	0.38697	0.86711	0.77301	0.20028	0.31622	0.15725	0.22238	0.059168	0.20989	0.024179	0.87197	0.89342	0.94264	0.055903	0.9301	0.087459	0.92258	0.26802	0.76223	0.26979	0.1162	0.031667	0.093833	0.87792	0.57956	0.38082	0.93213	0.87979
Meth__cg11297236__PDILT	0.43318	0.11761	0.4913	0.8515	0.64279	0.072057	0.59394	0.38188	0.58155	0.48908	0.12008	0.20246	0.16707	0.28495	0.083966	0.30581	0.13187	0.10585	0.11693	0.12364	0.44444	0.55248	0.89717	0.46771	0.77447	0.12344	0.35388	0.10782	0.15296	0.16314	0.13439	0.06953	0.13843	0.51802	0.077056	0.35493	0.12876	0.23583
Meth__cg10764357__BCAT1	0.13199	0.052545	0.92643	0.77854	0.52662	0.59805	0.91163	0.030783	0.94566	0.14514	0.081771	0.059198	0.43064	0.80372	0.87283	0.41303	0.89227	0.055357	0.16528	0.47134	0.51925	0.42901	0.91105	0.04221	0.24319	0.046973	0.91321	0.22696	0.87564	0.55687	0.042081	0.27706	0.038228	0.06383	0.061062	0.88662	0.83966	0.59857
Meth__cg02537838__C20orf151	0.054806	0.058138	0.07519	0.053443	0.051723	0.84168	0.063223	0.90438	0.043171	0.046606	0.071374	0.05415	0.058861	0.079328	0.044371	0.060522	0.074077	0.87468	0.088135	0.3752	0.0485	0.058087	0.058253	0.85475	0.056401	0.74088	0.065833	0.090438	0.11716	0.067954	0.84203	0.067186	0.48956	0.060225	0.056453	0.071691	0.044814	0.053769
Meth__cg26233914__ITGAX	0.46708	0.027029	0.49834	0.74144	0.63327	0.085644	0.44914	0.10974	0.73845	0.072731	0.5	0.079471	0.65505	0.32542	0.022982	0.057125	0.24308	0.18824	0.046245	0.01657	0.49847	0.37223	0.66461	0.304	0.63623	0.046668	0.24803	0.028841	0.044822	0.094877	0.036229	0.043746	0.039257	0.46639	0.038893	0.21726	0.16924	0.45644
Meth__cg13301933__RORA	0.033625	0.032105	0.028329	0.032987	0.032708	0.034291	0.029435	0.042595	0.037491	0.034729	0.042014	0.036421	0.023798	0.16727	0.020476	0.037414	0.029807	0.033713	0.072933	0.045946	0.032408	0.039778	0.033164	0.037179	0.027828	0.52806	0.036263	0.053178	0.060018	0.053348	0.031743	0.041189	0.38931	0.040106	0.025588	0.028396	0.14138	0.034345
Meth__cg13105904__KIAA0323	0.034363	0.5995	0.60217	0.66933	0.29985	0.3006	0.73007	0.10775	0.039745	0.086225	0.046025	0.1433	0.9823	0.12455	0.76404	0.094396	0.089692	0.031106	0.059468	0.027165	0.24102	0.24729	0.30138	0.4372	0.1789	0.61908	0.097744	0.056026	0.17293	0.61291	0.027183	0.069535	0.20185	0.02412	0.076352	0.035584	0.11106	0.26075
Meth__cg04195127__WFDC1	0.081364	0.060436	0.70986	0.62937	0.75313	0.039273	0.36285	0.18084	0.95425	0.032723	0.34888	0.91084	0.26098	0.78577	0.056954	0.031148	0.76046	0.046368	0.037198	0.026183	0.40485	0.58624	0.94535	0.56949	0.11871	0.080925	0.18602	0.04999	0.062592	0.14335	0.027295	0.028976	0.03284	0.49539	0.032372	0.08684	0.074656	0.08101
Meth__cg06942445__TRO	0.77156	0.020993	0.93832	0.79459	0.46917	0.024242	0.61942	0.07672	0.97017	0.65652	0.022255	0.90812	0.46907	0.49731	0.40665	0.61062	0.045223	0.016652	0.033725	0.021661	0.34638	0.27617	0.80398	0.17253	0.95049	0.10563	0.48717	0.025773	0.59232	0.024253	0.038526	0.030809	0.040236	0.89793	0.029373	0.35709	0.028722	0.39825
Meth__cg06341721__DAZAP1	0.066857	0.079944	0.063925	0.074414	0.07214	0.50269	0.06893	0.19549	0.054686	0.08064	0.067751	0.076068	0.091881	0.1237	0.046042	0.077067	0.11543	0.33203	0.11513	0.65658	0.052052	0.095559	0.070165	0.10858	0.06275	0.16833	0.070785	0.13399	0.13612	0.11312	0.056168	0.052059	0.20513	0.078785	0.0638	0.056882	0.14806	0.075306
Meth__cg24691461__C20orf160	0.8394	0.079832	0.89401	0.89205	0.81992	0.17804	0.66995	0.1189	0.77355	0.2566	0.40556	0.40246	0.73844	0.51108	0.033412	0.22119	0.51839	0.25019	0.058893	0.026793	0.7235	0.64773	0.95364	0.23462	0.89795	0.07731	0.67668	0.050079	0.079358	0.085586	0.048499	0.043172	0.039859	0.72586	0.0379	0.30904	0.078389	0.48052
Meth__cg12022621__LAX1	0.55507	0.053922	0.75786	0.72904	0.68955	0.21567	0.23262	0.20342	0.85927	0.28624	0.060584	0.44002	0.87858	0.24957	0.050997	0.25669	0.37301	0.43306	0.17233	0.045094	0.45105	0.66091	0.71212	0.40309	0.87221	0.15431	0.34435	0.075868	0.15989	0.076314	0.040784	0.058088	0.065385	0.51814	0.051656	0.12454	0.13661	0.39242
Meth__cg02989940__ERAF	0.36991	0.033652	0.76282	0.59051	0.30758	0.45635	0.79674	0.46746	0.69228	0.54888	0.56334	0.70852	0.73667	0.05742	0.023081	0.29514	0.86209	0.84547	0.048571	0.028234	0.80173	0.65135	0.063035	0.91131	0.4008	0.077367	0.37622	0.043314	0.058593	0.050573	0.60621	0.037256	0.043061	0.045977	0.1683	0.37178	0.28499	0.3217
Meth__cg01858173__ROM1	0.031186	0.030626	0.051542	0.083324	0.042185	0.035132	0.049994	0.067431	0.67883	0.026316	0.035478	0.068087	0.075491	0.05139	0.023038	0.033941	0.03772	0.029743	0.076653	0.023636	0.042346	0.049291	0.029096	0.0516	0.062155	0.044965	0.051594	0.040667	0.051071	0.050235	0.034326	0.020265	0.031708	0.033364	0.030366	0.031268	0.1128	0.053596
Meth__cg10541755__EIF5A2	0.65877	0.68829	0.8008	0.82091	0.57554	0.045486	0.94564	0.11604	0.74079	0.099487	0.055826	0.37656	0.26218	0.92862	0.78157	0.42621	0.27817	0.045576	0.1688	0.046512	0.90882	0.45554	0.9583	0.067737	0.55376	0.11467	0.88709	0.10956	0.8227	0.46127	0.059665	0.0528	0.055668	0.15426	0.4254	0.93955	0.70477	0.55335
Meth__cg14435807__LOXL1	0.030801	0.85246	0.63892	0.93407	0.64297	0.24917	0.88928	0.057009	0.219	0.030049	0.90889	0.91204	0.91547	0.8452	0.41997	0.34922	0.72505	0.038109	0.64992	0.02846	0.93006	0.94246	0.45617	0.37871	0.73627	0.056875	0.78478	0.070989	0.85047	0.54124	0.32349	0.022516	0.026253	0.042714	0.56618	0.027714	0.86759	0.41974
Meth__cg04109220__SPAG8	0.086256	0.07091	0.060033	0.10817	0.038447	0.80784	0.052857	0.058601	0.040823	0.38782	0.070137	0.77513	0.20944	0.20324	0.03158	0.15414	0.041645	0.22081	0.14262	0.044312	0.24341	0.054078	0.050798	0.065784	0.043111	0.26696	0.049899	0.086824	0.14775	0.067876	0.058713	0.068831	0.10611	0.070529	0.23876	0.26765	0.073458	0.074079
Meth__cg03460527__F3	0.045455	0.046371	0.39399	0.74145	0.69088	0.65871	0.1433	0.072183	0.036968	0.045926	0.096301	0.14522	0.048292	0.17706	0.20065	0.0668	0.30771	0.047207	0.067568	0.042379	0.37773	0.18413	0.8652	0.1569	0.50392	0.11333	0.57397	0.10886	0.26529	0.074345	0.12668	0.028182	0.027674	0.70901	0.090284	0.15649	0.11801	0.50588
Meth__cg21459867__IDUA	0.043531	0.50769	0.077306	0.31461	0.055027	0.71668	0.34124	0.026958	0.85769	0.66708	0.06737	0.23881	0.53773	0.098246	0.27765	0.6696	0.2607	0.075514	0.13846	0.03097	0.27771	0.085359	0.099678	0.15572	0.66232	0.042537	0.18194	0.061989	0.072471	0.09998	0.080513	0.02816	0.042856	0.52306	0.039989	0.26648	0.090174	0.23044
Meth__cg14740251__SIGLEC5	0.79701	0.093654	0.54762	0.93704	0.91011	0.1081	0.92452	0.2249	0.59587	0.041879	0.44018	0.45245	0.83654	0.39691	0.775	0.077311	0.3903	0.17344	0.16699	0.044126	0.9353	0.82046	0.89298	0.10084	0.89483	0.12308	0.89649	0.14224	0.63471	0.40478	0.063123	0.10428	0.060008	0.64923	0.089415	0.89858	0.26178	0.22553
Meth__cg26420196__GAS6	0.057365	0.04592	0.31665	0.93751	0.89222	0.040601	0.29768	0.060921	0.042988	0.02655	0.048031	0.16386	0.46135	0.41729	0.24558	0.034956	0.23876	0.034325	0.14733	0.029212	0.93062	0.94786	0.36251	0.21434	0.75859	0.091272	0.57293	0.050458	0.37832	0.16979	0.30302	0.024029	0.074204	0.57752	0.033198	0.60168	0.1154	0.40703
Meth__cg16692277__GUCY1B2	0.050331	0.031959	0.3227	0.84944	0.08451	0.68625	0.36589	0.13255	0.17524	0.29372	0.076198	0.057207	0.43973	0.11121	0.07847	0.24383	0.057445	0.037451	0.056553	0.043622	0.81399	0.74253	0.23112	0.1162	0.75751	0.092876	0.60636	0.055381	0.068415	0.089931	0.18586	0.03862	0.067442	0.74229	0.04384	0.72836	0.16005	0.20057
Meth__cg15957394__AFAP	0.073859	0.046955	0.25567	0.056665	0.04951	0.091893	0.051087	0.18657	0.085378	0.06619	0.073051	0.053607	0.087667	0.1683	0.061708	0.064047	0.06573	0.80397	0.096317	0.13814	0.049437	0.083941	0.078005	0.061263	0.06169	0.095052	0.050163	0.097943	0.13237	0.1671	0.050699	0.054913	0.10365	0.044933	0.096043	0.068942	0.068054	0.057665
Meth__cg13359415__LGI2	0.037093	0.021255	0.025797	0.031107	0.019182	0.046356	0.028333	0.52545	0.035418	0.023839	0.029001	0.022804	0.022159	0.081368	0.018994	0.027322	0.042802	0.029908	0.048421	0.39231	0.018807	0.027877	0.023673	0.031392	0.023077	0.91308	0.027909	0.081827	0.052002	0.057773	0.02913	0.056513	0.085641	0.024672	0.019232	0.034253	0.055564	0.030901
Meth__cg16124337__UBE2J1	0.080895	0.14801	0.13841	0.085117	0.3382	0.35391	0.15084	0.44401	0.064767	0.4703	0.56079	0.065873	0.057075	0.40439	0.12083	0.41476	0.077443	0.1667	0.12898	0.50848	0.079794	0.35953	0.33767	0.06028	0.21344	0.7158	0.095868	0.10852	0.11934	0.29128	0.048379	0.057097	0.58596	0.57498	0.044094	0.20048	0.15699	0.05315
Meth__cg20345446__OSBPL5	0.3735	0.30513	0.063283	0.39977	0.1196	0.45432	0.15928	0.050171	0.487	0.073898	0.065904	0.23599	0.79346	0.117	0.17135	0.046122	0.079407	0.046067	0.074235	0.051726	0.40541	0.30336	0.41197	0.59235	0.3587	0.15437	0.29511	0.087521	0.2807	0.28744	0.57384	0.035188	0.038367	0.30329	0.18995	0.053581	0.17594	0.10933
