Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	-1	1	-1	1	1	1	-1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	-1
Meth__cg11504897__NRN1	0.71248	0.13355	0.2036	0.23187	0.17096	0.73864	0.91686	0.53527	0.10196	0.48291	0.55657	0.16727	0.19641	0.086957	0.24143	0.1365	0.85746	0.42814	0.2273	0.95321	0.10845	0.29889	0.92095	0.38222	0.18857	0.94573	0.20638	0.12034	0.11563	0.12634	0.48459	0.10842	0.12256	0.19759	0.92162	0.65629	0.88658
Meth__cg18277754__ALK	0.92758	0.21382	0.9786	0.037579	0.03659	0.96318	0.95328	0.21953	0.16257	0.58937	0.56143	0.35639	0.13633	0.051845	0.11409	0.10548	0.47294	0.91696	0.95342	0.67748	0.0386	0.043923	0.85776	0.82031	0.096749	0.8833	0.54126	0.52852	0.034636	0.14901	0.030592	0.033582	0.032429	0.64462	0.4593	0.41061	0.39452
Meth__cg17430393__VSNL1	0.55686	0.022575	0.44812	0.064647	0.043326	0.36647	0.96147	0.040426	0.040048	0.043928	0.11242	0.075825	0.03543	0.15675	0.071807	0.048632	0.029414	0.37894	0.49901	0.21177	0.030479	0.46753	0.11237	0.93128	0.080645	0.19226	0.058126	0.034816	0.030474	0.025337	0.026956	0.031802	0.16361	0.38922	0.92099	0.42788	0.48828
Meth__cg17834752__KCNK9	0.92358	0.031918	0.78672	0.14769	0.15411	0.95324	0.93431	0.17107	0.3092	0.93626	0.9392	0.49097	0.30242	0.034774	0.041699	0.14859	0.088447	0.94218	0.78095	0.50213	0.074818	0.71079	0.90546	0.90962	0.26251	0.93128	0.064786	0.032203	0.03495	0.2715	0.028281	0.029376	0.73673	0.57817	0.62605	0.51254	0.58975
U133A__IFI27	4.6386	5.1543	4.4595	4.6777	5.8546	4.687	4.5519	4.9288	11.1042	4.871	6.238	11.349	4.4035	5.9256	4.4385	10.9936	4.7467	4.7579	8.9666	4.6875	7.4637	4.8506	4.661	4.404	4.8339	4.6337	4.5304	4.6953	8.0022	6.5604	4.5079	12.1121	4.5195	4.8154	4.3101	4.3879	4.4577
Meth__cg11747771__GLDC	0.97063	0.062312	0.96593	0.060334	0.036813	0.37399	0.53926	0.069004	0.043994	0.054896	0.96807	0.032925	0.047523	0.043342	0.11543	0.16303	0.45054	0.95801	0.95738	0.36242	0.10623	0.033563	0.9496	0.34	0.064432	0.93215	0.071885	0.039028	0.046127	0.10011	0.047405	0.066555	0.031097	0.078672	0.042647	0.2828	0.56143
Meth__cg05822100__CDH6	0.29254	0.054565	0.70011	0.34348	0.06956	0.050477	0.92952	0.78468	0.053449	0.061039	0.12322	0.54549	0.12215	0.40385	0.5264	0.11986	0.40681	0.90149	0.91329	0.44682	0.04318	0.14185	0.78297	0.45633	0.11708	0.81279	0.1659	0.07179	0.093518	0.053763	0.11602	0.049059	0.71949	0.13398	0.46252	0.41616	0.45006
Meth__cg25488206__RBM9	0.084582	0.09994	0.071466	0.064376	0.78919	0.037693	0.82889	0.035925	0.066058	0.28147	0.88381	0.066496	0.067146	0.055365	0.060377	0.062629	0.036458	0.74371	0.58167	0.92516	0.054122	0.8935	0.083587	0.080861	0.060621	0.93672	0.10394	0.058769	0.043314	0.062231	0.18055	0.027162	0.19939	0.12041	0.75208	0.81659	0.66964
Meth__cg16994506__CCND2	0.94714	0.045464	0.94246	0.05003	0.071134	0.92732	0.93287	0.95175	0.15152	0.94728	0.95414	0.91823	0.19407	0.028732	0.046373	0.056434	0.21445	0.95516	0.95761	0.93986	0.053238	0.95317	0.8593	0.65061	0.091229	0.88022	0.54414	0.0469	0.34988	0.054842	0.028185	0.045961	0.96063	0.056442	0.62123	0.65111	0.41877
