Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
Response	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1
Meth__cg10334385__FLJ25143	0.054465	0.041529	0.3056	0.19631	0.11734	0.15312	0.066189	0.14132	0.067143	0.05887	0.091413	0.65056	0.12335	0.11695	0.04377	0.068849	0.059345	0.10228	0.11912	0.072413	0.063988	0.065486	0.23955	0.069517	0.051784	0.10853	0.054522	0.10444	0.25763	0.091154	0.058495	0.083418	0.099745	0.10179	0.082429	0.11171	0.09208	0.060171	0.061493
Meth__cg15485859__C1orf116	0.051914	0.04523	0.60451	0.070221	0.11278	0.46861	0.067868	0.84286	0.10776	0.055734	0.070759	0.20135	0.26478	0.19879	0.037497	0.070686	0.34061	0.86098	0.11283	0.31726	0.065925	0.10369	0.31997	0.41817	0.15334	0.83616	0.071188	0.085886	0.52881	0.093844	0.82889	0.35692	0.84192	0.35474	0.052818	0.092157	0.20738	0.14635	0.31016
Meth__cg07845566__B3GAT1	0.94318	0.06231	0.45674	0.29185	0.034534	0.88943	0.94935	0.033695	0.13523	0.41374	0.026205	0.049432	0.026863	0.45179	0.14968	0.37775	0.037553	0.1429	0.079902	0.025426	0.91124	0.97299	0.04464	0.079272	0.025396	0.65423	0.65254	0.081991	0.91617	0.037609	0.043939	0.03101	0.037106	0.026499	0.022673	0.043745	0.1179	0.48373	0.050105
Meth__cg12277666__TDRD5	0.0742	0.03414	0.034625	0.18943	0.035659	0.89198	0.038193	0.6644	0.038334	0.026725	0.034988	0.75208	0.096427	0.67597	0.024254	0.087904	0.92768	0.18493	0.083028	0.076846	0.025415	0.032042	0.38973	0.28345	0.074805	0.91422	0.040459	0.045746	0.048801	0.035376	0.33224	0.5485	0.19458	0.062087	0.024065	0.94624	0.049141	0.033805	0.04377
Meth__cg20099806__CCDC47	0.10082	0.076132	0.15112	0.10843	0.25443	0.22661	0.10941	0.64399	0.079662	0.13664	0.53897	0.18051	0.20025	0.10241	0.078779	0.14411	0.10555	0.082784	0.20745	0.084237	0.055494	0.097668	0.15887	0.063229	0.53078	0.44799	0.073329	0.13957	0.080694	0.17324	0.073174	0.11426	0.11131	0.11699	0.10186	0.049203	0.13978	0.090868	0.1311
Meth__cg10917602__HSD3B7	0.040123	0.02716	0.045585	0.033577	0.033668	0.20863	0.036675	0.23282	0.02489	0.032806	0.047785	0.57088	0.4705	0.08041	0.030665	0.039537	0.031081	0.53144	0.061189	0.46819	0.032272	0.039978	0.10634	0.76073	0.039426	0.28072	0.033089	0.051509	0.063392	0.080223	0.06939	0.80735	0.74138	0.086218	0.1858	0.033582	0.071201	0.028323	0.038991
Meth__cg02859934__NAGPA	0.046641	0.034217	0.56697	0.21977	0.066158	0.42201	0.069501	0.89673	0.032969	0.88653	0.078438	0.87362	0.92501	0.36766	0.041547	0.67132	0.57115	0.16559	0.086049	0.85548	0.068313	0.049122	0.096933	0.56242	0.14103	0.81843	0.051573	0.098752	0.16437	0.091154	0.045426	0.37624	0.40376	0.6652	0.050586	0.79911	0.09817	0.051219	0.067586
Meth__cg02551396__JPH2	0.028533	0.031363	0.023835	0.37793	0.088274	0.022883	0.68567	0.036299	0.035014	0.033328	0.025352	0.023076	0.021135	0.070173	0.030495	0.029648	0.026398	0.02623	0.045887	0.022569	0.56762	0.89965	0.49487	0.029685	0.026491	0.027605	0.17768	0.026526	0.36801	0.048439	0.028486	0.019049	0.027944	0.57529	0.021973	0.021251	0.028019	0.18968	0.83759
Meth__cg24798047__GOLT1A	0.072984	0.036708	0.71993	0.72257	0.079727	0.81308	0.041119	0.65836	0.28333	0.098394	0.17523	0.83562	0.85425	0.21446	0.04133	0.14359	0.49943	0.55411	0.80224	0.4827	0.049001	0.074518	0.23209	0.83995	0.039296	0.80353	0.22128	0.20157	0.065789	0.14739	0.35135	0.83626	0.28397	0.70635	0.17797	0.13073	0.095624	0.053552	0.10004
Meth__cg16421285__SAE1	0.084534	0.080591	0.52182	0.06903	0.10279	0.32228	0.087193	0.50409	0.075213	0.13036	0.10172	0.17172	0.2931	0.15494	0.0556	0.11426	0.086527	0.17789	0.19099	0.52129	0.058433	0.086697	0.1852	0.20616	0.075654	0.15718	0.078452	0.16117	0.13225	0.053113	0.070514	0.1804	0.39705	0.11027	0.041633	0.11959	0.18538	0.11071	0.14157
Meth__cg08278554__C15orf48	0.13436	0.067825	0.72813	0.18901	0.1068	0.66463	0.097548	0.24793	0.079726	0.076996	0.13213	0.2026	0.21694	0.13956	0.099415	0.13518	0.11177	0.13967	0.19236	0.11736	0.11324	0.10687	0.10951	0.10736	0.11735	0.17324	0.13395	0.15337	0.42025	0.11251	0.065369	0.055095	0.91661	0.27329	0.093236	0.33122	0.15324	0.11851	0.10831
Meth__cg04488521__ZNF354C	0.93673	0.018679	0.1991	0.61411	0.027935	0.025427	0.98133	0.13578	0.36332	0.74908	0.040777	0.021638	0.02473	0.83197	0.12615	0.5575	0.026559	0.020877	0.057463	0.031532	0.94419	0.89313	0.74756	0.022107	0.078345	0.80257	0.64731	0.042921	0.17423	0.21913	0.017761	0.11875	0.090608	0.018441	0.017726	0.51646	0.080145	0.38381	0.66692
Meth__cg00901493__YBX2	0.035067	0.036062	0.056282	0.60146	0.055533	0.95157	0.047868	0.96655	0.036085	0.04268	0.056777	0.047596	0.10758	0.090122	0.04615	0.0475	0.32026	0.10358	0.1237	0.43951	0.034767	0.055342	0.070975	0.85617	0.055416	0.83843	0.43328	0.053123	0.10598	0.046332	0.50119	0.085473	0.95672	0.09875	0.04392	0.033836	0.076683	0.051802	0.054314
Meth__cg06200697__CTNND1	0.029951	0.030869	0.088319	0.12372	0.87784	0.15535	0.26357	0.17979	0.43659	0.47548	0.91197	0.78646	0.52499	0.12291	0.10813	0.46102	0.084202	0.48132	0.50275	0.19154	0.082756	0.062608	0.78449	0.032651	0.063974	0.23964	0.057964	0.38849	0.047517	0.050882	0.037448	0.18725	0.046831	0.84455	0.73004	0.29307	0.60088	0.22491	0.69592
Meth__cg03454353__ZFP37	0.62921	0.079996	0.24455	0.86992	0.041185	0.072726	0.67277	0.55982	0.06032	0.098546	0.071613	0.063459	0.075107	0.4643	0.73365	0.06488	0.060075	0.050706	0.13999	0.074633	0.40744	0.37666	0.26001	0.2108	0.05401	0.4564	0.50394	0.071376	0.23802	0.11267	0.06572	0.2881	0.12442	0.079916	0.055196	0.2556	0.074433	0.59934	0.33526
Meth__cg18943195__RAB11FIP5	0.023537	0.1874	0.026012	0.067181	0.039545	0.020551	0.024068	0.012288	0.41618	0.11835	0.028494	0.016384	0.032706	0.030945	0.11779	0.10912	0.020444	0.021096	0.027896	0.017624	0.61738	0.46078	0.037064	0.23412	0.083374	0.031731	0.022619	0.037244	0.035886	0.22778	0.020968	0.018425	0.040146	0.016065	0.021008	0.0182	0.045075	0.017668	0.016324
Meth__cg03790207__PEX6	0.042997	0.038908	0.55145	0.047011	0.50284	0.030555	0.04168	0.034797	0.53936	0.029606	0.036792	0.046735	0.029922	0.59863	0.62321	0.033737	0.039558	0.032183	0.066998	0.036271	0.76001	0.62152	0.067764	0.20719	0.032092	0.060757	0.4393	0.077752	0.077907	0.087373	0.030083	0.0341	0.042663	0.037302	0.030294	0.021943	0.06394	0.040933	0.033341
Meth__cg24664861__SPAG16	0.91909	0.066144	0.083536	0.27235	0.036154	0.052921	0.06337	0.07695	0.93838	0.93134	0.053205	0.055477	0.16061	0.33806	0.51482	0.89507	0.065931	0.035272	0.10352	0.22072	0.934	0.91332	0.053541	0.054229	0.049215	0.068532	0.066695	0.099881	0.078176	0.097921	0.044594	0.044963	0.055876	0.86942	0.04578	0.055977	0.10935	0.45099	0.54221
Meth__cg08504049__ZNF264	0.094102	0.094408	0.099694	0.075094	0.077782	0.083452	0.10552	0.13259	0.12691	0.076468	0.076898	0.092905	0.082726	0.47673	0.47156	0.078495	0.080793	0.089184	0.13661	0.075753	0.56598	0.62912	0.101	0.10095	0.10125	0.11111	0.083525	0.083181	0.11247	0.25006	0.084241	0.081476	0.064643	0.062495	0.055208	0.067599	0.11952	0.083405	0.11409
Meth__cg17607973__BCDIN3	0.16513	0.18494	0.22251	0.19357	0.053508	0.049663	0.14163	0.082512	0.092995	0.13533	0.031266	0.19563	0.1155	0.075786	0.5068	0.088577	0.10007	0.11483	0.15033	0.016101	0.071058	0.16793	0.054655	0.1582	0.034042	0.10032	0.12857	0.027942	0.12606	0.11277	0.018607	0.027848	0.030523	0.044108	0.019433	0.032634	0.069407	0.045619	0.066344
Meth__cg22821324__GPM6A	0.05711	0.050558	0.95297	0.060357	0.054623	0.13555	0.10202	0.20178	0.093939	0.041657	0.052227	0.36349	0.39945	0.56179	0.041102	0.25572	0.057152	0.18135	0.30764	0.10893	0.047046	0.065299	0.12002	0.054175	0.044601	0.075614	0.047932	0.13817	0.54615	0.10194	0.096362	0.067076	0.056115	0.54131	0.042868	0.90147	0.13599	0.041248	0.051567
Meth__cg20367961__EDN2	0.056359	0.051505	0.10835	0.072609	0.23695	0.65201	0.050534	0.90969	0.19795	0.036938	0.10127	0.77935	0.20644	0.32688	0.034867	0.051388	0.34326	0.5923	0.10634	0.84114	0.058672	0.10921	0.083138	0.89922	0.084393	0.78352	0.074444	0.10997	0.15478	0.063587	0.42947	0.05472	0.5225	0.8427	0.090328	0.14629	0.17677	0.070379	0.074824
Meth__cg23583739__KDELR3	0.050493	0.57089	0.057216	0.10046	0.056546	0.041348	0.69652	0.025992	0.047301	0.049108	0.048226	0.044365	0.04484	0.15308	0.36345	0.052632	0.050599	0.044922	0.091523	0.036565	0.053559	0.057388	0.057027	0.062081	0.038658	0.15686	0.085541	0.049093	0.51243	0.25534	0.049352	0.033905	0.030807	0.22362	0.035548	0.56431	0.11028	0.19084	0.046658
Meth__cg06458239__ZNF549	0.43971	0.34477	0.56252	0.088235	0.071857	0.077251	0.18788	0.25118	0.25353	0.088664	0.105	0.1127	0.27128	0.76912	0.86412	0.098113	0.11943	0.088847	0.16911	0.089392	0.3321	0.45223	0.11938	0.16015	0.1103	0.17288	0.07723	0.15114	0.16894	0.60782	0.1318	0.099195	0.11842	0.070947	0.28589	0.17311	0.1911	0.72946	0.77059
Meth__cg04543012__TFCP2	0.055556	0.55941	0.082686	0.066756	0.5058	0.044228	0.66306	0.025777	0.049007	0.049809	0.82217	0.069782	0.039964	0.79522	0.46995	0.29501	0.042294	0.041877	0.097796	0.041207	0.83399	0.84444	0.079434	0.060277	0.052965	0.069326	0.22594	0.080071	0.089238	0.18701	0.043906	0.047447	0.051229	0.35903	0.04341	0.045533	0.2268	0.45878	0.80361
Meth__cg18416881__AKR1B1	0.95053	0.57034	0.043798	0.96923	0.82263	0.033738	0.94934	0.027918	0.95653	0.094778	0.032397	0.60332	0.055515	0.94126	0.8851	0.44132	0.45964	0.030593	0.062402	0.030391	0.91941	0.93229	0.68632	0.038894	0.60769	0.076132	0.90051	0.22775	0.88609	0.49356	0.035796	0.030175	0.029567	0.91786	0.94956	0.95218	0.41632	0.63905	0.6052
Meth__cg15958424__ACPP	0.081619	0.054936	0.099589	0.057897	0.17052	0.64915	0.11261	0.43897	0.42689	0.081173	0.22954	0.41355	0.24419	0.11825	0.11656	0.084071	0.36306	0.81598	0.088472	0.64299	0.065888	0.060295	0.30969	0.38604	0.15278	0.70139	0.094867	0.20242	0.15679	0.13556	0.82287	0.091768	0.43041	0.64435	0.058362	0.21919	0.13085	0.098747	0.10263
Meth__cg13801416__AKR1B1	0.97123	0.82433	0.036073	0.98155	0.94261	0.035948	0.97782	0.053689	0.67039	0.23164	0.037654	0.66435	0.039406	0.96003	0.98385	0.53732	0.54274	0.026251	0.088134	0.028486	0.97682	0.97288	0.86794	0.037808	0.65535	0.064738	0.97336	0.26649	0.95129	0.67976	0.038822	0.030692	0.039322	0.97136	0.98042	0.97552	0.78225	0.73388	0.68935
Meth__cg06778853__PHF13	0.027601	0.037173	0.39143	0.072523	0.032744	0.74723	0.045369	0.79377	0.075857	0.21965	0.065378	0.037821	0.35922	0.20064	0.035268	0.20087	0.48976	0.11846	0.063346	0.49418	0.058379	0.061301	0.046676	0.14834	0.21715	0.77148	0.046739	0.10932	0.073	0.1318	0.28619	0.032478	0.94118	0.23546	0.047873	0.46589	0.070447	0.037272	0.32282
Meth__cg02907300__TCEB3	0.066157	0.037988	0.045561	0.039798	0.035353	0.024033	0.046568	0.10391	0.032463	0.05888	0.035369	0.035697	0.085409	0.076467	0.051068	0.031985	0.046042	0.034704	0.055347	0.021709	0.040648	0.049298	0.043431	0.057032	0.0452	0.082765	0.16537	0.040732	0.065233	0.053583	0.022355	0.019493	0.034358	0.026038	0.027948	0.02949	0.075191	0.31416	0.045249
Meth__cg24762359__ATP12A	0.043633	0.045777	0.064687	0.053002	0.050961	0.79009	0.05965	0.72965	0.065101	0.02265	0.051203	0.17341	0.087469	0.11009	0.09274	0.047168	0.065885	0.17718	0.088496	0.067723	0.063903	0.045648	0.089839	0.07127	0.036964	0.71291	0.049236	0.11735	0.28779	0.07663	0.069001	0.088918	0.13563	0.095107	0.047	0.14606	0.10189	0.044759	0.049915
Meth__cg06645778__HSPC159	0.081105	0.059867	0.083571	0.18519	0.60698	0.74515	0.39299	0.20824	0.062128	0.13944	0.14576	0.4498	0.13239	0.138	0.084292	0.099244	0.15402	0.089358	0.1088	0.14759	0.085198	0.11922	0.87222	0.082558	0.68695	0.19468	0.083381	0.14261	0.16723	0.11572	0.38353	0.086207	0.11214	0.080502	0.098807	0.19151	0.22475	0.22343	0.32526
Meth__cg09163317__GALGT	0.057947	0.040812	0.39558	0.066547	0.045319	0.040398	0.050137	0.060492	0.041103	0.048877	0.056367	0.070635	0.087638	0.31548	0.046878	0.068937	0.052479	0.036509	0.11765	0.053397	0.030596	0.050161	0.095433	0.063408	0.087921	0.092063	0.046736	0.15551	0.11511	0.056509	0.058628	0.05446	0.064686	0.059967	0.044878	0.10858	0.06362	0.047971	0.054456
Meth__cg20484352__LOC92689	0.044108	0.89997	0.29944	0.24876	0.10262	0.048123	0.32904	0.036168	0.053499	0.52966	0.50702	0.14811	0.21159	0.30802	0.76345	0.44284	0.057683	0.034556	0.064414	0.039154	0.45672	0.31466	0.12806	0.14383	0.1782	0.12393	0.4971	0.10109	0.89017	0.71567	0.041902	0.42528	0.061439	0.65338	0.037275	0.039541	0.11945	0.13378	0.055737
