Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Response	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	1	1	1	1	1	-1	1
Meth__cg23693510__ELAVL2	0.87004	0.049282	0.8678	0.56003	0.033878	0.88485	0.90203	0.49773	0.27945	0.79367	0.18131	0.02947	0.047114	0.38614	0.22301	0.71419	0.47766	0.63893	0.9144	0.414	0.51874	0.08789	0.17475	0.088707	0.37785	0.37328	0.87599	0.23562	0.39832	0.050681	0.84064	0.051962
Meth__cg07623294__ELAVL2	0.76984	0.023497	0.76691	0.06047	0.029583	0.75205	0.39253	0.42244	0.22432	0.57208	0.052815	0.013979	0.032964	0.4	0.17369	0.071794	0.060714	0.22229	0.92579	0.13336	0.357	0.0619	0.12652	0.058166	0.26569	0.40747	0.064694	0.079397	0.055391	0.031217	0.63421	0.022426
RS_G8573__ECM1__ECM1	4.8617	4.7393	5.8238	4.9641	2.9491	2.9311	7.9628	3.4946	2.8586	4.9619	3.4121	2.5694	4.2049	5.5615	4.459	8.7029	2.4417	2.5781	3.3888	5.2516	8.4389	4.5503	3.36	2.5147	7.9556	5.7183	2.2735	2.4162	4.0931	1.8392	10.0731	1.202
RS_G5550__INHA__INHA	2.803	4.8975	2.2334	4.1783	3.3355	2.7597	0.72731	2.9138	4.8991	2.4269	4.5893	3.0781	4.3798	0.93674	3.1222	0.68198	5.5781	5.2467	4.2458	4.8462	0	5.8881	4.6199	5.7173	4.7246	9.0315	8.0172	4.0025	1.9518	4.4776	1.4434	1.5657
Meth__cg07102705__HTR4	0.43928	0.015076	0.69156	0.66315	0.54811	0.71804	0.97699	0.76283	0.63935	0.93674	0.53858	0.21897	0.039791	0.31391	0.030165	0.024775	0.22476	0.51853	0.3596	0.56007	0.77642	0.26399	0.76264	0.052542	0.71436	0.037525	0.68262	0.25524	0.021938	0.52498	0.89257	0.19737
RS_G16239__CCBE1__CCBE1	1.1161	0.50662	0.87902	0.61557	0.55127	0.78538	1.6318	1.887	0.44792	2.0205	0.58084	1.1984	1.3956	1.9127	0.50876	6.035	0.6116	0.6678	1.8377	0.77331	6.1112	0.45356	1.0472	0.6324	2.1768	3.0047	0.17808	0.74833	0.72401	1.2971	1.1566	0.83157
Meth__cg07962315__C9orf95	0.15978	0.15506	0.16199	0.26362	0.21944	0.65535	0.89363	0.56813	0.13489	0.26133	0.17246	0.11179	0.088816	0.12244	0.15631	0.17203	0.15609	0.15068	0.31338	0.17739	0.77727	0.28687	0.20255	0.1821	0.54772	0.08348	0.32731	0.2533	0.21466	0.40709	0.3668	0.56198
Meth__cg12629515__HIST1H2BO	0.095199	0.08997	0.24938	0.25148	0.2817	0.26667	0.79658	0.42968	0.15514	0.10375	0.39883	0.18275	0.46033	0.057069	0.27624	0.80332	0.083422	0.095998	0.54527	0.13884	0.20628	0.10935	0.13099	0.14685	0.83318	0.079065	0.13378	0.17471	0.16182	0.098686	0.53546	0.10157
Meth__cg07031996__MTF1	0.73507	0.039499	0.44024	0.10082	0.047448	0.2619	0.23157	0.18537	0.14455	0.157	0.097303	0.049571	0.062423	0.023207	0.085354	0.10585	0.084842	0.056903	0.12121	0.90034	0.37892	0.15474	0.29812	0.06485	0.02577	0.0232	0.1262	0.056683	0.050524	0.15297	0.91393	0.067504
