Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	1	1	-1	-1	1
Meth__cg17733100__C1orf106	0.054622	0.037504	0.084968	0.13757	0.1056	0.036547	0.069474	0.46116	0.040626	0.046508	0.053183	0.060216	0.19902	0.028967	0.35939	0.053671	0.049572	0.1192	0.049393	0.32444	0.35178	0.27186	0.6084	0.030031	0.059762	0.062733	0.089893	0.086826	0.079254	0.28283	0.034321	0.04925	0.23903	0.064211	0.035786	0.05262	0.05778	0.052421	0.04601
Meth__cg05840031__PAX6	0.064235	0.25073	0.043871	0.16263	0.098279	0.073639	0.6062	0.039474	0.071231	0.62385	0.17546	0.035845	0.57785	0.38973	0.075652	0.029669	0.034314	0.054499	0.043144	0.60186	0.60499	0.48527	0.066866	0.1914	0.88497	0.58773	0.078559	0.73826	0.15856	0.071245	0.11396	0.078372	0.034804	0.036055	0.62303	0.073864	0.050418	0.43749	0.3996
Meth__cg22231902__EN1	0.8698	0.043482	0.041659	0.049351	0.03469	0.54509	0.579	0.041585	0.045316	0.090612	0.050513	0.075511	0.13618	0.11697	0.060529	0.048284	0.054639	0.084069	0.058403	0.53558	0.43904	0.34463	0.058847	0.27689	0.7386	0.25548	0.071909	0.46664	0.083229	0.051855	0.053697	0.04602	0.045964	0.033203	0.58992	0.54889	0.075334	0.49484	0.35782
Meth__cg18150721__EPHB1	0.5192	0.018546	0.92884	0.01784	0.017226	0.49313	0.78876	0.058051	0.018444	0.024528	0.048857	0.016938	0.1462	0.16503	0.015798	0.028236	0.04663	0.032465	0.026617	0.83986	0.7964	0.1506	0.025457	0.23447	0.32822	0.030933	0.017488	0.58942	0.027639	0.024223	0.41169	0.37549	0.018857	0.020384	0.27116	0.57818	0.030456	0.035024	0.15111
Meth__cg09084200__hCAP-D3	0.13347	0.079648	0.79014	0.26991	0.073898	0.13049	0.15884	0.28319	0.11013	0.15749	0.066803	0.73026	0.25623	0.046452	0.13399	0.37718	0.12587	0.15009	0.426	0.19492	0.12297	0.13239	0.39566	0.16594	0.1586	0.21667	0.17408	0.090432	0.084903	0.10809	0.46625	0.22662	0.30672	0.45185	0.10606	0.050339	0.25985	0.14467	0.13955
Meth__cg04988423__ALX4	0.97385	0.040697	0.060837	0.51842	0.19802	0.87028	0.97173	0.049397	0.044999	0.69622	0.36391	0.071565	0.95162	0.9109	0.036139	0.029216	0.033427	0.096943	0.02511	0.96372	0.73052	0.96486	0.25007	0.48689	0.92928	0.62036	0.42459	0.95464	0.074084	0.034995	0.068374	0.044516	0.030768	0.018957	0.97495	0.71283	0.03461	0.5645	0.51654
Meth__cg02452985__BCL11B	0.81308	0.027594	0.032549	0.046263	0.34472	0.72425	0.15759	0.032977	0.060864	0.67981	0.41718	0.022392	0.025311	0.096774	0.060287	0.017118	0.019093	0.069913	0.040412	0.019595	0.52589	0.7387	0.023281	0.46509	0.94083	0.022065	0.027068	0.97759	0.047302	0.015566	0.015846	0.033887	0.017209	0.020481	0.98635	0.62255	0.72156	0.021517	0.02365
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.9036	0.37792	0.25791	0.8788	0.45155	0.58833	0.34771	0.25853	0.23263	0.90971	0.32777	0.038854	0.31024	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.25451	0.42919	0.16437	0.68549	0.14942	0.29603	0.15459	0.12561	0.26386	0.072957	0.10591	0.71347	0.35643	0.19423	0.089229	0.049258	0.16207	0.11802
Meth__cg09009111__EMILIN2	0.95931	0.36212	0.77883	0.16975	0.6147	0.74647	0.97072	0.17908	0.062433	0.5822	0.81768	0.39096	0.90587	0.71407	0.061625	0.061221	0.10239	0.13354	0.034717	0.96889	0.97023	0.51791	0.057141	0.96049	0.84083	0.96074	0.11742	0.90885	0.42463	0.068822	0.11788	0.11449	0.041485	0.0459	0.90421	0.88097	0.65392	0.48216	0.54448
