Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1
Meth__cg19110523__ADRB2	0.088686	0.060577	0.78505	0.10847	0.83385	0.54839	0.092314	0.054837	0.91311	0.3748	0.89507	0.94718	0.65744	0.67749	0.031363	0.13932	0.93108	0.25875	0.088651	0.099612	0.28453	0.079393	0.0702	0.045333	0.073206	0.049006	0.86594	0.079473	0.63702	0.035455	0.092911	0.086909	0.035075	0.94119	0.045059	0.56553	0.82264	0.73407
Meth__cg18180155__RIBC2	0.39572	0.04953	0.072695	0.037936	0.034353	0.37333	0.10535	0.31235	0.032711	0.079585	0.039447	0.04625	0.089948	0.033891	0.24395	0.065789	0.051828	0.048177	0.454	0.043552	0.65138	0.34918	0.3227	0.074815	0.062309	0.058407	0.090524	0.1662	0.042181	0.27491	0.049566	0.037159	0.024538	0.024018	0.077699	0.042916	0.12727	0.47528
Meth__cg05228408__CLCN6	0.2548	0.18508	0.10262	0.17733	0.12086	0.3351	0.22947	0.095578	0.067816	0.30068	0.055323	0.13005	0.17672	0.0862	0.16596	0.1123	0.10295	0.44382	0.18686	0.24813	0.3988	0.73759	0.28341	0.35072	0.24403	0.31365	0.063676	0.18291	0.047606	0.039759	0.47595	0.44419	0.072604	0.11229	0.10744	0.14941	0.068446	0.10838
Meth__cg03972838__FLJ20232	0.028581	0.017815	0.020966	0.021194	0.028841	0.6982	0.020481	0.68681	0.021515	0.022309	0.44842	0.05059	0.041092	0.019283	0.22533	0.95374	0.020229	0.083936	0.062454	0.17862	0.48301	0.68524	0.22966	0.53528	0.083977	0.062417	0.024011	0.022876	0.019499	0.17901	0.025816	0.4774	0.016249	0.014743	0.037481	0.04039	0.023372	0.023045
Meth__cg13560436__DKFZP781I1119	0.076119	0.27891	0.69628	0.5307	0.20292	0.14935	0.18612	0.3894	0.78235	0.12166	0.18736	0.86376	0.63007	0.67324	0.58511	0.08541	0.28827	0.08544	0.14395	0.078363	0.3198	0.096159	0.13309	0.5418	0.23856	0.086503	0.62661	0.1737	0.067579	0.074367	0.29558	0.064764	0.22273	0.12164	0.11102	0.17168	0.23615	0.1984
Meth__cg23503501__RIBC2	0.060055	0.094974	0.044818	0.040833	0.027809	0.33056	0.046689	0.48071	0.038957	0.042076	0.047087	0.090665	0.14866	0.030672	0.33503	0.031644	0.053699	0.060678	0.50067	0.041824	0.30391	0.55301	0.36515	0.058598	0.036693	0.061182	0.065549	0.19894	0.03548	0.14301	0.064183	0.03631	0.018186	0.02599	0.083089	0.037592	0.063898	0.5522
Meth__cg10294836__DYRK1B	0.068206	0.072411	0.616	0.089036	0.11519	0.068847	0.0728	0.063415	0.074121	0.088669	0.5352	0.44593	0.63623	0.15893	0.075541	0.5361	0.59604	0.93363	0.088167	0.078043	0.073339	0.1043	0.072356	0.10307	0.088274	0.097552	0.11697	0.13582	0.080727	0.90781	0.89142	0.056172	0.91942	0.084668	0.13494	0.91606	0.59892	0.38215
Meth__cg21256649__PRKAR1A	0.082843	0.054249	0.10385	0.17263	0.08999	0.061599	0.20011	0.083117	0.36152	0.085165	0.046333	0.12298	0.2874	0.32078	0.043671	0.053021	0.15926	0.31339	0.19868	0.10274	0.14879	0.07871	0.055125	0.21859	0.16919	0.096048	0.38318	0.12571	0.22112	0.043257	0.73943	0.059229	0.10886	0.13826	0.12769	0.21047	0.13462	0.057047
Meth__cg01667702__TRAPPC1	0.056086	0.093665	0.067437	0.23535	0.12356	0.041146	0.096364	0.099384	0.42794	0.076868	0.14167	0.76621	0.082978	0.26212	0.12527	0.053302	0.088277	0.05771	0.068763	0.049359	0.10977	0.054223	0.12843	0.051052	0.075316	0.065084	0.15968	0.082492	0.070067	0.11255	0.096967	0.059343	0.098483	0.060585	0.20306	0.094997	0.082504	0.063562
