Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Response	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1
Meth__cg22960185__TMEM38A	0.061689	0.67515	0.88281	0.82072	0.52098	0.47644	0.30088	0.93616	0.36166	0.95013	0.12023	0.090016	0.16158	0.36005	0.41639	0.087384	0.084593	0.086462	0.21751	0.33902	0.12889	0.74088	0.059537	0.39181	0.9232	0.12166	0.18605	0.48989	0.044943	0.043567	0.51879	0.77875	0.053789	0.093431	0.17986	0.084919	0.05523	0.79263
Meth__cg06385087__CTSZ	0.027811	0.067591	0.038488	0.041837	0.77845	0.49182	0.1994	0.59265	0.89169	0.47671	0.69077	0.1198	0.030352	0.55776	0.4386	0.027187	0.038879	0.020528	0.94259	0.94848	0.45334	0.52254	0.10271	0.10006	0.163	0.046032	0.58737	0.054617	0.026139	0.02193	0.024036	0.68424	0.027018	0.022763	0.05047	0.054953	0.16232	0.060018
Meth__cg14473016__RASD2	0.027961	0.41038	0.048626	0.9362	0.94147	0.73597	0.47817	0.048689	0.066335	0.90576	0.067189	0.14903	0.88424	0.054791	0.44868	0.037816	0.10922	0.044405	0.9058	0.91145	0.20848	0.44323	0.047411	0.070807	0.89961	0.053556	0.47883	0.4491	0.046666	0.030039	0.049372	0.24465	0.45906	0.031595	0.21596	0.41352	0.061024	0.44149
Meth__cg10523820__ZDHHC24	0.028958	0.027194	0.91565	0.9221	0.83763	0.57602	0.37487	0.93366	0.06812	0.8886	0.14325	0.59381	0.37977	0.069575	0.46828	0.47156	0.083163	0.015097	0.83287	0.90597	0.049538	0.37597	0.035439	0.16551	0.68681	0.04107	0.61436	0.15481	0.03758	0.03415	0.03047	0.38671	0.038926	0.28915	0.15661	0.24749	0.58013	0.78753
Meth__cg00410921__CKMT1B	0.089636	0.10101	0.38112	0.87546	0.31869	0.62827	0.55819	0.58514	0.29586	0.65872	0.77707	0.26545	0.72887	0.20597	0.84118	0.42691	0.061608	0.049283	0.75865	0.8718	0.46385	0.39861	0.137	0.50721	0.79296	0.24116	0.88056	0.4105	0.14437	0.07059	0.058082	0.65013	0.14275	0.04754	0.19861	0.13863	0.093878	0.057959
Meth__cg13490971__NDFIP1	0.07186	0.14525	0.65636	0.61765	0.57782	0.19291	0.39272	0.32298	0.4173	0.44005	0.18803	0.39472	0.11669	0.383	0.088882	0.28516	0.22274	0.060597	0.68367	0.33453	0.3469	0.1526	0.28449	0.24188	0.31288	0.083458	0.38873	0.22737	0.04406	0.05684	0.15751	0.34048	0.36631	0.12589	0.17895	0.13304	0.28585	0.21405
Meth__cg06111454__NFATC4	0.031008	0.91534	0.93899	0.95181	0.89464	0.03078	0.95067	0.63793	0.044619	0.7664	0.68037	0.95046	0.9205	0.64319	0.62251	0.9343	0.56835	0.032155	0.89111	0.95279	0.045378	0.94123	0.0278	0.66808	0.96337	0.050688	0.79922	0.83139	0.030141	0.028271	0.040214	0.96661	0.705	0.94151	0.067546	0.076669	0.61776	0.92578
Meth__cg18490846__C17orf73	0.028151	0.031281	0.47601	0.13664	0.15169	0.32115	0.035699	0.46022	0.49084	0.30968	0.45751	0.070695	0.11874	0.32512	0.24413	0.75483	0.050086	0.047859	0.48186	0.24246	0.2062	0.6792	0.061462	0.20263	0.27494	0.049987	0.13027	0.08817	0.16251	0.050326	0.068589	0.39362	0.067448	0.033795	0.10971	0.31435	0.10976	0.071334
Meth__cg12073594__ARFGAP1	0.063727	0.075003	0.3067	0.23294	0.12185	0.47405	0.25763	0.33094	0.49662	0.12076	0.32433	0.52213	0.1372	0.33242	0.10769	0.092621	0.12714	0.10148	0.36708	0.14214	0.16947	0.44119	0.090078	0.77413	0.1532	0.069072	0.45631	0.11297	0.27117	0.068806	0.052886	0.40965	0.1382	0.172	0.33093	0.28628	0.068354	0.075183
